formid,Type of Financial Product/Service Accessed,2  Did your cooperative facilitate access to this (____) financial Product/Service?,Date,4  Has your cooperative ever given you access to the following business development support services? | None,4  Has your cooperative ever given you access to the following business development support services? | Training_in_microenterprise_management,4  Has your cooperative ever given you access to the following business development support services? | Preparing_bankable_business_plans,4  Has your cooperative ever given you access to the following business development support services? | Business_planning_and_strategy,4  Has your cooperative ever given you access to the following business development support services? | Export_assistance,4  Has your cooperative ever given you access to the following business development support services? | Financial_management,4  Has your cooperative ever given you access to the following business development support services? | Marketing_and_advertising,4  Has your cooperative ever given you access to the following business development support services? | Personnel_administration,4  Has your cooperative ever given you access to the following business development support services? | Sales_and_customer_service,4  Has your cooperative ever given you access to the following business development support services? | Others,4  Has your cooperative ever given you access to the following business development support services? | extra,5  Has your cooperative ever facilitated access to market opportunities for its members?,Comm_Partner_ID,State,Cooperative_ID,username
0d51556f-e3ee-4382-8454-78a230c60827,Deposit_Account,Yes,2024-07-23,,1,1,1,,1,1,1,1,,,Yes,,FCT,,aba01
1c1c231d-d7e5-400d-9423-8d401c7d719c,Deposit_Account,Yes,2024-07-23,,1,1,1,,1,1,1,1,,,Yes,,FCT,,aba01
2a1bead7-a35a-4793-8c91-5f0ac7ff8470,Deposit_Account,Yes,2024-07-23,,1,1,1,,1,1,1,1,,,Yes,,FCT,,aba01
e5aad3ec-aad2-434a-a378-0ebef92ead2a,Deposit_Account,Yes,2024-07-23,,1,1,1,,1,1,1,1,,,Yes,,FCT,,aba01
4b82c5f5-0ff5-4355-93a4-ec3e6b7e380a,Deposit_Account,Yes,2024-07-23,,1,1,1,,1,1,1,1,,,Yes,,FCT,,aba01
9ad1bb6a-c846-4fec-b93c-2eb2488647ba,Deposit_Account,Yes,2024-07-23,,1,1,1,,1,1,1,1,,,Yes,,FCT,,aba01
fea4380b-5593-4add-975d-b83677971433,Deposit_Account,Yes,2024-07-23,,1,1,1,,1,1,1,1,,,Yes,,FCT,,aba01
5f90ed91-b27c-4929-bb06-3a6ba474c836,Deposit_Account,Yes,2024-07-23,,1,1,1,,1,1,1,1,,,Yes,,FCT,,aba01
e99db368-f9cf-4fce-9a64-1ec9d2c8b9a9,Deposit_Account,Yes,2024-07-23,,1,1,1,,1,1,1,1,,,Yes,,FCT,,aba01
46c5d5b1-ab88-4e1c-8ef6-df4efb6b23fa,Deposit_Account,Yes,2024-07-23,,1,1,1,,1,1,1,1,,,Yes,,FCT,,aba01
a7492101-02f4-4f2c-8ed3-212ed50f7647,Deposit_Account,Yes,2024-07-23,,1,1,1,,1,1,1,1,,,Yes,,FCT,,aba01
43b1a4da-a632-430d-b75a-8c265e7506d9,Deposit_Account,Yes,2024-07-23,,1,1,1,,1,1,1,1,,,Yes,,FCT,,aba01
eb34e3ac-ecd0-478d-8153-e72fbb575380,Deposit_Account,Yes,2024-07-23,,1,1,1,,1,1,1,1,,,Yes,,FCT,,aba01
d54414c0-561d-4829-86cf-938dc164251c,Deposit_Account,Yes,2024-07-23,,1,1,1,,1,1,1,1,,,Yes,,FCT,,aba01
9d2a4b91-93df-4fb3-9c63-ed1f1f3aea9f,Deposit_Account,Yes,2024-07-23,,1,1,1,,1,1,1,1,,,Yes,,FCT,,aba01
8ea9a41f-a0cb-4369-91e5-8b560b317a39,Deposit_Account,Yes,2024-07-23,,1,1,1,,1,1,1,1,,,Yes,,FCT,,aba01
c678e372-ca04-4a81-8154-30c3969cdd53,Deposit_Account,Yes,2024-07-23,,1,1,1,,1,1,1,1,,,Yes,,FCT,,aba01
f5dbbaae-691a-47df-9037-8b3da00d58c8,Deposit_Account,Yes,2024-07-23,,1,1,1,,1,1,1,1,,,Yes,,FCT,,aba01
a4629706-1fc7-4b35-b249-ede5c578ab21,Deposit_Account,Yes,2024-07-23,,1,1,1,,1,1,1,1,,,Yes,,FCT,,aba01
690ff0aa-d248-49ca-bdb6-7bcd9fe26680,Deposit_Account,Yes,2024-07-23,,1,1,1,,1,1,1,1,,,Yes,,FCT,,aba01
2238fb2c-b26f-4a7b-a778-54512f22a324,Deposit_Account,Yes,2024-07-23,,1,1,1,,1,1,1,1,,,Yes,,FCT,,aba01
6c5bd72b-61e2-458f-8156-72266ad9fa46,Deposit_Account,Yes,2024-07-23,,1,1,1,,1,1,1,1,,,Yes,,FCT,,aba01
d1fac76b-60db-44bb-9585-474e6ad31606,Deposit_Account,Yes,2024-07-23,,1,1,1,,1,1,1,1,,,Yes,,FCT,,aba01
da2c4a11-2651-43b8-b443-573bdc45677a,Deposit_Account,Yes,2024-07-23,,1,1,1,,1,1,1,1,,,Yes,,FCT,,aba01
61147ec7-94cc-4501-ba85-d6dae419d995,Deposit_Account,Yes,2024-07-23,,1,1,1,,1,1,1,1,,,Yes,,FCT,,aba01
0918de4d-654a-429f-a2a9-1d89f33317cb,Deposit_Account,Yes,2024-07-23,,1,1,1,,1,1,1,1,,,Yes,,FCT,,aba01
a43861e5-2d02-4e02-b3cd-ce37dd130bb4,Deposit_Account,Yes,2024-07-23,,1,1,1,,1,1,1,1,,,Yes,,FCT,,aba01
cfc96edd-567d-4ed9-a190-f588f38a6af4,Deposit_Account,Yes,2024-07-23,,1,1,1,,1,1,1,1,,,Yes,,FCT,,aba01
f5a63f33-592f-461e-8ccf-e164fce4fbe0,Deposit_Account,Yes,2024-07-23,,1,1,1,,1,1,1,1,,,Yes,,FCT,,aba01
dd6ab4c8-ec5b-40ca-9488-231ff24332ab,Deposit_Account,Yes,2024-07-23,,1,1,1,,1,1,1,1,,,Yes,,FCT,,aba01
8294f6ee-5544-4231-bf6a-27e63141250c,Deposit_Account,Yes,2024-07-23,,1,1,1,,1,1,1,1,,,Yes,,FCT,,aba01
ad261ae1-e207-4ea4-a8da-a18db0068e24,Deposit_Account,Yes,2024-07-23,,1,1,1,,1,1,1,1,,,Yes,,FCT,,aba01
fb499e31-b785-435b-a3e6-94d5a965f70e,Deposit_Account,Yes,2024-07-23,,1,1,1,,1,1,1,1,,,Yes,,FCT,,aba01
41b001b7-b68c-4340-a327-e42ef06b1a48,Deposit_Account,Yes,2024-07-23,,1,1,1,,1,1,1,1,,,Yes,,FCT,,aba01
754ecd80-226f-4691-88e5-a7a1ae2f76ed,Deposit_Account,Yes,2024-07-23,,1,1,1,,1,1,1,1,,,Yes,,FCT,,aba01
f0d108ad-e29c-4bb3-a0ad-92a78dd2ac54,Deposit_Account,Yes,2024-07-23,,1,1,1,,1,1,1,1,,,Yes,,FCT,,aba01
efb329fe-e183-4752-90ab-696178bfed34,Deposit_Account,Yes,2024-07-23,,1,1,1,,1,1,1,1,,,Yes,,FCT,,aba01
70022c1d-a337-478c-98f4-ad2901b42aba,Deposit_Account,Yes,2024-07-23,,1,1,1,,1,1,1,1,,,Yes,,FCT,,aba01
c91eaa13-46c2-4266-925d-6f2b09019aee,Deposit_Account,Yes,2024-07-23,,1,1,1,,1,1,1,1,,,Yes,,FCT,,aba01
19900793-4ebc-4de8-bc4b-ce26b8bab442,Deposit_Account,Yes,2024-07-23,,1,1,1,,1,1,1,1,,,Yes,,FCT,,aba01
4a563800-6865-48d4-8bff-8fd9372ee2ca,Deposit_Account,Yes,2024-07-23,,1,1,1,,1,1,1,1,,,Yes,,FCT,,aba01
3e76b895-1dee-4701-91a4-1c3fdac29c40,Deposit_Account,Yes,2024-07-23,,1,1,1,,1,1,1,1,,,Yes,,FCT,,aba01
23e608c2-a483-4298-8f4d-d923cb5a132c,Deposit_Account,Yes,2024-07-23,,1,1,1,,1,1,1,1,,,Yes,,FCT,,aba01
35b9305f-93c3-44f5-b961-475f72177e87,Deposit_Account,Yes,2024-07-23,,1,1,1,,1,1,1,1,,,Yes,,FCT,,aba01
039b5904-6093-48a0-8410-06032d61f1ab,Deposit_Account,Yes,2024-08-23,,1,1,1,,1,1,1,1,,,Yes,,FCT,,aba01
714e7fa4-a208-4114-ae53-203053894bd0,Deposit_Account,Yes,2024-07-23,,1,1,1,,1,1,1,1,,,Yes,,FCT,,aba01
31115301-9693-4048-ba32-ff71ca1a4032,Deposit_Account,Yes,2024-07-23,,1,1,1,,1,1,1,1,,,Yes,,FCT,,aba01
2017de7d-222b-4fa6-9281-3069ceb5fed4,Deposit_Account,Yes,2024-07-23,,1,1,1,,1,1,1,1,,,Yes,,FCT,,aba01
badca496-4ff1-411b-bcc0-6eacede56df6,Deposit_Account,Yes,2024-07-23,,1,1,1,,1,1,1,1,,,Yes,,FCT,,aba01
6c70b047-5f1f-4704-bb23-c6d4e8ea4daa,Deposit_Account,Yes,2024-07-23,,1,1,1,,1,1,1,1,,,Yes,,FCT,,aba01
fa85b3a6-3151-4584-8b68-d6081e58b107,Deposit_Account,Yes,2024-07-23,,1,1,1,,1,1,1,1,,,Yes,,FCT,,aba01
3f13b8fe-790e-473b-a711-a23614c9bf71,Deposit_Account,Yes,2024-07-23,,1,1,1,,1,1,1,1,,,Yes,,FCT,,aba01
66e19248-1495-46df-9250-a83d43f60378,Deposit_Account,Yes,2024-07-23,,1,1,1,,1,1,1,1,,,Yes,,FCT,,aba01
3f8d6da9-7084-409f-b83d-35c5886d3aa5,Deposit_Account,Yes,2024-07-23,,1,1,1,,1,1,1,1,,,Yes,,FCT,,aba01
d4cff50c-bf18-4bbc-a0cd-b63c90df3f98,Deposit_Account,Yes,2024-07-23,,1,1,1,,1,1,1,1,,,Yes,,FCT,,aba01
cdd61caf-75af-4d78-9e58-176881bf6d46,Deposit_Account,Yes,2024-07-23,,1,1,1,,1,1,1,1,,,Yes,,FCT,,aba01
44121ecf-cf26-4160-89a6-da0870b54f05,Deposit_Account,Yes,2024-07-23,,1,1,1,,1,1,1,1,,,Yes,,FCT,,aba01
8dc9bf0f-9699-4739-b401-e074ca2c7922,Deposit_Account,Yes,2024-08-23,,1,1,1,,1,1,1,1,,,Yes,,FCT,,aba01
4d3eb688-13d1-44b1-a672-82d9a343ec81,Deposit_Account,Yes,2024-07-23,,1,1,1,,1,1,1,1,,,Yes,,FCT,,aba01
0c9e55b9-d4f2-4e3b-ac5a-6a023b0a9c3c,Deposit_Account,Yes,2024-07-23,,1,1,1,,1,1,1,1,,,Yes,,FCT,,aba01
645f5870-9f28-4043-bd45-7a192ce8b598,Deposit_Account,Yes,2024-07-23,,1,1,1,,1,1,1,1,,,Yes,,FCT,,aba01
3f86323a-d413-45dd-851e-1861cfd05352,Deposit_Account,Yes,2024-07-23,,1,1,1,,1,1,1,1,,,Yes,,FCT,,aba01
8f7b4259-f4fd-4486-b4ad-f796c16db461,Deposit_Account,Yes,2024-07-23,,1,1,1,,1,1,1,1,,,Yes,,FCT,,aba01
711eefac-0847-47ea-bb66-3f685f94fc64,Deposit_Account,Yes,2024-07-23,,1,1,1,,1,1,1,1,,,Yes,,FCT,,aba01
2e4b1d03-a878-4205-ac25-7575abde75cc,Deposit_Account,Yes,2024-07-23,,1,1,1,,1,1,1,1,,,Yes,,FCT,,aba01
f17d022b-1f31-47c8-b6f6-91248b6f8271,Deposit_Account,Yes,2024-07-23,,1,1,1,,1,1,1,1,,,Yes,,FCT,,aba01
7d732466-1f7d-466c-aa94-3b976a9b524f,Deposit_Account,Yes,2024-07-23,,1,1,1,,1,1,1,1,,,Yes,,FCT,,aba01
8ca1c54b-ca99-488b-9598-07df0e10fb83,Deposit_Account,Yes,2024-07-23,,1,1,1,,1,1,1,1,,,Yes,,FCT,,aba01
c8fc923b-8059-4bdb-b29f-a2c400420746,Deposit_Account,Yes,2024-07-23,,1,1,1,,1,1,1,1,,,Yes,,FCT,,aba01
4991d7eb-2142-4cc1-9e3f-f5e728e9ff91,Deposit_Account,Yes,2024-07-23,,1,1,1,,1,1,1,1,,,Yes,,FCT,,aba01
19e5267c-f468-45c3-949e-d68c575a351d,Deposit_Account,Yes,2024-07-23,,1,1,1,,1,1,1,1,,,Yes,,FCT,,aba01
a850a4c2-3cc8-48f2-8d4b-71a2de3c3aac,Deposit_Account,Yes,2024-07-23,,1,1,1,,1,1,1,1,,,Yes,,FCT,,aba01
f35da370-1041-45b2-bdb8-834937982aee,Deposit_Account,Yes,2024-07-23,,1,1,1,,1,1,1,1,,,Yes,,FCT,,aba01
e1348c22-0002-486a-89d5-31aca639342f,Deposit_Account,Yes,2024-07-23,,1,1,1,,1,1,1,1,,,Yes,,FCT,,aba01
deea3786-2fdb-4004-a872-f48de35fd92b,Deposit_Account,Yes,2024-07-23,,1,1,1,,1,1,1,1,,,Yes,,FCT,,aba01
73f1eace-989d-4537-8cd2-c7f5b78f43a2,Deposit_Account,Yes,2024-07-23,,1,1,1,,1,1,1,1,,,Yes,,FCT,,aba01
9bdec6a4-5c49-4c42-b895-be1ca8f7c230,Deposit_Account,Yes,2024-07-23,,1,1,1,,1,1,1,1,,,Yes,,FCT,,aba01
1ab1073c-cf3e-434d-b5cd-b9d07f268974,Deposit_Account,Yes,2024-07-23,,1,1,1,,1,1,1,1,,,Yes,,FCT,,aba01
39001e59-9b6f-43d0-a30d-c90e63e21049,Deposit_Account,Yes,2024-07-23,,1,1,1,,1,1,1,1,,,Yes,,FCT,,aba01
250fc882-7feb-4d65-9fd1-0b925525c85d,Deposit_Account,Yes,2024-07-23,,1,1,1,,1,1,1,1,,,Yes,,FCT,,aba01
bc258fb7-8fab-4f54-9428-74cd02f4302d,Deposit_Account,Yes,2024-07-23,,1,1,1,,1,1,1,1,,,Yes,,FCT,,aba01
74df177e-bca9-4455-9be6-ef37e2bb3ecf,Deposit_Account,Yes,2024-07-23,,1,1,1,,1,1,1,1,,,Yes,,FCT,,aba01
eab10fdb-6980-41fb-9b82-c33287137f02,Deposit_Account,Yes,2024-07-23,,1,1,1,,1,1,1,1,,,Yes,,FCT,,aba01
e96437a0-288b-42f1-85e6-43ab90f57600,Deposit_Account,Yes,2024-07-23,,1,1,1,,1,1,1,1,,,Yes,,FCT,,aba01
df57395e-1a70-448c-9937-7a386cac2d93,Deposit_Account,Yes,2024-07-23,,1,1,1,,1,1,1,1,,,Yes,,FCT,,aba01
d0da3611-fb66-4d9f-894c-a5d81a33d3da,Deposit_Account,Yes,2024-07-23,,1,1,1,,1,1,1,1,,,Yes,,FCT,,aba01
01c0a354-5676-4563-a859-c94398dc980c,Deposit_Account,Yes,2024-07-23,,1,1,1,,1,1,1,1,,,Yes,,FCT,,aba01
b1f1d1d2-d219-4d6a-919e-28e91af983e6,Deposit_Account,Yes,2024-07-23,,1,1,1,,1,1,1,1,,,Yes,,FCT,,aba05
3ee5e060-5feb-440c-a86c-fe9becc001b1,Deposit_Account,Yes,2024-07-23,,1,1,1,,1,1,1,1,,,Yes,,FCT,,aba05
d6b6db93-f4ef-4cf3-bf9a-62741e716c07,Deposit_Account,Yes,2024-07-23,,1,1,1,,1,1,1,1,,,Yes,,FCT,,aba05
f04ff064-e36e-4c66-8145-99cce2a7d419,Deposit_Account,Yes,2024-07-23,,1,1,1,,1,1,1,1,,,Yes,,FCT,,aba05
09ff7c45-734f-43a8-bb55-f6f76656a141,Deposit_Account,Yes,2024-07-23,,1,1,1,,1,1,1,1,,,Yes,,FCT,,aba05
79b2024d-489d-4da7-a35e-00637454e80c,Deposit_Account,Yes,2024-07-23,,1,1,1,,1,1,1,1,,,Yes,,FCT,,aba05
529c7e24-04c3-4cf3-aeda-d868e80754cd,Deposit_Account,Yes,2024-07-23,,1,1,1,,1,1,1,1,,,Yes,,FCT,,aba05
e8a22724-a310-4ec7-a869-ddd1c95d8aa7,Deposit_Account,Yes,2024-07-23,,1,1,1,,1,1,1,1,,,Yes,,FCT,,aba05
9e0a1dc4-968d-48bf-9a3e-35ccad74725e,Deposit_Account,Yes,2024-07-23,,1,1,1,,1,1,1,1,,,Yes,,FCT,,aba05
90decdd5-6f60-4b8d-abde-95345f177eec,Deposit_Account,Yes,2024-07-23,,1,1,1,,1,1,1,1,,,Yes,,FCT,,aba05
e09f1999-2385-4078-8652-21b25fc923e2,Deposit_Account,Yes,2024-07-23,,1,1,1,,1,1,1,1,,,Yes,,FCT,,aba05
e830c46d-b80e-4d9f-ab8d-9a501864acfa,Deposit_Account,Yes,2024-07-23,,1,1,1,,1,1,1,1,,,Yes,,FCT,,aba05
9d152eaf-52f2-4398-a0b5-e108b0a4bdd7,Deposit_Account,Yes,2024-07-23,,1,1,1,,1,1,1,1,,,Yes,,FCT,,aba05
4ebe8f1f-8d32-4652-b425-f8c08d26fbb6,Deposit_Account,Yes,2024-07-23,,1,1,1,,1,1,1,1,,,Yes,,FCT,,aba05
b8ce3201-e08c-42a3-ac5e-bcc898efb364,Deposit_Account,Yes,2024-07-23,,1,1,1,,1,1,1,1,,,Yes,,FCT,,aba05
70140e7e-2d08-4c56-8556-552cd70f2fdf,Deposit_Account,Yes,2024-07-23,,1,1,1,,1,1,1,1,,,Yes,,FCT,,aba05
47069abe-62c6-4e73-923f-4396d1b1268a,Deposit_Account,Yes,2024-07-23,,1,1,1,,1,1,1,1,,,Yes,,FCT,,aba05
cb304d95-b07c-4696-beba-e823f60684bb,Deposit_Account,Yes,2024-07-23,,1,1,1,,1,1,1,1,,,Yes,,FCT,,aba05
56fe61cc-1000-4750-9014-b612f338b69b,Deposit_Account,Yes,2024-07-23,,1,1,1,,1,1,1,1,,,Yes,,FCT,,aba05
9e6873df-d260-4b3f-83ad-78e223bb6561,Deposit_Account,Yes,2024-07-23,,1,1,1,,1,1,1,1,,,Yes,,FCT,,aba05
9bbce374-991f-45ac-b3f8-21a63d1c5470,Deposit_Account,Yes,2024-07-23,,1,1,1,,1,1,1,1,,,Yes,,Gombe,,akk01
ed1ce3d3-78af-41f8-8198-0b5b6b699e78,Deposit_Account,Yes,2024-07-23,,1,1,1,,1,1,1,1,,,Yes,,Gombe,,akk01
c61b31f3-da23-47bc-a99c-39a46de3966c,Deposit_Account,Yes,2024-07-23,,1,1,1,,1,1,1,1,,,Yes,,Gombe,,akk01
405758a1-e960-4aa7-b36b-08aab6b99260,Deposit_Account,Yes,2024-07-23,,1,1,1,,1,1,1,1,,,Yes,,Gombe,,akk01
4422cffc-55f4-4683-bf95-0832b0a9ca63,Deposit_Account,Yes,2024-07-23,,1,1,1,,1,1,1,1,,,Yes,,Gombe,,akk01
cd78fb9d-cd22-42fa-a6a4-c23bf0a4e109,Deposit_Account,Yes,2024-07-23,,1,1,1,,1,1,1,1,,,Yes,,Gombe,,akk01
9cc20ddc-44eb-4bd8-8ecd-de5c04c51e63,Deposit_Account,Yes,2024-07-23,,1,1,1,,1,1,1,1,,,Yes,,Gombe,,akk01
3508b298-6e37-4839-a831-6ec5c6be7baf,Deposit_Account,Yes,2024-07-23,,1,1,1,,1,1,1,1,,,Yes,,Gombe,,akk01
5b43b95c-3b81-49ea-828a-e30ba6f4fafb,Deposit_Account,Yes,2024-07-23,,1,1,1,,1,1,1,1,,,Yes,,Gombe,,akk01
e0354bae-1e73-4030-9301-ef667c176c69,Deposit_Account,Yes,2024-07-23,,1,1,1,,1,1,1,1,,,Yes,,Gombe,,akk01
59dbd876-91b8-422d-af4f-3823d36ef6f0,Deposit_Account,Yes,2024-07-23,,1,1,1,,1,1,1,1,,,Yes,,Gombe,,akk01
9d915219-56fd-4b03-82b1-4c6d016e367c,Deposit_Account,Yes,2024-07-23,,1,1,1,,1,1,1,1,,,Yes,,Gombe,,akk01
7ec0a67d-ab42-4e54-b989-a7ec3b50ff76,Deposit_Account,Yes,2024-07-23,,1,1,1,,1,1,1,1,,,Yes,,Gombe,,akk01
bb497231-1182-4533-8674-fb3178d5c137,Deposit_Account,Yes,2024-07-23,,1,1,1,,1,1,1,1,,,Yes,,Gombe,,akk01
e26230a3-5cf1-4581-b184-15c2f2caef5d,Deposit_Account,Yes,2024-07-23,,1,1,1,,1,1,1,1,,,Yes,,Gombe,,akk01
7f549e67-1478-4d04-9d12-b66924ce7376,Deposit_Account,Yes,2024-07-23,,1,1,1,,1,1,1,1,,,Yes,,Gombe,,akk01
5f182934-60a9-4a2f-8dc5-076c48abbb5b,Deposit_Account,Yes,2024-07-23,,1,1,1,,1,1,1,1,,,Yes,,Gombe,,akk01
614d949a-381f-4198-892e-09e24f5a584c,Deposit_Account,Yes,2024-07-23,,1,1,1,,1,1,1,1,,,Yes,,Gombe,,akk01
da0bb8cd-22fe-4ab2-be11-db26579d7f2d,Deposit_Account,Yes,2024-07-23,,1,1,1,,1,1,1,1,,,Yes,,Gombe,,akk01
ba1b2009-0765-42d0-82e9-72c14a03aaec,Deposit_Account,Yes,2024-07-23,,1,1,1,,1,1,1,1,,,Yes,,Gombe,,akk01
635d4dc3-1421-453d-acc4-72fa71859323,Deposit_Account,Yes,2024-07-23,,1,1,1,,1,1,1,1,,,Yes,,Gombe,,akk01
38bbe4f4-8c8c-4b97-a650-db482e63e9a8,Deposit_Account,Yes,2024-07-23,,1,1,1,,1,1,1,1,,,Yes,,Gombe,,akk01
afdba4e1-70b4-44e8-b044-1b469c61fa6e,Deposit_Account,Yes,2024-07-23,,1,1,1,,1,1,1,1,,,Yes,,Gombe,,akk01
20ba4959-2007-4800-bb9f-56b8f44fbd33,Deposit_Account,Yes,2024-07-23,,1,1,1,,1,1,1,1,,,Yes,,Gombe,,akk01
a51dd7a4-b9c6-4d6d-8728-5ad47dae7dbb,Deposit_Account,Yes,2024-07-23,,1,1,1,,1,1,1,1,,,Yes,,Gombe,,akk01
c6467d36-2b16-4db0-b114-fbf51fc51fa2,Deposit_Account,Yes,2024-07-23,,1,1,1,,1,1,1,1,,,Yes,,Gombe,,akk01
e3178aa1-fe0a-4fa7-87a0-c4a305302600,Deposit_Account,Yes,2024-07-23,,1,1,1,,1,1,1,1,,,Yes,,Gombe,,akk01
3ec68fd8-1eeb-4d1f-a098-630ae120e822,Deposit_Account,Yes,2024-07-23,,1,1,1,,1,1,1,1,,,Yes,,Gombe,,akk01
e7cde364-f9ca-4b9d-a191-3b2a8d92c103,Deposit_Account,Yes,2024-07-23,,1,1,1,,1,1,1,1,,,Yes,,Gombe,,akk01
18470487-86c3-4fbd-b649-6bcd8e8fd6f9,Deposit_Account,Yes,2024-07-23,,1,1,1,,1,1,1,1,,,Yes,,Gombe,,akk01
c17e8a3c-ab23-4da8-bf47-c556b20f20da,Deposit_Account,Yes,2024-07-23,,1,1,1,,1,1,1,1,,,Yes,,Gombe,,akk01
7e8fac69-af8a-44d9-9100-d75825bf0265,Deposit_Account,Yes,2024-07-23,,1,1,1,,1,1,1,1,,,Yes,,Gombe,,akk02
d98cd0e0-b1e4-48dc-856a-574eea4ad441,Deposit_Account,Yes,2024-07-23,,1,1,1,,1,1,1,1,,,Yes,,Gombe,,akk02
e20d35a1-9154-425f-b120-27c3250cfa8b,Deposit_Account,Yes,2024-07-23,,1,1,1,,1,1,1,1,,,Yes,,Gombe,,akk02
8efed345-d81d-45b7-aa42-0583a3eb12b4,Deposit_Account,Yes,2024-07-23,,1,1,1,,1,1,1,1,,,Yes,,Gombe,,akk02
dfd233cd-fc61-4951-b03d-19e69f982c03,Deposit_Account,Yes,2024-07-23,,1,1,1,,1,1,,1,,,Yes,,Gombe,,sha01
0c587ee1-ca98-4a21-8a5a-0d4d68434dc4,Deposit_Account,Yes,2024-07-23,,1,1,1,,1,1,,1,,,Yes,,Gombe,,sha01
c073d86a-4753-4bd4-9857-60296b73af11,Deposit_Account,Yes,2024-07-23,,1,1,1,,1,1,,1,,,Yes,,Gombe,,sha01
03994fbf-ec4a-4f24-b2f7-8b8cdaf50604,Deposit_Account,Yes,2024-07-23,,1,1,1,,1,1,,1,,,Yes,,Gombe,,sha01
060cd600-a838-43c6-89bd-a1167c1da1dd,Deposit_Account,Yes,2024-07-23,,1,1,1,,1,1,,1,,,Yes,,Gombe,,sha01
ddec5dbe-83d2-40d7-85a2-27da5645094f,Deposit_Account,Yes,2024-07-23,,1,1,1,,1,1,,1,,,Yes,,Gombe,,sha01
05653db0-4cb9-4ed0-a2df-e64f534eb5d6,Deposit_Account,Yes,2024-07-23,,1,1,1,,1,1,,1,,,Yes,,Gombe,,sha01
420bfcd0-430a-49ad-97e7-abc7d8951619,Deposit_Account,Yes,2024-07-23,,1,1,1,,1,1,,1,,,Yes,,Gombe,,sha01
6e79448b-a562-48d6-8731-dceda9db0107,Deposit_Account,Yes,2024-07-23,,1,1,1,,1,1,1,1,,,Yes,,Gombe,,akk02
