formid,CommPartnersGender,CommPartnerMaritalStatus,Stateofresidence,Farming_Seasons_to_Participate_in_2024,LandAvailableIn2024WetSeason,LandAvailableIn2024DrySeason,ReasonForDisplacement,CommPartnerHouseHoldStatus,Cooperative_unique_ID,Implementing_Partner,PovertyClassification,Comm_Partners_Age_group,Sex_and_AgeGroup,IDP_classification,disability_classification,Beneficiaryuniqueid,completed_time,started_time,username,received_on
dd327502-ee5a-4380-911b-3f0e83d98bf9,Female,Married,Jigawa,---,---,---,I_am_an_indigene,Other_member_of_household,JahBH5R35,WOFAN,Ultra-Poor,Youth,Female Youth,Non-IDP,Persons with disability,JahELOHX751,11/02/2024 14:40,11/02/2024 14:36,jah68,11/02/2024 14:40
9faf80fc-1003-45ab-b9c6-94c20d2a99fa,Female,Married,Jigawa,---,---,---,I_am_an_indigene,Household_head,JahBH5R35,WOFAN,Ultra-Poor,Youth,Female Youth,Non-IDP,Persons with disability,JahXHDZ5S49,11/02/2024 14:43,11/02/2024 14:40,jah68,11/02/2024 14:43
6e55e9fa-88c9-499f-9c64-2caa22cca632,Female,Married,Jigawa,---,---,---,I_am_an_indigene,Spouse_to_household_head,JahVTAE37,WOFAN,Ultra-Poor,Youth,Female Youth,Non-IDP,Persons with disability,JahGRDFGY11,11/02/2024 14:42,11/02/2024 14:38,jah59,11/02/2024 14:43
b8f24e94-727b-4904-b7f4-e974912f921f,Female,Married,Jigawa,---,---,---,I_am_an_indigene,Spouse_to_household_head,JahBH5R35,WOFAN,Poor,Youth,Female Youth,Non-IDP,Persons with disability,JahW64DMZ02,11/02/2024 14:46,11/02/2024 14:43,jah68,11/02/2024 14:46
ced54357-f2db-445d-849c-f33581500751,Female,Married,Jigawa,---,---,---,I_am_an_indigene,Spouse_to_household_head,JahVTAE37,WOFAN,Ultra-Poor,Youth,Female Youth,Non-IDP,Persons with disability,JahCZZ10O04,11/02/2024 14:47,11/02/2024 14:43,jah59,11/02/2024 14:47
05d22d8b-0585-4786-b463-78bf79433a7d,Female,Married,Jigawa,Dry_Season,---,0.5,I_am_an_indigene,Household_head,JahV4UM06,WOFAN,Ultra-Poor,Youth,Female Youth,Non-IDP,Persons with disability,JahTXJISG18,11/02/2024 14:48,11/02/2024 14:45,jah45,11/02/2024 14:48
bccb5c4a-20fd-42a7-a0d6-f9bd185f8ccc,Female,Married,Jigawa,---,---,---,I_am_an_indigene,Household_head,JahBH5R35,WOFAN,Poor,Youth,Female Youth,Non-IDP,Persons with disability,JahN6I0FD54,11/02/2024 14:49,11/02/2024 14:46,jah68,11/02/2024 14:49
58f9cefd-9b84-4bf9-923f-89ac61855db4,Female,Married,Jigawa,---,---,---,I_am_an_indigene,Spouse_to_household_head,JahBH5R35,WOFAN,Poor,Youth,Female Youth,Non-IDP,Persons with disability,JahMETU6W20,11/02/2024 14:54,11/02/2024 14:50,jah68,11/02/2024 14:54
d783894d-9050-467b-9750-85007e1bff9d,Female,Married,Jigawa,---,---,---,I_am_an_indigene,Household_head,JahBH5R35,WOFAN,Ultra-Poor,Youth,Female Youth,Non-IDP,Persons with disability,JahEYKOKY32,11/02/2024 14:59,11/02/2024 14:54,jah68,11/02/2024 14:59
4c08dbe7-cd69-4da3-801b-9199b6f2ebce,Female,Married,Jigawa,---,---,---,I_am_an_indigene,Child_to_head_of_household,JahSBY720,WOFAN,Ultra-Poor,Youth,Female Youth,Non-IDP,Persons with disability,Jah20HE6N09,11/02/2024 14:00,11/02/2024 13:58,jah71,11/02/2024 15:02
d22e3d5e-78ad-474c-8ac2-3b79910f8ef4,Female,Married,Jigawa,---,---,---,I_am_an_indigene,Child_to_head_of_household,JahSBY720,WOFAN,Ultra-Poor,Youth,Female Youth,Non-IDP,Persons with disability,JahRJCAUI53,11/02/2024 14:01,11/02/2024 14:00,jah71,11/02/2024 15:02
f90cdc20-bb45-4b4f-9708-baeebb7c971c,Female,Married,Jigawa,---,---,---,I_am_an_indigene,Spouse_to_household_head,JahSBY720,WOFAN,Ultra-Poor,Youth,Female Youth,Non-IDP,Persons with disability,JahWMNFKA16,11/02/2024 14:16,11/02/2024 14:02,jah71,11/02/2024 15:02
2b9b67cc-2ab8-459d-909b-780de27f7317,Female,Married,Jigawa,---,---,---,I_am_an_indigene,Household_head,JahSBY720,WOFAN,Ultra-Poor,Youth,Female Youth,Non-IDP,Persons with disability,Jah1XGV2J11,11/02/2024 14:17,11/02/2024 14:16,jah71,11/02/2024 15:02
d63c7066-69df-47cf-9b16-dc562c0a0aab,Female,Married,Jigawa,---,---,---,I_am_an_indigene,Household_head,JahBH5R35,WOFAN,Poor,Youth,Female Youth,Non-IDP,Persons with disability,JahVGJVJZ09,11/02/2024 15:02,11/02/2024 14:59,jah68,11/02/2024 15:02
61ea245f-ce9d-4bd8-976f-2eb7733ea6ac,Female,Married,Jigawa,---,---,---,I_am_an_indigene,Child_to_head_of_household,JahSBY720,WOFAN,Ultra-Poor,Youth,Female Youth,Non-IDP,Persons with disability,JahJF3I2333,11/02/2024 14:20,11/02/2024 14:17,jah71,11/02/2024 15:02
fc2c7ac4-efba-4caa-8926-143cf18976cb,Female,Married,Jigawa,---,---,---,I_am_an_indigene,Child_to_head_of_household,JahSBY720,WOFAN,Ultra-Poor,Youth,Female Youth,Non-IDP,Persons with disability,JahLMSW9602,11/02/2024 14:21,11/02/2024 14:20,jah71,11/02/2024 15:02
491c3862-9782-4bb6-bb0f-a7bd40350bdb,Female,Married,Jigawa,---,---,---,I_am_an_indigene,Child_to_head_of_household,JahSBY720,WOFAN,Ultra-Poor,Youth,Female Youth,Non-IDP,Persons with disability,JahXR9UWK33,11/02/2024 14:23,11/02/2024 14:21,jah71,11/02/2024 15:02
8e292e3e-16f8-4ca1-a76e-22470b01bb9f,Female,Married,Jigawa,---,---,---,I_am_an_indigene,Spouse_to_household_head,JahSBY720,WOFAN,Ultra-Poor,Youth,Female Youth,Non-IDP,Persons with disability,Jah83VYQA48,11/02/2024 14:24,11/02/2024 14:23,jah71,11/02/2024 15:02
496f87ab-72b6-4f2f-a25f-d4fc9e7e1a23,Female,Married,Jigawa,---,---,---,I_am_an_indigene,Household_head,JahSBY720,WOFAN,Ultra-Poor,Youth,Female Youth,Non-IDP,Persons with disability,JahSU2R7F06,11/02/2024 14:25,11/02/2024 14:24,jah71,11/02/2024 15:03
fc91d3f8-6dc5-42fd-9822-66e0cc954e59,Female,Married,Jigawa,---,---,---,I_am_an_indigene,Child_to_head_of_household,JahSBY720,WOFAN,Ultra-Poor,Youth,Female Youth,Non-IDP,Persons with disability,JahY3J2VB28,11/02/2024 14:27,11/02/2024 14:25,jah71,11/02/2024 15:03
26ac890d-e541-4680-abbe-5b5c146eb51a,Female,Married,Jigawa,---,---,---,I_am_an_indigene,Household_head,JahSBY720,WOFAN,Ultra-Poor,Youth,Female Youth,Non-IDP,Persons with disability,JahW2DEUD17,11/02/2024 14:29,11/02/2024 14:27,jah71,11/02/2024 15:03
8497b28c-a195-4891-9137-3b7fe494a3c6,Female,Married,Jigawa,---,---,---,I_am_an_indigene,Household_head,JahSBY720,WOFAN,Ultra-Poor,Youth,Female Youth,Non-IDP,Persons with disability,Jah0XEXO348,11/02/2024 14:30,11/02/2024 14:29,jah71,11/02/2024 15:03
26340914-67f1-44bd-a13e-ae9d2543edd7,Female,Married,Jigawa,---,---,---,I_am_an_indigene,Child_to_head_of_household,JahSBY720,WOFAN,Ultra-Poor,Youth,Female Youth,Non-IDP,Persons with disability,JahJCMY9S16,11/02/2024 14:31,11/02/2024 14:30,jah71,11/02/2024 15:03
014b17b9-eb8a-43b7-befc-c88bad1fdd54,Female,Married,Jigawa,---,---,---,I_am_an_indigene,Household_head,JahSBY720,WOFAN,Ultra-Poor,Youth,Female Youth,Non-IDP,Persons with disability,JahBQIXJ245,11/02/2024 14:33,11/02/2024 14:32,jah71,11/02/2024 15:03
3f6f8c26-e394-4120-8cfb-bf512066cbb2,Female,Married,Jigawa,---,---,---,I_am_an_indigene,Child_to_head_of_household,JahSBY720,WOFAN,Ultra-Poor,Youth,Female Youth,Non-IDP,Persons with disability,JahFLWTJ706,11/02/2024 14:34,11/02/2024 14:33,jah71,11/02/2024 15:03
190e2030-4619-4fc6-8801-6a61e9a02557,Female,Married,Jigawa,---,---,---,I_am_an_indigene,Relative_to_household_head_or_spouse,JahSBY720,WOFAN,Ultra-Poor,Youth,Female Youth,Non-IDP,Persons with disability,JahGHQCVY32,11/02/2024 14:36,11/02/2024 14:35,jah71,11/02/2024 15:03
4878b8ea-3ea1-409c-815f-d1240a087316,Female,Married,Jigawa,---,---,---,I_am_an_indigene,Spouse_to_household_head,JahSBY720,WOFAN,Ultra-Poor,Youth,Female Youth,Non-IDP,Persons with disability,JahABY5LX01,11/02/2024 14:37,11/02/2024 14:36,jah71,11/02/2024 15:03
29514dca-d3a5-45b0-9ba6-010715cc024c,Female,Married,Jigawa,---,---,---,I_am_an_indigene,Child_to_head_of_household,JahSBY720,WOFAN,Ultra-Poor,Youth,Female Youth,Non-IDP,Persons with disability,JahS8M3S520,11/02/2024 14:39,11/02/2024 14:37,jah71,11/02/2024 15:03
c8870612-6b28-436f-b8ab-0c01aedaac33,Female,Married,Jigawa,---,---,---,I_am_an_indigene,Household_head,JahSBY720,WOFAN,Ultra-Poor,Youth,Female Youth,Non-IDP,Persons with disability,JahMD1R3951,11/02/2024 14:41,11/02/2024 14:39,jah71,11/02/2024 15:03
680e1818-f61a-40e4-8819-ef3d25c9af11,Female,Married,Jigawa,---,---,---,I_am_an_indigene,Household_head,JahSBY720,WOFAN,Ultra-Poor,Youth,Female Youth,Non-IDP,Persons with disability,JahWIC6W432,11/02/2024 14:43,11/02/2024 14:41,jah71,11/02/2024 15:03
d664774e-4c19-47bb-8173-e22e01f1771e,Female,Married,Jigawa,---,---,---,I_am_an_indigene,Child_to_head_of_household,JahSBY720,WOFAN,Ultra-Poor,Youth,Female Youth,Non-IDP,Persons with disability,JahWKUZ4P56,11/02/2024 14:44,11/02/2024 14:43,jah71,11/02/2024 15:03
ce09a261-f5fb-403f-a0c9-2d2d63d24173,Female,Married,Jigawa,---,---,---,I_am_an_indigene,Child_to_head_of_household,JahSBY720,WOFAN,Ultra-Poor,Youth,Female Youth,Non-IDP,Persons with disability,JahMETQFH45,11/02/2024 14:46,11/02/2024 14:44,jah71,11/02/2024 15:03
add200e3-97d6-4e28-ba2f-14c502db7e8e,Female,Married,Jigawa,---,---,---,I_am_an_indigene,Household_head,JahSBY720,WOFAN,Ultra-Poor,Youth,Female Youth,Non-IDP,Persons with disability,Jah7M29N336,11/02/2024 14:48,11/02/2024 14:46,jah71,11/02/2024 15:03
cfecc19d-da71-4a7e-83b6-98b54c39e676,Female,Married,Jigawa,---,---,---,I_am_an_indigene,Child_to_head_of_household,JahSBY720,WOFAN,Ultra-Poor,Youth,Female Youth,Non-IDP,Persons with disability,Jah8QZH8955,11/02/2024 14:50,11/02/2024 14:48,jah71,11/02/2024 15:03
3daf15ce-5287-4c61-862c-1f38f064cd51,Female,Married,Jigawa,---,---,---,I_am_an_indigene,Spouse_to_household_head,JahSBY720,WOFAN,Ultra-Poor,Youth,Female Youth,Non-IDP,Persons with disability,Jah9CORCP56,11/02/2024 14:52,11/02/2024 14:50,jah71,11/02/2024 15:03
0c87f1f8-2eb5-461f-8883-5714753452b9,Female,Married,Jigawa,---,---,---,I_am_an_indigene,Child_to_head_of_household,JahSBY720,WOFAN,Ultra-Poor,Youth,Female Youth,Non-IDP,Persons with disability,JahXRFPAP44,11/02/2024 14:54,11/02/2024 14:52,jah71,11/02/2024 15:03
6414791e-10ff-45d5-b593-516b6a2686f6,Female,Married,Jigawa,---,---,---,I_am_an_indigene,Child_to_head_of_household,JahSBY720,WOFAN,Ultra-Poor,Youth,Female Youth,Non-IDP,Persons with disability,Jah7AWYUK12,11/02/2024 14:56,11/02/2024 14:54,jah71,11/02/2024 15:03
f2469939-d561-4a66-aa5b-5c2416a484f9,Female,Married,Jigawa,---,---,---,I_am_an_indigene,Spouse_to_household_head,JahSBY720,WOFAN,Ultra-Poor,Youth,Female Youth,Non-IDP,Persons with disability,JahYI638N38,11/02/2024 14:58,11/02/2024 14:56,jah71,11/02/2024 15:03
cfb282b4-8261-4ca9-bb44-2c0114d9e41e,Female,Married,Jigawa,---,---,---,I_am_an_indigene,Child_to_head_of_household,JahSBY720,WOFAN,Ultra-Poor,Youth,Female Youth,Non-IDP,Persons with disability,JahYMHI9A13,11/02/2024 15:00,11/02/2024 14:58,jah71,11/02/2024 15:03
4b427d33-3327-47d7-9403-51fc50ee7650,Female,Married,Jigawa,---,---,---,I_am_an_indigene,Child_to_head_of_household,JahSBY720,WOFAN,Ultra-Poor,Youth,Female Youth,Non-IDP,Persons with disability,Jah0F6GDM27,11/02/2024 15:02,11/02/2024 15:00,jah71,11/02/2024 15:03
692cbdbd-d7d8-41e5-b995-74200637ee3f,Female,Married,Bauchi,Wet_Season,3.0,---,I_am_an_indigene,Spouse_to_household_head,BauOQ8X52,WOFAN,Poor,Youth,Female Youth,Non-IDP,Persons with disability,BauL1N69L52,11/02/2024 15:06,11/02/2024 15:02,bau13,11/02/2024 15:06
6211f89a-6a67-4e12-aad8-a199618cdb7d,Female,Married,Jigawa,---,---,---,I_am_an_indigene,Household_head,JahBH5R35,WOFAN,Poor,Youth,Female Youth,Non-IDP,Persons with disability,JahR4Q4YO26,11/02/2024 15:06,11/02/2024 15:02,jah68,11/02/2024 15:06
9dd9b3f6-8eba-4277-879c-1fd61d17b4cd,Female,Married,Jigawa,Dry_Season,---,1.0,I_am_an_indigene,Household_head,JahV4UM06,WOFAN,Ultra-Poor,Youth,Female Youth,Non-IDP,Persons with disability,Jah6DF6UL48,11/02/2024 15:09,11/02/2024 15:06,jah45,11/02/2024 15:09
e763805c-d25f-4f90-9752-eb145a033a8e,Female,Married,Bauchi,Wet_Season,2.0,---,I_am_an_indigene,Spouse_to_household_head,BauOQ8X52,WOFAN,Ultra-Poor,Youth,Female Youth,Non-IDP,Persons with disability,BauV33HRV09,11/02/2024 15:10,11/02/2024 15:06,bau13,11/02/2024 15:10
f24a4066-b75c-4462-b0a3-2a93dc0a2a08,Female,Married,Bauchi,Wet_Season,3.0,---,I_am_an_indigene,Spouse_to_household_head,BauOQ8X52,WOFAN,Poor,Youth,Female Youth,Non-IDP,Persons with disability,BauXWLRJY49,11/02/2024 15:15,11/02/2024 15:11,bau13,11/02/2024 15:15
