formid,CommPartnerMaritalStatus,Stateofresidence,CommPartnerHouseHoldStatus,Cooperative_unique_ID,IDP_classification,implementing_Partner,Comm_Partners_Age_group,Sex_and_AgeGroup,disability_classification,Beneficiaryuniqueid,completed_time,started_time,username,received_on,CommPartnerPovertyClass
3e999818-fa88-4787-bdb4-80e40dfeecda,Married,Bauchi,Household_head,,Non-IDP,WOFAN,Youth,Male Youth,No disability,Bau5SR1OS38,24/06/2024 07:53,24/06/2024 07:51,bau12,24/06/2024 07:53,N/A
0b5ebbf9-8777-4916-9644-20799cd9f337,Married,Kano,Household_head,,Non-IDP,WOFAN,Youth,Male Youth,No disability,GarZ3FXA138,24/06/2024 08:02,24/06/2024 07:39,gmm50,24/06/2024 08:02,N/A
d36d924e-37fa-4b18-8014-e2da06282170,Single,Bauchi,Child_to_head_of_household,,Non-IDP,WOFAN,Youth,Male Youth,No disability,BauF3LFV701,24/06/2024 08:03,24/06/2024 07:59,bau12,24/06/2024 08:03,N/A
72e72975-d8a2-4111-9e5d-5650046cb16c,Single,Bauchi,Child_to_head_of_household,,Non-IDP,WOFAN,Youth,Male Youth,No disability,Tor59VPR149,24/06/2024 08:04,24/06/2024 07:57,tor05,24/06/2024 08:16,N/A
cd62b74c-1643-4ab9-a2d5-f70c3cab6aeb,Single,Bauchi,Child_to_head_of_household,,Non-IDP,WOFAN,Youth,Male Youth,No disability,Tor2LKQE236,24/06/2024 08:16,24/06/2024 08:12,tor05,24/06/2024 08:16,N/A
c2d35143-f4c5-491c-9475-5454b831db68,Single,Bauchi,Child_to_head_of_household,,Non-IDP,WOFAN,Youth,Male Youth,No disability,BauED7HBB06,24/06/2024 08:17,24/06/2024 08:04,bau12,24/06/2024 08:17,N/A
f3c28ed2-7784-4e90-ac37-e55a775889a9,Married,Kano,Household_head,,Non-IDP,WOFAN,Youth,Male Youth,No disability,BebH81A9Y12,24/06/2024 08:18,24/06/2024 08:03,kir02,24/06/2024 08:18,N/A
d0453466-6fbb-4b64-b22e-682e9539a630,Single,Bauchi,Household_head,,Non-IDP,WOFAN,Youth,Male Youth,No disability,BauRJ2GB603,24/06/2024 08:21,24/06/2024 08:18,bau12,24/06/2024 08:21,N/A
03549ede-9ebf-4b3e-9d5b-31529423e103,Single,Bauchi,Child_to_head_of_household,,Non-IDP,WOFAN,Youth,Male Youth,No disability,Bau4NXCZN03,24/06/2024 08:27,24/06/2024 08:23,bau12,24/06/2024 08:27,N/A
5942726e-6d35-4fac-b20d-665b42d468dd,Single,Bauchi,Child_to_head_of_household,,Non-IDP,WOFAN,Youth,Male Youth,No disability,BauTC1MRK43,24/06/2024 08:35,24/06/2024 08:32,bau12,24/06/2024 08:36,N/A
ca04a8a8-d9ca-42a6-9669-d516ac9e3d58,Married,Kano,Household_head,,Non-IDP,WOFAN,Youth,Male Youth,No disability,Gar2SSOQI15,24/06/2024 08:09,24/06/2024 08:03,gmm50,24/06/2024 08:39,N/A
f8a942ec-1c97-412d-beb5-fe4d730a3b1a,Married,Bauchi,Household_head,,Non-IDP,WOFAN,Youth,Male Youth,No disability,WarGUKTM824,24/06/2024 08:00,24/06/2024 07:51,war05,24/06/2024 08:40,N/A
21228e67-9e8e-4742-adb1-e17ca8e40289,Married,Bauchi,Household_head,,Non-IDP,WOFAN,Youth,Male Youth,No disability,WarN785L718,24/06/2024 08:07,24/06/2024 08:00,war05,24/06/2024 08:40,N/A
2b180547-5918-4d6d-b67b-6dbb31f19b4e,Married,Bauchi,Household_head,,Non-IDP,WOFAN,Youth,Male Youth,No disability,WarDOJD1836,24/06/2024 08:18,24/06/2024 08:14,war05,24/06/2024 08:40,N/A
53a38c9a-4737-4a02-a479-51c9190f2af7,Married,Bauchi,Household_head,,Non-IDP,WOFAN,Youth,Male Youth,No disability,WarT8FIFK39,24/06/2024 08:23,24/06/2024 08:19,war05,24/06/2024 08:40,N/A
ded70662-b681-45ee-aec9-fca1a059bf8d,Married,Bauchi,Household_head,,Non-IDP,WOFAN,Youth,Male Youth,No disability,WarOFAVIZ06,24/06/2024 08:29,24/06/2024 08:24,war05,24/06/2024 08:40,N/A
8f75c44d-9aef-4554-b60b-5fbf49bf4f17,Married,Bauchi,Household_head,,Non-IDP,WOFAN,Youth,Male Youth,No disability,WarCS4LED13,24/06/2024 08:34,24/06/2024 08:30,war05,24/06/2024 08:40,N/A
5091ba4b-b5a6-4855-bc2b-ebf97b8c7b5f,Married,Bauchi,Household_head,,Non-IDP,WOFAN,Youth,Male Youth,No disability,WarKNT0U911,24/06/2024 08:39,24/06/2024 08:36,war05,24/06/2024 08:40,N/A
8018d5c8-b83e-4a68-8f42-06d327eaafef,Divorced,Bauchi,Household_head,,Non-IDP,WOFAN,Youth,Male Youth,No disability,WarBLF0SQ08,24/06/2024 08:24,24/06/2024 08:18,war04,24/06/2024 08:40,N/A
b247694b-13af-4c64-beb6-c4cf70ab52a1,Married,Bauchi,Household_head,,Non-IDP,WOFAN,Youth,Male Youth,No disability,WarHVLXJ318,24/06/2024 08:29,24/06/2024 08:24,war04,24/06/2024 08:40,N/A
e58472bc-3d6e-4ea2-a00b-80e8b56d914a,Married,Bauchi,Household_head,,Non-IDP,WOFAN,Youth,Male Youth,No disability,War0SO70J03,24/06/2024 08:33,24/06/2024 08:30,war04,24/06/2024 08:40,N/A
8bff5f4a-d300-4df1-8fa9-2c8dcd9e941d,Married,Bauchi,Household_head,,Non-IDP,WOFAN,Youth,Male Youth,Persons with disability,WarJJC2SC41,24/06/2024 08:37,24/06/2024 08:33,war04,24/06/2024 08:40,N/A
633f6fa6-5a65-41f5-b5f0-d60e3f61eb36,Married,Bauchi,Household_head,,Non-IDP,WOFAN,Youth,Male Youth,Persons with disability,WarXSS1O941,24/06/2024 08:40,24/06/2024 08:37,war04,24/06/2024 08:40,N/A
865f3644-ae09-4d1c-9a1b-6433617ed5f1,Married,Gombe,Household_head,,Non-IDP,WOFAN,Youth,Male Youth,No disability,KwaH4TDAC43,24/06/2024 08:44,24/06/2024 07:35,kwa29,24/06/2024 08:44,N/A
b743b9de-dd3a-43f5-97fd-5ae8937679f7,Married,Bauchi,Household_head,,Non-IDP,WOFAN,Youth,Male Youth,No disability,WarNP81KA28,24/06/2024 08:44,24/06/2024 08:40,war05,24/06/2024 08:48,N/A
1eb5fee8-ff07-47b4-a664-cc3269018b88,Married,Bauchi,Household_head,,Non-IDP,WOFAN,Youth,Male Youth,No disability,WarTVY4O103,24/06/2024 08:48,24/06/2024 08:44,war05,24/06/2024 08:48,N/A
638e12bd-b33e-4c1f-9167-9101f971b3c5,Married,Bauchi,Household_head,,Non-IDP,WOFAN,Youth,Male Youth,No disability,AlkENNXWG19,24/06/2024 08:49,24/06/2024 08:41,alk01,24/06/2024 08:51,N/A
21a338ca-7d91-4461-9feb-09d3227329f8,Married,Gombe,Household_head,,Non-IDP,WOFAN,Youth,Male Youth,No disability,KwaZK750P07,24/06/2024 08:52,24/06/2024 08:08,kwa29,24/06/2024 08:52,N/A
7c67d9a5-ff75-402d-96d1-7a2b93e4d655,Married,Bauchi,Household_head,,Non-IDP,WOFAN,Youth,Male Youth,No disability,War2BCO9A21,24/06/2024 08:52,24/06/2024 08:48,war05,24/06/2024 08:52,N/A
b925a20d-67c4-4afd-8e6e-5be00735eb6a,Married,Bauchi,Household_head,,Non-IDP,WOFAN,Youth,Male Youth,No disability,AlkF62XMN30,24/06/2024 08:34,24/06/2024 08:18,alk02,24/06/2024 08:53,N/A
0c7fe103-7119-420c-8692-174938dd6036,Married,Bauchi,Household_head,,Non-IDP,WOFAN,Youth,Male Youth,No disability,AlkE7BSCI11,24/06/2024 08:38,24/06/2024 08:34,alk02,24/06/2024 08:53,N/A
83291167-2960-4704-9d01-605b0f5a2fd1,Married,Bauchi,Household_head,,Non-IDP,WOFAN,Youth,Male Youth,No disability,AlkW48Y7S22,24/06/2024 08:41,24/06/2024 08:38,alk02,24/06/2024 08:53,N/A
188bb1fb-7de4-4951-8dc3-2c8a8444dca5,Married,Bauchi,Household_head,,Non-IDP,WOFAN,Youth,Male Youth,No disability,AlkNLSJCR16,24/06/2024 08:44,24/06/2024 08:41,alk02,24/06/2024 08:53,N/A
6a5dd17b-04a0-4b49-839b-c72fd1b855ec,Married,Bauchi,Household_head,,Non-IDP,WOFAN,Youth,Male Youth,No disability,AlkER5IVM39,24/06/2024 08:49,24/06/2024 08:44,alk02,24/06/2024 08:53,N/A
283ef302-cb02-48df-8a02-327ac6168cea,Married,Bauchi,Household_head,,Non-IDP,WOFAN,Youth,Male Youth,No disability,WarSRBI8100,24/06/2024 08:44,24/06/2024 08:41,war04,24/06/2024 08:59,N/A
f99a9fe7-37a6-4c6d-84a7-94a6d900e228,Married,Bauchi,Household_head,,Non-IDP,WOFAN,Youth,Male Youth,Persons with disability,WarM3GJ4524,24/06/2024 08:47,24/06/2024 08:44,war04,24/06/2024 08:59,N/A
e757eef8-9fe8-4f26-80b7-bc7ef55e3639,Married,Bauchi,Household_head,,Non-IDP,WOFAN,Youth,Male Youth,No disability,WarMNTZQ013,24/06/2024 08:51,24/06/2024 08:48,war04,24/06/2024 08:59,N/A
d6002fbf-2c36-4a4e-9386-071b151c8490,Married,Bauchi,Household_head,,Non-IDP,WOFAN,Youth,Male Youth,No disability,War3IWYAH23,24/06/2024 08:54,24/06/2024 08:51,war04,24/06/2024 08:59,N/A
1393940a-71d3-4053-84fb-06f065975378,Married,Bauchi,Household_head,,Non-IDP,WOFAN,Youth,Male Youth,No disability,War2QLU6Y32,24/06/2024 08:59,24/06/2024 08:55,war04,24/06/2024 08:59,N/A
b36b9866-04ae-46ea-b477-596d5622a91f,Married,Bauchi,Household_head,,Non-IDP,WOFAN,Youth,Male Youth,No disability,GanXWO88X21,24/06/2024 08:59,24/06/2024 08:51,gan08,24/06/2024 08:59,N/A
0b663227-484b-49f7-aaa0-53d2f8810f64,Married,Bauchi,Household_head,,Non-IDP,WOFAN,Youth,Male Youth,No disability,War9SNIDN52,24/06/2024 08:56,24/06/2024 08:53,war05,24/06/2024 08:59,N/A
d420ca55-a71a-4e55-896c-04d90171c54b,Married,Kano,Household_head,,Non-IDP,WOFAN,Youth,Male Youth,No disability,Tud0PATPR40,24/06/2024 04:48,24/06/2024 04:34,tun17,24/06/2024 09:02,N/A
ad7370f5-f7bc-485e-809b-c695126bb1d3,Single,Kano,Child_to_head_of_household,,Non-IDP,WOFAN,Youth,Male Youth,No disability,TudC7EYSD45,24/06/2024 04:55,24/06/2024 04:51,tun17,24/06/2024 09:02,N/A
ea233df3-f012-4784-a9f1-a531e4e82fd3,Married,Kano,Household_head,,Non-IDP,WOFAN,Youth,Male Youth,No disability,TudPBLW5W04,24/06/2024 04:59,24/06/2024 04:55,tun17,24/06/2024 09:02,N/A
3dbeb503-d650-46d1-ac24-33012fa473ba,Married,Kano,Household_head,,Non-IDP,WOFAN,Youth,Male Youth,No disability,TudRC1HQH49,24/06/2024 05:03,24/06/2024 05:00,tun17,24/06/2024 09:02,N/A
8aabc03f-6b6e-4cdb-8cc0-a4b7524af095,Married,Kano,Household_head,,Non-IDP,WOFAN,Youth,Male Youth,No disability,TudMRES4647,24/06/2024 05:06,24/06/2024 05:04,tun17,24/06/2024 09:02,N/A
247af521-7295-4acd-babc-93befd2623be,Single,Kano,Household_head,,Non-IDP,WOFAN,Youth,Male Youth,No disability,TudLODFPW16,24/06/2024 05:09,24/06/2024 05:06,tun17,24/06/2024 09:02,N/A
f12dbb1b-cb4c-4e9f-baa5-3d36f060d9cd,Single,Kano,Child_to_head_of_household,,Non-IDP,WOFAN,Youth,Male Youth,No disability,TudFCV5U437,24/06/2024 06:46,24/06/2024 06:34,tun17,24/06/2024 09:02,N/A
281a7d4a-3e82-4695-94a6-46e3de16c333,Single,Kano,Child_to_head_of_household,,Non-IDP,WOFAN,Youth,Male Youth,No disability,TudDCK17V17,24/06/2024 06:49,24/06/2024 06:46,tun17,24/06/2024 09:02,N/A
84bb5775-430c-4487-ab0a-710604babdc7,Married,Kano,Household_head,,Non-IDP,WOFAN,Youth,Male Youth,No disability,TudZAO6SR48,24/06/2024 06:53,24/06/2024 06:50,tun17,24/06/2024 09:02,N/A
1a7695e1-b79d-47f6-a157-c33ea9b7f485,Divorced,Kano,Household_head,,Non-IDP,WOFAN,Youth,Male Youth,No disability,TudTKYJX228,24/06/2024 06:56,24/06/2024 06:53,tun17,24/06/2024 09:02,N/A
58c378c9-448c-4515-a3d7-ab022cbc6d32,Married,Kano,Household_head,,Non-IDP,WOFAN,Youth,Male Youth,No disability,Tud70GPNZ06,24/06/2024 06:59,24/06/2024 06:56,tun17,24/06/2024 09:02,N/A
3237eb72-80c2-4354-a83f-6e19efe3a723,Divorced,Kano,Household_head,,Non-IDP,WOFAN,Youth,Male Youth,No disability,TudH2U2U222,24/06/2024 07:02,24/06/2024 06:59,tun17,24/06/2024 09:02,N/A
428f42ce-fde1-44da-ab7f-a3875b06425f,Single,Kano,Child_to_head_of_household,,Non-IDP,WOFAN,Youth,Male Youth,No disability,TudAD00UC06,24/06/2024 07:05,24/06/2024 07:02,tun17,24/06/2024 09:02,N/A
890dd55b-daba-411a-8c7a-a63929fcf6ea,Single,Kano,Child_to_head_of_household,,Non-IDP,WOFAN,Youth,Male Youth,No disability,TudE99RPD50,24/06/2024 07:09,24/06/2024 07:05,tun17,24/06/2024 09:02,N/A
cd3095dd-0450-4db9-8af0-23e2344e6912,Married,Kano,Household_head,,Non-IDP,WOFAN,Youth,Male Youth,No disability,Tud54SEY651,24/06/2024 07:13,24/06/2024 07:09,tun17,24/06/2024 09:02,N/A
0c49b6d8-645c-419b-a46f-8fca14c5cfd0,Married,Kano,Household_head,,Non-IDP,WOFAN,Youth,Male Youth,No disability,TudO81GP608,24/06/2024 07:16,24/06/2024 07:13,tun17,24/06/2024 09:02,N/A
caf6a708-29d1-4471-ba10-755af8f94db3,Single,Kano,Child_to_head_of_household,,Non-IDP,WOFAN,Youth,Male Youth,No disability,TudCDORVR42,24/06/2024 07:45,24/06/2024 07:39,tun17,24/06/2024 09:02,N/A
