formid,CoopAgeGroup,Natureofyourcooperativesmembersenterprises,State,LocationType,JointVenture,MajorBusinessArea,HaveElectedExco,Ownanactivebankaccount,Implementing_partner,State-IP,GenCooperativeUniqueID,CoopGender,Registration_Date,completed_time,started_time,username,received_on
202c0924-e0d4-4d17-a072-3a94c57124c5,Youth,Marketers,Adamawa,Rural,Yes,Agro-Input_Dealer,Yes,Yes,Farm Innovation,Adamawa-Farm Innovation,GirMK8554,Female,2024-01-28,28/01/2024 10:04,28/01/2024 09:10,dem01,28/01/2024 10:04
41bb21f5-62de-479c-b40f-ea363ff61ca8,Youth,Marketers,Adamawa,Peri_urban,Yes,Agro-Input_Dealer,Yes,Yes,Farm Innovation,Adamawa-Farm Innovation,GanMLRS37,Female,2024-01-28,28/01/2024 10:02,28/01/2024 09:10,dem01,28/01/2024 10:10
697694be-60fd-4f86-8535-0afb77ecbf4d,Youth,Agro_Artisans,Adamawa,Peri_urban,Yes,Agro-Input_Dealer,Yes,Yes,Farm Innovation,Adamawa-Farm Innovation,GanXI7D55,Female,2024-01-28,28/01/2024 10:04,28/01/2024 09:08,dem01,28/01/2024 10:34
7301278b-95ab-4296-b38e-ed48df775141,Youth,Marketers,Adamawa,Rural,Yes,Agro-Input_Dealer,Yes,Yes,Farm Innovation,Adamawa-Farm Innovation,GuyLNUW35,Female,2024-01-29,29/01/2024 10:23,29/01/2024 10:06,dem01,29/01/2024 19:03
9833cf19-3c2e-46bb-830a-db236e1ec8e6,Youth,Marketers,Adamawa,Rural,Yes,Agro-Input_Dealer,Yes,Yes,Farm Innovation,Adamawa-Farm Innovation,Gom0OA518,Female,2024-01-29,29/01/2024 19:03,29/01/2024 18:29,dem01,29/01/2024 19:03
ad389578-780f-4d73-9612-c56c357d64d7,Youth,Producers,Adamawa,Rural,Yes,Mechanization_service_provider,Yes,Yes,Farm Innovation,Adamawa-Farm Innovation,GomCNER17,Female,2024-01-31,31/01/2024 13:04,31/01/2024 12:52,dem01,31/01/2024 14:15
50117b34-3de3-421d-b2de-1a7812c96ee5,Youth,Producers,Kano,Rural,Yes,Production,Yes,No,WOFAN,Kano-WOFAN,BunN2Z450,Male,2024-02-08,08/02/2024 10:23,08/02/2024 10:17,kir02,08/02/2024 10:23
e8b2b2e2-44ea-4418-b4b1-0dc0538735e1,Youth,Marketers,Bauchi,Rural,Yes,Mechanization_service_provider,Yes,No,WOFAN,Bauchi-WOFAN,GanU8YN36,Female,2024-02-10,10/02/2024 11:16,10/02/2024 11:07,gan11,10/02/2024 11:23
6334c003-76f3-4459-9fc9-a79e0e3c1f70,Youth,Producers/Processors,Kano,Rural,No,---,No,Yes,WOFAN,Kano-WOFAN,TofQ02E24,Male,2024-02-10,10/02/2024 13:21,10/02/2024 13:09,tof71,10/02/2024 14:49
2271d391-7b55-4710-aa1a-f2e6606fd83d,Youth,Producers,Bauchi,Rural,No,---,Yes,Yes,WOFAN,Bauchi-WOFAN,WarNR7W41,Male,2024-02-10,10/02/2024 12:07,10/02/2024 11:33,war03,11/02/2024 04:04
5237e696-81dd-4b74-85bc-b38b494fae12,Youth,Agro_Artisans,Bauchi,Rural,No,---,Yes,No,WOFAN,Bauchi-WOFAN,War7HTF35,Male,2024-02-10,10/02/2024 18:27,10/02/2024 17:53,war03,11/02/2024 04:04
ae95c985-259a-451f-bc9c-6f2be768de95,Youth,Marketers,Bauchi,Rural,No,---,Yes,No,WOFAN,Bauchi-WOFAN,WarN5H704,Male,2024-02-10,10/02/2024 19:58,10/02/2024 19:33,war03,11/02/2024 04:05
25438a61-53f2-45f9-af34-c6846d74db3b,Youth,Marketers,Jigawa,Rural,Yes,Agro-Trader,Yes,Yes,WOFAN,Jigawa-WOFAN,Jah8IMH17,Female,2024-02-10,10/02/2024 15:31,10/02/2024 15:05,jah65,11/02/2024 06:34
f106f40a-c43e-43eb-bc69-5593cbb81375,Youth,Processors,Jigawa,Rural,No,---,No,No,WOFAN,Jigawa-WOFAN,JahHGBV58,Female,2024-02-11,11/02/2024 08:22,11/02/2024 08:19,jah71,11/02/2024 08:23
528dc7d8-2756-4faf-a17f-ed27ed19090a,Youth,ProducerProcessor,Bauchi,Urban,Yes,Production,Yes,No,WOFAN,Bauchi-WOFAN,NinMT4P39,Male,2024-02-11,11/02/2024 10:48,11/02/2024 10:32,nin16,11/02/2024 10:50
7e637590-f2ea-43f9-9a23-ba6306c66240,Youth,ProducerProcessor,Kano,Rural,Yes,Production,Yes,Yes,WOFAN,Kano-WOFAN,GarBRYB15,Male,2024-02-11,11/02/2024 10:51,11/02/2024 10:31,bun14,11/02/2024 10:51
96d4acc7-520c-4cb7-b59e-574b773e3aa2,Youth,Producer,Kano,Rural,Yes,Production,No,Yes,WOFAN,Kano-WOFAN,BicKQ5X43,Male,2024-02-11,11/02/2024 10:51,11/02/2024 10:48,kir02,11/02/2024 10:51
c739b70f-2132-49b2-953d-7078d6890cb0,Youth,Processor,Kano,Rural,Yes,Production,Yes,No,WOFAN,Kano-WOFAN,BebYEFB55,Female,2024-02-11,11/02/2024 11:10,11/02/2024 11:03,tun29,11/02/2024 11:11
2759f411-0b29-4f66-8c8f-4df84f8301b4,Youth,ProducerProcessor,Bauchi,Urban,No,---,Yes,No,WOFAN,Bauchi-WOFAN,BauOQ8X52,Female,2024-02-11,11/02/2024 11:12,11/02/2024 10:52,bau13,11/02/2024 11:12
402155c8-e20c-4205-91ec-b032eecfdfc7,Youth,Producer,Jigawa,Peri_urban,Yes,Production,Yes,Yes,WOFAN,Jigawa-WOFAN,JahE2RB22,Female,2024-02-11,11/02/2024 11:18,11/02/2024 11:02,jah56,11/02/2024 11:18
f4072c0a-c9f7-472a-9d87-129376c50ae5,Youth,Producer,Jigawa,Rural,Yes,Production,Yes,Yes,WOFAN,Jigawa-WOFAN,Jah3T7D53,Female,2024-02-11,11/02/2024 11:26,11/02/2024 11:11,jah69,11/02/2024 11:26
c8eaec2a-b51a-4b8b-8f2d-7aec6af1ce0f,Youth,Producer,Jigawa,Rural,No,---,No,No,WOFAN,Jigawa-WOFAN,JahSBXU47,Female,2024-02-11,11/02/2024 11:28,11/02/2024 11:12,jah84,11/02/2024 11:28
2e1f8b06-79a6-4b53-8d08-7550a8edd34f,Youth,ProducerProcessor,Bauchi,Urban,No,---,Yes,No,WOFAN,Bauchi-WOFAN,Bau1CH744,Male,2024-02-11,11/02/2024 11:28,11/02/2024 11:12,bau13,11/02/2024 11:29
32676cec-e056-448e-b834-673c764267b5,Youth,Producer,Kano,Rural,No,---,Yes,Yes,WOFAN,Kano-WOFAN,GarF4SS22,Female,2024-02-11,11/02/2024 11:05,11/02/2024 10:10,bun17,11/02/2024 11:39
f564c1ec-6f05-4fd6-8e83-5276b899cb8b,Youth,ProducerProcessor,Jigawa,Rural,Yes,Agro-Input_Dealer,Yes,No,WOFAN,Jigawa-WOFAN,Jah9DAY47,Female,2024-02-11,11/02/2024 11:19,11/02/2024 11:14,jah40,11/02/2024 11:39
2cbb0592-2977-4f5f-86f9-f07d3bb92cdc,Youth,Marketer,Gombe,Urban,No,---,Yes,Yes,WOFAN,Gombe-WOFAN,GomKTSZ52,Male,2024-02-11,11/02/2024 12:04,11/02/2024 11:46,gom28,11/02/2024 12:04
903c778a-1125-4931-bc78-859ff4b66a95,Youth,Processor,Kano,Rural,Yes,Production,Yes,Yes,WOFAN,Kano-WOFAN,GarWGVT37,Male,2024-02-11,11/02/2024 12:32,11/02/2024 12:20,bun14,11/02/2024 12:33
ee809b4e-08e9-4bff-872f-3d8258d42a1f,Youth,Marketer,Kano,Rural,Yes,Agro-Input_Dealer,Yes,No,WOFAN,Kano-WOFAN,GarGO1Z39,Female,2024-02-11,11/02/2024 12:37,11/02/2024 11:50,bun12,11/02/2024 12:38
f844176c-77dc-43c3-8833-c6f89deeabee,Youth,Processor,Kano,Rural,Yes,Agro-Input_Dealer,Yes,Yes,WOFAN,Kano-WOFAN,GarYD8056,Female,2024-02-11,11/02/2024 12:47,11/02/2024 12:30,bun02,11/02/2024 12:47
ea5b60d8-1d69-47ee-bf6a-b598cfc50fea,Youth,Marketer,Gombe,Rural,No,---,Yes,Yes,WOFAN,Gombe-WOFAN,BilVTJW15,Female,2024-02-11,11/02/2024 13:00,11/02/2024 12:19,bill09,11/02/2024 13:03
51035980-c142-4aa0-b489-ac0b07d07005,Youth,Producer,Jigawa,Rural,Yes,Production,Yes,Yes,WOFAN,Jigawa-WOFAN,JahRMMI42,Female,2024-02-11,11/02/2024 13:04,11/02/2024 12:28,jah63,11/02/2024 13:04
97094153-7536-451f-91e3-b87dbe0d8378,Youth,Processors,Jigawa,Rural,No,---,No,No,WOFAN,Jigawa-WOFAN,JahH23T36,Female,2024-02-11,11/02/2024 13:18,11/02/2024 13:15,jah68,11/02/2024 13:18
84bc20ec-e9ff-4025-aaf7-6a3aed72187b,Youth,Processors,Jigawa,Rural,No,---,No,No,WOFAN,Jigawa-WOFAN,JahBH5R35,Female,2024-02-11,11/02/2024 13:21,11/02/2024 13:19,jah68,11/02/2024 13:22
7a6c5200-0a30-43b0-b49f-755538762b81,Youth,Producer,Gombe,Urban,No,---,No,No,WOFAN,Gombe-WOFAN,Gom3KST46,Male,2024-02-11,11/02/2024 13:23,11/02/2024 12:18,gom25,11/02/2024 13:23
240c4527-c4e2-433e-ad56-d2142639f57e,Youth,Processors,Jigawa,Rural,No,---,No,No,WOFAN,Jigawa-WOFAN,JahQTGV11,Female,2024-02-11,11/02/2024 13:24,11/02/2024 13:22,jah68,11/02/2024 13:24
ca8daa5f-d4e4-46c6-b8c2-9ff68d6abbba,Youth,Marketers,Jigawa,Rural,No,---,Yes,Yes,WOFAN,Jigawa-WOFAN,JahVTAE37,Female,2024-02-11,11/02/2024 13:41,11/02/2024 13:33,jah59,11/02/2024 13:41
8bb8273d-1500-4e3b-8412-188809ca103a,Youth,Processor,Jigawa,Rural,No,---,No,No,WOFAN,Jigawa-WOFAN,JahSHXQ03,Female,2024-02-11,11/02/2024 13:44,11/02/2024 13:41,jah71,11/02/2024 13:46
97e95aef-2c7b-4fad-8145-8092e27dd9b6,Youth,Producer,Kano,Rural,No,---,Yes,No,WOFAN,Kano-WOFAN,GarMBQ143,Male,2024-02-11,11/02/2024 10:39,11/02/2024 10:30,gmm51,11/02/2024 13:55
bcb39c83-3a6c-4f11-8456-eab11666c034,Youth,Processors,Jigawa,Rural,No,---,No,No,WOFAN,Jigawa-WOFAN,JahSBY720,Female,2024-02-11,11/02/2024 13:58,11/02/2024 13:56,jah71,11/02/2024 13:58
0b806263-1630-48a3-ad52-8c1d5e1e918f,Youth,Producers,Kano,Rural,No,---,Yes,Yes,WOFAN,Kano-WOFAN,GarEGVH42,Male,2024-02-11,11/02/2024 14:07,11/02/2024 13:50,bun03,11/02/2024 14:07
58595871-91d7-4fad-b8fd-a64ac8455c6e,Youth,Processor,Jigawa,Rural,Yes,Processing,Yes,No,WOFAN,Jigawa-WOFAN,JahO8WW19,Female,2024-02-11,11/02/2024 11:12,11/02/2024 10:27,jah47,11/02/2024 14:08
9ab982ab-659e-432f-8a81-0b37459f50c3,Youth,Producers/Processors,Jigawa,Rural,Yes,Production,Yes,No,WOFAN,Jigawa-WOFAN,JahS1EI09,Female,2024-02-11,11/02/2024 14:08,11/02/2024 13:50,jah60,11/02/2024 14:08
d9f5b732-a698-4ccb-8c1d-e302305b93eb,Youth,Marketers,Gombe,Rural,No,---,Yes,Yes,WOFAN,Gombe-WOFAN,BilP9Z442,Female,2024-02-11,11/02/2024 14:28,11/02/2024 14:10,bill09,11/02/2024 14:31
3ea54c35-b391-40af-b63e-f886729bdc15,Youth,Processor,Kano,Rural,Yes,Processing,Yes,No,WOFAN,Kano-WOFAN,BebG65W20,Female,2024-02-11,11/02/2024 12:17,11/02/2024 12:08,tun13,11/02/2024 14:36
2c14f07f-f019-47ec-bc00-0a667269daf5,Youth,Processor,Kano,Rural,No,---,Yes,No,WOFAN,Kano-WOFAN,Gar5WV144,Female,2024-02-11,11/02/2024 12:51,11/02/2024 12:44,bun11,11/02/2024 14:43
c69c713d-a958-4ada-aa8c-fca8ffe810de,Youth,Marketer,Kano,Rural,No,---,Yes,No,WOFAN,Kano-WOFAN,GarBXYH12,Female,2024-02-11,11/02/2024 13:05,11/02/2024 12:57,bun11,11/02/2024 14:43
eeb02f90-8067-4e0b-83ec-6bfb86170235,Youth,Producers,Jigawa,Rural,Yes,Production,Yes,No,WOFAN,Jigawa-WOFAN,JahV4UM06,Female,2024-02-11,11/02/2024 14:44,11/02/2024 14:36,jah45,11/02/2024 14:45
167826ed-6913-4860-b872-702cc159fe14,Youth,Marketer,Gombe,Rural,No,---,No,No,WOFAN,Gombe-WOFAN,Bil3W6J50,Male,2024-02-11,11/02/2024 14:58,11/02/2024 12:22,gom23,11/02/2024 14:58
d28ca571-bb22-46cd-9a4f-af27f560c83a,Youth,ProducerProcessor,Kano,Rural,Yes,Agro-Input_Dealer,No,Yes,WOFAN,Kano-WOFAN,Beb4KIH03,Female,2024-02-11,11/02/2024 14:46,11/02/2024 14:36,tun17,11/02/2024 15:01
aa0a07f8-c743-443d-8b50-a5ca5069524f,Youth,ProducerProcessor,Bauchi,Urban,Yes,Production,Yes,No,WOFAN,Bauchi-WOFAN,Nin8BPP20,Male,2024-02-11,11/02/2024 10:39,11/02/2024 10:30,nin17,11/02/2024 15:10
e4c37c56-158e-40c8-8658-d8bfa8cf62cc,Youth,Producer,Kano,Rural,No,---,Yes,No,WOFAN,Kano-WOFAN,Gar5MYW14,Female,2024-02-11,11/02/2024 12:10,11/02/2024 11:45,bun21,11/02/2024 15:20
a6944dfd-26a2-42ab-831e-51402b4a1f9f,Youth,Producer,Kano,Rural,No,---,Yes,Yes,WOFAN,Kano-WOFAN,GarV3SV16,Female,2024-02-11,11/02/2024 11:50,11/02/2024 11:41,bun17,11/02/2024 15:25
46d0d468-be97-4ca7-a5df-f501f41e9e00,Youth,Producer,Kano,Rural,Yes,Production,Yes,Yes,WOFAN,Kano-WOFAN,GarNZ1K58,Female,2024-02-11,11/02/2024 12:32,11/02/2024 12:07,bun05,11/02/2024 15:27
c6555b10-0295-4314-843d-9fc3de326bf4,Youth,Producer,Kano,Rural,Yes,Production,Yes,Yes,WOFAN,Kano-WOFAN,GarM0EK24,Female,2024-02-11,11/02/2024 12:45,11/02/2024 12:34,bun05,11/02/2024 15:27
e04af892-1a04-467f-8124-5c6d5ea17e22,Youth,Producer,Kano,Rural,Yes,Production,Yes,Yes,WOFAN,Kano-WOFAN,GarKSTS09,Female,2024-02-11,11/02/2024 12:54,11/02/2024 12:46,bun05,11/02/2024 15:27
3940f2c2-139a-4d41-b8e2-e1d913c2fe57,Youth,Processor,Kano,Rural,Yes,Production,Yes,Yes,WOFAN,Kano-WOFAN,Gar3HBK49,Female,2024-02-11,11/02/2024 13:08,11/02/2024 12:55,bun05,11/02/2024 15:27
a85fe1b6-7c9a-4dbd-b50a-c6c7e5b68596,Youth,Producer,Kano,Rural,Yes,Production,Yes,Yes,WOFAN,Kano-WOFAN,Gar7FW534,Male,2024-02-11,11/02/2024 13:47,11/02/2024 13:08,bun05,11/02/2024 15:27
149b69be-aac5-4686-be37-70de9ae0fc43,Youth,ProducerProcessor,Bauchi,Rural,Yes,Agro-Exporter,Yes,Yes,WOFAN,Bauchi-WOFAN,TafPS9P09,Male,2024-02-11,11/02/2024 11:00,11/02/2024 10:47,taf03,11/02/2024 15:33
5be47bf9-69b2-4571-b17a-312743edf362,Youth,Producers,Jigawa,Rural,Yes,Production,Yes,Yes,WOFAN,Jigawa-WOFAN,JahBUAH42,Female,2024-02-11,11/02/2024 15:40,11/02/2024 15:20,jah83,11/02/2024 15:40
5616f528-a458-46fc-9385-8c41d626c794,Youth,Processors,Jigawa,Rural,No,---,No,No,WOFAN,Jigawa-WOFAN,JahN3CK05,Female,2024-02-11,11/02/2024 15:19,11/02/2024 15:16,jah71,11/02/2024 15:42
b2f109ca-9b30-4734-a24b-be0c2668ee0f,Youth,Producers,Jigawa,Rural,Yes,Agro-Input_Dealer,No,Yes,WOFAN,Jigawa-WOFAN,JahE4GR35,Female,2024-02-11,11/02/2024 16:04,11/02/2024 15:57,jah41,11/02/2024 16:04
910971fa-5c3a-4156-bbb5-ddbf333aff05,Youth,Producer,Bauchi,Rural,Yes,Processing,Yes,No,WOFAN,Bauchi-WOFAN,NinH6BP33,Male,2024-02-11,11/02/2024 10:46,11/02/2024 10:29,nin14,11/02/2024 16:05
360db8c3-feaa-42eb-8e70-88913d7d6116,Youth,Producers/Processors,Bauchi,Urban,Yes,Production,Yes,Yes,WOFAN,Bauchi-WOFAN,BauEPC827,Male,2024-02-11,11/02/2024 16:05,11/02/2024 15:56,bau11,11/02/2024 16:14
dd56774b-4e47-45ab-a0bf-e2a03f30148c,Youth,Producers/Processors,Bauchi,Urban,Yes,Agro-Input_Dealer,Yes,No,WOFAN,Bauchi-WOFAN,NinM29D35,Male,2024-02-11,11/02/2024 16:15,11/02/2024 16:05,nin16,11/02/2024 16:15
3d930090-c5e3-4851-b739-053c9164597e,Youth,Producers,Jigawa,Rural,Yes,Production,Yes,Yes,WOFAN,Jigawa-WOFAN,JahYBAZ52,Female,2024-02-11,11/02/2024 14:42,11/02/2024 14:37,jah46,11/02/2024 16:16
1b919c76-6e15-44b2-b78c-83f25a420b59,Youth,Producers/Processors,Bauchi,Urban,Yes,Production,Yes,No,WOFAN,Bauchi-WOFAN,NinG36931,Male,2024-02-11,11/02/2024 16:22,11/02/2024 16:09,nin17,11/02/2024 16:22
0b8b22a1-a8cc-4cca-8cb1-951aed748759,Youth,Producers/Processors,Gombe,Rural,No,---,Yes,No,WOFAN,Gombe-WOFAN,Bil86W708,Female,2024-02-11,11/02/2024 16:27,11/02/2024 15:54,bill09,11/02/2024 16:29
13d8b66d-5736-4d18-8a2e-1c6f52e0d23c,Youth,Producer,Jigawa,Peri_urban,Yes,Production,Yes,Yes,WOFAN,Jigawa-WOFAN,JahADTM17,Female,2024-02-11,11/02/2024 13:23,11/02/2024 12:46,jah56,11/02/2024 16:41
1f35f505-7a88-4919-aec8-1566ba12ebe0,Youth,Processors,Jigawa,Rural,No,---,No,No,WOFAN,Jigawa-WOFAN,JahGHIC24,Female,2024-02-11,11/02/2024 16:46,11/02/2024 16:36,jah51,11/02/2024 16:47
e777cad7-bd37-4ceb-8b98-d1ccb200b2a4,Youth,Producers/Processors,Bauchi,Urban,Yes,Production,Yes,No,WOFAN,Bauchi-WOFAN,NinPOAO36,Male,2024-02-11,11/02/2024 16:21,11/02/2024 16:02,nin15,11/02/2024 17:04
724c2cb4-4e1b-460e-94ec-faff1efcd450,Youth,Producers,Bauchi,Rural,Yes,Production,Yes,No,WOFAN,Bauchi-WOFAN,Nin31YP21,Male,2024-02-11,11/02/2024 16:46,11/02/2024 16:06,nin14,11/02/2024 17:13
e33a4eaa-1ace-4012-a405-616b98867bfc,Youth,Producer,Jigawa,Rural,No,---,No,No,WOFAN,Jigawa-WOFAN,JahQ7A833,Male,2024-02-11,11/02/2024 17:15,11/02/2024 17:12,jah73,11/02/2024 17:15
571b5052-4397-4857-8a80-820dce61bcbf,Youth,Producer,Kano,Rural,Yes,Agro-Input_Dealer,Yes,No,WOFAN,Kano-WOFAN,GarX52037,Female,2024-02-11,11/02/2024 15:59,11/02/2024 15:27,bun12,11/02/2024 17:25
c4add1dd-920d-406e-b67d-8fa9b630f9c7,Youth,Marketers,Gombe,Peri_urban,No,---,Yes,No,WOFAN,Gombe-WOFAN,AkkBPFU05,Female,2024-02-11,11/02/2024 17:26,11/02/2024 16:39,akk05,11/02/2024 17:27
93b6cfe7-d8c8-4513-9881-2a364c3298a4,Youth,Processors,Kano,Rural,No,---,Yes,No,WOFAN,Kano-WOFAN,GarYFAO40,Female,2024-02-11,11/02/2024 15:26,11/02/2024 15:18,bun11,11/02/2024 17:38
814b6842-f940-4663-86f5-513b64d2551d,Youth,ProducerProcessor,Jigawa,Rural,Yes,Production,Yes,Yes,WOFAN,Jigawa-WOFAN,Jah762O15,Female,2024-02-11,11/02/2024 10:50,11/02/2024 10:43,jah48,11/02/2024 18:38
9b4a429e-9c48-4bf5-a97e-01277ce066d7,Youth,Processors,Jigawa,Rural,No,---,No,No,WOFAN,Jigawa-WOFAN,JahMM7940,Female,2024-02-11,11/02/2024 17:33,11/02/2024 17:09,jah71,11/02/2024 18:44
ef4e2140-8752-42c5-8533-5d00e063fd67,Youth,Producer,Kano,Rural,Yes,Production,Yes,No,WOFAN,Kano-WOFAN,BebRR5C30,Female,2024-02-11,11/02/2024 12:46,11/02/2024 12:39,tun13,11/02/2024 18:47
d14cdec2-8b87-4f11-866d-ec923f41a5e3,Youth,Processors,Kano,Rural,No,---,No,No,WOFAN,Kano-WOFAN,GarZIDG51,Female,2024-02-11,11/02/2024 18:55,11/02/2024 18:43,bun20,11/02/2024 19:46
da2a4669-c93b-40d0-a974-2b22fdf9654f,Youth,Processor,Kano,Rural,Yes,Agro-Input_Dealer,Yes,Yes,WOFAN,Kano-WOFAN,GarSSTB48,Female,2024-02-11,11/02/2024 13:11,11/02/2024 13:01,bun04,11/02/2024 19:50
2471df96-a7ec-4f30-b2f9-956e4f8a46e0,Youth,Processor,Kano,Rural,Yes,Processing,Yes,Yes,WOFAN,Kano-WOFAN,GarDUJA25,Female,2024-02-11,11/02/2024 13:21,11/02/2024 13:12,bun04,11/02/2024 19:50
6bb1d7f7-98c6-421c-9b38-59e2b01d4b19,Youth,Processor,Kano,Rural,Yes,Production,Yes,Yes,WOFAN,Kano-WOFAN,GarGDGL34,Female,2024-02-11,11/02/2024 13:30,11/02/2024 13:21,bun04,11/02/2024 19:50
2c2db794-b5a4-4c84-9021-1abdf8658b85,Youth,Marketer,Kano,Rural,Yes,Production,Yes,Yes,WOFAN,Kano-WOFAN,Gar825034,Female,2024-02-11,11/02/2024 13:39,11/02/2024 13:30,bun04,11/02/2024 19:50
698da329-f1f9-46c9-bcac-a1169336618b,Youth,Producer,Kano,Rural,Yes,Production,Yes,Yes,WOFAN,Kano-WOFAN,GarT6UI50,Male,2024-02-11,11/02/2024 13:50,11/02/2024 13:41,bun04,11/02/2024 19:50
869be893-9e05-4534-984e-8b306141a98b,Youth,Processors,Jigawa,Rural,No,---,No,No,WOFAN,Jigawa-WOFAN,Jah09LO52,Male,2024-02-11,11/02/2024 17:22,11/02/2024 17:21,jah71,11/02/2024 19:58
9637d4d3-d281-4b02-aea7-bf742ca10139,Youth,Mata_masu__saida_abinci_kala-_kala__a_wurare(Food_vendors),Jigawa,Rural,Yes,Production,Yes,No,WOFAN,Jigawa-WOFAN,Jah5E0404,Female,2024-02-11,11/02/2024 17:59,11/02/2024 17:48,jah42,11/02/2024 20:09
816b0d20-a007-486c-9ee7-fa8b97f60df7,Youth,Producers,Jigawa,Rural,Yes,Agro-Input_Dealer,No,Yes,WOFAN,Jigawa-WOFAN,JahEXKD37,Female,2024-02-11,11/02/2024 20:31,11/02/2024 20:27,jah41,11/02/2024 20:31
a98635a8-1229-4a85-b8a5-914f68880ce2,Youth,Producers,Jigawa,Rural,Yes,Production,Yes,Yes,WOFAN,Jigawa-WOFAN,Jah2D4725,Female,2024-02-11,11/02/2024 16:24,11/02/2024 16:12,jah52,11/02/2024 20:32
6d7f9ed8-744f-4161-b420-5bd739cf9605,Youth,Producers,Jigawa,Rural,Yes,Production,Yes,Yes,WOFAN,Jigawa-WOFAN,JahGL9H33,Female,2024-02-11,11/02/2024 19:14,11/02/2024 19:07,jah46,11/02/2024 20:41
e8299a07-6094-4d14-89f3-d89fd3de5ee3,Youth,Producer,Kano,Rural,Yes,Production,Yes,Yes,WOFAN,Kano-WOFAN,Gar22MK57,Female,2024-02-11,11/02/2024 11:20,11/02/2024 10:52,bun16,11/02/2024 20:45
4a3cedc8-6024-4473-bf76-b1f5e1ebf019,Youth,ProducerProcessor,Kano,Rural,Yes,Production,Yes,Yes,WOFAN,Kano-WOFAN,GarG3FU41,Female,2024-02-11,11/02/2024 11:58,11/02/2024 11:46,bun16,11/02/2024 20:45
af805494-a6ce-471b-bea7-1b5a44834256,Youth,Producers/Processors,Kano,Rural,Yes,Processing,Yes,No,WOFAN,Kano-WOFAN,Kur3P1D02,Female,2024-02-11,11/02/2024 21:37,11/02/2024 21:30,kur09,11/02/2024 21:37
