formid,Type of Financial Product/Service Accessed,Please Specify the  financial Product/Service,Date,4  Has your cooperative ever given you access to the following business development support services? | None,4  Has your cooperative ever given you access to the following business development support services? | Training_in_microenterprise_management,4  Has your cooperative ever given you access to the following business development support services? | Preparing_bankable_business_plans,4  Has your cooperative ever given you access to the following business development support services? | Business_planning_and_strategy,4  Has your cooperative ever given you access to the following business development support services? | Export_assistance,4  Has your cooperative ever given you access to the following business development support services? | Financial_management,4  Has your cooperative ever given you access to the following business development support services? | Marketing_and_advertising,4  Has your cooperative ever given you access to the following business development support services? | Personnel_administration,4  Has your cooperative ever given you access to the following business development support services? | Sales_and_customer_service,4  Has your cooperative ever given you access to the following business development support services? | Others,4  Has your cooperative ever given you access to the following business development support services? | extra,5  Has your cooperative ever facilitated access to market opportunities for its members?,6  Are you satisfied with the product/service?,Comm_Partner_ID,Disability_Status_class,State,Cooperative_ID,username
3a2a4a29-a043-4425-a7e1-51dc6704fc37,Deposit_Account,---,2024-06-15,,1,1,1,,1,1,1,1,,,Yes,Yes,BauLMW6MC59,Persons with disability,Bauchi,BauGR1T14,bau15
f66b1940-5663-4281-98a7-b3ddaaecc522,Deposit_Account,---,2024-06-16,,1,1,1,,1,1,1,1,,,Yes,Yes,AkkL6HVDU20,Persons with disability,Gombe,AkkY4QX51,akk01
1abf174a-f258-4ae0-a464-ea74c0d5c20b,Deposit_Account,---,2024-06-15,,1,1,1,,1,1,1,1,,,Yes,Yes,Bau2AX9BG24,Persons with disability,Bauchi,BauGR1T14,bau15
3d626ab1-d113-4940-b881-5553fe1e4de8,Deposit_Account,---,2024-06-16,,1,1,1,,1,1,1,1,,,Yes,Yes,AkkPKOT6C48,Persons with disability,Gombe,AkkY4QX51,akk01
25a2044f-1963-4f9f-822b-c2dab18649e1,Deposit_Account,---,2024-06-15,,1,1,1,,1,1,1,1,,,Yes,Yes,Bau9RSBML35,Persons with disability,Bauchi,BauGR1T14,bau15
4d1f722b-1bec-4217-adf6-4518e17aa939,Deposit_Account,---,2024-06-15,,1,1,1,,1,1,1,1,,,Yes,Yes,Bau8388A255,Persons with disability,Bauchi,BauGR1T14,bau15
1a576713-8f05-4128-bebb-31ceb113d9b9,Deposit_Account,---,2024-06-16,,1,1,1,,1,1,1,1,,,Yes,Yes,AkkWGTA5R06,Persons with disability,Gombe,AkkY4QX51,akk01
c4574b3b-9bff-41c7-99d6-351a879efdd3,Deposit_Account,---,2024-06-15,,1,1,1,,1,1,1,1,,,Yes,Yes,BauFA4FJ914,Persons with disability,Bauchi,BauGR1T14,bau15
35eb2cf4-8cc3-4ab1-a71c-e7e0b53efa2c,Deposit_Account,---,2024-06-15,,1,1,1,,1,1,1,1,,,Yes,Yes,BauA0S7M651,Persons with disability,Bauchi,BauGR1T14,bau15
e3b9cf35-6b8b-4d64-a214-909a712484f0,Deposit_Account,---,2024-03-16,,1,1,1,,1,1,1,1,,,Yes,Yes,AkkKHHOKY57,Persons with disability,Gombe,AkkY4QX51,akk01
16502115-780b-4193-a195-4c5daa8a8aaf,Deposit_Account,---,2024-06-15,,1,1,1,,1,1,1,1,,,Yes,Yes,BauRF1NLT38,Persons with disability,Bauchi,BauGR1T14,bau15
3481faaf-5874-4e09-8f75-7cf414299fd9,Deposit_Account,---,2024-06-15,,1,1,1,,1,1,1,1,,,Yes,Yes,Bau9WHGJY31,Persons with disability,Bauchi,BauGR1T14,bau15
91e5dc64-cf5f-44d9-8106-183c76ec6459,Deposit_Account,---,2024-06-16,,1,1,1,,1,1,1,1,,,Yes,Yes,Akk3B7KGV49,Persons with disability,Gombe,AkkY4QX51,akk01
33b84f79-9c10-4c4e-b108-110bb221d15d,Deposit_Account,---,2024-06-15,,1,1,1,,1,1,1,1,,,Yes,Yes,Bau78AOW338,Persons with disability,Bauchi,BauGR1T14,bau15
68cb5465-eb1f-4072-b43d-8910e40cb7f3,Deposit_Account,---,2024-06-15,,1,1,1,,1,1,1,1,,,Yes,Yes,BauA70E2S36,Persons with disability,Bauchi,BauGR1T14,bau15
372f9a45-b2cd-40e1-b7fa-096a9f60db75,Deposit_Account,---,2024-06-15,,1,1,1,,1,1,1,1,,,Yes,Yes,BauYDC3RQ34,Persons with disability,Bauchi,BauGR1T14,bau15
df6042ca-907d-4b96-991f-222833a39760,Deposit_Account,---,2024-06-15,,1,1,1,,1,1,1,1,,,Yes,Yes,Bau377B0U21,Persons with disability,Bauchi,BauGR1T14,bau15
f0440f51-1e94-40fe-a56d-6fe069f2f63d,Deposit_Account,---,2024-03-16,,1,1,1,,1,1,1,1,,,Yes,Yes,AkkJ9WD7F36,Persons with disability,Gombe,AkkY4QX51,akk01
0e8918c2-24ab-4e6e-89cd-7a02365cfa55,Deposit_Account,---,2024-06-15,,1,1,1,,1,1,1,1,,,Yes,Yes,BauAIP1ML43,Persons with disability,Bauchi,BauSWY707,bau15
0c17a9dc-68bc-4dcd-912a-e739bb3df774,Deposit_Account,---,2024-03-16,,1,1,1,,1,1,1,1,,,Yes,Yes,AkkHX75SL15,Persons with disability,Gombe,AkkY4QX51,akk01
594edad8-09cb-4d78-9bf7-0ab1b3d35b5d,Deposit_Account,---,2024-06-15,,1,1,1,,1,1,1,1,,,Yes,Yes,Bau1HSOLT41,Persons with disability,Bauchi,BauSWY707,bau15
fe372f43-7cd1-4a05-855c-e08a7e65c1da,Deposit_Account,---,2024-06-16,,1,1,1,,1,1,1,1,,,Yes,Yes,BauIGJETS15,Persons with disability,Bauchi,BauSWY707,bau15
2f1cbf12-d234-496e-b1b6-e7fd87d6d1ca,Deposit_Account,---,2024-06-15,,1,1,1,,1,1,1,1,,,Yes,Yes,Bau0N66PX07,Persons with disability,Bauchi,BauSWY707,bau15
d1a214d3-6a28-4407-9f7a-b7c4c18b5746,Deposit_Account,---,2024-06-15,,1,1,1,,1,1,1,1,,,Yes,Yes,BauVPSTJ440,Persons with disability,Bauchi,BauSWY707,bau15
84971bf2-c6df-4316-a20b-f905e4c65fed,Deposit_Account,---,2024-06-16,,1,1,1,,1,1,1,1,,,Yes,Yes,AkkXYTG4Q40,Persons with disability,Gombe,AkkY4QX51,akk01
9003d760-6519-4139-a9e0-0eddb2fc6971,Deposit_Account,---,2024-06-15,,1,1,1,,1,1,1,1,,,Yes,Yes,Bau2A13DK23,Persons with disability,Bauchi,BauSWY707,bau15
5dd4561d-0f8a-439a-8a71-2fff095a4bc5,Deposit_Account,---,2024-06-16,,1,1,1,,1,1,1,1,,,Yes,Yes,AkkEWTEPN28,Persons with disability,Gombe,AkkY4QX51,akk01
60c7e107-e3bf-4e35-ba5b-e2864f97cc78,Deposit_Account,---,2024-06-15,,1,1,1,,1,1,1,1,,,Yes,Yes,BauFK0MS638,Persons with disability,Bauchi,BauSWY707,bau15
066aef20-aee8-4099-83b5-68bdfc7920ab,Deposit_Account,---,2024-06-16,,1,1,1,,1,1,1,1,,,Yes,Yes,AkkTP1KPZ42,Persons with disability,Gombe,AkkY4QX51,akk01
f3202c6c-94fd-4ea7-8a7e-0533a164cdd5,Deposit_Account,---,2024-06-15,,1,1,1,,1,1,1,1,,,Yes,Yes,BauT4501W57,Persons with disability,Bauchi,BauSWY707,bau15
f2f6f6bf-5b9d-4a4f-a4ae-5237bcfb2c13,Deposit_Account,---,2024-06-15,,1,1,1,,1,1,1,1,,,Yes,Yes,BauVACWNW08,Persons with disability,Bauchi,BauSWY707,bau15
4bb63ebf-0d60-4a2c-9c63-bd2e1ab5ae9a,Deposit_Account,---,2024-06-16,,1,1,1,,1,1,1,1,,,Yes,Yes,AkkNONFU722,Persons with disability,Gombe,AkkY4QX51,akk01
baa2b319-dc9f-4cc7-9e39-691a188ab8d1,Deposit_Account,---,2024-06-15,,1,1,1,,1,1,1,1,,,Yes,Yes,BauFFRV1W50,Persons with disability,Bauchi,BauSWY707,bau15
58a2b756-3ab8-40ca-86ea-93f81a0140fa,Deposit_Account,---,2024-06-16,,1,1,1,,1,1,1,1,,,Yes,Yes,AkkZB2ZFY45,Persons with disability,Gombe,AkkY4QX51,akk01
e5260386-9ad1-4855-bcbe-35ca8b5fdcb2,Deposit_Account,---,2024-06-15,,1,1,1,,1,1,1,1,,,Yes,Yes,BauR8Z2JA45,Persons with disability,Bauchi,BauSWY707,bau15
08fb4495-c6fe-469b-b2b0-6cf99a4b4e75,Deposit_Account,---,2024-06-16,,1,1,1,,1,1,1,1,,,Yes,Yes,AkkAPZ6YK27,Persons with disability,Gombe,AkkY4QX51,akk01
18cc20a7-01fd-4c57-a8a5-9f540157feba,Deposit_Account,---,2024-06-16,,1,1,1,,1,1,1,1,,,Yes,Yes,AkkU0XPX854,Persons with disability,Gombe,AkkY4QX51,akk01
ba314aa1-bea6-4339-b8d7-ea25aebff037,Deposit_Account,---,2024-06-15,,1,1,1,,1,1,1,1,,,Yes,Yes,Bau9BBVJ435,Persons with disability,Bauchi,BauSWY707,bau15
d7722c90-a8b4-40bd-8a28-7cb00471126f,Deposit_Account,---,2024-06-15,,1,1,1,,1,1,1,1,,,Yes,Yes,Bau1GHTWS42,Persons with disability,Bauchi,BauSWY707,bau15
efe3ea8b-6f3f-4bfc-987e-4af8b1c271d8,Deposit_Account,---,2024-06-15,,1,1,1,,1,1,1,1,,,Yes,Yes,Bau7G88FQ29,Persons with disability,Bauchi,BauSWY707,bau15
1ff54971-02a6-450e-b088-7af430a7d737,Deposit_Account,---,2024-03-16,,1,1,1,,1,1,1,1,,,Yes,Yes,AkkT61THB35,Persons with disability,Gombe,AkkY4QX51,akk01
6a3fed8d-30a0-4e76-b3c8-56b2a746e303,Deposit_Account,---,2024-06-15,,1,1,1,,1,1,1,1,,,Yes,Yes,BauTMQ4J203,Persons with disability,Bauchi,BauSWY707,bau15
639a555d-e8da-437b-a86b-270677753b0b,Deposit_Account,---,2024-03-16,,1,1,1,,1,1,1,1,,,Yes,Yes,AkkNS34FX51,Persons with disability,Gombe,AkkGFS855,akk01
08bd3a04-60e2-4675-a07d-bb8b0a858742,Deposit_Account,---,2024-06-15,,1,1,1,,1,1,1,1,,,Yes,Yes,Bau0I3CY457,Persons with disability,Bauchi,BauSWY707,bau15
b480dbe7-6a61-46eb-9347-afa6c1ea8df0,Deposit_Account,---,2024-06-16,,1,1,1,,1,1,1,1,,,Yes,Yes,Akk63H8DM32,Persons with disability,Gombe,AkkGFS855,akk01
8657e31d-33bc-4452-8c89-90753617351a,Deposit_Account,---,2024-06-15,,1,1,1,,1,1,1,1,,,Yes,Yes,BauRQBX3I21,Persons with disability,Bauchi,BauSWY707,bau15
4d8d478c-a467-4b35-8a73-97699232c4c9,Deposit_Account,---,2024-06-16,,1,1,1,,1,1,1,1,,,Yes,Yes,AkkFU1ONQ22,Persons with disability,Gombe,AkkGFS855,akk01
26850b10-6631-41bd-a539-2950477b33cd,Deposit_Account,---,2024-06-16,,1,1,1,,1,1,1,1,,,Yes,Yes,AkkS1AWAW29,Persons with disability,Gombe,AkkGFS855,akk01
d2f6e745-065c-4178-aee2-946fda5109d5,Deposit_Account,---,2024-06-15,,1,1,1,,1,1,1,1,,,Yes,Yes,BauIJFS1145,Persons with disability,Bauchi,BauSWY707,bau15
9d209985-39d8-4a4e-8106-0412e62a868a,Deposit_Account,---,2024-06-16,,1,1,1,,1,1,1,1,,,Yes,Yes,AkkG86JL614,Persons with disability,Gombe,AkkGFS855,akk01
6371cd6a-1310-4fd0-99dd-51a4e72c4a9a,Deposit_Account,---,2024-06-15,,1,1,1,,1,1,1,1,,,Yes,Yes,Bau1RLK7P35,Persons with disability,Bauchi,BauSWY707,bau15
17c8154b-c904-492b-9ef4-2e29a219cdbb,Deposit_Account,---,2024-06-16,,1,1,1,,1,1,1,1,,,Yes,Yes,AkkULMTJF49,Persons with disability,Gombe,AkkGFS855,akk01
59082246-9583-4a5e-899d-43c693f424c2,Deposit_Account,---,2024-06-15,,1,1,1,,1,1,1,1,,,Yes,Yes,BauHUZTCB04,Persons with disability,Bauchi,BauSWY707,bau15
42b96096-8e43-4dcd-9539-180f9d4a349a,Deposit_Account,---,2024-06-16,,1,1,1,,1,1,1,1,,,Yes,Yes,Akk448SAV38,Persons with disability,Gombe,AkkGFS855,akk01
01f11062-6c7b-4c96-9875-dee4356e7320,Deposit_Account,---,2024-06-15,,1,1,1,,1,1,1,1,,,Yes,Yes,Bau8EAL5544,Persons with disability,Bauchi,BauSWY707,bau15
4c58788f-57f6-4882-8085-7f6f2d4b6250,Deposit_Account,---,2024-06-17,,1,1,1,,1,1,1,1,,,Yes,Yes,AkkEBJJY925,Persons with disability,Gombe,AkkGFS855,akk01
76c2b9dc-63ab-4c5f-844a-0ff3c66ad258,Deposit_Account,---,2024-06-15,,1,1,1,,1,1,1,1,,,Yes,Yes,BauYLP8V138,Persons with disability,Bauchi,BauSWY707,bau15
ca79b6ed-a746-4ae7-872f-64fd95fba646,Deposit_Account,---,2024-06-15,,1,1,1,,1,1,1,1,,,Yes,Yes,BauFX1DY636,Persons with disability,Bauchi,BauSWY707,bau15
405bca99-9e88-4ff9-a0f5-2c49731f5497,Deposit_Account,---,2024-06-16,,1,1,1,,1,1,1,1,,,Yes,Yes,Akk1JJJ5Y06,Persons with disability,Gombe,AkkGFS855,akk01
d5d0af64-bbbc-4c87-93fc-e3b97ebd1514,Deposit_Account,---,2024-06-16,,1,1,1,,1,1,1,1,,,Yes,Yes,AkkH3Z3Q727,Persons with disability,Gombe,AkkGFS855,akk01
1531160f-b992-4a58-8231-d4fc4167081c,Deposit_Account,---,2024-06-15,,1,1,1,,1,1,1,1,,,Yes,Yes,BauS151JV36,Persons with disability,Bauchi,BauSWY707,bau15
29347f09-4837-49b8-826c-c08c692fcb5b,Deposit_Account,---,2024-06-16,,1,1,1,,1,1,1,1,,,Yes,Yes,AkkE3P6HT48,Persons with disability,Gombe,AkkGFS855,akk01
b3a6db92-b5c8-4559-8158-68635b0fceb9,Deposit_Account,---,2024-06-15,,1,1,1,,1,1,1,1,,,Yes,Yes,Bau4VQGLA43,Persons with disability,Bauchi,BauSWY707,bau15
92a40860-7f40-4fdb-bfbc-817aeae5274b,Deposit_Account,---,2024-06-15,,1,1,1,,1,1,1,1,,,Yes,Yes,Bau5A433155,Persons with disability,Bauchi,BauSWY707,bau15
4cc36fbb-b1ba-4b86-9faa-1068d6a744a2,Deposit_Account,---,2024-03-16,,1,1,1,,1,1,1,1,,,Yes,Yes,AkkUN9J3Z12,Persons with disability,Gombe,AkkGFS855,akk01
f66113f5-115d-4df2-96c7-d46651cbd939,Deposit_Account,---,2024-06-16,,1,1,1,,1,1,1,1,,,Yes,Yes,AkkNGE8QC28,Persons with disability,Gombe,AkkGFS855,akk01
6f9f9717-4e7a-4234-bda0-b513db68fd1c,Deposit_Account,---,2024-06-15,,1,1,1,,1,1,1,1,,,Yes,Yes,Bau8R2TDV05,Persons with disability,Bauchi,BauSWY707,bau15
b85cca49-304c-4b82-9248-2bcc3211b67c,Deposit_Account,---,2024-06-15,,1,1,1,,1,1,1,1,,,Yes,Yes,Bau191IGC13,Persons with disability,Bauchi,BauSWY707,bau15
0a566a4f-8efe-4543-a4de-ff8978381d81,Deposit_Account,---,2024-06-16,,1,1,1,,1,1,1,1,,,Yes,Yes,AkkFGSRG032,Persons with disability,Gombe,AkkGFS855,akk01
42eca6be-55f2-4fb8-a5d2-ceb106e4aeff,Deposit_Account,---,2024-06-16,,1,1,1,,1,1,1,1,,,Yes,Yes,AkkZO48ML45,Persons with disability,Gombe,AkkGFS855,akk01
353e04e3-46b5-4697-b865-c5c6ef38f1d2,Deposit_Account,---,2024-06-15,,1,1,1,,1,1,1,1,,,Yes,Yes,BauW6UUJY32,Persons with disability,Bauchi,BauSWY707,bau15
4943fd3c-30e6-478f-9e12-5da20765d427,Deposit_Account,---,2024-06-15,,1,1,1,,1,1,1,1,,,Yes,Yes,BauKDSEZX16,Persons with disability,Bauchi,BauSWY707,bau15
888bebc0-5cb8-441a-8434-fe5ec988fce7,Deposit_Account,---,2024-06-16,,1,1,1,,1,1,1,1,,,Yes,Yes,Akk9615Y914,Persons with disability,Gombe,AkkGP0F06,akk01
0d0b6155-2ea1-4fe5-83b0-fdc45bb9c31d,Deposit_Account,---,2024-06-15,,1,1,1,,1,1,1,1,,,Yes,Yes,Bau863TPX57,Persons with disability,Bauchi,BauEC8008,bau15
7961f5c1-9efc-471a-a0a8-3608ca1f05cf,Deposit_Account,---,2024-06-16,,1,1,1,,1,1,1,1,,,Yes,Yes,Akk6663U721,Persons with disability,Gombe,AkkGP0F06,akk01
e67eaaac-228b-439a-9c2e-38d9943a5e30,Deposit_Account,---,2024-06-15,,1,1,1,,1,1,1,1,,,Yes,Yes,BauFJJHSI28,Persons with disability,Bauchi,BauEC8008,bau15
3b8fb7ac-0da6-4389-ba62-410c9d64403b,Deposit_Account,---,2024-06-16,,1,1,1,,1,1,1,1,,,Yes,Yes,Akk2PS20H38,Persons with disability,Gombe,AkkGP0F06,akk01
d938958c-282e-415f-b6ef-9838a08c19d1,Deposit_Account,---,2024-06-15,,1,1,1,,1,1,1,1,,,Yes,Yes,BauKGSMPC30,Persons with disability,Bauchi,BauEC8008,bau15
8d72bfd9-9355-4799-bdd9-8c26d927100e,Deposit_Account,---,2024-06-16,,1,1,1,,1,1,1,1,,,Yes,Yes,Akk9Y97MA22,Persons with disability,Gombe,AkkGP0F06,akk01
68d842f3-01d4-4303-9503-cc91b295bf76,Deposit_Account,---,2024-06-15,,1,1,1,,1,1,1,1,,,Yes,Yes,BauFJRHYX16,Persons with disability,Bauchi,BauEC8008,bau15
1de6689b-320a-4fae-b943-62fb14d0658f,Deposit_Account,---,2024-06-16,,1,1,1,,1,1,1,1,,,Yes,Yes,AkkW1CQ2S58,Persons with disability,Gombe,AkkGP0F06,akk01
707d45c1-30bf-4d0b-ae7e-a446bc7729a6,Deposit_Account,---,2024-06-15,,1,1,1,,1,1,1,1,,,Yes,Yes,BauLADY8233,Persons with disability,Bauchi,BauEC8008,bau15
46fc7d16-f863-4357-80cd-089d2d0adb38,Deposit_Account,---,2024-06-16,,1,1,1,,1,1,1,1,,,Yes,Yes,AkkN33VU858,Persons with disability,Gombe,AkkGP0F06,akk01
273be23d-573d-4257-a658-3387f2771a15,Deposit_Account,---,2024-06-15,,1,1,1,,1,1,1,1,,,Yes,Yes,BauJ9WM9A46,Persons with disability,Bauchi,BauEC8008,bau15
25fc2a2c-648c-463c-b900-8c8eadd51b23,Deposit_Account,---,2024-06-15,,1,1,1,,1,1,1,1,,,Yes,Yes,BauHJ2CHQ59,Persons with disability,Bauchi,BauEC8008,bau15
fe93007c-f090-4047-93e7-2275ce328f86,Deposit_Account,---,2024-06-16,,1,1,1,,1,1,1,1,,,Yes,Yes,AkkD0JI5P23,Persons with disability,Gombe,AkkGP0F06,akk01
8d6add04-0532-4898-a8ea-0d0617f2e668,Deposit_Account,---,2024-06-15,,1,1,1,,1,1,1,1,,,Yes,Yes,BauPJSS7P16,Persons with disability,Bauchi,BauEC8008,bau15
f97ae2fd-b950-4cd5-8e58-54b883ac4f37,Deposit_Account,---,2024-06-16,,1,1,1,,1,1,1,1,,,Yes,Yes,Akk2904XZ25,Persons with disability,Gombe,AkkGP0F06,akk01
fb0bb899-66b3-411e-8f7d-73482390836d,Deposit_Account,---,2024-06-16,,1,1,1,,1,1,1,1,,,Yes,Yes,Bau6JBPRR42,Persons with disability,Bauchi,BauEC8008,bau15
9c7725b9-072e-41ae-9fc9-be0bc8583aed,Deposit_Account,---,2024-06-16,,1,1,1,,1,1,1,1,,,Yes,Yes,AkkDAOON705,Persons with disability,Gombe,AkkGP0F06,akk01
dd79fcd4-1563-4175-9728-0a08e5823482,Deposit_Account,---,2024-06-15,,1,1,1,,1,1,1,1,,,Yes,Yes,Bau1MN4WT30,Persons with disability,Bauchi,BauEC8008,bau15
f9948da1-4723-40c2-a537-2df62051cc5a,Deposit_Account,---,2024-06-16,,1,1,1,,1,1,1,1,,,Yes,Yes,Akk4O3FBM38,Persons with disability,Gombe,AkkGP0F06,akk01
d7d2ab2d-c515-46e0-856b-0bcba3d8fccd,Deposit_Account,---,2024-06-15,,1,1,1,,1,1,1,1,,,Yes,Yes,BauVCYJV407,Persons with disability,Bauchi,BauEC8008,bau15
a5833df6-fef1-4cd0-9c25-b6a0a12e71c2,Deposit_Account,---,2024-06-15,,1,1,1,,1,1,1,1,,,Yes,Yes,BauV8PEVA48,Persons with disability,Bauchi,BauEC8008,bau15
c0b3dc04-611e-45f3-996e-ca97ce3eb497,Deposit_Account,---,2024-06-16,,1,1,1,,1,1,1,1,,,Yes,Yes,Akk3AOJ5037,Persons with disability,Gombe,AkkGP0F06,akk01
2ae7dd34-9f74-4a38-967e-e74d0ff584e5,Deposit_Account,---,2024-06-15,,1,1,1,,1,1,1,1,,,Yes,Yes,BauYMAHWN27,Persons with disability,Bauchi,BauEC8008,bau15
5dc04f7e-4824-4e3f-8ef6-2cf4032c8e50,Deposit_Account,---,2024-06-16,,1,1,1,,1,1,1,1,,,Yes,Yes,AkkE6CPI506,Persons with disability,Gombe,AkkGP0F06,akk01
67f832cc-b275-49c4-a925-9920061363f3,Deposit_Account,---,2024-06-15,,1,1,1,,1,1,1,1,,,Yes,Yes,BauBETPQ613,Persons with disability,Bauchi,BauEC8008,bau15
3fd48996-2fb3-471c-8b59-bdbb53c514d1,Deposit_Account,---,2024-06-16,,1,1,1,,1,1,1,1,,,Yes,Yes,AkkVNI2XO21,Persons with disability,Gombe,AkkGP0F06,akk01
4521dd7c-a907-4583-a204-c3228d4b56a4,Deposit_Account,---,2024-06-16,,1,1,1,,1,1,1,1,,,Yes,Yes,BauTN3WA518,Persons with disability,Bauchi,BauEC8008,bau15
08d592e3-1826-4946-bbf7-a7bb24f7d2b2,Deposit_Account,---,2024-06-15,,1,1,1,,1,1,1,1,,,Yes,Yes,BauEQ4P8349,Persons with disability,Bauchi,BauEC8008,bau15
0abca90d-3819-4a80-a4b6-e323e2f562a8,Deposit_Account,---,2024-06-15,,1,1,1,,1,1,1,1,,,Yes,Yes,GomF6PXUC01,Persons with disability,Gombe,GomL09B41,gom18
c030a686-970c-4ecd-a1b2-ab75f4426d41,Deposit_Account,---,2024-06-15,,1,1,1,,1,1,1,1,,,Yes,Yes,Bau3LQWKW07,Persons with disability,Bauchi,BauEC8008,bau15
0e84a2f1-fbcb-48f0-9865-5c72fb8b16a4,Deposit_Account,---,2024-06-16,,1,1,1,,1,1,1,1,,,Yes,Yes,AkkK8NCJW46,Persons with disability,Gombe,AkkGP0F06,akk01
fa7c4fa5-64c1-401b-b128-7e0cab794b63,Deposit_Account,---,2024-06-15,,1,1,1,,1,1,1,1,,,Yes,Yes,GomEBZX3H10,Persons with disability,Gombe,GomL09B41,gom18
eaa3beac-0f16-4218-afe2-160d61a4cdd8,Deposit_Account,---,2024-06-15,,1,1,1,,1,1,1,1,,,Yes,Yes,BauYX5CF841,Persons with disability,Bauchi,BauEC8008,bau15
399284c7-521a-44ad-a22e-40dc88cfb7dd,Deposit_Account,---,2024-06-15,,1,1,1,,1,1,1,1,,,Yes,Yes,AkkBH1UO805,Persons with disability,Gombe,AkkGP0F06,akk01
8793a3b3-9917-4ddd-9aba-0b9c17874902,Deposit_Account,---,2024-06-15,,1,1,1,,1,1,1,1,,,Yes,Yes,Bau07ULGR18,Persons with disability,Bauchi,BauEC8008,bau15
6cfeff89-c9dc-4e24-904c-9a1ca509c903,Deposit_Account,---,2024-06-15,,1,1,1,,1,1,1,1,,,Yes,Yes,GomDX34OZ08,Persons with disability,Gombe,GomL09B41,gom18
ff0ef0d5-73e1-41a7-85cf-b941e78a637f,Deposit_Account,---,2024-06-15,,1,1,1,,1,1,1,1,,,Yes,Yes,BauR9CSXC21,Persons with disability,Bauchi,BauEC8008,bau15
a3a40b18-eee6-4c4c-9bcc-f30afb4e4458,Deposit_Account,---,2024-06-15,,1,1,1,,1,1,1,1,,,Yes,Yes,AkkDH9WB644,Persons with disability,Gombe,AkkGP0F06,akk01
82b656de-68f2-40c5-92ab-b29f35df9f95,Deposit_Account,---,2024-06-15,,1,1,1,,1,1,1,1,,,Yes,Yes,BauNTNRBN56,Persons with disability,Bauchi,BauEC8008,bau15
