formid,Equipmentsgiventothecluster | Modified_Motorbike_for_PWDs,Equipmentsgiventothecluster | Modified_Tricycle_for_PWDs_(Hand-driven),Equipmentsgiventothecluster | Micro_Portable_multi_sheller_and_maize_milling_appliances,Equipmentsgiventothecluster | Fabricated_stoves_with_chimney_2_sets,Equipmentsgiventothecluster | burner_base_(6_sets),Equipmentsgiventothecluster | Mini_rice_miller,Equipmentsgiventothecluster | Mini_Destoner,Equipmentsgiventothecluster | Others,Equipmentsgiventothecluster | extra,NumberofModifiedMotorbikeforPWDs,NumberofModifiedTricyclesforPWDsHand-driven,NumberOfMicroPortablemultishellerandmaizemillingappliances,NumberofFrabricated stoves with chimneys,Numberof FabricatedRiceparboilerspot/burnerbase,NumberofMiniRicemiller,NumberofMiniDestoner,Please Specify numberofothe equipment,Qty of Treadle pump,Qty of Fertilizer planter,Qty of Umbrella,Date,State,Implementing_Partner,Cluster_Unique_ID
85845745-fa25-444b-b50b-be555599df87,1,1,,,,,,,,1,10,---,---,---,---,---,---,---,,---,2024-07-05,Kaduna,WOFAN,Ika28J354
51edf243-0274-4726-ac4e-84f2a2889c8b,1,1,,,,,,,,1,10,---,---,---,---,---,---,---,,---,2024-07-05,Kaduna,WOFAN,Ika28J354
181c7df0-0a3c-4512-88f6-311dbc7820ef,1,1,,,,,,,,1,10,---,---,---,---,---,---,---,,---,2024-07-17,Jigawa,WOFAN,JahJ7Q010
3d140905-8631-473c-979e-268620ffcf16,1,1,,,,,,,,1,10,---,---,---,---,---,---,---,,---,2024-07-17,Jigawa,WOFAN,JahYIB038
eb61c733-21df-4217-8a49-401d97e5585c,1,1,,,,,,,,1,10,---,---,---,---,---,---,---,,---,2024-07-05,Kaduna,WOFAN,IkaJBTF37
b111abc0-90d1-435f-a62e-7eff294e65be,1,1,,,,,,,,1,10,---,---,---,---,---,---,---,,---,2024-07-10,Jigawa,WOFAN,RinYNBA29
ea1b2b72-7a38-4c7d-a475-10fd4bcb8374,1,1,,,,,,,,1,10,---,---,---,---,---,---,---,,---,2024-07-10,Jigawa,WOFAN,RinEIEQ39
e9cdc285-b0de-4704-a7cd-26bf9ad60a44,1,1,,,,,,,,1,10,---,---,---,---,---,---,---,,---,2024-07-10,Jigawa,WOFAN,RinNEGS51
3208301a-d8a9-44ba-85b7-5af2a738041a,1,1,,,,,,,,1,10,---,---,---,---,---,---,---,,---,2024-07-08,Kaduna,WOFAN,Ika25SB38
b5d5242b-db0b-459a-806c-66f091b9d1fa,1,1,,,,,,,,1,10,---,---,---,---,---,---,---,4,---,2024-07-08,Kaduna,WOFAN,IkaHVSD26
af586ddc-1ca1-4924-9691-7239e7dfa582,1,1,,,,,,,,1,10,---,---,---,---,---,---,---,4,---,2024-07-08,Kaduna,WOFAN,IkaSVAU46
9145e53b-dcf4-4f95-8fe0-b6965546ff13,1,1,,,,,,,,1,10,---,---,---,---,---,---,---,4,---,2024-07-08,Kaduna,WOFAN,IkaEWDJ04
3fa4dc63-ae62-4290-9096-73cfce9372a8,1,1,,,,,,,,1,10,---,---,---,---,---,---,---,4,---,2024-07-10,Jigawa,WOFAN,RinP06Q19
59c1cad3-52c8-4661-8ae5-1e8b1ca8b956,1,1,,,,,,,,1,10,---,---,---,---,---,---,---,4,---,2024-07-10,Jigawa,WOFAN,RinGYKD16
00d2c096-19fa-4c19-879e-a1e5667a8700,1,1,,,,,,,,1,10,---,---,---,---,---,---,---,4,---,2024-07-10,Jigawa,WOFAN,RinE06S51
7f7456ef-a1db-4f90-a205-8946e541a31a,1,1,,,,,,,,1,10,---,---,---,---,---,---,---,4,---,2024-07-10,Jigawa,WOFAN,RinAZD143
b0edf443-134b-412c-8e36-2c33f87cf985,1,1,,,,,,,,1,10,---,---,---,---,---,---,---,4,---,2024-07-10,Jigawa,WOFAN,RinP5YX00
0628293e-7554-46b8-ae3d-a0eaec47e039,1,1,,,,,,,,1,10,---,---,---,---,---,---,---,4,---,2024-07-10,Jigawa,WOFAN,Rin065N16
670d26a9-424e-44c0-86c5-cb009e6db974,1,1,,,,,,,,1,10,---,---,---,---,---,---,---,4,---,2024-07-10,Jigawa,WOFAN,RinA72Q43
4bd69ec1-91d7-4b45-a53a-7ae9ecdab411,1,1,,,,,,,,1,10,---,---,---,---,---,---,---,4,---,2024-07-10,Jigawa,WOFAN,RinWPUO06
902fec9a-89f4-47eb-a361-5ff38e0707ba,1,1,,,,,,,,1,10,---,---,---,---,---,---,---,4,---,2024-07-10,Jigawa,WOFAN,Rin4LGT24
f6831e35-cb41-45c6-8559-3d854ed30730,1,1,,,,,,,,1,10,---,---,---,---,---,---,---,4,---,2024-07-10,Jigawa,WOFAN,RinIGJI41
17618d67-741b-4a6b-beeb-338a00b7dd07,1,1,,,,,,,,1,10,---,---,---,---,---,---,---,4,---,2024-07-10,Jigawa,WOFAN,Rin8HHZ15
5db5ce02-191e-4c22-8a7d-1d5c7b0a07f6,1,1,,,,,,,,1,10,---,---,---,---,---,---,---,4,---,2024-07-10,Jigawa,WOFAN,RinRKCY54
3cbf31af-f823-4a99-8ffb-62c80e2ba358,1,1,,,,,,,,1,10,---,---,---,---,---,---,---,4,---,2024-07-10,Jigawa,WOFAN,RinC4JJ46
c05d6747-aa7e-4dbc-b16e-063976e82359,1,1,,,,,,,,1,10,---,---,---,---,---,---,---,4,---,2024-07-10,Jigawa,WOFAN,RinI8VK57
627f13ce-758e-4940-a698-f89b8d6e3963,1,1,,,,,,,,1,10,---,---,---,---,---,---,---,4,---,2024-07-10,Jigawa,WOFAN,RinBOU549
ad198c31-b1e2-4843-8555-936d7896866e,,1,,,,,,,,---,1,10,---,---,---,---,---,---,4,---,2024-07-10,Jigawa,WOFAN,RinOSF952
72227a16-06e1-4b2b-803e-7146855f9f6f,1,1,,,,,,,,1,10,---,---,---,---,---,---,---,4,---,2024-07-10,Jigawa,WOFAN,RinIL7W06
dd33ab3f-46dd-4857-86e1-890cabe47091,1,1,,,,,,,,1,10,---,---,---,---,---,---,---,4,---,2024-07-10,Jigawa,WOFAN,RinAW4L25
bde53350-9b59-4f46-90f9-49ae14592a96,1,1,,,,,,,,1,10,---,---,---,---,---,---,---,4,---,2024-07-10,Jigawa,WOFAN,RinMSPR51
8c441b14-a8bb-44a6-889f-9a5f9e90691b,1,1,,,,,,,,1,10,---,---,---,---,---,---,---,4,---,2024-07-10,Jigawa,WOFAN,Rin689Y24
b4d2a492-dc08-4643-8265-3196976d1141,1,1,,,,,,,,1,10,---,---,---,---,---,---,---,4,---,2024-07-08,Kaduna,WOFAN,IkaPL5248
eb0d0477-b5bc-4cea-a1b1-32e07ba8156c,1,1,,,,,,,,1,10,---,---,---,---,---,---,---,4,---,2024-07-10,Kaduna,WOFAN,IkaXEHQ13
68bb763d-340d-44c8-b5cc-bc9bbc674bf5,1,1,,,,,,,,1,10,---,---,---,---,---,---,---,4,---,2024-07-10,Kaduna,WOFAN,IkaZJ5M18
90cffcd4-2bac-420f-bc28-9b1e92372ebf,1,1,,,,,,,,1,10,---,---,---,---,---,---,---,4,---,2024-07-10,Kaduna,WOFAN,IkaDWYQ02
5feed61d-a225-48d2-8b04-6d34eef4a2f0,1,1,,,,,,,,1,10,---,---,---,---,---,---,---,4,---,2024-07-08,Kaduna,WOFAN,IkaI7E105
1cd567d9-039b-47c5-b06c-3173c595b2a5,1,1,,,,,,,,1,10,---,---,---,---,---,---,---,4,---,2024-07-10,Kaduna,WOFAN,IkaREEW34
cd8aa466-dfa3-4e0d-a50a-18308cc7b345,1,1,,,,,,,,1,10,---,---,---,---,---,---,---,4,---,2024-07-10,Kaduna,WOFAN,Ika450J55
3a99e35c-f0e0-4e1d-b7c1-1b1831ed4a8c,1,1,,,,,,,,1,10,---,---,---,---,---,---,---,4,---,2024-07-08,Kaduna,WOFAN,Ika9FIH59
3c363337-3a55-4849-bcb0-fd78c8c8576f,1,1,,,,,,,,1,10,---,---,---,---,---,---,---,4,---,2024-07-08,Kaduna,WOFAN,Ika7TIW04
7ca3ba91-4ce9-4254-b18a-c9f96aee2745,1,1,,,,,,,,1,10,---,---,---,---,---,---,---,4,---,2024-07-08,Kaduna,WOFAN,Ika4LW717
09cb492c-b88c-48b8-9ff2-8dee3d0b50e9,1,1,,,,,,,,1,10,---,---,---,---,---,---,---,4,---,2024-07-08,Kaduna,WOFAN,Ika7XXR45
7f4c2cc6-5789-4a39-92b3-8511237c6294,1,1,,,,,,,,1,10,---,---,---,---,---,---,---,4,---,2024-07-08,Kaduna,WOFAN,Ika1B3J52
0c69725c-9401-473e-8997-4e00d204ba11,1,1,,,,,,,,1,10,---,---,---,---,---,---,---,4,---,2024-07-08,Kaduna,WOFAN,IkaK9HD02
31926e73-02e7-4559-a948-992635fc8c30,1,1,,,,,,,,1,10,---,---,---,---,---,---,---,4,---,2024-07-08,Kaduna,WOFAN,IkaYFJL04
a643d015-6e56-4c20-bbf8-bba0ba426aa5,1,1,,,,,,,,1,10,---,---,---,---,---,---,---,4,---,2024-07-08,Kaduna,WOFAN,Ika7I5X25
37b423f0-fd08-45e0-b54c-b07331df3760,1,1,,,,,,,,1,10,---,---,---,---,---,---,---,4,---,2024-07-08,Kaduna,WOFAN,Ika772Q53
cda2facd-a0ec-4102-8ab7-f0fd4deab047,1,1,,,,,,,,1,10,---,---,---,---,---,---,---,4,---,2024-07-08,Kaduna,WOFAN,IkaPVYU15
ac572110-7d52-4c2d-9663-620421254216,1,1,,,,,,,,1,10,---,---,---,---,---,---,---,4,---,2024-07-08,Kaduna,WOFAN,IkaR3KB19
209db96e-3be2-4120-be68-1a22db5c6fdc,1,1,,,,,,,,1,10,---,---,---,---,---,---,---,4,---,2024-07-08,Kaduna,WOFAN,IkaJTIW25
938be3e4-b7b7-4473-9eee-3f33a3f1f93f,1,1,,,,,,,,1,10,---,---,---,---,---,---,---,4,---,2024-07-08,Kaduna,WOFAN,IkaHSZB33
f41d3c5c-0e7b-4ec9-99f4-ecfae203f94d,1,1,,,,,,,,1,10,---,---,---,---,---,---,---,4,---,2024-07-08,Kaduna,WOFAN,IkaU2V949
9d7879f9-bfea-4b85-9ca4-be9339a26f56,1,1,,,,,,,,1,10,---,---,---,---,---,---,---,4,---,2024-07-08,Kaduna,WOFAN,IkaYYHO12
f1317cc4-95f4-41a0-8822-8c932ba654ee,1,1,,,,,,,,1,10,---,---,---,---,---,---,---,4,---,2024-07-08,Kaduna,WOFAN,IkaVZBP17
445d37d5-a282-47fc-8ec6-b614c1d684fd,1,1,,,,,,,,1,10,---,---,---,---,---,---,---,4,---,2024-07-08,Kaduna,WOFAN,IkaNN8O39
30032278-7e8b-4971-8f67-23bbead0613e,1,1,,,,,,,,1,10,---,---,---,---,---,---,---,4,---,2024-07-08,Kaduna,WOFAN,IkaSDP909
aa655d86-34ad-4c96-b2de-ae4bc1f785c7,1,1,,,,,,,,1,10,---,---,---,---,---,---,---,4,---,2024-07-08,Kaduna,WOFAN,Ika04AV40
08b41945-8608-4e94-b784-1faf9e7fa9d3,1,1,,,,,,,,1,10,---,---,---,---,---,---,---,4,---,2024-07-08,Kaduna,WOFAN,IkaOHO155
52bb1ae5-ad08-4301-8840-a1789b4df4f3,1,1,,,,,,,,1,10,---,---,---,---,---,---,---,4,---,2024-07-08,Kaduna,WOFAN,Ika0SSL57
fbf85dd7-6b9e-4ddf-b0be-465f6fcfa5b3,1,1,,,,,,,,1,10,---,---,---,---,---,---,---,4,---,2024-07-08,Kaduna,WOFAN,IkaWYK416
fb47cba6-2657-46f9-8645-28ee13de5218,1,1,,,,,,,,1,10,---,---,---,---,---,---,---,4,---,2024-07-08,Kaduna,WOFAN,IkaO6BR56
71303bea-61cc-4f63-8c80-5183c9f59f3c,1,1,,,,,,,,1,10,---,---,---,---,---,---,---,4,---,2024-07-08,Kaduna,WOFAN,IkaO5UZ37
8fd16df0-8cfc-4e84-871e-0fd3a0b448a9,1,1,,,,,,,,1,10,---,---,---,---,---,---,---,4,---,2024-07-08,Kaduna,WOFAN,Ika846U02
3609fbd4-ce1c-436a-b4cf-6ca2af58ac24,1,1,,,,,,,,1,10,---,---,---,---,---,---,---,4,---,2024-07-10,Jigawa,WOFAN,JahJ7Q010
42f4bc01-a578-41c9-8fee-f64ca2127e61,1,1,,,,,,,,1,10,---,---,---,---,---,---,---,4,---,2024-07-10,Jigawa,WOFAN,JahYIB038
17d2b57c-748c-4e05-a686-ac2314e3521f,1,1,,,,,,,,1,10,---,---,---,---,---,---,---,4,---,2024-07-10,Jigawa,WOFAN,JahGUXY02
92baf24e-ac0e-4e53-bd13-8c621c8ca8b7,1,1,,,,,,,,1,10,---,---,---,---,---,---,---,4,---,2024-07-10,Jigawa,WOFAN,JahBJEC26
05ba4392-03c8-4326-8888-b435557610eb,1,1,,,,,,,,1,10,---,---,---,---,---,---,---,4,---,2024-07-10,Jigawa,WOFAN,JahZM8719
85ab688e-a391-4fd2-b54d-ee9b8b794ce8,1,1,,,,,,,,1,10,---,---,---,---,---,---,---,4,---,2024-07-10,Jigawa,WOFAN,JahW9WX15
6978c3f6-d32b-4d5c-9e52-dbc4bc70bef2,1,1,,,,,,,,1,10,---,---,---,---,---,---,---,4,---,2024-07-10,Jigawa,WOFAN,JahV17J37
08be5ce1-836c-4d0d-a194-0d8ac9025305,1,1,,,,,,,,1,10,---,---,---,---,---,---,---,4,---,2024-07-10,Jigawa,WOFAN,JahT8K623
a8feb5a4-c016-4ce6-b97c-76115b07f66e,1,1,,,,,,,,1,10,---,---,---,---,---,---,---,4,---,2024-07-10,Jigawa,WOFAN,Jah5PWF29
8aeee2a3-d458-47e6-a6ee-21d5f69492b7,1,1,,,,,,,,1,10,---,---,---,---,---,---,---,4,---,2024-07-10,Jigawa,WOFAN,JahH1F212
d538e9fe-2935-4266-9bd8-8f29e9a81b8c,1,1,,,,,,,,1,10,---,---,---,---,---,---,---,4,---,2024-07-10,Jigawa,WOFAN,JahB2GF38
555de629-e8fc-43a3-9cb3-c3af7db5dfe2,1,1,,,,,,,,1,10,---,---,---,---,---,---,---,4,---,2024-07-10,Jigawa,WOFAN,JahU7GA44
634463ee-0081-4755-a3c4-c1253fc4f8ae,1,1,,,,,,,,1,10,---,---,---,---,---,---,---,4,---,2024-07-10,Jigawa,WOFAN,JahPV3N51
682f128f-793b-4bfd-a9fe-3822e4a547a0,1,1,,,,,,,,1,10,---,---,---,---,---,---,---,4,---,2024-07-10,Jigawa,WOFAN,JahLIN139
4351a6aa-8432-4fbd-be1d-09db69572551,1,1,,,,,,,,1,10,---,---,---,---,---,---,---,4,---,2024-07-10,Jigawa,WOFAN,JahG1D413
7c51684c-e9b2-42e9-a8f6-984dccb98d83,1,1,,,,,,,,1,10,---,---,---,---,---,---,---,4,---,2024-07-10,Jigawa,WOFAN,JahQEXX39
4811f3c2-f3e2-4516-85cc-cea1102f6c39,1,1,,,,,,,,1,10,---,---,---,---,---,---,---,4,---,2024-07-10,Jigawa,WOFAN,Jah8ZQD19
a983ac4d-b4d6-4420-97ed-2aecf0535d50,1,1,,,,,,,,1,10,---,---,---,---,---,---,---,4,---,2024-07-10,Jigawa,WOFAN,JahM0X706
00b20f8e-055e-47de-a9d8-14450da0da74,1,1,,,,,,,,1,10,---,---,---,---,---,---,---,4,---,2024-07-10,Jigawa,WOFAN,JahQR1426
0f856cec-b7df-41aa-963a-bd9fd8cb14a6,1,1,,,,,,,,1,10,---,---,---,---,---,---,---,1,---,2024-07-10,Jigawa,WOFAN,Jah6F5B49
8269b6a1-7a63-414e-8cbf-a38cb26b726a,1,1,,,,,,,,1,10,---,---,---,---,---,---,---,4,---,2024-07-10,Jigawa,WOFAN,JahXX8727
21089292-16f5-451e-bee5-ec48f3471b6a,1,1,,,,,,,,1,10,---,---,---,---,---,---,---,4,---,2024-07-10,Jigawa,WOFAN,JahCV4P13
032f9910-fc41-4878-8927-6d9850522d72,1,1,,,,,,,,1,10,---,---,---,---,---,---,---,4,---,2024-07-10,Jigawa,WOFAN,JahG7PI58
4765ee64-43d0-4568-997a-9cf432514d4e,1,1,,,,,,,,1,10,---,---,---,---,---,---,---,4,---,2024-07-10,Jigawa,WOFAN,JahO2FG25
8bef5250-cf18-40d6-86b8-116e6c7913cd,1,1,,,,,,,,1,10,---,---,---,---,---,---,---,4,---,2024-07-10,Jigawa,WOFAN,JahS4TF23
ab21494e-e627-4112-9257-69443e5c395c,1,1,,,,,,,,1,10,---,---,---,---,---,---,---,4,---,2024-07-10,Jigawa,WOFAN,JahNB0D39
c04d93fd-4e1b-4fbc-bf17-eb0f2921f22a,1,1,,,,,,,,1,10,---,---,---,---,---,---,---,4,---,2024-07-10,Jigawa,WOFAN,Jah8ZCH58
d113c105-cb62-44bb-81f3-10cd025ced68,1,1,,,,,,,,1,10,---,---,---,---,---,---,---,4,---,2024-07-10,Jigawa,WOFAN,JahHZXD30
fea9e804-ba06-48ad-a4d8-eb73c714d575,1,1,,,,,,,,1,10,---,---,---,---,---,---,---,4,---,2024-07-10,Jigawa,WOFAN,Jah2P3O47
acd4d0b0-a97b-4015-8dd1-112389495fd7,1,1,,,,,,,,1,10,---,---,---,---,---,---,---,4,---,2024-07-10,Jigawa,WOFAN,JahZABZ00
d682d5d7-4b97-42d8-8dca-6c4b944a059f,1,1,,,,,,,,1,10,---,---,---,---,---,---,---,4,---,2024-07-10,Jigawa,WOFAN,JahWWIW50
3c694950-455d-4baf-9332-1f4142b67a70,1,1,,,,,,,,1,10,---,---,---,---,---,---,---,4,---,2024-07-10,Jigawa,WOFAN,JahWG7L11
eeca3e3e-0500-43b7-931e-355fa3d2f05e,1,1,,,,,,,,1,10,---,---,---,---,---,---,---,4,---,2024-07-10,Jigawa,WOFAN,JahS7FY17
a0de42b4-ffd4-480c-9d05-b38f1b0c65d2,1,1,,,,,,,,1,10,---,---,---,---,---,---,---,4,---,2024-07-10,Jigawa,WOFAN,Jah3FSS00
6ade2414-d939-4839-8626-eac015abbe3c,1,1,,,,,,,,1,10,---,---,---,---,---,---,---,4,---,2024-07-10,Jigawa,WOFAN,JahDI2407
f6c086fc-b623-4f42-ba1d-e6715cbc4e89,1,1,,,,,,,,1,10,---,---,---,---,---,---,---,4,---,2024-07-10,Jigawa,WOFAN,JahSEYG52
