formid,9   Equipment(s) given to the cooperative? | Tricycle_Transporter,9   Equipment(s) given to the cooperative? | Others,9   Equipment(s) given to the cooperative? | Tricycle_carriers,9   Equipment(s) given to the cooperative? | extra,Number of Tricycle Transporter,Date,State,Implementing_Partner
4ce15932-6d55-46f4-ab4e-07a6052b9b0e,1,,,,---,2024-08-12,Kano,WOFAN
1fe5eb88-34e7-4832-a653-e21f4a0233a0,1,,,,---,2024-08-11,Kano,WOFAN
a72bff86-438f-4cd9-896e-ec3f317b8964,1,,,,---,2024-08-10,Bauchi,WOFAN
80df686b-b87d-47ee-ad3e-782e5461d1f6,1,,,,---,2024-08-10,Bauchi,WOFAN
f6e92a0e-32fe-40b4-922f-1f01fa0774b9,1,,,,---,2024-08-12,Kano,WOFAN
21274386-add8-4cf3-a1f0-a1ab0376b9f2,1,,,,---,2024-08-11,Kano,WOFAN
9c471476-a45a-42a9-b670-cab619b58804,1,,,,---,2024-08-12,Kano,WOFAN
d3eef035-a83d-4fb5-8809-1e82e4f82233,1,,,,---,2024-08-11,Kano,WOFAN
e44b9180-1dc3-4afa-be85-9251cd430621,1,,,,---,2024-08-12,Kano,WOFAN
6fcfba04-6a38-41d8-a855-7acd70b61177,1,,,,---,2024-08-11,Jigawa,WOFAN
f43df1b9-1bc5-46e9-901e-61b2540a5ec5,1,,,,---,2024-08-10,FCT,WOFAN
ab3d1aac-ad0c-47f9-bc67-afc30a603da8,1,,,,---,2024-08-12,Kano,WOFAN
358e5bc0-8440-44d5-9f6b-879ceaf9c1e9,1,,,,---,2024-08-12,Kano,WOFAN
0754eafa-a0da-4ea3-964e-e7c221f2d5a6,1,,,,---,2024-08-11,Jigawa,WOFAN
b5575376-0e3a-4ce9-bcad-7b87767d28f5,1,,,,---,2024-08-10,Kano,WOFAN
aaa270ea-635c-4678-8665-91f51366800d,1,,,,---,2024-08-12,Kano,WOFAN
4e7cf269-b994-4929-8a82-5011afe0c630,1,,,,---,2024-08-12,Kano,WOFAN
6aec282d-94d7-472d-9334-ceb812cd1c27,1,,,,---,2024-08-12,Kano,WOFAN
c07b939a-afbb-4c3c-88c6-08cb7c0b7b37,1,,,,---,2024-08-12,Kano,WOFAN
cf466712-7b6c-4699-9774-db27a4c2bc7e,1,,,,---,2024-08-11,Kano,WOFAN
3c638c05-05b4-4157-8a33-3f6be129726a,1,,,,---,2024-08-12,Kano,WOFAN
60a0079f-aaad-49c8-892b-2bae2b302009,1,,,,---,2024-08-12,Kano,WOFAN
fd8eb1e3-2eff-43a8-ae47-8b58c094bae9,1,,,,---,2024-08-10,Kano,WOFAN
a71c56f3-97b5-45b6-8e2e-72b8f49736d4,1,,,,---,2024-08-10,Gombe,WOFAN
43d1ab6d-acff-4129-9998-4d79ac44eebf,1,,,,---,2024-08-10,FCT,WOFAN
b8db65f5-5e17-495a-b158-fba7afda18c5,1,,,,---,2024-08-11,Kano,WOFAN
0eb904ae-ad36-438f-8897-30a8250a9ef7,1,,,,---,2024-08-11,Kano,WOFAN
8f6248df-2af4-48e0-a789-2ce596181727,1,,,,---,2024-08-11,Jigawa,WOFAN
32242f31-a809-4b19-b990-df69826abe06,1,,,,---,2024-08-12,Kano,WOFAN
08f4bc1c-c83a-4834-be1e-20d8a47dc38b,1,,,,---,2024-08-11,Kano,WOFAN
b7000772-9fc7-43ab-9529-c2abde593ac1,1,,,,---,2024-08-10,Bauchi,WOFAN
9bb0d62c-1c29-4098-9b25-a4d26c6a1a0c,1,,,,---,2024-08-10,FCT,WOFAN
9b7051c2-23ed-4baf-97e9-8ab5f5de40ed,1,,,,---,2024-08-11,Jigawa,WOFAN
fc9894ef-28b3-4fb3-986f-2e0142a6e726,1,,,,---,2024-08-10,FCT,WOFAN
28472dd6-c5f6-4b69-ae9f-729fe1735626,1,,,,---,2024-08-09,FCT,WOFAN
d3e2d1ff-f44c-4279-a0a8-e4cafeaaadcc,1,,,,---,2024-08-10,Gombe,WOFAN
4aa021bc-6463-44ce-9715-6b55f55dba24,1,,,,---,2024-08-09,Gombe,WOFAN
6ff1cc25-3c7c-44b1-b014-51dfebc10009,1,,,,---,2024-08-12,FCT,WOFAN
abb525c3-7f55-4efe-8cbf-0e8ce8ad2eee,1,,,,---,2024-08-12,Kano,WOFAN
3dbd119d-ccf2-4d2e-8723-63c7d444a360,1,,,,---,2024-08-11,FCT,WOFAN
6cff16de-5493-40f0-bd0f-a9cfc8ffeb0c,1,,,,---,2024-08-10,FCT,WOFAN
e67bb623-461f-40f2-bbbd-589ce08698a7,1,,,,---,2024-08-11,Gombe,WOFAN
5990a830-0f9b-4717-99a2-9175b6f4af5b,1,,,,---,2024-08-12,Kano,WOFAN
76c94ae3-ff5e-4f03-9eee-3baeb6fd9c91,1,,,,---,2024-08-12,Kano,WOFAN
913f4046-7868-4f8f-890e-2a9a802cfe5d,1,,,,---,2024-08-12,Kano,WOFAN
5e1ec326-ba15-487a-a810-d0e23ac22a0e,1,,,,---,2024-08-11,Jigawa,WOFAN
19285229-5bfa-41ce-b6b9-9ad0753cc4e3,1,,,,---,2024-08-10,Gombe,WOFAN
7f82d779-6e0c-4be0-96db-82fb4a626f93,1,,,,---,2024-08-12,Kano,WOFAN
6d545628-27d7-4ce6-ad12-4a8b61e34d6d,1,,,,---,2024-08-11,Kano,WOFAN
76aef2a4-2533-475c-9276-8c3c657ae002,1,,,,---,2024-08-11,Kano,WOFAN
ef2a4971-770c-4b3e-819c-29793c47eeec,1,,,,---,2024-08-10,FCT,WOFAN
d0184931-c2d2-49fb-8f97-1e833d541ffc,1,,,,---,2024-08-12,Kano,WOFAN
c9efb2c5-380c-4a32-b343-6408c85e3a8b,1,,,,---,2024-08-11,Jigawa,WOFAN
a74eb153-6f14-411a-a818-3851b4cd9762,1,,,,---,2024-08-12,Kano,WOFAN
e41c080c-0c93-4e34-93b9-367880000b1a,1,,,,---,2024-08-11,Jigawa,WOFAN
95d81775-31f7-4270-8590-cad113f49da1,1,,,,---,2024-08-12,Kano,WOFAN
89761f66-eb8f-4530-a663-2455e0a084fb,1,,,,---,2024-08-12,Kano,WOFAN
5297e951-9a78-4b2b-956b-4c50d3d5339f,1,,,,---,2024-08-10,Gombe,WOFAN
dd24db1f-00bc-4393-baee-3dfd1416b010,1,,,,---,2024-08-12,Kano,WOFAN
da33f36b-a7a6-47a4-bbd8-a92a3b346224,1,,,,---,2024-08-10,FCT,WOFAN
c3b8572f-93d2-48ab-b8fd-7047eade296b,1,,,,---,2024-08-10,Bauchi,WOFAN
a74733f9-e147-475a-9bdb-accb72012d01,1,,,,---,2024-08-12,Kano,WOFAN
9681520e-8de0-41cf-9a08-f49199dbfefc,1,,,,---,2024-08-12,Kano,WOFAN
60ad068e-9d34-4684-a0a0-ef8e4d1dabdd,1,,,,---,2024-08-10,FCT,WOFAN
c530e59b-73d8-4c16-afdd-17b739d7b4bc,1,,,,---,2024-08-10,Gombe,WOFAN
9620eb33-7884-4184-9f57-387dee03e7f0,1,,,,---,2024-08-11,Jigawa,WOFAN
4415741c-ef9f-4d2c-90cf-ad92e9bbf722,1,,,,---,2024-08-09,Kaduna,WOFAN
90b78d02-3605-4842-87f9-ea496d498222,1,,,,---,2024-08-11,Jigawa,WOFAN
359db5aa-ca91-4a92-a4dc-419ab4cfaf1d,1,,,,---,2024-08-12,Kano,WOFAN
46ee5e87-b57b-4c58-b7e1-f96b76d35abb,1,,,,---,2024-08-12,Kano,WOFAN
95f7b849-6064-4b9f-97b5-ea6d2573d99e,1,,,,---,2024-08-12,Kano,WOFAN
a2c3f019-4bc7-475d-a48f-c84ccf60843c,1,,,,---,2024-08-11,Jigawa,WOFAN
fe7553d1-c609-4207-83bc-67b15ce579ab,1,,,,---,2024-08-12,Kano,WOFAN
00110282-3f7e-4b7b-aa85-e5eef0fa9a45,1,,,,---,2024-08-12,Kano,WOFAN
b2f385cc-275f-49fb-a881-a0b2a9086afd,1,,,,---,2024-08-10,FCT,WOFAN
f1a0f292-ec01-46d3-9e34-de9dc0f9c0a1,1,,,,---,2024-08-11,Kano,WOFAN
29aa76a0-70cf-45dc-a2de-a75f95dc1913,1,,,,---,2024-08-12,Kano,WOFAN
63b66ce7-3b32-4c94-aea7-25d198aa67a4,1,,,,---,2024-08-12,Kano,WOFAN
dd5835ec-b482-4c60-aebb-47150dc178aa,1,,,,---,2024-08-12,Kano,WOFAN
1ef1ab23-075b-4e92-ab64-7c31ce8f33e4,1,,,,---,2024-08-12,Kano,WOFAN
ef849608-7633-4683-b862-589ebba0d5ba,1,,,,---,2024-08-11,Jigawa,WOFAN
584a578a-2032-4062-a171-370dae7a3315,1,,,,---,2024-08-12,Kano,WOFAN
0d810bbe-db6e-4140-99ef-87a56f0dd014,1,,,,---,2024-08-11,Jigawa,WOFAN
3b3ee5bc-2e1a-4b1c-a974-932c5dd4c841,1,,,,---,2024-08-10,Kano,WOFAN
ff514ca0-55c0-4680-80c5-fd5c76f77458,1,,,,---,2024-08-11,Jigawa,WOFAN
65356eef-b949-4290-a1e2-ae5d777df58c,1,,,,---,2024-08-11,Jigawa,WOFAN
00d72a8d-654f-4bf9-96f0-67f8cf291122,1,,,,---,2024-08-11,Kano,WOFAN
b6f6f0bc-2a8e-4aff-85a8-109ad305dc6c,1,,,,---,2024-08-12,Kano,WOFAN
677c57ad-738d-4748-a144-0d725ae058e1,1,,,,---,2024-08-10,FCT,WOFAN
05f86c15-cb2e-4eac-ad68-c35315f15318,1,,,,---,2024-08-12,Kano,WOFAN
b0d13f94-6631-4f03-9576-4091861f3d9f,1,,,,---,2024-08-10,Gombe,WOFAN
32c72331-5f81-466b-a601-4466ee014f1c,1,,,,---,2024-08-12,Kano,WOFAN
b700941c-1b85-4ecb-b5ac-dbfed35a00a5,1,,,,---,2024-08-11,Jigawa,WOFAN
4af5123f-1312-4bde-9b84-6c9648897344,1,,,,---,2024-08-12,Kano,WOFAN
27554fc7-a68c-4b49-87cb-3986d18301eb,1,,,,---,2024-08-10,Gombe,WOFAN
1c6b0110-7927-4cb9-a51f-5a224122417c,1,,,,---,2024-08-12,Kano,WOFAN
7604d186-d683-4a12-9a68-43a1bda47a9d,1,,,,---,2024-08-12,Kano,WOFAN
b1519d28-a9a1-43c3-b185-393a70cf69b1,1,,,,---,2024-08-12,Kano,WOFAN
0dbaf084-89ce-43cf-9800-fbe896f534b1,1,,,,---,2024-08-12,Kano,WOFAN
38383b34-3f6c-479f-abc5-aa661962ad7f,1,,,,---,2024-08-10,Bauchi,WOFAN
ab9f2cda-ffcf-40e5-9806-c508d2f3c933,1,,,,---,2024-08-11,Jigawa,WOFAN
f43d0303-c306-4bb9-ad27-95ee350b053d,1,,,,---,2024-08-11,Jigawa,WOFAN
ef9eda45-2e1b-41b8-bfd0-e3a57d000cb0,1,,,,---,2024-08-12,Kano,WOFAN
0886c014-c78a-4c60-92b7-5bec213248e3,1,,,,---,2024-08-10,FCT,WOFAN
996b9756-8ce9-4405-abd9-655df44b3303,1,,,,---,2024-08-12,Kano,WOFAN
51bfb6d3-77d8-4531-86bc-c2123a15fad8,1,,,,---,2024-08-10,Bauchi,WOFAN
47ad0589-b03e-474b-bf85-d5e859c74646,1,,,,---,2024-08-11,Jigawa,WOFAN
7de71feb-b6ab-41eb-aa80-071300d72703,1,,,,---,2024-08-10,Jigawa,WOFAN
60359df5-8a7c-476d-8ebd-d4b03af7b81e,1,,,,---,2024-08-10,FCT,WOFAN
a6d89917-96d0-4d01-884c-6986227b9d0f,1,,,,---,2024-08-11,Jigawa,WOFAN
d0436eb0-bef9-4bba-a12c-527d025fdd45,1,,,,---,2024-08-10,Gombe,WOFAN
9c208866-4897-4749-9d43-46c85cc60c3f,1,,,,---,2024-08-12,Kano,WOFAN
c6910bbb-0d10-4c50-aa39-5b3e88f941df,1,,,,---,2024-08-12,Kano,WOFAN
44ff9bdb-1975-4572-8de7-a49845eca40b,1,,,,---,2024-08-12,Kano,WOFAN
45d98379-6f9d-4da4-9e09-b8426b4ae496,1,,,,---,2024-08-10,Bauchi,WOFAN
b5f64fee-854e-4674-a1e1-266548eb63b0,1,,,,---,2024-08-11,Jigawa,WOFAN
1f671aad-6c6d-4e76-8ba6-43448d66a5ae,1,,,,---,2024-08-11,Jigawa,WOFAN
4832f057-33e4-48d1-83a1-a05937664f03,1,,,,---,2024-08-11,Jigawa,WOFAN
6cdf70ef-774f-4953-8133-cc71ba570e11,1,,,,---,2024-08-10,Jigawa,WOFAN
31fb82db-45b3-41ff-bb00-be46212b9120,1,,,,---,2024-08-11,Jigawa,WOFAN
1e3f75fe-1dfc-4ce1-9030-e11eea26a7b5,1,,,,---,2024-08-09,Kano,WOFAN
2be924b7-4dbb-4da7-aeca-f71e16d846df,1,,,,---,2024-08-11,Jigawa,WOFAN
4626a669-4117-4960-b2ce-4b3a1671988b,1,,,,---,2024-08-11,Jigawa,WOFAN
ba587ea9-1432-4f59-9a21-76fb66f44485,1,,,,---,2024-08-11,Jigawa,WOFAN
6cef5ade-c4d2-4d06-a4c6-5e39c2fda57d,1,,,,---,2024-08-12,Kano,WOFAN
df9e48ca-ad13-4ebd-98d7-3ed4ebcfa49f,1,,,,---,2024-08-11,Jigawa,WOFAN
e5bba932-b6bb-4b46-b5da-03ff9bd5b2fe,1,,,,---,2024-08-10,FCT,WOFAN
08175464-0274-493e-b7a2-2659c6556f4a,1,,,,---,2024-08-12,Jigawa,WOFAN
baf1513e-60db-4d3e-8255-cf77f348a24f,1,,,,---,2024-08-11,Kano,WOFAN
3ffa0adc-6fe8-4023-b482-7b907c2023a8,1,,,,---,2024-08-11,Kano,WOFAN
10b09dc7-e6e3-49f3-8572-f4c6d3b6d17e,1,,,,---,2024-08-11,Jigawa,WOFAN
3902ef6c-7d43-492e-9b31-4aa67adf08e4,1,,,,---,2024-08-12,Kano,WOFAN
0cef866d-90c9-493f-8a43-027a44f1f8d5,1,,,,---,2024-08-10,FCT,WOFAN
6790b3bf-6a0f-47e0-8e40-772d4527692c,1,,,,---,2024-08-10,FCT,WOFAN
fb6d5ab4-aa62-4dc2-9f6f-ef9e987e91e0,1,,,,---,2024-08-11,Jigawa,WOFAN
fb586f10-283a-4bd5-8aa2-1115c344629a,1,,,,---,2024-08-10,Bauchi,WOFAN
809b60dd-ceac-46fb-b1b9-839deacba91d,1,,,,---,2024-08-10,Gombe,WOFAN
df932961-3554-4c11-bc34-1dd45a927f3b,1,,,,---,2024-08-10,Gombe,WOFAN
62bbddf5-62fa-45b4-ba0a-b3a4693b0709,1,,,,---,2024-08-10,Kano,WOFAN
6f73b72e-5d41-4b23-8b8b-5ba2d931fb6d,1,,,,---,2024-08-11,Jigawa,WOFAN
6f1b9338-6e14-400d-973b-a995847d3e70,1,,,,---,2024-08-10,Bauchi,WOFAN
a0edbc06-8637-4678-a48e-5c883d9e6b8c,1,,,,---,2024-08-10,Bauchi,WOFAN
3dba7f93-77c7-4e25-88c3-496b54f061ff,1,,,,---,2024-08-10,Gombe,WOFAN
c2043e5d-0e9c-4efa-8e6c-8677ebb8f80f,1,,,,---,2024-08-11,Kano,WOFAN
6b8ac653-821f-4f86-8e7a-c11e24102aed,1,,,,---,2024-08-11,Jigawa,WOFAN
bc5e9503-b0d7-4311-b2ca-fb843152dad1,1,,,,---,2024-08-09,Kaduna,WOFAN
1f43c7c2-f1b5-4851-b2e4-6e9577f2adee,1,,,,---,2024-08-10,FCT,WOFAN
709ee5be-4e4d-4adb-b964-08f199e73724,1,,,,---,2024-08-10,Gombe,WOFAN
2e1f3a70-fd68-4ea0-adf8-d8e9ae75836b,1,,,,---,2024-08-12,Kano,WOFAN
f55d7856-065c-4392-853d-92f079a2c7cb,1,,,,---,2024-08-11,Jigawa,WOFAN
7b6803c7-992d-40db-8188-5451ad83e66f,1,,,,---,2024-08-10,Bauchi,WOFAN
7c480d90-f4d4-43ef-935d-b0252054225d,1,,,,---,2024-08-10,Gombe,WOFAN
b36d7d4b-9b30-49ab-967a-51f2281004ca,1,,,,---,2024-08-09,Kaduna,WOFAN
70c9ce1f-e3e6-4e90-9de3-4355f3399bac,1,,,,---,2024-08-11,Jigawa,WOFAN
74e55f02-25a8-4ece-b434-cc6d727d2ec0,1,,,,---,2024-08-11,Jigawa,WOFAN
e89afea8-5b8c-40d4-ba75-6131917622de,1,,,,---,2024-08-12,Kano,WOFAN
861f0ebc-5ea8-45c7-bf54-d00c5aa56b50,1,,,,---,2024-08-11,Jigawa,WOFAN
0ab49492-b9d8-4c9b-8836-c8c285c7860e,1,,,,---,2024-08-10,Gombe,WOFAN
ce2945d4-3a07-4ffd-8cab-9cc4ea68331c,1,,,,---,2024-08-10,Gombe,WOFAN
8ee034fb-9bc1-4472-98d6-339b1a096418,1,,,,---,2024-08-10,Kano,WOFAN
2be77b07-0732-4ba5-bdb5-6eff05e2061c,1,,,,---,2024-08-11,Jigawa,WOFAN
a6e5a6d3-f6e9-405e-855b-ec63def666d3,1,,,,---,2024-08-10,Kano,WOFAN
efed5b02-a2de-4ecb-a39c-837006d638fc,1,,,,---,2024-08-12,Jigawa,WOFAN
c48dac89-f07b-4789-bb83-2616bb1f5aeb,1,,,,---,2024-08-10,Bauchi,WOFAN
2a887627-1715-4878-921a-cfe89c581da2,1,,,,---,2024-08-11,Jigawa,WOFAN
5ca77a00-929e-400a-bb34-a53f0f207ab4,1,,,,---,2024-08-11,Jigawa,WOFAN
dc914a30-0867-4668-a12d-7df4e3c80ceb,1,,,,---,2024-08-11,Kano,WOFAN
cf27f8f5-b073-4822-8f32-eb41c02245b9,1,,,,---,2024-08-11,Jigawa,WOFAN
d56577a5-176d-4b7c-995d-31b428f8ea81,1,,,,---,2024-08-10,Jigawa,WOFAN
9448161b-6771-4eea-b13d-e034aed5682c,1,,,,---,2024-08-10,Kaduna,WOFAN
ffe0e8b9-b967-48c4-ae21-5a483053af70,1,,,,---,2024-08-11,Jigawa,WOFAN
0c8bae2c-57e1-45cf-ac60-731609c90d5f,1,,,,---,2024-08-12,Kano,WOFAN
49472136-e1ad-4236-b74a-81623202783f,1,,,,---,2024-08-11,Jigawa,WOFAN
d14f5599-27ca-4560-bab0-3985f397671e,1,,,,---,2024-08-09,Kaduna,WOFAN
2b420b37-8dd7-46c5-9013-7b548deb89a4,1,,,,---,2024-08-10,Gombe,WOFAN
4f478727-fffd-4a8c-8ac1-503c3c3b2124,1,,,,---,2024-08-11,Jigawa,WOFAN
f5d81ad7-f7e3-41d2-b9ed-2e231d43a178,1,,,,---,2024-08-09,Kaduna,WOFAN
059fe4f8-027c-423d-84dc-19fde74f98aa,1,,,,---,2024-08-09,Bauchi,WOFAN
eb6d589d-42ea-491b-841f-8121d317de79,1,,,,---,2024-08-11,Jigawa,WOFAN
5c97a21c-ddd2-4463-b4a7-23e517ed39cb,1,,,,---,2024-08-11,Jigawa,WOFAN
f146cee5-e72c-4598-8d85-a83d181dae41,1,,,,---,2024-08-10,Kano,WOFAN
e584ed51-9296-4d04-b380-1a32d4c96f9c,1,,,,---,2024-08-12,Kano,WOFAN
86ea0882-709e-4e2c-87ad-bdb4950c2b58,1,,,,---,2024-08-10,Kaduna,WOFAN
59cc5f8c-f658-485c-a59b-1650b629914c,1,,,,---,2024-08-11,Jigawa,WOFAN
53406d86-cdaa-4d7b-90a1-6568a4649696,1,,,,---,2024-08-11,Jigawa,WOFAN
a3b14b47-bc13-40aa-bd6a-3b347677bcc4,1,,,,---,2024-08-10,Kano,WOFAN
1ca1f61f-c65b-4d6d-983b-9494572ea4ab,1,,,,---,2024-08-11,Jigawa,WOFAN
505f0e7c-2a60-412f-beae-281e245a28ef,1,,,,---,2024-08-11,Jigawa,WOFAN
1b2478c0-a004-49c7-badc-5305fdad5065,1,,,,---,2024-08-11,Jigawa,WOFAN
700316ec-53fd-471c-8688-f95cdbb0dc91,1,,,,---,2024-08-09,Kaduna,WOFAN
a542a2ff-fd1b-47fd-8b47-ef0e86289492,1,,,,---,2024-08-11,Jigawa,WOFAN
8b478079-71e3-46a5-837a-e6ff4eb231ea,1,,,,---,2024-08-10,Kano,WOFAN
1d8a225b-e5bf-4f46-9e7d-9f4881dd0c82,1,,,,---,2024-08-11,Jigawa,WOFAN
cd4077e1-7d3f-44c5-ad72-56847889b07e,1,,,,---,2024-08-10,Kaduna,WOFAN
0543881d-38c5-44ab-8f19-fc44bb23b968,1,,,,---,2024-08-11,Jigawa,WOFAN
3ba3c538-0083-45fe-9c6d-587dae8786f3,1,,,,---,2024-08-11,Jigawa,WOFAN
e5fa83a2-276f-41c2-b0fe-5ba05039a814,1,,,,---,2024-08-09,Kaduna,WOFAN
cda68831-4f61-4cbc-a453-2e740fa53009,1,,,,---,2024-08-11,Jigawa,WOFAN
658c4b88-ab34-4ada-88ea-745b3277a3e2,1,,,,---,2024-08-11,Jigawa,WOFAN
df3301a7-a203-459c-8c4c-8a08a8b7ade8,1,,,,---,2024-08-12,Kano,WOFAN
59cc448d-e06d-465b-941e-03e59ff8ffa2,1,,,,---,2024-08-09,Kaduna,WOFAN
5f338a30-92d8-437c-aaeb-99bdbcfb7af5,1,,,,---,2024-08-10,FCT,WOFAN
f3ac955d-ef73-4972-b11b-0fc2a8c740ce,1,,,,---,2024-08-11,Jigawa,WOFAN
59811457-a500-4bb5-ac1d-de00f385c35d,1,,,,---,2024-08-10,Kano,WOFAN
da1db971-3892-4e04-b0a0-ba2ae77ef13c,1,,,,---,2024-08-10,Kano,WOFAN
4b2888f8-0996-45f7-bb7c-d500fb052956,1,,,,---,2024-08-09,Kaduna,WOFAN
2c235b18-0a80-4845-a9ca-87242f1f1854,1,,,,---,2024-08-12,Kano,WOFAN
2ffead7d-8c16-43af-9da3-8194e635aedf,1,,,,---,2024-08-10,Kano,WOFAN
3eec1e44-de4a-4e07-86d5-96fdfb8d6d4b,1,,,,---,2024-08-11,Kano,WOFAN
68229bbd-1e7c-40b4-9335-4062f44a96b5,1,,,,---,2024-08-10,Kano,WOFAN
f3a7e7b4-dd3b-42db-908f-7e7f63f4d28c,1,,,,---,2024-08-10,Jigawa,WOFAN
3c47fa56-c386-4c67-ac41-1b9c77b02048,1,,,,---,2024-08-12,Jigawa,WOFAN
5dd49ce1-e4fa-4e81-859a-80c9d5f93f70,1,,,,---,2024-08-12,Kano,WOFAN
f3f652dc-8374-4b05-a902-a01cb88b94af,1,,,,---,2024-08-09,Kano,WOFAN
1db7aed0-8be9-4c5f-97c0-eb1f0bb57ace,1,,,,---,2024-08-10,Gombe,WOFAN
3e472665-e0ca-4442-acc4-4223ff55ddd5,1,,,,---,2024-08-10,Kaduna,WOFAN
