formid,1  Training Date (Ranar horo),2  Name of Training or Title (Taken horo),form/Case_Data/Comm_Partner_ID,form/Case_Data/Gender,form/Case_Data/Gender_and_Age,form/Case_Data/Disability_Status_class,form/Case_Data/State,form/Case_Data/LGA,form/Case_Data/IDP_Classification,username
13465d65-4742-4bd5-8783-ca81ae6f079b,2024-07-23,"Group_Formation,_Dynamics_and_financial_literary",ShoSIAJX127,Male,Male Youth,No disability,Gombe,Shongom,Non-IDP,sha06
a3cfc8dc-cefe-450b-90c9-acbfc3b31e5c,2024-07-23,"Group_Formation,_Dynamics_and_financial_literary",ShoCVW5ZJ34,Male,Male Youth,No disability,Gombe,Shongom,Non-IDP,sha06
31d4044e-e812-4c8b-8dc7-157a23cbe892,2024-07-23,"Group_Formation,_Dynamics_and_financial_literary",ShoEX1AI944,Male,Male Youth,No disability,Gombe,Shongom,Non-IDP,sha06
42bf6baf-782d-42ed-9b81-fe480ea08c61,2024-07-23,"Group_Formation,_Dynamics_and_financial_literary",ShoFCKCX334,Male,Male Youth,No disability,Gombe,Shongom,Non-IDP,sha06
e85ae5e0-5783-4cc3-9f72-6ab5a7ca42cc,2024-07-23,"Group_Formation,_Dynamics_and_financial_literary",ShoQXX7ED14,Male,Male Youth,No disability,Gombe,Shongom,Non-IDP,sha06
2d7c361f-d261-490c-8ef8-431370f8677c,2024-07-23,"Group_Formation,_Dynamics_and_financial_literary",Sho9BNMUI56,Male,Male Youth,No disability,Gombe,Shongom,Non-IDP,sha06
df777dd0-af9e-4751-904d-c33bbd03f40a,2024-07-23,"Group_Formation,_Dynamics_and_financial_literary",Sho9BNMUI56,Male,Male Youth,No disability,Gombe,Shongom,Non-IDP,sha06
97722895-005e-4293-9294-a4048e76dd56,2024-07-23,"Group_Formation,_Dynamics_and_financial_literary",ShoFKS1TS57,Male,Male Youth,No disability,Gombe,Shongom,Non-IDP,sha06
bb169614-6a7a-49c2-9a4b-ac366422f8fc,2024-07-23,"Group_Formation,_Dynamics_and_financial_literary",Sho61FEQ819,Male,Male Youth,No disability,Gombe,Shongom,Non-IDP,sha06
6aa04689-7afe-4a4f-9249-8906234c36d9,2024-07-23,"Group_Formation,_Dynamics_and_financial_literary",ShoJKSASP13,Male,Male Youth,No disability,Gombe,Shongom,Non-IDP,sha06
477052b5-0696-4614-90f0-9ae6052aea41,2024-07-23,"Group_Formation,_Dynamics_and_financial_literary",TafQWAIA952,Male,Male Youth,No disability,Bauchi,Tafawa_Balewa,Non-IDP,taf02
f37d0e52-15f8-4180-8937-b3984824e37d,2024-07-23,"Group_Formation,_Dynamics_and_financial_literary",TafUP9SBQ19,Male,Male Youth,No disability,Bauchi,Tafawa_Balewa,Non-IDP,taf02
7986f3b3-5cfd-4e2b-99cb-f45504f3ca11,2024-07-23,"Group_Formation,_Dynamics_and_financial_literary",TafLZFLZI21,Male,Male Youth,No disability,Bauchi,Tafawa_Balewa,Non-IDP,taf02
a7990105-ddad-421b-ad11-af607ad4e208,2024-07-23,"Group_Formation,_Dynamics_and_financial_literary",TafHTHP0F30,Male,Male Youth,No disability,Bauchi,Tafawa_Balewa,Non-IDP,taf02
f38e6ec1-0c33-4a17-a4f0-c4ca01ab50ed,2024-07-23,"Group_Formation,_Dynamics_and_financial_literary",TafPOO5NC02,Male,Male Youth,No disability,Bauchi,Tafawa_Balewa,Non-IDP,taf02
607ab014-a893-45e2-bc40-e9dddaea7d77,2024-07-23,"Group_Formation,_Dynamics_and_financial_literary",Taf77MTNH48,Male,Male Youth,No disability,Bauchi,Tafawa_Balewa,Non-IDP,taf02
34129c67-d5a0-47ec-beef-a3fda7fa0faa,2024-07-23,"Group_Formation,_Dynamics_and_financial_literary",Taf40C84Y57,Male,Male Youth,No disability,Bauchi,Tafawa_Balewa,Non-IDP,taf02
691c1155-f7d9-414b-a5fc-807233810984,2024-07-23,"Group_Formation,_Dynamics_and_financial_literary",TafRVQWO254,Male,Male Youth,No disability,Bauchi,Tafawa_Balewa,Non-IDP,taf02
7ec5f296-0170-4686-9e70-0aaaef8e34ad,2024-07-23,"Group_Formation,_Dynamics_and_financial_literary",TafQS2F6323,Male,Male Youth,No disability,Bauchi,Tafawa_Balewa,Non-IDP,taf02
18827c47-1450-4c01-b89a-7bbc8373aa03,2024-07-23,"Group_Formation,_Dynamics_and_financial_literary",TafI4BZSY45,Male,Male Youth,No disability,Bauchi,Tafawa_Balewa,Non-IDP,taf02
db78f848-5707-41a0-bf0a-f2cb07a65e8d,2024-07-23,"Group_Formation,_Dynamics_and_financial_literary",TafIBXFZZ11,Male,Male Youth,No disability,Bauchi,Tafawa_Balewa,Non-IDP,taf02
94d05f0f-d7c7-4c3f-8935-224c000d1574,2024-07-23,"Group_Formation,_Dynamics_and_financial_literary",TafE0GJI445,Male,Male Youth,No disability,Bauchi,Tafawa_Balewa,Non-IDP,taf02
f58e8b8f-7fc5-434b-94ed-9569290cd41b,2024-07-23,"Group_Formation,_Dynamics_and_financial_literary",TafEULJK737,Male,Male Youth,No disability,Bauchi,Tafawa_Balewa,Non-IDP,taf02
33bf5593-cb36-4983-bbc6-243ffe095b68,2024-07-23,"Group_Formation,_Dynamics_and_financial_literary",Taf0Q1UOK59,Male,Male Youth,No disability,Bauchi,Tafawa_Balewa,Non-IDP,taf02
a8846d9e-9964-4ee6-9664-d5a82fd526c4,2024-07-23,"Group_Formation,_Dynamics_and_financial_literary",TafT9ANHP23,Male,Male Youth,No disability,Bauchi,Tafawa_Balewa,Non-IDP,taf02
d21d3d1e-7113-436d-b22d-68c9fece628f,2024-07-23,"Group_Formation,_Dynamics_and_financial_literary",Taf9AMAVZ13,Male,Male Youth,No disability,Bauchi,Tafawa_Balewa,Non-IDP,taf02
708566da-c528-4403-b781-3f2c02b04ed7,2024-07-23,"Group_Formation,_Dynamics_and_financial_literary",TafGE6EA058,Male,Male Youth,No disability,Bauchi,Tafawa_Balewa,Non-IDP,taf02
db921f2c-5259-4348-bc43-ba3b887c4b0a,2024-07-23,"Group_Formation,_Dynamics_and_financial_literary",TafRSEVJ427,Male,Male Youth,No disability,Bauchi,Tafawa_Balewa,Non-IDP,taf02
27c2465f-1598-4f91-803a-4ff27c84ce48,2024-07-23,"Group_Formation,_Dynamics_and_financial_literary",TafQ3NE2Z34,Male,Male Youth,No disability,Bauchi,Tafawa_Balewa,Non-IDP,taf02
3306a5bc-2c1a-454b-97da-4949baf81988,2024-07-23,"Group_Formation,_Dynamics_and_financial_literary",TafCZKMWT42,Male,Male Youth,No disability,Bauchi,Tafawa_Balewa,Non-IDP,taf02
fb2957a9-efa9-42ea-9b69-35b684979f3b,2024-07-23,"Group_Formation,_Dynamics_and_financial_literary",Taf0F8MIP28,Male,Male Youth,No disability,Bauchi,Tafawa_Balewa,Non-IDP,taf02
06813089-9d3d-4e41-81a1-a0082ad60e7d,2024-07-23,"Group_Formation,_Dynamics_and_financial_literary",Taf3IWPBQ36,Male,Male Youth,No disability,Bauchi,Tafawa_Balewa,Non-IDP,taf02
06bf0b2c-585e-41a4-a41e-e8d6e4eff2c1,2024-07-23,"Group_Formation,_Dynamics_and_financial_literary",Taf0XV0IX19,Male,Male Youth,No disability,Bauchi,Tafawa_Balewa,Non-IDP,taf02
13b94f23-412a-40d3-a150-6b98adf30078,2024-07-23,"Group_Formation,_Dynamics_and_financial_literary",TafP1AIKE31,Male,Male Youth,No disability,Bauchi,Tafawa_Balewa,Non-IDP,taf02
e5542320-3f07-40c3-bd50-03ee0fd32946,2024-07-23,"Group_Formation,_Dynamics_and_financial_literary",TafW7LGSO09,Male,Male Youth,No disability,Bauchi,Tafawa_Balewa,Non-IDP,taf02
0db28507-fcfc-410c-b28e-c032dfa5983f,2024-07-23,"Group_Formation,_Dynamics_and_financial_literary",Taf9O97A455,Male,Male Youth,No disability,Bauchi,Tafawa_Balewa,Non-IDP,taf02
8e9ec562-d29c-439f-be1c-3be27b324072,2024-07-23,"Group_Formation,_Dynamics_and_financial_literary",Taf214NEM54,Male,Male Youth,No disability,Bauchi,Tafawa_Balewa,Non-IDP,taf02
7b55d8a7-5b27-42ca-b2c9-fde40a249978,2024-07-23,"Group_Formation,_Dynamics_and_financial_literary",TafANEU4Z35,Male,Male Youth,No disability,Bauchi,Tafawa_Balewa,Non-IDP,taf02
e281382b-76e2-431d-84c0-c2105978814e,2024-07-23,"Group_Formation,_Dynamics_and_financial_literary",Taf35679E47,Male,Male Youth,No disability,Bauchi,Tafawa_Balewa,Non-IDP,taf02
deaa6ee1-0565-4c20-aa3a-ed88df40a224,2024-07-23,"Group_Formation,_Dynamics_and_financial_literary",TafCQ01SJ06,Male,Male Youth,No disability,Bauchi,Tafawa_Balewa,Non-IDP,taf02
96c094fe-14a7-44ea-b3ad-ee45f8baa723,2024-07-23,"Group_Formation,_Dynamics_and_financial_literary",TafC87VLE26,Male,Male Youth,No disability,Bauchi,Tafawa_Balewa,Non-IDP,taf03
7c645260-da31-43ac-b8a3-b6a563a2ac61,2024-07-23,"Group_Formation,_Dynamics_and_financial_literary",TafMMBY9K04,Male,Male Youth,No disability,Bauchi,Tafawa_Balewa,Non-IDP,taf03
ae267927-5791-4ae5-9b49-aec0fbcd6d8b,2024-07-23,"Group_Formation,_Dynamics_and_financial_literary",TafXG2ZO324,Male,Male Youth,No disability,Bauchi,Tafawa_Balewa,Non-IDP,taf03
11675d51-375d-4c92-ad55-847062cf4bce,2024-07-23,"Group_Formation,_Dynamics_and_financial_literary",Taf9OF0I801,Male,Male Youth,No disability,Bauchi,Tafawa_Balewa,Non-IDP,taf03
653573b0-b1f5-4071-92ca-e1a8bbba747f,2024-07-23,"Group_Formation,_Dynamics_and_financial_literary",TafS3BUEU53,Male,Male Youth,No disability,Bauchi,Tafawa_Balewa,Non-IDP,taf03
bee006db-448a-4ace-b184-9999a2020f47,2024-07-23,"Group_Formation,_Dynamics_and_financial_literary",TafAANWHQ57,Male,Male Youth,No disability,Bauchi,Tafawa_Balewa,Non-IDP,taf03
be8cc94a-3b7e-49fb-841d-89b4c71876b5,2024-07-23,"Group_Formation,_Dynamics_and_financial_literary",Taf55TOTB28,Male,Male Youth,No disability,Bauchi,Tafawa_Balewa,Non-IDP,taf03
3edc9955-272a-41d7-83b6-119ea16b623a,2024-07-23,"Group_Formation,_Dynamics_and_financial_literary",TafKDM46T49,Male,Male Youth,No disability,Bauchi,Tafawa_Balewa,Non-IDP,taf03
b9bf3b27-9d2a-42f2-8690-ddf7d4248b56,2024-07-23,"Group_Formation,_Dynamics_and_financial_literary",TafRZXVS138,Male,Male Youth,No disability,Bauchi,Tafawa_Balewa,Non-IDP,taf03
300f355e-b192-4b75-ae1d-0a13cd5f6758,2024-07-23,"Group_Formation,_Dynamics_and_financial_literary",TafXR03I918,Male,Male Youth,No disability,Bauchi,Tafawa_Balewa,Non-IDP,taf03
a35227cb-10bf-4d92-b814-822a3757cf29,2024-07-23,"Group_Formation,_Dynamics_and_financial_literary",TafSN7XCX19,Male,Male Youth,No disability,Bauchi,Tafawa_Balewa,Non-IDP,taf03
a63c3bb5-643d-4d52-8bca-3400eb4871a7,2024-07-23,"Group_Formation,_Dynamics_and_financial_literary",Taf6BM6LA12,Male,Male Youth,No disability,Bauchi,Tafawa_Balewa,Non-IDP,taf03
972b1d64-9eea-4d24-a222-a7eb3f18e9b5,2024-07-23,"Group_Formation,_Dynamics_and_financial_literary",TafZQ0HJQ29,Male,Male Youth,No disability,Bauchi,Tafawa_Balewa,Non-IDP,taf03
a730de0e-8ff5-43fc-ba8f-5d8edff3b7f1,2024-07-23,"Group_Formation,_Dynamics_and_financial_literary",TafTPVJKV16,Male,Male Youth,Persons with disability,Bauchi,Tafawa_Balewa,Non-IDP,taf03
f1671bf9-73bb-4574-adbc-8177dbcfd11f,2024-07-23,"Group_Formation,_Dynamics_and_financial_literary",TafZD87PX12,Male,Male Youth,No disability,Bauchi,Tafawa_Balewa,Non-IDP,taf03
f5a8cfe0-275b-41b3-a60b-434e80c3822e,2024-07-23,"Group_Formation,_Dynamics_and_financial_literary",Taf4O0A0V38,Male,Male Youth,No disability,Bauchi,Tafawa_Balewa,Non-IDP,taf03
dda36236-696e-4928-86bc-fa516b98475e,2024-07-23,"Group_Formation,_Dynamics_and_financial_literary",TafRBKZZ146,Male,Male Youth,No disability,Bauchi,Tafawa_Balewa,Non-IDP,taf03
47bfe8cd-8be3-4431-9dc3-d4f2e3f1ddcf,2024-07-23,"Group_Formation,_Dynamics_and_financial_literary",TafYUZB8T57,Male,Male Youth,No disability,Bauchi,Tafawa_Balewa,Non-IDP,taf03
617d75e4-ce8a-4250-a378-c406d9814ce5,2024-07-23,"Group_Formation,_Dynamics_and_financial_literary",TafXTC2CU07,Male,Male Youth,No disability,Bauchi,Tafawa_Balewa,Non-IDP,taf03
b24cf0a8-0c45-4deb-9a9b-fea67fedaa70,2024-07-23,"Group_Formation,_Dynamics_and_financial_literary",TafWY5IO157,Male,Male Youth,No disability,Bauchi,Tafawa_Balewa,Non-IDP,taf03
193372eb-89bc-4e3e-a34c-4cdd4b971f54,2024-07-23,"Group_Formation,_Dynamics_and_financial_literary",TafR31XEL00,Male,Male Youth,No disability,Bauchi,Tafawa_Balewa,Non-IDP,taf03
e29bd036-0d6d-4056-be07-7297ef31dfb0,2024-07-23,"Group_Formation,_Dynamics_and_financial_literary",TafO3PGQT04,Male,Male Youth,No disability,Bauchi,Tafawa_Balewa,Non-IDP,taf03
f03ac39b-f8b2-49f9-bd2e-75e00f8aadf9,2024-07-23,"Group_Formation,_Dynamics_and_financial_literary",Taf2X6MA423,Male,Male Youth,No disability,Bauchi,Tafawa_Balewa,Non-IDP,taf03
ac83880b-b45d-45fe-8046-bb0278154bc6,2024-07-23,"Group_Formation,_Dynamics_and_financial_literary",TafI6DGJS05,Male,Male Youth,No disability,Bauchi,Tafawa_Balewa,Non-IDP,taf03
f380605e-6448-422b-9b00-5e6b47fe4768,2024-07-23,"Group_Formation,_Dynamics_and_financial_literary",TafOF70YL23,Male,Male Youth,No disability,Bauchi,Tafawa_Balewa,Non-IDP,taf03
0c9fce08-855e-48da-9db8-b29ee927af3a,2024-07-23,"Group_Formation,_Dynamics_and_financial_literary",Taf7UB56013,Male,Male Youth,No disability,Bauchi,Tafawa_Balewa,Non-IDP,taf03
cd504427-36ad-4c26-bae3-cf47b7e4582f,2024-07-23,"Group_Formation,_Dynamics_and_financial_literary",Jah001D6134,Male,Male Youth,No disability,Jigawa,Jahun,Non-IDP,jah51
17f6a168-25b2-438f-a0fc-79338fc480f3,2024-07-15,"Group_Formation,_Dynamics_and_financial_literary",JahC129WY55,Male,Male Youth,No disability,Jigawa,Jahun,Non-IDP,jah66
f2bb8813-adb1-44a7-9378-a4a918649950,2024-07-01,"Group_Formation,_Dynamics_and_financial_literary",Kur05UO0601,Male,Male Youth,No disability,Kano,Kura,Non-IDP,kur04
2e30573a-5065-44ff-93ab-66103edc573e,2024-07-14,"Group_Formation,_Dynamics_and_financial_literary",JahYW3RKP30,Male,Male Youth,No disability,Jigawa,Jahun,Non-IDP,jah66
f594a7d2-8be0-4e04-b4bd-195924d321be,2024-07-14,"Group_Formation,_Dynamics_and_financial_literary",JahKLP2KE12,Male,Male Youth,No disability,Jigawa,Jahun,Non-IDP,jah66
ce7f8e4a-b8d7-4fc8-be5c-232023faea78,2024-07-20,"Group_Formation,_Dynamics_and_financial_literary",GarKT5ODB15,Male,Male Youth,No disability,Kano,Garum_Mallam,Non-IDP,kur12
8af5616f-5862-41b6-89c1-240feb6c3402,2024-07-23,"Group_Formation,_Dynamics_and_financial_literary",GarQOU2M912,Male,Male Youth,No disability,Kano,Garum_Mallam,Non-IDP,kur12
b52362ab-f09d-44c3-91b9-7654bbb14fa2,2024-07-23,"Group_Formation,_Dynamics_and_financial_literary",GarW0XD3Y05,Male,Male Youth,No disability,Kano,Garum_Mallam,Non-IDP,kur12
500d6bb9-4ea1-48ad-a8a3-f1896f3385ca,2024-07-18,"Group_Formation,_Dynamics_and_financial_literary",GarZLZLVO14,Male,Male Youth,No disability,Kano,Garum_Mallam,Non-IDP,kur12
be511265-5775-4401-ad1f-555623aad9ca,2024-07-19,"Group_Formation,_Dynamics_and_financial_literary",Gar5891VV10,Male,Male Youth,No disability,Kano,Garum_Mallam,Non-IDP,kur12
939670a0-392b-4ce0-8a0f-71881be75f7f,2024-06-20,"Group_Formation,_Dynamics_and_financial_literary",GarBCD2NH40,Male,Male Youth,No disability,Kano,Garum_Mallam,Non-IDP,kur12
76525411-e880-446f-89f2-ac657c487898,2024-07-23,"Group_Formation,_Dynamics_and_financial_literary",GarZGTJ5X53,Male,Male Youth,No disability,Kano,Garum_Mallam,Non-IDP,kur12
276ccef3-7225-4795-a816-18643d3530bb,2024-07-23,"Group_Formation,_Dynamics_and_financial_literary",Gar0INAGB17,Male,Male Youth,No disability,Kano,Garum_Mallam,Non-IDP,kur12
4b06b9c1-4545-47a2-93b0-e846ccbb058f,2024-06-28,"Group_Formation,_Dynamics_and_financial_literary",GarYYS5NJ15,Male,Male Youth,No disability,Kano,Garum_Mallam,Non-IDP,kur12
e8913555-e1db-48ca-a9f6-a592af6248f9,2024-06-23,"Group_Formation,_Dynamics_and_financial_literary",GarKVAI5F55,Male,Male Youth,No disability,Kano,Garum_Mallam,Non-IDP,kur12
ae141ba8-052e-4cb1-9327-310ffa77517c,2024-06-23,"Group_Formation,_Dynamics_and_financial_literary",Gar42D3SJ11,Male,Male Youth,No disability,Kano,Garum_Mallam,Non-IDP,kur12
5ea65084-4315-4880-83a6-250c69598650,2024-07-14,"Group_Formation,_Dynamics_and_financial_literary",JahSVST8R11,Male,Male Youth,No disability,Jigawa,Jahun,Non-IDP,jah66
d7b8b856-d0be-45bc-abac-9256bb0f1ba1,2024-06-23,"Group_Formation,_Dynamics_and_financial_literary",GarD2S2SI40,Male,Male Youth,No disability,Kano,Garum_Mallam,Non-IDP,kur12
70f3f095-62da-4cc5-9707-cab7c2bb9347,2024-06-23,"Group_Formation,_Dynamics_and_financial_literary",GarPJJUTH25,Male,Male Youth,No disability,Kano,Garum_Mallam,Non-IDP,kur12
5d26bd2b-3fe0-44d5-bfb4-3148963331fd,2024-07-09,"Group_Formation,_Dynamics_and_financial_literary",KirGEYS6219,Male,Male Youth,No disability,Kano,Kiru,Non-IDP,kir18
8186d780-ed41-4374-aee4-18814f447d12,2024-06-19,"Group_Formation,_Dynamics_and_financial_literary",GarEBDH4P06,Male,Male Youth,No disability,Kano,Garum_Mallam,Non-IDP,kur12
8df6942e-6385-4e83-8f6c-d40979adc781,2024-06-23,"Group_Formation,_Dynamics_and_financial_literary",Gar8LHYM538,Male,Male Youth,No disability,Kano,Garum_Mallam,Non-IDP,kur12
8245661f-42c4-47a1-8474-5fd9ae2c042d,2024-06-23,"Group_Formation,_Dynamics_and_financial_literary",Gar8L0VKK01,Male,Male Youth,No disability,Kano,Garum_Mallam,Non-IDP,kur12
4b7125d9-e7ee-43d5-8863-db707d02a288,2024-07-02,"Group_Formation,_Dynamics_and_financial_literary",KurIVZB7O32,Male,Male Youth,No disability,Kano,Kura,Non-IDP,kur04
2729a20e-2802-4b69-ba71-8a122879afcb,2024-07-03,"Group_Formation,_Dynamics_and_financial_literary",KurQ2JDBP45,Male,Male Youth,No disability,Kano,Kura,Non-IDP,kur04
cd1fd0ba-5328-40f8-8ae5-7c60613d955b,2024-07-04,"Group_Formation,_Dynamics_and_financial_literary",Kur43PPO021,Male,Male Youth,No disability,Kano,Kura,Non-IDP,kur04
00b89c4e-47a1-450b-9740-14ce46faa60d,2024-07-05,"Group_Formation,_Dynamics_and_financial_literary",KurV02DQB10,Male,Male Youth,No disability,Kano,Kura,Non-IDP,kur04
498cb777-2e0d-47a7-b9f1-522e2caf052f,2024-07-06,"Group_Formation,_Dynamics_and_financial_literary",Kur1R750U15,Male,Male Youth,No disability,Kano,Kura,Non-IDP,kur04
42425a8e-5ea1-4030-a124-7684c3e10947,2024-07-07,"Group_Formation,_Dynamics_and_financial_literary",KurGMLMEU47,Male,Male Youth,No disability,Kano,Kura,Non-IDP,kur04
2ed67c51-a40d-4434-ab92-61c3d12a168a,2024-07-08,"Group_Formation,_Dynamics_and_financial_literary",KurN404Q639,Male,Male Youth,No disability,Kano,Kura,Non-IDP,kur04
aadbcb02-2cc9-46e3-baf4-c1f451fff343,2024-07-09,"Group_Formation,_Dynamics_and_financial_literary",Kur2FD31R53,Male,Male Youth,No disability,Kano,Kura,Non-IDP,kur04
7b4245e0-2718-43a7-8127-2dd68b1a4377,2024-07-10,"Group_Formation,_Dynamics_and_financial_literary",KurW878J356,Male,Male Youth,No disability,Kano,Kura,Non-IDP,kur04
9d4d02e1-17d8-44c9-9a17-3f8a0df03381,2024-07-11,"Group_Formation,_Dynamics_and_financial_literary",KurKMGRG754,Male,Male Youth,No disability,Kano,Kura,Non-IDP,kur04
ae6d3fd1-6181-4d3e-b5c6-c5f6c09db5df,2024-07-12,"Group_Formation,_Dynamics_and_financial_literary",KurBPJPYG49,Male,Male Youth,No disability,Kano,Kura,Non-IDP,kur04
3e107746-27ba-4dec-ba79-1bc08c984438,2024-07-13,"Group_Formation,_Dynamics_and_financial_literary",KurOIUUNY38,Male,Male Youth,No disability,Kano,Kura,Non-IDP,kur04
5f31f8ff-5dc8-4246-a461-ff8e9a049bab,2024-07-14,"Group_Formation,_Dynamics_and_financial_literary",KurIFLS5W31,Male,Male Youth,No disability,Kano,Kura,Non-IDP,kur04
18c5867b-53c2-462e-be68-b9434cc86c6b,2024-07-15,"Group_Formation,_Dynamics_and_financial_literary",KurM9VYLN44,Male,Male Youth,No disability,Kano,Kura,Non-IDP,kur04
faafc219-a14d-43bd-ab47-d9c5774c2ccb,2024-07-14,"Group_Formation,_Dynamics_and_financial_literary",Kur3X2H1F45,Male,Male Youth,No disability,Kano,Kura,Non-IDP,kur04
6656f63b-5ab3-4d5c-a287-48eb08aad98a,2024-07-13,"Group_Formation,_Dynamics_and_financial_literary",KurIRBQ0418,Male,Male Youth,No disability,Kano,Kura,Non-IDP,kur04
e63b8b07-107e-4160-af80-cd385999024d,2024-07-12,"Group_Formation,_Dynamics_and_financial_literary",Kur6TF07U06,Male,Male Youth,No disability,Kano,Kura,Non-IDP,kur04
46d734d1-bb59-410f-b815-47f89618713c,2024-07-11,"Group_Formation,_Dynamics_and_financial_literary",Kur6DMWM721,Male,Male Youth,No disability,Kano,Kura,Non-IDP,kur04
5f342d8a-99fa-455e-9a34-99abf47b6d5d,2024-07-10,"Group_Formation,_Dynamics_and_financial_literary",KurF144OA39,Male,Male Youth,No disability,Kano,Kura,Non-IDP,kur04
af4b362e-024f-4d80-a36f-0d1930408d6e,2024-07-09,"Group_Formation,_Dynamics_and_financial_literary",KurUVWUR137,Male,Male Youth,No disability,Kano,Kura,Non-IDP,kur04
bb8b9414-46ba-4120-b5d5-7dd40dc3f5e8,2024-07-08,"Group_Formation,_Dynamics_and_financial_literary",KurYM364123,Male,Male Youth,No disability,Kano,Kura,Non-IDP,kur04
2ca7d048-6c0a-4eaa-b7c5-e2d73c80219e,2024-07-07,"Group_Formation,_Dynamics_and_financial_literary",KurL7A6YU19,Male,Male Youth,No disability,Kano,Kura,Non-IDP,kur04
24227656-4e31-4360-9ea1-1258eedfc962,2024-07-07,"Group_Formation,_Dynamics_and_financial_literary",Kur8WGOK958,Male,Male Youth,No disability,Kano,Kura,Non-IDP,kur04
d2843d0f-7afe-473f-89d3-e831130caeac,2024-07-06,"Group_Formation,_Dynamics_and_financial_literary",KurL9S9OU43,Male,Male Youth,No disability,Kano,Kura,Non-IDP,kur04
33a3a992-a1ee-4038-b4e5-58b00ef69dd7,2024-06-04,"Group_Formation,_Dynamics_and_financial_literary",KurXCE30L34,Male,Male Youth,No disability,Kano,Kura,Non-IDP,kur04
1b575873-97e6-46af-9eab-28436e326495,2024-07-05,"Group_Formation,_Dynamics_and_financial_literary",Kur3NKQVF23,Male,Male Youth,No disability,Kano,Kura,Non-IDP,kur04
3ff6ba74-db5f-4f69-a101-d7ee6a5b06b1,2024-07-04,"Group_Formation,_Dynamics_and_financial_literary",Kur6VZ5IK27,Male,Male Youth,No disability,Kano,Kura,Non-IDP,kur04
9225b7f2-25ef-40de-92fb-ed354f812ddd,2024-07-03,"Group_Formation,_Dynamics_and_financial_literary",KurO4E22B03,Male,Male Youth,No disability,Kano,Kura,Non-IDP,kur04
250ebe81-6122-4255-8502-7de878a7e554,2024-07-02,"Group_Formation,_Dynamics_and_financial_literary",KurDW3UTN28,Male,Male Youth,No disability,Kano,Kura,Non-IDP,kur04
ab955858-ec67-455b-abcc-0df87f1cf927,2024-07-01,"Group_Formation,_Dynamics_and_financial_literary",KurY6137G36,Male,Male Youth,No disability,Kano,Kura,Non-IDP,kur04
7aaac19f-8ac1-4316-8ad9-58b3402e2015,2024-07-02,"Group_Formation,_Dynamics_and_financial_literary",KurYQNN6F34,Male,Male Youth,No disability,Kano,Kura,Non-IDP,kur04
9a276b1e-1da5-4d93-8cf6-ce7850aad8d8,2024-07-03,"Group_Formation,_Dynamics_and_financial_literary",KurBNSPOM55,Male,Male Youth,No disability,Kano,Kura,Non-IDP,kur04
c1783d90-9d64-4098-a2c3-5ce4d5ec54a9,2024-07-04,"Group_Formation,_Dynamics_and_financial_literary",KurZSHNVF25,Male,Male Youth,No disability,Kano,Kura,Non-IDP,kur04
