formid,NameofInputDistributionCenter,farmingseason,Date,Cluster_Unique_ID,State,Implementing_Partner,form/Inputs_for_maize/NPK_bags_to_Kg_Maize,form/Inputs_for_maize/UREA_bags_to_Kg_Maize,form/inputs_for_rice/NPK_bags_to_Kg_Rice,form/inputs_for_rice/UREA_bags_to_Kg_Rice,form/inputs_for_groundnut/NPK_bags_to_Kg_Groundnut,form/inputs_for_groundnut/UREA_bags_to_Kg_Groundnut,form/inputs_for_sorghum/NPK_bags_to_Kg_Groundnut,form/inputs_for_sorghum/UREA_bags_to_Kg_Groundnut,form/Input_totals/Total_Maize_Seed,form/Input_totals/Total_Rice_Seed,form/Input_totals/Total_Groundnut_Seed,form/Input_totals/Total_Sorghum_Seed,form/Input_totals/Totak_NPK,form/Input_totals/Total_UREA,form/Input_totals/Total_Glyphosate_ForceUP,form/Input_totals/Total_Butachlor,form/Input_totals/Total_AgriForce,form/Input_totals/Total_LaraForce,form/Input_totals/Total_SAAF,form/Input_totals/Total_GuardForce,form/Input_totals/Total_Atrazine,form/Input_totals/Total_VInash,form/Input_totals/Total_Lambda,form/Input_totals/Total_Aflasafe,form/Input_totals/Total_NPK_to_Kg,form/Input_totals/TotalUREA_to_Kg,form/Input_totals/Total_Glyspring,form/Input_totals/Total_Rice_pro,form/Input_totals/Total_Cotrazine,form/Input_totals/Total_Vanguish,form/Input_totals/Total_Striker,form/Input_totals/Total_Buster,form/Input_totals/Total_Hallakat,username
43d2b6ae-9a28-46b5-a80d-24293d515c5d,WOFAN Zaria office,Wet_Season,2024-07-09,IkaVZBP17,Kaduna,WOFAN,200,150,---,---,---,---,---,---,50,,,,4,3,2,0,0,2,1000,2,0,0,0,10,200,150,0,0,0,0,0,0,0,ika30
e70e570b-d961-4f89-b2f5-153c1a75c76d,WOFAN Aujara women centre,Wet_Season,2024-07-06,JahJ7Q010,Jigawa,WOFAN,200,150,---,---,---,---,---,---,50,,,,4,3,2,0,0,2,1000,2,0,0,0,10,200,150,0,0,0,0,0,0,0,jah60
f9c428b8-d5b8-40b1-a462-6a4386066685,WOFAN Aujara women center,Wet_Season,2024-07-06,JahYIB038,Jigawa,WOFAN,200,150,---,---,---,---,---,---,50,,,,4,3,2,0,0,2,1000,2,0,0,0,10,200,150,0,0,0,0,0,0,0,jah60
11a8a803-5af8-48e8-96f6-0c2fdeff5a73,WOFAN Aujara women center,Wet_Season,2024-07-06,JahGUXY02,Jigawa,WOFAN,200,150,---,---,---,---,---,---,50,,,,4,3,2,0,0,2,1000,2,0,0,0,10,200,150,0,0,0,0,0,0,0,jah60
cbb15e5d-86c9-4f42-a03d-728ecda8a654,WOFAN Aujara women center,Wet_Season,2024-07-06,JahBJEC26,Jigawa,WOFAN,200,150,---,---,---,---,---,---,50,,,,4,3,2,0,0,2,1000,2,0,0,0,10,200,150,0,0,0,0,0,0,0,jah60
493eaeba-0001-473d-b06b-91d8487e1928,WOFAN Aujara women center,Wet_Season,2024-07-06,JahZM8719,Jigawa,WOFAN,200,150,---,---,---,---,---,---,50,,,,4,3,2,0,0,2,1000,2,0,0,0,10,200,150,0,0,0,0,0,0,0,jah60
5c3f78bf-8902-4c46-ada0-00988d93e97e,WOFAN Aujara women center,Wet_Season,2024-07-06,JahW9WX15,Jigawa,WOFAN,200,150,---,---,---,---,---,---,50,,,,4,3,2,0,0,2,1000,2,0,0,0,10,200,150,0,0,0,0,0,0,0,jah60
41fbede2-45ef-416a-a2f2-d563b0db0a4f,WOFAN Aujara women center,Wet_Season,2024-07-06,JahV17J37,Jigawa,WOFAN,200,150,---,---,---,---,---,---,50,,,,4,3,2,0,0,2,1000,2,0,0,0,10,200,150,0,0,0,0,0,0,0,jah60
5ca07c9e-9e8c-49cc-923b-7e97cb0053ef,WOFAN Aujara women center,Wet_Season,2024-07-06,JahT8K623,Jigawa,WOFAN,200,150,---,---,---,---,---,---,50,,,,4,3,2,0,0,2,1000,2,0,0,0,10,200,150,0,0,0,0,0,0,0,jah60
22309691-2b13-492e-925c-883e7d164192,WOFAN Aujara women center,Wet_Season,2024-07-06,Jah5PWF29,Jigawa,WOFAN,200,150,---,---,---,---,---,---,50,,,,4,3,2,0,0,2,1000,2,0,0,0,10,200,150,0,0,0,0,0,0,0,jah60
2d001c26-a2aa-4dd6-b121-2a661962113b,WOFAN Aujara women center,Wet_Season,2024-07-06,JahH1F212,Jigawa,WOFAN,200,150,---,---,---,---,---,---,50,,,,4,3,2,0,0,2,1000,2,0,0,0,10,200,150,0,0,0,0,0,0,0,jah60
572937ce-5696-44c5-94be-2c4d22a37f53,WOFAN Aujara women center,Wet_Season,2024-07-06,JahB2GF38,Jigawa,WOFAN,200,150,---,---,---,---,---,---,50,,,,4,3,2,0,0,2,1000,2,0,0,0,10,200,150,0,0,0,0,0,0,0,jah60
737fb9f5-d5f6-4ca9-ae05-f376a2d8cfe0,WOFAN Aujara women center,Wet_Season,2024-07-06,JahU7GA44,Jigawa,WOFAN,200,150,---,---,---,---,---,---,50,,,,4,3,2,0,0,2,1000,2,0,0,0,10,200,150,0,0,0,0,0,0,0,jah60
5df10d20-c37a-4583-bb29-93405f7fe56c,WOFAN Aujara women center,Wet_Season,2024-07-06,JahPV3N51,Jigawa,WOFAN,200,150,---,---,---,---,---,---,50,,,,4,3,2,0,0,2,1000,2,0,0,0,10,200,150,0,0,0,0,0,0,0,jah60
5e7c83e5-a4a6-44de-a58e-aecec2a450d5,WOFAN Aujara women center,Wet_Season,2024-07-06,JahLIN139,Jigawa,WOFAN,200,150,---,---,---,---,---,---,50,,,,4,3,2,0,0,2,1000,2,0,0,0,10,200,150,0,0,0,0,0,0,0,jah60
f139f338-0adc-4d31-b729-92d294ff8506,WOFAN Aujara women center,Wet_Season,2024-07-06,JahG1D413,Jigawa,WOFAN,200,150,---,---,---,---,---,---,50,,,,4,3,2,0,0,2,1000,2,0,0,0,10,200,150,0,0,0,0,0,0,0,jah60
cac9650c-b135-4dad-8582-0d02df2b95b4,successful,Wet_Season,2024-07-06,JahQEXX39,Jigawa,WOFAN,200,150,---,---,---,---,---,---,50,,,,4,3,2,0,0,2,1000,2,0,0,0,10,200,150,0,0,0,0,0,0,0,jah60
154c41df-5163-40e1-bfbb-e38ac691d74f,WOFAN Aujara women center,Wet_Season,2024-07-07,Jah8ZQD19,Jigawa,WOFAN,200,150,---,---,---,---,---,---,50,,,,4,3,2,0,0,2,1000,2,0,0,0,10,200,150,0,0,0,0,0,0,0,jah60
6a6761bf-1815-435d-ba6a-b975c5a40213,WOFAN Aujara women center,Wet_Season,2024-07-07,JahM0X706,Jigawa,WOFAN,200,150,---,---,---,---,---,---,50,,,,4,3,2,0,0,2,1000,2,0,0,0,10,200,150,0,0,0,0,0,0,0,jah60
d7632bf7-e3f6-4a72-8d82-de6f5443494e,WOFAN Aujara women center,Wet_Season,2024-07-07,JahQR1426,Jigawa,WOFAN,200,150,---,---,---,---,---,---,50,,,,4,3,2,0,0,2,1000,2,0,0,0,10,200,150,0,0,0,0,0,0,0,jah60
3134932d-a368-44e0-8024-50bd0a53a91c,WOFAN Aujara women center,Wet_Season,2024-07-07,Jah6F5B49,Jigawa,WOFAN,200,150,---,---,---,---,---,---,50,,,,4,3,2,0,0,2,1000,2,0,0,0,10,200,150,0,0,0,0,0,0,0,jah60
a5e5dec1-94a0-4ac3-b201-224c50b65934,WOFAN Aujara women center,Wet_Season,2024-07-07,JahXX8727,Jigawa,WOFAN,200,150,---,---,---,---,---,---,50,,,,4,3,2,0,0,2,1000,2,0,0,0,10,200,150,0,0,0,0,0,0,0,jah60
66877c6a-a671-4740-9edd-d7fbfe214d93,WOFAN Aujara women center,Wet_Season,2024-07-07,JahCV4P13,Jigawa,WOFAN,200,150,---,---,---,---,---,---,50,,,,4,3,2,0,0,2,1000,2,0,0,0,10,200,150,0,0,0,0,0,0,0,jah60
d5fde4b4-d442-4fc8-add0-679a91784d53,WOFAN Aujara women center,Wet_Season,2024-07-07,JahG7PI58,Jigawa,WOFAN,200,150,---,---,---,---,---,---,50,,,,4,3,2,0,0,2,1000,2,0,0,0,10,200,150,0,0,0,0,0,0,0,jah60
17162dc6-1905-4531-aafb-993b2dd54faf,WOFAN Aujara women center,Wet_Season,2024-07-07,JahO2FG25,Jigawa,WOFAN,200,150,---,---,---,---,---,---,50,,,,4,3,2,0,0,2,1000,2,0,0,0,10,200,150,0,0,0,0,0,0,0,jah60
4fe2bc18-58e7-4f3f-beb1-5d4aa5b16f01,WOFAN Aujara women center,Wet_Season,2024-07-07,JahS4TF23,Jigawa,WOFAN,200,150,---,---,---,---,---,---,50,,,,4,3,2,0,0,2,1000,2,0,0,0,10,200,150,0,0,0,0,0,0,0,jah60
64b49cba-2161-4f4f-9678-630985e20a5e,WOFAN Aujara women center,Wet_Season,2024-07-07,JahNB0D39,Jigawa,WOFAN,200,150,---,---,---,---,---,---,50,,,,4,3,2,0,0,2,1000,2,0,0,0,10,200,150,0,0,0,0,0,0,0,jah60
c09a8a1d-01d2-41ab-b293-a44e806663da,WOFAN Aujara women center,Wet_Season,2024-07-07,Jah8ZCH58,Jigawa,WOFAN,200,150,---,---,---,---,---,---,50,,,,4,3,2,0,0,2,1000,2,0,0,0,10,200,150,0,0,0,0,0,0,0,jah60
df3fb278-24ff-4e5b-a3c8-2a12ba305908,WOFAN Aijara women makeshift center,Wet_Season,2024-07-07,JahHZXD30,Jigawa,WOFAN,200,100,---,---,---,---,---,---,50,,,,4,2,2,0,0,2,1000,0,0,0,0,10,200,100,0,0,0,0,0,0,0,jah60
27acf1d2-7e95-4d5c-b110-6d0a329c20ac,WOFAN Aujara women center,Wet_Season,2024-07-07,JahZABZ00,Jigawa,WOFAN,200,150,---,---,---,---,---,---,50,,,,4,3,2,0,0,2,1000,2,0,0,0,10,200,150,0,0,0,0,0,0,0,jah60
e7318551-37e8-4fbb-910b-1b322cc3fa79,WOFAN Aujara women center,Wet_Season,2024-07-07,JahWWIW50,Jigawa,WOFAN,200,150,---,---,---,---,---,---,50,,,,4,3,2,0,0,2,1000,2,0,0,0,10,200,150,0,0,0,0,0,0,0,jah60
3c730313-6625-4758-a96e-49c9d838eef3,WOFAN Aujara women center,Wet_Season,2024-07-07,JahWG7L11,Jigawa,WOFAN,200,100,---,---,---,---,---,---,50,,,,4,2,2,0,0,2,1000,2,0,0,0,10,200,100,0,0,0,0,0,0,0,jah60
a822ba39-0051-42cd-bf5f-b6f20a15875c,WOFAN Aujara women center,Wet_Season,2024-07-07,JahS7FY17,Jigawa,WOFAN,200,150,---,---,---,---,---,---,50,,,,4,3,2,0,0,2,1000,2,0,0,0,10,200,150,0,0,0,0,0,0,0,jah60
98c2773a-498d-4745-ab62-931e1ac81e00,WOFAN Aujara women center,Wet_Season,2024-07-07,Jah3FSS00,Jigawa,WOFAN,200,150,---,---,---,---,---,---,50,,,,4,3,2,0,0,2,1000,2,0,0,0,10,200,150,0,0,0,0,0,0,0,jah60
d7495af0-9e0e-4f41-9081-7de17515dc82,WOFAN Aujara women center,Wet_Season,2024-07-07,JahDI2407,Jigawa,WOFAN,200,150,---,---,---,---,---,---,50,,,,4,3,2,0,0,2,1000,2,0,0,0,10,200,150,0,0,0,0,0,0,0,jah60
9d3e8740-7738-487b-90f5-3a31054cc60c,WOFAN Aujara women center,Wet_Season,2024-07-07,JahSEYG52,Jigawa,WOFAN,200,150,---,---,---,---,---,---,50,,,,4,3,2,0,0,2,1000,2,0,0,0,10,200,150,0,0,0,0,0,0,0,jah60
6393d2ec-8f82-406a-b3e8-30f484cb2483,WOFAN Aujara women center,Wet_Season,2024-07-07,JahWS1027,Jigawa,WOFAN,200,150,---,---,---,---,---,---,50,,,,4,3,2,0,0,2,1000,2,0,0,0,10,200,150,0,0,0,0,0,0,0,jah60
55227f24-a943-4395-ab11-0eaababf08c7,WOFAN Aujara women center,Wet_Season,2024-07-07,JahBLWN03,Jigawa,WOFAN,200,150,---,---,---,---,---,---,50,,,,4,3,2,0,0,2,1000,2,0,0,0,10,200,150,0,0,0,0,0,0,0,jah60
f912047a-b18c-43a6-b4d9-fac6f1fb0e07,WOFAN Aujara women center,Wet_Season,2024-07-07,JahD6PN18,Jigawa,WOFAN,200,150,---,---,---,---,---,---,50,,,,4,3,2,0,0,2,1000,2,0,0,0,10,200,150,0,0,0,0,0,0,0,jah60
56854a4d-e6e2-4196-9a40-1b0c48cfc716,WOFAN Aujara women center,Wet_Season,2024-07-07,JahLBW027,Jigawa,WOFAN,200,150,---,---,---,---,---,---,50,,,,4,3,2,0,0,2,1000,2,0,0,0,10,200,150,0,0,0,0,0,0,0,jah60
fe761532-47c2-48ca-a2b8-4645cf043342,WOFAN Aujara women center,Wet_Season,2024-07-07,JahVMNN27,Jigawa,WOFAN,200,150,---,---,---,---,---,---,50,,,,4,3,2,0,0,2,1000,2,0,0,0,10,200,150,0,0,0,0,0,0,0,jah60
cc9d9266-34e0-4bdc-be11-66d2bce97dc7,WOFAN Aujara women center,Wet_Season,2024-07-07,JahCJHI21,Jigawa,WOFAN,200,150,---,---,---,---,---,---,50,,,,4,3,2,0,0,2,1000,2,0,0,0,10,200,150,0,0,0,0,0,0,0,jah60
dadb9c97-a14e-469c-a74a-b8fef2eb8e81,WOFAN Aujara women center,Wet_Season,2024-07-07,JahJ09307,Jigawa,WOFAN,200,150,---,---,---,---,---,---,50,,,,4,3,2,0,0,2,1000,2,0,0,0,10,200,150,0,0,0,0,0,0,0,jah60
8ca4a756-f000-4e5b-b675-b51bd2af6839,WOFAN Aujara women center,Wet_Season,2024-07-07,JahXUJX01,Jigawa,WOFAN,200,150,---,---,---,---,---,---,50,,,,4,3,2,0,0,2,1000,2,0,0,0,10,200,150,0,0,0,0,0,0,0,jah60
ffad1a33-a5d9-4816-aa20-d381a40c255c,WOFAN Aujara women center,Wet_Season,2024-07-07,JahAUP033,Jigawa,WOFAN,200,150,---,---,---,---,---,---,50,,,,4,3,2,0,0,2,1000,2,0,0,0,10,200,150,0,0,0,0,0,0,0,jah60
50b88627-ab49-460a-b795-5c408ab562ba,successful,Wet_Season,2024-07-07,JahE4MC18,Jigawa,WOFAN,200,150,---,---,---,---,---,---,50,,,,4,3,2,0,0,2,1000,2,0,0,0,10,200,150,0,0,0,0,0,0,0,jah60
159ff76e-468d-45e0-875e-260164cf0163,WOFAN Aujara women center,Wet_Season,2024-07-07,JahAHEN19,Jigawa,WOFAN,200,150,---,---,---,---,---,---,50,,,,4,3,2,0,0,2,1000,2,0,0,0,10,200,150,0,0,0,0,0,0,0,jah60
ebfe65f8-d491-4333-9112-9440f2123b0e,WOFAN Aujara women center,Wet_Season,2024-07-07,Jah9YK615,Jigawa,WOFAN,200,150,---,---,---,---,---,---,50,,,,4,3,2,0,0,2,1000,2,0,0,0,10,200,150,0,0,0,0,0,0,0,jah60
68760a39-cf0c-4739-9bcb-cb90267f582c,WOFAN Aujara women center,Wet_Season,2024-07-07,JahNWTX49,Jigawa,WOFAN,200,150,---,---,---,---,---,---,50,,,,4,3,2,0,0,2,1000,2,0,0,0,10,200,150,0,0,0,0,0,0,0,jah60
28e4ff4e-60a7-497f-a468-7a859e5caa0a,WOFAN Aujara women center,Wet_Season,2024-07-07,JahWUDX32,Jigawa,WOFAN,200,150,---,---,---,---,---,---,50,,,,4,3,2,0,0,2,1000,2,0,0,0,10,200,150,0,0,0,0,0,0,0,jah60
16d9d238-8d01-4b24-b4cb-4adb7fa67534,WOFAN Aujara women center,Wet_Season,2024-07-07,JahEIPR34,Jigawa,WOFAN,200,150,---,---,---,---,---,---,50,,,,4,3,2,0,0,2,1000,2,0,0,0,10,200,150,0,0,0,0,0,0,0,jah60
2e4a47f2-8f82-43d0-a920-f2f215663cc0,WOFAN Aujara women center,Wet_Season,2024-07-07,JahIFLA55,Jigawa,WOFAN,200,150,---,---,---,---,---,---,50,,,,4,3,2,0,0,2,1000,2,0,0,0,10,200,150,0,0,0,0,0,0,0,jah60
db6e91e5-77ce-4f13-b7a8-48576890fdd1,WOFAN Aujara women center,Wet_Season,2024-07-07,JahW2B100,Jigawa,WOFAN,200,150,---,---,---,---,---,---,50,,,,4,3,2,0,0,2,1000,2,0,0,0,10,200,150,0,0,0,0,0,0,0,jah60
14a9c156-5c47-443d-9f90-fc49d08de9fa,WOFAN Aujara women center,Wet_Season,2024-07-07,JahHLBP50,Jigawa,WOFAN,200,150,---,---,---,---,---,---,50,,,,4,3,2,0,0,2,1000,2,0,0,0,10,200,150,0,0,0,0,0,0,0,jah60
75905807-6a32-4918-8b59-8dd86741c97f,WOFAN Aujara women center,Wet_Season,2024-07-07,JahIV9J39,Jigawa,WOFAN,200,150,---,---,---,---,---,---,50,,,,4,3,2,0,0,2,1000,2,0,0,0,10,200,150,0,0,0,0,0,0,0,jah60
0c0ab148-a150-465b-a66e-b517ccf112a0,WOFAN Aujara women processing center,Wet_Season,2024-07-07,JahRS2L51,Jigawa,WOFAN,200,150,---,---,---,---,---,---,50,,,,4,3,2,0,0,2,1000,2,0,0,0,10,200,150,0,0,0,0,0,0,0,jah60
ed1d0073-551d-460f-a4ef-97121d58a156,WOFAN Aujara women centre,Wet_Season,2024-07-07,JahCBHS27,Jigawa,WOFAN,200,150,---,---,---,---,---,---,50,,,,4,3,2,0,0,2,1000,2,0,0,0,10,200,150,0,0,0,0,0,0,0,jah60
c43533df-d6b5-4cd4-b563-a02c4377cb21,WOFAN Aujara women processing center,Wet_Season,2024-07-08,JahZT5P38,Jigawa,WOFAN,200,150,---,---,---,---,---,---,50,,,,4,3,2,0,0,2,1000,2,0,0,0,10,200,150,0,0,0,0,0,0,0,jah60
cb74b9fc-6838-4dc3-9a4a-cb16cdff9ad3,WOFAN Aujara women processing center,Wet_Season,2024-07-08,JahIAS924,Jigawa,WOFAN,200,150,---,---,---,---,---,---,50,,,,4,3,2,0,0,2,1000,2,0,0,0,10,200,150,0,0,0,0,0,0,0,jah60
83c50b44-ce61-494b-ac5d-95308a0f63ee,WOFAN Aujara women processing center,Wet_Season,2024-07-08,JahUPWL23,Jigawa,WOFAN,200,150,---,---,---,---,---,---,50,,,,4,3,2,0,0,2,1000,2,0,0,0,10,200,150,0,0,0,0,0,0,0,jah60
591de659-030f-4d52-83f9-634f262e0f20,WOFAN Aujara women processing center,Wet_Season,2024-07-08,Jah6KYV24,Jigawa,WOFAN,200,150,---,---,---,---,---,---,50,,,,4,3,2,0,0,2,1000,2,0,0,0,10,200,150,0,0,0,0,0,0,0,jah60
8079cb15-c12b-4128-9513-29f295857b1a,WOFAN Aujara women processing center,Wet_Season,2024-07-08,JahOG2L18,Jigawa,WOFAN,200,150,---,---,---,---,---,---,50,,,,4,3,2,0,0,2,1000,2,0,0,0,10,200,150,0,0,0,0,0,0,0,jah60
60002972-e84c-4d74-8668-2306995d2cf2,WOFAN Aujara women processing center,Wet_Season,2024-07-08,Jah7DN851,Jigawa,WOFAN,200,150,---,---,---,---,---,---,50,,,,4,3,2,0,0,2,1000,2,0,0,0,10,200,150,0,0,0,0,0,0,0,jah60
a5058450-5090-457f-b81b-67028d0b6067,WOFAN Aujara women processing center,Wet_Season,2024-07-08,JahSZKY29,Jigawa,WOFAN,200,150,---,---,---,---,---,---,50,,,,4,3,2,0,0,2,1000,2,0,0,0,0,200,150,0,0,0,0,0,0,0,jah60
a1760ae1-2521-4037-97c8-6031c6b04abe,WOFAN Aujara women center,Wet_Season,2024-07-08,JahC0IT04,Jigawa,WOFAN,200,150,---,---,---,---,---,---,50,,,,4,3,2,0,0,2,1000,2,2,0,0,10,200,150,0,0,0,0,0,0,0,jah60
5c53e9db-1c9c-4c07-ad84-673b26002dcb,WOFAN Aujara women processing center,Wet_Season,2024-07-08,JahPD7G27,Jigawa,WOFAN,200,100,---,---,---,---,---,---,50,,,,4,2,2,0,0,2,1000,2,0,0,0,10,200,100,0,0,0,0,0,0,0,jah60
be517885-feb1-4b8b-a29a-28d9f8b853b5,WOFAN Aujara women processing center,Wet_Season,2024-07-08,JahLLJ421,Jigawa,WOFAN,200,150,---,---,---,---,---,---,50,,,,4,3,2,0,0,2,1000,2,0,0,0,10,200,150,0,0,0,0,0,0,0,jah60
095ea8e0-dbfd-4124-88a4-244d4baa258a,WOFAN Aujara women center,Wet_Season,2024-07-08,JahMJDG38,Jigawa,WOFAN,200,150,---,---,---,---,---,---,50,,,,4,3,2,0,0,2,1000,2,0,0,0,10,200,150,0,0,0,0,0,0,0,jah60
ca332d5d-bbdd-495d-8cc7-041057f4735f,WOFAN Aujara women processing center,Wet_Season,2024-07-08,JahT53W36,Jigawa,WOFAN,200,150,---,---,---,---,---,---,50,,,,4,3,2,0,0,2,1000,2,0,0,0,10,200,150,0,0,0,0,0,0,0,jah60
169d630a-1a21-43d0-bd18-0362a18b54e4,WOFAN Aujara women processing center,Wet_Season,2024-07-08,Jah3UFX38,Jigawa,WOFAN,200,150,---,---,---,---,---,---,50,,,,4,3,2,0,0,2,1000,2,0,0,0,10,200,150,0,0,0,0,0,0,0,jah60
c519645e-c9bb-44a3-a272-b403d7830ed6,WOFAN Aujara women processing center,Wet_Season,2024-07-08,JahFOE109,Jigawa,WOFAN,200,150,---,---,---,---,---,---,50,,,,4,3,2,0,0,2,1000,2,0,0,0,10,200,150,0,0,0,0,0,0,0,jah60
930722ef-177c-4110-9e55-2eb7f39102aa,WOFAN Aujara women processing center,Wet_Season,2024-07-08,JahBVLC25,Jigawa,WOFAN,200,150,---,---,---,---,---,---,50,,,,4,3,2,0,0,2,1000,2,0,0,0,10,200,150,0,0,0,0,0,0,0,jah60
5dd10dd1-fcc7-4644-b46c-5040414f876e,WOFAN Aujara women processing center,Wet_Season,2024-07-08,JahG89V55,Jigawa,WOFAN,200,150,---,---,---,---,---,---,50,,,,4,3,2,0,0,2,1000,2,0,0,0,10,200,150,0,0,0,0,0,0,0,jah60
4215b611-a6f1-4a6c-b34e-039f3028de67,WOFAN Aujara women processing center,Wet_Season,2024-07-08,JahORVC32,Jigawa,WOFAN,200,150,---,---,---,---,---,---,50,,,,4,3,2,0,0,2,1000,2,0,0,0,10,200,150,0,0,0,0,0,0,0,jah60
d3ea5627-ea62-4687-862b-427bfff0ebb5,WOFAN Aujara women processing center,Wet_Season,2024-07-08,Jah8B3P35,Jigawa,WOFAN,200,150,---,---,---,---,---,---,50,,,,4,3,2,0,0,2,1000,2,0,0,0,10,200,150,0,0,0,0,0,0,0,jah60
