formid,Name of Mega Cluster,location_State,Number of Micro Portable multi sheller and maize milling appliances,Number of Frabricated stoves with chimneys,Number of Briqquette press,Number of Carbonizer,Number of Fabricated Rice parboilers pots/burner base,Number of Hammer Mill,Number of Destoner,Number of Rice Polisher,Number Solar-powered dryer,Please Specify number of other equipment,Qty of Treadle pump,Qty of Fertilizer planter,Qty of Umbrella,Date,username,received_on,Implementing_partner
ade41e2e-4d2d-450d-b8fd-0c8fdcaba95d,Yarjigawa,Jigawa,---,2,1,1,6,1,1,1,---,---,---,---,5,2025-08-06,data08,06/09/2025 11:29,WOFAN
e969e720-edd3-433e-8868-db0db983c61e,Tafawa Balewa,Bauchi,---,2,1,1,6,1,1,1,---,---,---,---,5,2025-08-06,data08,06/09/2025 11:32,WOFAN
87770b87-ca7c-4500-a9c4-11e7c1dc9a06,Turum,Bauchi,---,2,1,1,6,1,1,1,---,---,---,---,5,2025-08-06,data08,06/09/2025 11:34,WOFAN
0ff94c6a-f830-4c3c-b5b2-906d55b82582,Miri,Bauchi,---,2,1,1,6,1,1,1,---,---,---,---,5,2025-08-06,data08,06/09/2025 11:36,WOFAN
d2bc0644-1f68-4f93-8a19-589759015c25,Wailo,Bauchi,---,2,1,1,6,1,1,1,---,---,---,---,5,2025-08-06,data08,06/09/2025 11:38,WOFAN
ca11741c-a6cc-4a38-aca1-92c12ad6e409,Kumo,Gombe,---,2,1,1,6,1,1,1,---,---,---,---,5,2025-08-06,data08,06/09/2025 11:40,WOFAN
1d5b6b5b-ec45-4ca7-ad7b-8a01d1616801,Todi,Gombe,---,2,1,1,6,1,1,1,---,---,---,---,5,2025-08-06,data08,06/09/2025 11:42,WOFAN
7c3f6751-2a4b-488e-a598-038cb62e50f0,Kwadon,Gombe,---,2,1,1,6,1,1,1,---,---,---,---,5,2025-08-06,data08,06/09/2025 11:45,WOFAN
61ce1c1a-659f-46e4-8ff9-792f6905c0e7,Boh,Gombe,---,2,1,1,6,1,1,1,---,---,---,---,5,2025-08-06,data08,06/09/2025 11:46,WOFAN
738987c0-bee9-4ac1-bf5e-ee2345866ba4,Yakasai,Kano,---,2,1,1,6,1,1,1,---,---,---,---,5,2025-08-06,data08,06/09/2025 11:49,WOFAN
802dcc06-e157-439b-aebf-aaedd3345106,Danhassan,Kano,---,2,1,1,2,1,1,1,---,---,---,---,5,2025-08-06,data08,06/09/2025 11:51,WOFAN
63dd2350-4da4-42df-9ee8-831fd4bc0ff7,Kofa,Kano,---,2,1,1,6,1,1,1,---,---,---,---,5,2025-08-06,data08,06/09/2025 11:53,WOFAN
e8172f33-aa06-40ce-8ce9-edda27ef9a03,Gwarmai,Kano,---,2,1,1,6,1,1,1,---,---,---,---,5,2025-08-06,data08,06/09/2025 11:56,WOFAN
0d8fcdaf-95f3-4d03-b5fb-63164855fc9d,Garun Babba,Kano,---,2,1,1,6,1,1,1,---,---,---,---,5,2025-08-06,data08,06/09/2025 11:58,WOFAN
fb4d11f9-f708-4642-ae38-fb625b18b4f6,Fankurum,Kano,---,2,1,1,6,1,1,1,---,---,---,---,5,2025-08-06,data08,06/09/2025 12:00,WOFAN
797717f6-9999-4ddc-a619-e9ca14b3dd5c,Karfi,Kano,---,2,1,1,6,1,1,1,---,---,---,---,5,2025-08-06,data08,06/09/2025 12:02,WOFAN
18b5296e-b75f-41cc-83bf-0c066166a4b1,Ringimawa,Kano,---,2,1,1,6,1,1,1,---,---,---,---,5,2025-08-06,data08,06/09/2025 12:05,WOFAN
4a39d44e-0ed2-49e5-a8da-be25ce910265,Garun Malam,Kano,---,2,1,1,6,1,1,1,---,---,---,---,5,2025-08-06,data08,06/09/2025 12:06,WOFAN
aba8a204-f6b6-45cb-917e-227f395c7973,Dakatsalle,Kano,---,2,1,1,6,1,1,1,---,---,---,---,5,2025-08-06,data08,06/09/2025 12:08,WOFAN
ac7fe1fb-9890-4233-9e38-c0dda9c5f5c4,Yaryasa,Kano,---,2,1,1,6,1,1,1,---,---,---,---,5,2025-08-06,data08,06/09/2025 12:10,WOFAN
223b11ff-16d0-4f83-982c-058125d64533,Hayin Katsinawa,Kano,---,2,1,1,6,1,1,1,---,---,---,---,5,2025-08-06,data08,06/09/2025 12:12,WOFAN
1ddf1956-9bfc-4fec-8cfe-dbf44ee8b93c,Dangora,Kano,---,2,1,1,6,1,1,1,---,---,---,---,5,2025-08-06,data08,06/09/2025 12:14,WOFAN
c7c0392a-4d7f-4e88-97c1-01dd3e75055d,Yako,Kano,---,2,1,1,6,1,1,1,---,---,---,---,5,2025-08-06,data08,06/09/2025 12:16,WOFAN
60d73c53-4cdf-462f-ad94-1ded1c2a4220,Tamawa,Kano,---,2,1,1,6,1,1,1,---,---,---,---,5,2025-08-06,data08,06/09/2025 12:18,WOFAN
233d1c69-7d50-45a7-99eb-6a2817a4496c,Karofin Yashi,Kano,---,2,1,1,6,1,1,1,---,---,---,---,5,2025-08-06,data08,06/09/2025 12:20,WOFAN
f7bf800b-72f6-4175-b4e8-fd9e0eb05e99,Danlawal,Kaduna,---,2,1,1,6,1,1,1,---,---,---,---,5,2025-08-06,data08,06/09/2025 12:23,WOFAN
65e4a42a-257a-4549-916e-02bbfeab61ae,Saulawa,Kaduna,---,2,1,1,6,1,1,1,---,---,---,---,5,2025-08-06,data08,06/09/2025 12:24,WOFAN
884d97fd-4d25-4fa2-b784-d22f63c22c29,Kuya,Kaduna,---,2,1,1,6,1,1,1,---,---,---,---,5,2025-08-06,data08,06/09/2025 12:26,WOFAN
18b632d8-6514-4219-a675-49f1cfafd3f2,Giri Cluster,FCT,1,2,1,1,6,1,1,1,---,---,---,1,5,2025-06-23,data08,23/09/2025 09:05,WOFAN
655a7321-d847-43cb-86c0-7e0e55e0932d,Kuchilo WOFAN Cluster,FCT,1,2,1,1,6,---,1,1,---,---,---,1,5,2025-06-23,data08,23/09/2025 09:08,WOFAN
f83bb684-98f6-4512-9178-56d153fc6f02,Uboharu WOFAN  Cluster,FCT,4,2,1,1,6,1,1,1,---,---,---,1,5,2025-06-23,data08,23/09/2025 09:11,WOFAN
0237028d-b34a-484a-a6f1-0a5ee8452c88,Agyana WOFAN Cluster,FCT,1,2,1,1,6,1,1,---,---,---,---,1,5,2025-06-23,data08,23/09/2025 09:27,WOFAN
6d1870b9-0d65-426e-bbaf-27e5d295ab4b,WOFAN ICON2 Wanune proccessors Union LTD,Benue,1,2,1,1,2,1,1,1,---,---,---,---,25,2025-08-11,data03,15/10/2025 08:26,PVNL
3a3ad173-e1df-48ef-ad8a-4007674d44be,WOFAN ICON2 Aondoana Processing Cooperative Union,Benue,1,2,1,1,2,1,1,1,---,---,---,---,20,2025-09-19,data03,17/10/2025 07:22,PVNL
27b78a1a-560e-4d99-95a4-80dbe54fce99,WOFAN ICON2 NB Mega Cluster Cooperative Union,Benue,1,2,1,1,2,1,1,1,---,---,---,---,20,2025-09-16,data03,17/10/2025 10:04,PVNL
a8c906fb-deeb-4b99-8bf2-fc1549bd229d,Taraku ICON2 Processors Cooperative Union LTD,Benue,1,2,1,1,2,1,1,1,---,---,---,---,15,2025-09-18,data03,17/10/2025 10:17,PVNL
5b60d4f0-6990-4448-833e-47bb1384a2d3,Maryam Mohammed,Nasarawa,1,1,1,1,1,1,1,1,1,2,---,---,1,2025-09-22,data02,22/10/2025 12:17,PVNL
47b5ed53-7b38-4acf-83a9-a877151fe0cc,mega women multipurpose coop.Cluster Doma,Nasarawa,1,1,1,1,1,1,1,1,1,1,---,---,1,2025-09-23,data02,23/10/2025 12:43,PVNL
3f28072a-7166-44af-9092-f8fd0e099bd7,Vundar Women Mega cluster,Nasarawa,1,1,1,1,1,1,1,1,1,2,---,---,1,2025-10-24,data02,24/10/2025 13:23,PVNL
c28a7c38-4f75-456e-bb3b-92fa18a79b4b,peace multipurpose cooperative,Nasarawa,1,1,1,1,1,1,1,1,1,1,---,---,1,2025-09-26,data02,25/10/2025 13:02,PVNL
65e1e47b-d0aa-4f53-b704-123230684017,Kagarko Nassara multi-purpose coperative society limited,Kaduna,1,1,1,1,1,1,1,1,---,---,1,---,---,2025-09-12,data01,11/11/2025 20:27,PVNL
1a682ea8-1cfb-40f6-874f-bdd333461aa3,tir ham mega cluster mpcsl,Kaduna,---,1,1,1,2,1,1,1,---,---,---,1,---,2025-09-12,data01,12/11/2025 04:55,PVNL
33b5d3b0-7b32-4a7d-9614-435c990247e7,Wisdom Multi-purpose mega cluster,Kaduna,---,1,1,1,2,1,1,1,---,---,---,1,---,2025-09-12,data01,12/11/2025 06:55,PVNL
4921005b-e42b-45e0-9f38-edc283dd3ee8,Tsam Agro Processing Services Multipurpose Cooperative Society Limited,Kaduna,1,1,1,1,2,1,1,1,---,---,---,1,---,2025-09-12,data01,12/11/2025 08:08,PVNL
407a5a5e-7f0c-4439-970f-3b35b04e19fd,Ungwan rimi kariyi mega cluster cooperative society limited,Kaduna,---,1,1,1,2,1,1,1,---,---,---,1,---,2025-09-15,data01,12/11/2025 10:50,PVNL
f8e0c884-1d65-4f8a-876f-8bfb31d61646,Peace Processor Mega Cluster Multi-purpose Cooperative Society Limited,Kaduna,---,1,1,---,2,1,1,1,---,---,---,1,---,2025-09-14,data01,12/11/2025 10:55,PVNL
9f358b1f-11c5-402f-b3ba-c00bd90f3f7b,Arise processing mega cluster,Kaduna,---,1,1,1,2,1,1,1,---,---,---,1,---,2025-09-12,data01,12/11/2025 12:22,PVNL
2e6ba67a-8770-46d6-84a3-abdd6eddafb4,Blossom Processing Mega cluster MPCSL,Kaduna,---,1,1,1,2,1,1,1,---,---,---,1,---,2025-09-12,data01,12/11/2025 13:47,PVNL
780fda88-40b9-473a-820e-923ce9a4b498,Zitchat Zi Chung Dung Multi-Purpose Multi-purpose Cooperative Society Limited,Kaduna,1,---,1,1,2,1,1,1,---,---,---,1,---,2025-09-15,data01,14/11/2025 11:02,PVNL
