formid,Cooperative_Unique_ID,form/Input_totals/Total_Maize_Seed,form/Input_totals/Total_Rice_Seed,form/Input_totals/Total_Groundnut_Seed,form/Input_totals/Total_Sorghum_Seed,form/Input_totals/Totak_NPK,form/Input_totals/Total_UREA,form/Input_totals/Total_Select_2_4-D_herbicide,form/Input_totals/Total_Glyphosate_ForceUP,form/Input_totals/Total_Glyphosate_Slasher,form/Input_totals/Total_Butachlor,form/Input_totals/Total_AgriForce,form/Input_totals/Total_LaraForce,form/Input_totals/Total_SAAF,form/Input_totals/Total_GuardForce,form/Input_totals/Total_Atrazine,form/Input_totals/Total_VInash,form/Input_totals/Total_Lambda,form/Input_totals/Total_Aflasafe,form/Input_totals/Total_Glyspring,form/Input_totals/Total_Rice_pro,form/Input_totals/Total_Cotrazine,form/Input_totals/Total_Vanguish,form/Input_totals/Total_Striker,form/Input_totals/Total_Buster,form/Input_totals/Total_Hallakat,form/Input_totals/Total_ButaForce,form/Input_totals/Total_Select_Gold,form/Input_totals/Total_Gobara,form/Input_totals/Total_GreenForce,received_on,Which farming season will these inputs be used in
f70c9581-a535-42ba-892f-3ee44d96cb09,C-AkkGPCCZ36,50,,,,5,5,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,---,18/05/2025 11:32,Wet_Season
2c2d89d4-1717-43a6-b983-c0ddced1d243,C-Akk3G4U731,50,,,,5,5,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,---,18/05/2025 11:39,Dry_Season
0fbf3af9-37d3-4c22-8973-c9ca7630db9d,C-GweEAFP612,,50,,,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.5,0,2500,2,---,18/05/2025 16:29,Wet_Season
993f06fa-d6ec-44ac-8325-88204ff0fd0d,C-Mar1X2HB00,,50,,,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.5,0,125,2,---,18/05/2025 16:29,Wet_Season
5005a22f-fa72-4cea-8747-f1e7854ad4df,C-MarKP0UO16,,50,,,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.5,0,125,2,---,18/05/2025 16:38,Wet_Season
1a6dcd3a-89bb-434f-a207-3c073e77fbcf,C-MarA2WQ158,,50,,,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.5,0,125,2,---,18/05/2025 16:48,Wet_Season
04251e75-e636-4783-b6cd-5366005f3226,C-Mar1MEME22,,50,,,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.5,0,125,2,---,18/05/2025 16:54,Wet_Season
990ca45b-ad3c-4d29-9138-a3b81a3ac4d4,C-MarHVLRG51,,50,,,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.5,0,125,2,---,18/05/2025 17:00,Wet_Season
d5b4ab34-5872-4fc1-b9a7-a14817edd2f4,C-MarKNPX630,,50,,,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.5,0,125,2,---,18/05/2025 17:07,Wet_Season
9bf25217-36b7-4008-b261-3a3f9b305a67,C-MarIUNW250,,50,,,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.5,0,2500,2,---,18/05/2025 17:16,Wet_Season
41e61b41-a98b-465d-af46-e18f9f3eb6e1,C-MarV2IND24,,50,,,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.5,0,125,2,---,18/05/2025 17:37,Wet_Season
849decdc-7fec-4e74-b019-00ba2f60b51e,C-MarIC9MZ26,,50,,,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.5,0,2500,2,---,18/05/2025 17:55,Wet_Season
e51d5585-302e-4ef0-a6d5-ec042f034bdd,C-Mar5BEYQ20,,50,,,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.5,0,125,2,---,18/05/2025 17:57,Wet_Season
993dea9c-0000-419d-992b-91fde4bb05c0,C-Mar6OR9510,,50,,,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.5,0,125,2,---,18/05/2025 17:57,Wet_Season
77073817-2c62-4081-8386-6de50d464ae9,C-Mar7AWEF03,,50,,,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.5,0,125,2,---,18/05/2025 17:57,Wet_Season
65d7fd36-a2f9-4ebf-be35-2e4afcd94d7d,C-MarAIS7221,,50,,,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.5,0,125,2,---,18/05/2025 17:58,Wet_Season
ce36cfb5-e530-49ee-ad2f-a5c8d571744b,C-MarAPASM33,,50,,,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.5,0,125,2,---,18/05/2025 17:58,Wet_Season
33cb586d-f5d1-4321-9521-4fb3ba5c301b,C-MarDSA7108,,50,,,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.5,0,125,2,---,18/05/2025 17:58,Wet_Season
3e429626-34df-41d6-be94-0f53e3a64196,C-MarGGN5V58,,50,,,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.5,0,125,2,---,18/05/2025 17:58,Wet_Season
10de18c2-d64d-4d9b-9df3-c0e28aff0a15,C-MarW4HIU10,,50,,,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.5,0,125,2,---,18/05/2025 17:58,Wet_Season
beac21fa-1fe0-4fc2-bd6a-fe3c59861ab7,C-MarWF06Z13,,50,,,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.5,0,125,2,---,18/05/2025 17:58,Wet_Season
9e1559fd-0e84-4d02-a600-8a0877e512c2,C-MarWFV9819,,50,,,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.5,0,125,2,---,18/05/2025 17:58,Wet_Season
a58bf010-bd5d-420d-bf30-813ce1dd442c,C-MarXI59A31,,50,,,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.5,0,125,2,---,18/05/2025 17:58,Wet_Season
98991593-d4a7-4655-91f1-496b84f34beb,C-MarP060636,,50,,,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.5,0,125,2,---,18/05/2025 18:18,Wet_Season
acc0cc14-ada6-40a0-acb1-41dd67e7814c,C-MarG7SGU47,,50,,,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.5,0,125,2,---,18/05/2025 18:25,Wet_Season
3b9abb38-169d-4334-9de1-eb530da6a821,C-Mar4CBRR19,,50,,,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.5,0,125,2,---,18/05/2025 18:33,Wet_Season
df3a2506-89e4-4568-b686-3de75bb245fc,C-MarOHT2944,,50,,,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.5,0,125,2,---,18/05/2025 18:33,Wet_Season
d835f976-4b6d-4832-8f7e-78b857dfc101,C-MarOHZQE43,,50,,,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.5,0,125,2,---,18/05/2025 18:33,Wet_Season
d8a3334c-9fab-4f94-bee3-87d86c1a0a4e,C-MarELMKE29,,50,,,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.5,0,125,2,---,18/05/2025 18:37,Wet_Season
160912f4-a374-43aa-bc7e-6d3e174d7bcc,C-MarPQ38150,,50,,,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.5,0,125,2,---,18/05/2025 18:55,Wet_Season
c48932ee-a7ce-48c0-8311-4fa8b7534d2f,C-MarTMTN314,,50,,,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.5,0,125,2,---,18/05/2025 18:56,Wet_Season
21243b70-2d01-4c23-8086-65f96867cef7,C-GweC98YF12,,50,,,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.5,0,2500,2,---,18/05/2025 19:00,Wet_Season
144897ae-b42a-4327-bd0f-add6da82a689,C-MarC87T819,,50,,,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.5,0,2500,2,---,18/05/2025 19:17,Wet_Season
95a3e00c-fdae-48ed-b384-7336046eb09a,C-MarAHRB119,,50,,,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.5,0,2500,2,---,18/05/2025 19:19,Wet_Season
595a5efd-d22f-4fe8-81a2-cec4a3de2656,C-MarY9VED26,,50,,,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.5,0,2500,2,---,18/05/2025 19:20,Wet_Season
116ba8e9-4382-4514-a6e5-8a369af4d443,C-MarBVLPV20,,50,,,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.5,0,2500,2,---,18/05/2025 19:47,Wet_Season
f8e51588-9545-4083-971d-46264fd0e1e4,C-MarSAG6E38,,50,,,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.5,0,2500,2,---,18/05/2025 19:47,Wet_Season
d12315f2-b6e6-41ab-b48b-8c4bdb8cfb3b,C-MarLAAP814,,50,,,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.5,0,2500,2,---,18/05/2025 19:47,Wet_Season
e6fc53e6-c349-48a1-a601-5a8b83807c24,C-MarZJFL032,,50,,,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.5,0,2500,2,---,18/05/2025 19:47,Wet_Season
80aca1b3-795d-466e-bac4-237f93639f49,C-Gwe8RC1735,,50,,,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.5,0,2500,2,---,18/05/2025 21:05,Wet_Season
db6f7dd7-3e3e-400d-a75b-e794fc5a21a0,C-GweLVQ9E08,,50,,,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.5,0,2500,2,---,18/05/2025 21:05,Wet_Season
da10dc29-b0d7-42b6-a821-8cfb1df05fb1,C-Mar3Y9VY29,,50,,,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.5,0,125,2,---,18/05/2025 21:59,Wet_Season
4d5fe083-e3e0-4e28-8bea-0c60289b9c47,C-Mar5E15926,,50,,,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.5,0,125,2,---,18/05/2025 22:03,Wet_Season
53fbac7b-ff88-4922-a649-dabdbfcc6631,C-Mar9DF5J56,,50,,,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.5,0,125,2,---,18/05/2025 22:08,Wet_Season
f3d0c502-2200-4201-a350-74db706aee1a,C-Mar13NT413,,50,,,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.5,0,125,2,---,18/05/2025 22:10,Wet_Season
d1538feb-4d7c-4aca-b8a2-deac698f6718,C-MarCWNZF07,,50,,,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.5,0,2500,2,---,18/05/2025 22:14,Wet_Season
da4e7e70-dee7-435c-aad0-dfa44875725c,C-MarEUCXR57,,50,,,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.5,0,125,2,---,18/05/2025 22:14,Wet_Season
e43687e8-fa22-49e4-bf98-9de9227fdecd,C-MarMCY8M36,,50,,,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.5,0,125,2,---,18/05/2025 22:15,Wet_Season
9d34c160-32e4-4645-9b3e-a83f154ff63c,C-MarFGWSF12,,50,,,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.5,0,125,2,---,18/05/2025 22:56,Wet_Season
f09aa7ce-5010-4931-ae9b-4eaf59cb21e1,C-MarIYNWX47,,50,,,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.5,0,125,2,---,18/05/2025 22:56,Wet_Season
50e0030d-3187-4d53-842a-dd2586572a69,C-MarNSHWV36,,50,,,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.5,0,125,2,---,18/05/2025 22:56,Wet_Season
d2dccc1f-05f5-4ec5-b4e3-fde9058d320b,C-MarWPYJJ33,,50,,,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.5,0,125,2,---,18/05/2025 22:56,Wet_Season
47982320-e8ee-4aae-bece-759885375631,C-MarXPNOB13,,50,,,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.5,0,125,2,---,18/05/2025 22:57,Wet_Season
221a9a83-b200-438a-b810-e706975b9e9f,C-MarXPQ2Z59,,50,,,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.5,0,125,2,---,18/05/2025 22:57,Wet_Season
a4fe03f8-d086-47f1-99bc-001693dd63ee,C-Tud64Q1V36,50,,,,5,5,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,---,19/05/2025 04:16,Wet_Season
86c60c80-2b06-4ba2-b408-36975f503d70,C-TudEG0Z501,50,,,,5,5,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,---,19/05/2025 04:20,Wet_Season
f0b78684-1720-4f4c-8a17-9077fd9b50da,C-Tud6X8WT06,50,,,,5,5,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,---,19/05/2025 04:22,Wet_Season
def89a23-e99f-4226-915c-bdc4580cb509,C-Mar4DNRJ20,,50,,,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.5,0,125,2,---,19/05/2025 07:36,Wet_Season
dba352dc-8c0d-4a4b-80e0-c20c42691ffa,C-MarQ0QE843,,50,,,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.5,0,125,2,---,19/05/2025 08:52,Wet_Season
397e38f6-d553-4d3e-8dd3-76d9bb2069ab,C-Mar1YUMC36,,50,,,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.5,0,125,2,---,19/05/2025 08:52,Wet_Season
3a1118c8-b8fd-447d-b4f2-b5d9458dfea0,C-MarXOCYU11,,50,,,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.5,0,125,2,---,19/05/2025 08:52,Wet_Season
330db155-9e95-4072-8b20-bb9d45fabc27,C-MarB97I211,,50,,,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.5,0,125,2,---,19/05/2025 08:52,Wet_Season
c263ae2b-284e-483d-aff0-bee8de0f479f,C-MarOJ6NZ33,,50,,,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.5,0,125,2,---,19/05/2025 08:52,Wet_Season
31651810-498f-4803-802d-7b36eb21bc07,C-MarGY2FB00,,50,,,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.5,0,125,2,---,19/05/2025 08:52,Wet_Season
482798e0-bc1f-44e5-9f7f-9792c400c4b7,C-MarHDXOL40,,50,,,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.5,0,125,2,---,19/05/2025 08:52,Wet_Season
cf431275-866f-466d-b94a-97b59820ee0a,C-MarVZCWX17,,50,,,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.5,0,125,2,---,19/05/2025 09:38,Wet_Season
769a0a7b-4fbc-4667-af2f-032c06d30a4e,C-TudW0FYC18,50,,,,5,5,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,---,19/05/2025 09:48,Wet_Season
c6e0f478-da27-481e-9997-1cce21c18605,C-Bal8GYMF21,50,,,,5,5,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,---,19/05/2025 09:52,Wet_Season
3ba4cc94-1a6c-4209-b556-67090b9a39e8,C-BalB7VL855,50,,,,5,5,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,---,19/05/2025 10:29,Wet_Season
361b4d98-ee8e-48cd-9ec0-db7ef05472f5,C-BalC13I138,50,,,,5,5,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,---,19/05/2025 10:30,Wet_Season
fa9e3092-9644-4cde-92c0-de39ea1df741,C-BalDS0Q500,50,,,,5,5,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,---,19/05/2025 10:30,Wet_Season
4689c07b-05ca-4aab-af73-b4000545b1b5,C-BalHECAC27,50,,,,5,1,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,---,19/05/2025 10:30,Wet_Season
f2466722-7032-4c56-9ec8-1722a4788977,C-BalT53CB33,50,,,,5,5,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,---,19/05/2025 10:30,Wet_Season
d2743f69-a5d0-4874-9251-a7d2d020a027,C-BalYUIJX46,50,,,,5,5,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,---,19/05/2025 10:30,Wet_Season
bfd1d113-d048-4998-b779-b09d5e847707,C-BalZW0A433,50,,,,5,5,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,---,19/05/2025 10:30,Wet_Season
fd37b576-8627-4b99-853d-c6666aef0b58,C-Bil4LD1Q03,50,,,,5,5,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,---,19/05/2025 10:38,Wet_Season
382fc3f3-bb54-4a61-bb03-574a6c6c92ab,C-BilI45WT22,50,,,,5,5,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,---,19/05/2025 11:24,Wet_Season
61ecfd32-ab53-4bce-849c-bb51fd7d00f9,C-BilT10NU17,50,,,,5,5,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,---,19/05/2025 11:24,Wet_Season
77d41813-0071-4d7c-85d4-432f0b130df4,C-BilUY8OK02,50,,,,5,5,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,---,19/05/2025 11:24,Wet_Season
d8b4ae4f-efd9-4c68-a3c4-f0e6c03ac06f,C-BilZ73OB14,50,,,,5,5,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,---,19/05/2025 11:24,Wet_Season
82d5eed9-bc2c-42f8-9bf8-dad90cea1af3,C-Yam0VXHG00,50,,,,5,5,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,---,19/05/2025 11:30,Wet_Season
fba49d37-0c7e-4205-ad8b-0e370a3ca8b7,C-YamCER3734,50,,,,5,5,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,---,19/05/2025 12:02,Wet_Season
de1ae7c5-4354-4182-b3ef-aacad1a3f05c,C-YamE1RKO30,50,,,,5,5,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,---,19/05/2025 12:02,Wet_Season
b200a7e4-9aa3-4056-8ba6-30e3a5a53a92,C-YamNC39711,50,,,,5,5,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,---,19/05/2025 12:02,Wet_Season
c17a68e9-8b0a-4ab7-bc3a-03f2caa147f1,C-YamCFXMW22,50,,,,5,5,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,---,19/05/2025 12:02,Wet_Season
3150348a-7683-4cfe-a5a8-98b5a1918c09,C-YamGLGE744,50,,,,5,5,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,---,19/05/2025 12:02,Wet_Season
bf24b7d5-aafc-462c-86bb-f454c811b88e,C-YamJXKN713,50,,,,5,5,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,---,19/05/2025 12:02,Wet_Season
04614132-46fc-41d5-81fe-8ac6b5fa865d,C-IkaPF9VJ10,,100,,,8,4,0,2,0,0,2,2,0,0,0,0,0,0,0,0,1.5,0,0,0,0,2,0,0,---,19/05/2025 15:30,Wet_Season
f694725e-12b9-4e54-bc44-f23a18b47824,C-IkaT69E229,100,,,,6,6,0,2,0,0,0,2,0,2,0,0,0,0,0,0,1.5,0,0,0,0,0,0,0,---,19/05/2025 15:32,Wet_Season
7071d170-8e39-404b-b0e2-b455fa96c493,C-IkaYDAOP03,,100,,,8,4,0,2,0,0,2,2,0,0,0,0,0,0,0,0,1.5,0,0,0,0,2,0,0,---,19/05/2025 15:35,Wet_Season
0a76c0bd-13c6-4a02-b268-8d16f89d2114,C-MarH9R7930,,50,,,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.5,0,125,2,---,19/05/2025 16:08,Wet_Season
c6ef9228-81a8-4f41-99e8-5b00e7c83766,C-Yam0C47E53,50,,,,3,3,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,---,19/05/2025 16:17,Wet_Season
0b3b726b-2609-4543-8849-183203328ac7,C-Yam91CAU32,50,,,,3,3,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,---,19/05/2025 16:17,Wet_Season
332258a1-2d49-4a32-84da-30a9fc065fc1,C-YamDQLPY19,50,,,,3,3,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,---,19/05/2025 16:17,Wet_Season
79d446ed-eaa6-4236-959b-78c390291333,C-YamH67AA06,50,,,,3,3,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,---,19/05/2025 16:17,Wet_Season
cf6a5d55-a968-4d7e-ba9a-038f8d8b2b80,C-YamNLJ9K39,50,,,,3,3,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,---,19/05/2025 16:17,Wet_Season
016e7955-fb60-46a1-a292-9420b1299254,C-YamSYGMM52,100,,,,6,6,0,2,2,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,---,19/05/2025 16:17,Wet_Season
