formid,State,6  Ongoing farm activity at the time of visit | None,6  Ongoing farm activity at the time of visit | Site_Selection,6  Ongoing farm activity at the time of visit | Land_Measurement,6  Ongoing farm activity at the time of visit | Land_Clearing,6  Ongoing farm activity at the time of visit | First_herbicide_application,6  Ongoing farm activity at the time of visit | Ploughing_Harrowing_Tilling,6  Ongoing farm activity at the time of visit | Preparation_of_Nursery_,6  Ongoing farm activity at the time of visit | Planting,6  Ongoing farm activity at the time of visit | Transplanting,6  Ongoing farm activity at the time of visit | Gap_control_(Replacement_of_un-germinated_plants),6  Ongoing farm activity at the time of visit | Mulching,6  Ongoing farm activity at the time of visit | Post-Emergence_Herbicide_Application_or_Manual_weeding_1,6  Ongoing farm activity at the time of visit | NPK_Application,6  Ongoing farm activity at the time of visit | Application_of_Aflasafe,6  Ongoing farm activity at the time of visit | Application_of_Pesticide,6  Ongoing farm activity at the time of visit | Post-Emergence_Herbicide_Application_or_Manual_weeding_2,6  Ongoing farm activity at the time of visit | Urea_Application,6  Ongoing farm activity at the time of visit | SSP_Application,6  Ongoing farm activity at the time of visit | Post-Emergence_Herbicide_Application_or_Manual_weeding_3,6  Ongoing farm activity at the time of visit | Harvesting,6  Ongoing farm activity at the time of visit | Drying_(To_eradicate_moisture),6  Ongoing farm activity at the time of visit | Winnowing,6  Ongoing farm activity at the time of visit | Bagging,6  Ongoing farm activity at the time of visit | Storage,6  Ongoing farm activity at the time of visit | extra,7  Crop(s) planted | None,7  Crop(s) planted | Groundnut,7  Crop(s) planted | Maize,7  Crop(s) planted | Rice,7  Crop(s) planted | Sorghum,7  Crop(s) planted | extra,form/Implementing_partner,Cooperative_Unique_ID,Gender_of_cooperative_members,Age_of_cooperative_members,Nature_of_Cooperative_members,username,received_on
1048f1e1-4a34-4e94-85ae-3b5ceab48cf3,Kaduna,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,Kaduna 2-PVNL,C-JemVRW0I00,Female,Youth,Production/Processing,jam301,12/06/2025 14:06
ffe2eb3a-93fc-41d5-9e75-db89173aa6f0,Kaduna,,1,,1,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,Kaduna 2-PVNL,C-JemFKJCT55,Female,Youth,Production/Processing,jam301,12/06/2025 14:16
7c6037f3-9cf8-44e2-aa48-79484d36c222,Kaduna,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,Kaduna 2-PVNL,C-JemFKJCT55,Female,Youth,Production/Processing,jam301,12/06/2025 14:46
928ff6fd-bea6-43e8-bd12-0da990bf1144,Kaduna,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,Kaduna 2-PVNL,C-JemFKJCT55,Female,Youth,Production/Processing,jam301,12/06/2025 14:52
c22e501a-6dd7-4fd6-8e8e-d0c4ee93c0e2,Kaduna,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,1,,,,Kaduna 1-PVNL,C-ChiLQF4554,Female,Youth,Production/Processing,chk307,13/06/2025 08:06
acb33903-0cb1-4398-bd97-50aa658e3a51,Nasarawa,,,,,,1,,1,,,,,1,,,,,,,,,,,,,,,1,,,,PVNL,C-Dom8LKKY49,Female,Youth,Production/Processing,dom304,13/06/2025 08:58
f93adceb-4c53-49b6-a77c-0498a246d6a7,Nasarawa,,,,,,1,,1,,,,,1,,,,,,,,,,,,,,,1,,,,PVNL,C-Dom2ZW7J25,Male,Youth,Production,dom304,13/06/2025 08:58
d1078706-faaa-4434-b841-116dfbe7e55d,Nasarawa,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,1,,,,PVNL,C-Dom6NEIY05,Female,Youth,Production/Processing,dom304,13/06/2025 08:58
ac36c203-f465-4af5-b8d6-eb1846c42c11,Kaduna,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,Kaduna 1-PVNL,C-Chi4N2F515,Female,Youth,Production/Processing,chk307,13/06/2025 10:39
1dd565d6-28ec-4df5-b651-5e478e4e34ee,Kaduna,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,Kaduna 1-PVNL,C-Chi61V5K23,Female,Youth,Production,chk309,13/06/2025 12:52
ee8d5d10-186e-418d-b0eb-835c66e36ded,Kaduna,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,Kaduna 1-PVNL,C-Chi61V5K23,Female,Youth,Production,chk309,13/06/2025 12:52
bbae16e9-694b-499c-996d-fcfb45df4423,Kaduna,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,Kaduna 1-PVNL,C-ChiJAMWA48,Female,Youth,Production/Processing,chk309,13/06/2025 12:56
2dc65cd7-78b8-4c0c-a32d-106ffd8a63da,Kaduna,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,Kaduna 1-PVNL,C-ChiJAMWA48,Female,Youth,Production/Processing,chk309,13/06/2025 13:00
950e044f-beb1-4891-bfdb-23bb88e6e0e6,Kaduna,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,Kaduna 2-PVNL,C-Jem9BCNO32,Female,Youth,Production/Processing,jam301,13/06/2025 19:40
a39c802e-f09c-461d-a67b-457654df8e6e,Kaduna,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,Kaduna 2-PVNL,C-Jem9BCNO32,Female,Youth,Production/Processing,jam301,13/06/2025 19:50
cde006c5-da9e-4c4c-8d63-a47b1e1e0457,Kaduna,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,Kaduna 2-PVNL,C-JemBN0JB04,Female,Youth,Production/Processing,jam301,13/06/2025 19:55
38bb0fca-a4b9-4b03-bdde-b26d1b8989fd,Kaduna,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,Kaduna 2-PVNL,C-JemVRW0I00,Female,Youth,Production/Processing,jam301,13/06/2025 20:43
b40326f3-54d7-4b32-8aad-43300da83d08,Benue,,,,1,,,1,,,,1,,,,,,,,,,,,,,,,,,1,,,PVNL,C-MarFTUA412,Female,Youth,Production/Processing,mak302,13/06/2025 21:03
de4b4419-8154-4ad7-8d66-6cdae19e21fd,Kaduna,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,Kaduna 2-PVNL,C-JemFKJCT55,Female,Youth,Production/Processing,jam301,13/06/2025 21:11
8a9d4c83-b297-4590-b174-04ba1af43060,Nasarawa,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,PVNL,C-NasW232503,Female,Youth,Production/Processing,nas302,13/06/2025 21:13
cac08610-f88c-4ded-97f1-58f89c29012f,Nasarawa,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,PVNL,C-NasW232503,Female,Youth,Production/Processing,nas302,13/06/2025 21:13
254ad039-1f4c-4a66-8057-3fd29adc5107,Nasarawa,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,PVNL,C-NasW232503,Female,Youth,Production/Processing,nas302,13/06/2025 21:13
81e564e5-926f-4ccf-b04d-5c9f5922655f,Nasarawa,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,PVNL,C-NasW232503,Female,Youth,Production/Processing,nas302,13/06/2025 21:13
6f54b293-0c61-47ab-ba8e-d56d81a66f8a,Nasarawa,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,PVNL,C-NasW232503,Female,Youth,Production/Processing,nas302,13/06/2025 21:13
d704433a-4108-4d2d-b9a5-3387f6d2599e,Nasarawa,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,PVNL,C-NasW232503,Female,Youth,Production/Processing,nas302,13/06/2025 21:13
737fa3f6-d32f-46a0-9c84-42471c34459c,Nasarawa,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,PVNL,C-NasPEKEV55,Female,Youth,Production/Processing,nas302,13/06/2025 21:13
c9178302-9bfa-4446-82ab-1e148011b6de,Nasarawa,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,PVNL,C-NasPEKEV55,Female,Youth,Production/Processing,nas302,13/06/2025 21:13
65aff885-24d1-4fb2-a80b-f20285cad2ec,Nasarawa,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,PVNL,C-NasPEKEV55,Female,Youth,Production/Processing,nas302,13/06/2025 21:13
c3cce01a-550d-4fd9-90d0-618b8af69b7f,Nasarawa,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,PVNL,C-NasPEKEV55,Female,Youth,Production/Processing,nas302,13/06/2025 21:13
55b07536-036b-45dd-a159-63b1a827a2f0,Nasarawa,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,PVNL,C-NasPEKEV55,Female,Youth,Production/Processing,nas302,13/06/2025 21:13
a8b0c5ca-2886-4272-a9ea-75125dccb5ec,Nasarawa,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,PVNL,C-NasPEKEV55,Female,Youth,Production/Processing,nas302,13/06/2025 21:13
3d300e38-ba15-45cd-b753-086d66605f31,Nasarawa,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,PVNL,C-Nas6KYP526,Female,Youth,Production/Processing,nas302,13/06/2025 21:13
1538becd-bcc6-4fdc-8e04-dcad4abf874c,Nasarawa,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,PVNL,C-Nas6KYP526,Female,Youth,Production/Processing,nas302,13/06/2025 21:14
8d9d31c4-df91-4d17-82bd-2c77e3b6b466,Nasarawa,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,PVNL,C-Nas6KYP526,Female,Youth,Production/Processing,nas302,13/06/2025 21:14
2bad583a-7e60-4f65-9d12-2d5550f97b4c,Nasarawa,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,PVNL,C-Nas6KYP526,Female,Youth,Production/Processing,nas302,13/06/2025 21:14
394a7aa9-f0a7-4ef7-a481-eac3fef92d3a,Nasarawa,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,PVNL,C-Nas6KYP526,Female,Youth,Production/Processing,nas302,13/06/2025 21:14
5d54244f-6c59-4a6c-9337-41bb23eb9fb4,Nasarawa,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,PVNL,C-Nas6KYP526,Female,Youth,Production/Processing,nas302,13/06/2025 21:14
5b381929-532e-43be-aed9-79376a804a92,Nasarawa,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,PVNL,C-Nas186U837,Female,Youth,Production/Processing,nas302,13/06/2025 21:14
578d7a3d-0eed-4c6c-9c53-6ef2529ea599,Nasarawa,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,PVNL,C-Nas186U837,Female,Youth,Production/Processing,nas302,13/06/2025 21:14
0000ce12-cd07-4bb0-82dc-7a433cd1c494,Nasarawa,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,PVNL,C-Nas186U837,Female,Youth,Production/Processing,nas302,13/06/2025 21:14
245290ab-b26c-4217-921e-e4143c800801,Nasarawa,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,PVNL,C-Nas186U837,Female,Youth,Production/Processing,nas302,13/06/2025 21:14
757b512a-4a23-43e6-9759-b3c9b18faf39,Nasarawa,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,PVNL,C-Nas186U837,Female,Youth,Production/Processing,nas302,13/06/2025 21:14
b6a9fbd2-0fc5-4156-a50f-32bf080dadf1,Nasarawa,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,PVNL,C-Nas186U837,Female,Youth,Production/Processing,nas302,13/06/2025 21:14
3f29e7d4-c89b-494c-9c9d-2a6cbe1618f4,Nasarawa,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,PVNL,C-NasOMELO50,Female,Youth,Production/Processing,nas302,13/06/2025 21:14
5c2f50d2-7eb7-4b79-8e9f-5da0a4fb69f5,Nasarawa,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,PVNL,C-NasOMELO50,Female,Youth,Production/Processing,nas302,13/06/2025 21:14
9a34e6ae-6a81-4a6a-9ef7-42b4d078f426,Nasarawa,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,PVNL,C-NasOMELO50,Female,Youth,Production/Processing,nas302,13/06/2025 21:14
7a730418-3f3d-4c79-93f6-372525a29d98,Nasarawa,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,PVNL,C-NasOMELO50,Female,Youth,Production/Processing,nas302,13/06/2025 21:14
fed5f65f-864b-4d91-9e64-1e52ec39a6a8,Nasarawa,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,PVNL,C-NasOMELO50,Female,Youth,Production/Processing,nas302,13/06/2025 21:14
67335db9-f198-4386-a191-74aa3b35adf6,Nasarawa,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,PVNL,C-NasOMELO50,Female,Youth,Production/Processing,nas302,13/06/2025 21:14
205f5465-44eb-41f5-9de5-81fed68b602c,Nasarawa,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,PVNL,C-Nas13EC403,Female,Youth,Production/Processing,nas302,13/06/2025 21:14
a613aa32-7125-4f95-9a1d-ebf544a0d804,Nasarawa,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,PVNL,C-Nas13EC403,Female,Youth,Production/Processing,nas302,13/06/2025 21:14
3a9ec9b2-23b0-4e98-96b2-c044dad30025,Nasarawa,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,PVNL,C-Nas13EC403,Female,Youth,Production/Processing,nas302,13/06/2025 21:14
03ee7bae-9189-43a7-8efd-022d591da648,Nasarawa,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,PVNL,C-Nas13EC403,Female,Youth,Production/Processing,nas302,13/06/2025 21:14
3e4aac56-52e6-4147-82a5-b1c45287d87d,Nasarawa,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,PVNL,C-Nas13EC403,Female,Youth,Production/Processing,nas302,13/06/2025 21:14
848a51e0-25e4-43f2-9be7-ebed9700bf6a,Nasarawa,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,PVNL,C-NasOMELO50,Female,Youth,Production/Processing,nas302,13/06/2025 21:15
cefe2337-a8a0-461f-8455-fbda61c56d92,Nasarawa,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,PVNL,C-NasZX8JT00,Female,Youth,Production/Processing,nas302,13/06/2025 21:15
0517f5ed-d0e5-4348-96ab-faf1d737c835,Nasarawa,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,PVNL,C-NasZX8JT00,Female,Youth,Production/Processing,nas302,13/06/2025 21:15
a4a67893-0cf1-4362-9d17-f7122067dcde,Nasarawa,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,PVNL,C-NasZX8JT00,Female,Youth,Production/Processing,nas302,13/06/2025 21:15
b23a617b-8504-4b78-835e-bd5128e7f81b,Nasarawa,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,PVNL,C-NasZX8JT00,Female,Youth,Production/Processing,nas302,13/06/2025 21:15
d12adb4c-345d-46d8-8cf0-836363d4e2c6,Nasarawa,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,PVNL,C-NasZX8JT00,Female,Youth,Production/Processing,nas302,13/06/2025 21:15
efb5a28a-64c7-433d-8531-15f8c65d7595,Nasarawa,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,PVNL,C-NasZX8JT00,Female,Youth,Production/Processing,nas302,13/06/2025 21:15
13fdb45a-d05b-4f72-aba6-4a8099034150,Nasarawa,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,PVNL,C-NasOVMU257,Female,Youth,Production/Processing,nas302,13/06/2025 21:15
83a4d193-c0a2-4942-823e-0ad4b66dc46a,Nasarawa,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,PVNL,C-NasOVMU257,Female,Youth,Production/Processing,nas302,13/06/2025 21:15
a32d8ed8-07f8-4cee-a8ff-74afd5e03f82,Nasarawa,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,PVNL,C-NasOVMU257,Female,Youth,Production/Processing,nas302,13/06/2025 21:15
d182a370-bebb-4ed6-9ce7-66d92a828245,Nasarawa,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,PVNL,C-NasOVMU257,Female,Youth,Production/Processing,nas302,13/06/2025 21:15
cf66ec42-8f57-487a-8a87-0702f2ef5fd0,Nasarawa,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,PVNL,C-NasOVMU257,Female,Youth,Production/Processing,nas302,13/06/2025 21:15
cb67e4c6-b25d-416f-8815-1cf7af0326d4,Nasarawa,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,PVNL,C-NasOVMU257,Female,Youth,Production/Processing,nas302,13/06/2025 21:15
92546d8a-3d91-4f25-91ca-bf793a735457,Nasarawa,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,PVNL,C-NasYS76640,Female,Youth,Production/Processing,nas302,13/06/2025 21:15
0f72e9be-b6b9-4af9-aff7-f0267fc62c58,Nasarawa,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,PVNL,C-NasYS76640,Female,Youth,Production/Processing,nas302,13/06/2025 21:15
e56fc4c3-05fa-40d8-9f9d-6b6edc9e70ca,Nasarawa,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,PVNL,C-NasYS76640,Female,Youth,Production/Processing,nas302,13/06/2025 21:15
340b89f4-f8b8-4709-a9d3-4bb3cca6f428,Nasarawa,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,PVNL,C-NasYS76640,Female,Youth,Production/Processing,nas302,13/06/2025 21:15
333d92a5-864c-48e8-b718-32c34beee183,Nasarawa,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,PVNL,C-NasYS76640,Female,Youth,Production/Processing,nas302,13/06/2025 21:15
e70dddda-2879-4ce8-8a85-1f67fd19962e,Nasarawa,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,PVNL,C-NasYS76640,Female,Youth,Production/Processing,nas302,13/06/2025 21:15
79474deb-0f7c-44e5-87ee-10a7f5d960c1,Nasarawa,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,PVNL,C-NasTPRPZ29,Male,Youth,Production,nas302,13/06/2025 21:15
60ac8f9f-689a-47d9-941e-6b1b7705b972,Nasarawa,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,PVNL,C-NasTPRPZ29,Male,Youth,Production,nas302,13/06/2025 21:15
10aa03c1-02be-49e8-8a0c-470f2e71b718,Nasarawa,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,PVNL,C-NasTPRPZ29,Male,Youth,Production,nas302,13/06/2025 21:15
95029418-bf9c-48a4-8ede-4893c2d68174,Nasarawa,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,PVNL,C-NasTPRPZ29,Male,Youth,Production,nas302,13/06/2025 21:15
4ac34901-3821-4b2b-b649-69302a619776,Nasarawa,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,PVNL,C-NasTPRPZ29,Male,Youth,Production,nas302,13/06/2025 21:15
d5b11e81-a920-4fd1-af68-b59601654f1a,Nasarawa,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,PVNL,C-NasTPRPZ29,Male,Youth,Production,nas302,13/06/2025 21:15
9f989035-1a5a-408c-83ed-bbe06a78ec13,Nasarawa,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,PVNL,C-NasXMIHI18,Male,Youth,Production,nas302,13/06/2025 21:15
80f35410-a061-49f4-aad1-2e115de30f8c,Nasarawa,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,PVNL,C-NasXMIHI18,Male,Youth,Production,nas302,13/06/2025 21:15
2c881584-c9e2-46e9-8988-5fb74bf77d4d,Nasarawa,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,PVNL,C-NasXMIHI18,Male,Youth,Production,nas302,13/06/2025 21:15
cd7c8821-a5d2-4cd2-b701-b21cfd5f54b2,Nasarawa,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,PVNL,C-NasXMIHI18,Male,Youth,Production,nas302,13/06/2025 21:15
2317950a-a497-4a5a-90f8-38ee22071489,Nasarawa,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,PVNL,C-NasXMIHI18,Male,Youth,Production,nas302,13/06/2025 21:15
39b28208-952c-4986-9932-7a01af59ec17,Nasarawa,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,PVNL,C-NasXMIHI18,Male,Youth,Production,nas302,13/06/2025 21:15
bb70f659-3ca0-4479-850a-b73e6546dde4,Nasarawa,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,PVNL,C-NasCY01F32,Male,Youth,Production,nas302,13/06/2025 21:15
da3e45b2-d036-4437-861c-7b49d8c6fe19,Nasarawa,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,PVNL,C-NasCY01F32,Male,Youth,Production,nas302,13/06/2025 21:15
598fe437-b1b1-430e-91bf-228e369b275b,Nasarawa,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,PVNL,C-NasCY01F32,Male,Youth,Production,nas302,13/06/2025 21:15
cab41351-0244-466d-a47a-6ce3e3152c0f,Nasarawa,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,PVNL,C-NasCY01F32,Male,Youth,Production,nas302,13/06/2025 21:16
54bb33c6-c9c6-4954-b418-e1ac035cc4db,Nasarawa,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,PVNL,C-NasCY01F32,Male,Youth,Production,nas302,13/06/2025 21:16
5ee8c631-9aed-4327-b90d-c18a002e181c,Nasarawa,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,PVNL,C-NasCY01F32,Male,Youth,Production,nas302,13/06/2025 21:16
7d04a30a-1ea6-4c26-b7d7-f3a081b2bd3f,Benue,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,PVNL,C-TarCTMZW43,Male,Youth,Production,tar302,13/06/2025 21:58
4775b21e-b4d6-46d7-8680-55da05bafe6b,Benue,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,PVNL,C-TarCTMZW43,Male,Youth,Production,tar302,13/06/2025 22:01
6576b0a9-10c8-4fe9-858c-deadd4a2d5a6,Benue,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,PVNL,C-TarDYO1X28,Female,Youth,Production/Processing,tar302,13/06/2025 22:05
c66b7a6d-bb70-4213-879b-0e31830498aa,Benue,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,PVNL,C-TarDYO1X28,Female,Youth,Production/Processing,tar302,13/06/2025 22:09
ac8d1784-7b00-4433-88d2-ead567190af6,Benue,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,PVNL,C-TarX8YLU42,Male,Youth,Production,tar302,13/06/2025 22:12
a9c2c589-5ab1-4e00-9985-9c3e187cea0e,Benue,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,PVNL,C-TarX8YLU42,Male,Youth,Production,tar302,13/06/2025 22:15
a92d4d27-e36c-40dd-a076-b0e12785ec96,Benue,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,PVNL,C-Tar8VBSB36,Female,Youth,Production/Processing,tar302,13/06/2025 22:19
