formid,NameofMegaCluster,Name of equipment Distribution Center,Which of these Equipment(s) has the cluster received | Hand-held_tillers,Which of these Equipment(s) has the cluster received | Hand-held_multi-crop_harvester,Which of these Equipment(s) has the cluster received | Fertilizer_broadcasters,Which of these Equipment(s) has the cluster received | Multi_crop_shelling_machines,Which of these Equipment(s) has the cluster received | Water/_irrigation__pumps,Which of these Equipment(s) has the cluster received | Personal_Protective_Equipment_(2sets),Which of these Equipment(s) has the cluster received | Solar_Powered_Knapsack_Sprayer,Which of these Equipment(s) has the cluster received | Petrol_powered_Knapsack_Sprayer,Which of these Equipment(s) has the cluster received | Fertilizer_Pusher,Which of these Equipment(s) has the cluster received | Seed_Planter,Which of these Equipment(s) has the cluster received | Solar-powered_irrigation_pump,Which of these Equipment(s) has the cluster received | Others,Which of these Equipment(s) has the cluster received | extra,Qty of Hand-held tillers,Qty of Hand-held multi-crop harvester,Qty of Hand held Transplanter,Qty of Fertilizer broadcasters,Qty of Multi crop shelling machines,Qty of Solar Powered Knapsack Sprayer,Qty of Solar-powered irrigation pump,Qty of Petrol powered Knapsack Sprayer,Qty of Water/ irrigation  pumps,Qty of Personal Protective Equipment (2sets),Qty of Fertilizer Pusher,Qty of Seed Planter,WOFANContributionEquipments | Treadle_pump,WOFANContributionEquipments | Fertilizer_planter,WOFANContributionEquipments | Umbrella,WOFANContributionEquipments | extra,Qty of Treadle pump,Qty of Fertilizer planter,Qty of Umbrella,Dateequipmentwasreceived,Implementing_partner,received_on,Location_State
5ee33340-fa42-4042-9f91-0ca10eb4e47f,Turum WOFAN Mega cluster,WOFAN Center,1,1,1,1,1,1,1,,1,1,1,,,1,1,---,1,1,2,1,---,1,2,1,1,,1,,,---,1,---,2025-03-11,WOFAN,08 September 2025,Bauchi
65fd1918-f207-4101-a0a4-f82126381df3,Mirii WOFAN Mega cluster,WOFAN Center,1,1,1,1,1,1,1,,1,1,1,,,1,1,---,1,1,2,1,---,1,2,1,1,,1,,,---,1,---,2025-03-11,WOFAN,08 September 2025,Bauchi
391093e5-f2bc-4fa1-8795-3e10ddb1f420,Wailo WOFAN Mega cluster,WOFAN Center,1,1,1,1,1,1,1,,1,1,1,,,1,1,---,1,1,2,1,---,1,2,1,1,,1,,,---,1,---,2025-03-11,WOFAN,08 September 2025,Bauchi
f1f5ecea-9b74-48ea-aa99-c17259c53133,Kumo WOFAN Mega Cluster,WOFAN Center,1,1,1,1,1,1,1,,1,1,1,,,1,1,---,1,1,2,2,---,1,2,1,1,,1,,,---,1,---,2025-03-11,WOFAN,08 September 2025,Gombe
e43a9814-6e91-472f-bb18-422c5f5f3e5c,Todi WOFAN Mega Cluster,WOFAN Center,1,1,1,1,1,1,1,,1,1,1,,,1,1,---,1,1,2,1,---,1,2,1,1,,1,,,---,1,---,2025-03-11,WOFAN,08 September 2025,Gombe
891f61af-921a-4a80-ab60-64c06962e6d6,Kwadom WOFAN Mega Cluster,WOFAN Center,1,1,1,1,1,1,1,,1,1,1,,,1,1,---,1,1,2,1,---,1,2,1,1,,1,,,---,1,---,2025-03-11,WOFAN,08 September 2025,Gombe
ff529039-fabf-46f5-a2df-51a59fbf7a4a,Boh WOFAN Mega cluster,WOFAN Center,1,1,1,1,1,1,1,,1,1,1,,,1,1,---,1,1,2,1,---,1,2,1,1,,1,,,---,1,---,2025-03-11,WOFAN,08 September 2025,Gombe
0002906b-855a-480f-ab25-ad7edd0a099c,Yakasai WOFAN Mega Cluster,WOFAN Center,1,1,1,1,1,1,1,,1,1,1,,,1,1,---,1,1,2,1,---,1,2,1,1,,1,,,---,1,---,2025-03-08,WOFAN,09 September 2025,Kano
7700d7e2-a9e1-495d-a0b5-05fbcd712e7a,Danhassan WOFAN Mega Cluster,WOFAN Center,1,1,1,1,1,1,1,,1,1,1,,,1,1,---,1,1,2,1,---,1,2,1,1,,1,,,---,1,---,2025-03-08,WOFAN,09 September 2025,Kano
3084a67a-6ccd-4fd1-a2d7-84cf7ad7a946,Kofa WOFAN Mega Cluster,WOFAN Center,1,1,1,1,1,1,1,,1,1,1,,,1,1,---,1,1,2,1,---,1,2,1,1,,1,,,---,1,---,2025-03-08,WOFAN,09 September 2025,Kano
fb6faa2d-60ec-4f55-bc24-ea9dc2e28df3,Gwarmai WOFAN Mega Cluster,WOFAN Center,1,1,1,1,1,1,1,,1,1,1,,,1,1,---,1,1,2,1,---,1,2,1,1,,1,,,---,1,---,2025-03-08,WOFAN,09 September 2025,Kano
71ad788c-a0db-4f2c-8f8b-8c018ca9cb26,Garun Babba WOFAN Mega Cluster,WOFAN Center,1,1,1,1,1,1,1,,1,1,1,,,1,1,---,1,1,2,1,---,1,2,1,1,,1,,,---,1,---,2025-03-08,WOFAN,09 September 2025,Kano
b0121f38-cf0f-4565-8a0e-6aee1d73ce93,Fankurum WOFAN Mega Cluster,WOFAN Center,1,1,1,1,1,1,1,,1,1,1,,,1,1,---,1,1,2,1,---,1,2,1,1,,1,,,---,1,---,2025-03-08,WOFAN,09 September 2025,Kano
354faa17-db80-4c6e-acb4-d9c6df5e2091,Karfi WOFAN Mega Center,WOFAN Center,1,1,1,1,1,1,1,,1,1,1,,,1,1,---,1,1,2,1,---,1,2,1,1,,1,,,---,1,---,2025-03-08,WOFAN,09 September 2025,Kano
504ffba5-bb65-4bcb-813c-c87d6407eb5a,Ringimawa,WOFAN Center,1,1,1,1,1,1,1,,1,1,1,,,1,1,---,1,1,2,1,---,1,2,1,1,,1,,,---,1,---,2025-03-08,WOFAN,09 September 2025,Kano
53037d9f-f81a-4e9f-8306-4cb88e5e2541,Garun Malam WOFAN Mega Cluster,WOFAN Center,1,1,1,1,1,1,1,,1,1,1,,,1,1,---,1,1,2,1,---,1,2,1,1,,1,,,---,1,---,2025-03-08,WOFAN,09 September 2025,Kano
69d30796-282d-41e9-bb8b-9e02b2ac7924,Dakatsalle WOFAN Mega Cluster,WOFAN Center,1,1,1,1,1,1,1,,1,1,1,,,1,1,---,1,1,2,1,---,1,2,1,1,,1,,,---,1,---,2025-03-08,WOFAN,09 September 2025,Kano
947f783d-3535-4463-ab84-5d8f6d0a61ab,Yaryasa WOFAN Mega Cluster,WOFAN Center,1,1,1,1,1,1,1,,1,1,1,,,1,1,---,1,1,2,1,---,1,2,1,1,,1,,,---,1,---,2025-03-08,WOFAN,09 September 2025,Kano
dd0a59ef-b063-4b96-9323-26bde721ea15,Hayin Katsinawa WOFAN Mega Cluster,WOFAN Center,1,1,1,1,1,1,1,,1,1,1,,,1,1,---,1,1,2,1,---,1,2,1,1,,1,,,---,1,---,2025-03-08,WOFAN,09 September 2025,Kano
7b06b699-216e-4e2c-9824-450b2d48f165,Dangora WOFAN Mega Cluster,WOFAN Center,1,1,1,1,1,1,1,,1,1,1,,,1,1,---,1,1,2,1,---,1,2,1,1,,1,,,---,1,---,2025-03-08,WOFAN,09 September 2025,Kano
45d23c1b-d1f5-4e11-bde6-976a9aae1de5,Yako WOFAN   Mega Cluster,WOFAN Center,1,1,1,1,1,1,1,,1,1,1,,,1,1,---,1,1,2,1,---,1,2,1,1,,1,,,---,1,---,2025-03-08,WOFAN,09 September 2025,Kano
6414523c-fca7-42d9-9d6c-4953784a3a4f,Tamawa WOFAN Mega Cluster,WOFAN Center,1,1,1,1,1,1,1,,1,1,1,,,1,1,---,1,1,2,1,---,1,2,1,1,,1,,,---,1,---,2025-03-08,WOFAN,09 September 2025,Kano
38cd4589-1a71-4adb-842c-abffe619f9e1,Karofin Yashi WOFAN Mega Cluster,WOFAN Center,1,1,1,1,1,1,1,,1,1,1,,,1,1,---,1,1,2,1,---,1,2,1,1,,1,,,---,1,---,2025-03-08,WOFAN,09 September 2025,Kano
5acd7808-4342-453b-bb0d-1c1dabe2f79c,Danlawal WOFAN Mega Cluster,WOFAN Center,1,1,1,1,1,1,1,,1,1,1,,,1,1,---,1,1,2,1,---,1,2,1,1,,1,,,---,1,---,2025-03-08,WOFAN,09 September 2025,Kaduna
39d38e61-9a5d-46b5-b145-dffcd153f296,Saulawa WOFAN Mega Cluster,WOFAN Center,1,1,1,1,1,1,1,,1,1,1,,,1,1,---,1,1,2,1,---,1,2,1,1,,1,,,---,1,---,2025-03-08,WOFAN,09 September 2025,Kaduna
235ce127-20fa-4125-a720-1ef35e4e38b5,Kuya WOFAN Mega Cluster,WOFAN Center,1,1,1,1,1,1,1,,1,1,1,,,1,1,---,1,1,2,1,---,1,2,1,1,,1,,,---,1,---,2025-03-08,WOFAN,09 September 2025,Kaduna
a431883b-9c84-4525-9ea2-1ea28a6897f7,WOFAN Kuchilo Mega Cluster,"WOFAN head office, Kano",1,1,1,1,1,1,1,,1,1,1,,,1,1,---,1,1,2,1,---,1,2,1,1,,1,,,---,1,---,2025-03-08,WOFAN,24 September 2025,FCT
af9b5e2e-0292-4fbe-93a3-ef431f0ef195,WOFAN Old - kutunku mega cluster,WOFAN head office Kano,1,1,1,1,1,1,1,,1,1,1,,,1,1,---,1,1,2,1,---,1,2,1,1,,1,,,---,1,---,2025-03-08,WOFAN,24 September 2025,FCT
a79a0369-40b7-4341-b15a-c89fe71689b2,WOFAN Abogu Bako Mega Cluster,"WOFAN head office, Kano State",1,1,1,1,1,1,1,,1,1,1,,,1,1,---,1,1,2,1,---,1,2,1,1,,1,,,---,1,---,2025-03-08,WOFAN,24 September 2025,FCT
f4c2b45e-94bb-4a37-9bdc-dce8ffc34dfc,WOFAN Ubosharu Mega clustere,"WOFAN head office, Kano State",1,1,1,1,1,1,1,,1,1,1,,,1,1,---,1,1,2,1,---,1,2,1,1,,1,,,---,1,---,2025-03-08,WOFAN,24 September 2025,FCT
e88f4850-841e-4dd9-a70b-3dca6122aefa,Tiv Farmers Cooperative Union Limited,International market Makurdi,1,1,1,1,1,1,1,,1,1,,,,1,1,---,1,1,2,---,---,1,1,1,1,,1,,,---,1,---,2025-07-11,PVNL,15 October 2025,Benue
daebfb31-7f66-4422-bc61-f30283c9fc98,WOFAN ICON2 Wannune Pro Mega Cluster,International Market Makurdi,1,1,1,1,1,1,1,,,1,,,,1,1,---,1,1,2,---,---,1,1,---,1,,1,,,---,1,---,2025-06-14,PVNL,16 October 2025,Benue
ab1a27f2-c86a-4594-a7cd-a5c5eb746a9c,WOFAN ICON2 Aondoan Pro Mega Cluster Cooperative,International Market Makurdi,1,1,1,1,1,1,1,,,1,,,,1,1,---,1,1,2,---,---,1,1,---,1,,,1,,---,---,20,2025-06-14,PVNL,17 October 2025,Benue
8ea9a9ea-297e-463b-a0c1-9c059f1f2099,Taraku ICON2 Producers Cooperative Union LTD,International Market Makurdi,1,1,1,1,1,1,1,,,1,,,,1,1,---,1,1,2,---,---,1,1,---,1,,1,,,---,1,---,2025-06-14,PVNL,17 October 2025,Benue
660155d0-8e66-46fe-a5b2-802a54ee1ac9,Vundar Men Mega cluster,Lafia,1,1,1,1,1,1,1,1,1,1,,,,1,1,---,1,1,2,---,1,1,1,1,1,1,,,,1,---,---,2025-05-27,PVNL,24 October 2025,Nasarawa
43adae8d-672d-4fe1-a4a1-9e13e086507e,Destiny Multipurpose cooperative,pvnl sabo store Lafia,1,1,1,1,1,1,1,1,1,1,1,,,1,1,---,1,1,2,1,1,1,1,1,1,1,1,,,1,1,---,2025-05-27,PVNL,25 October 2025,Nasarawa
3ba2aee5-9eee-4eee-a425-acfd57a3a139,Doma Mega Progressive Multipurpose Service cluster,pvnl  Store Kwandere road Lafia,1,1,1,1,1,1,1,1,1,1,1,,,1,1,---,1,1,1,1,1,1,1,1,1,1,1,,,1,1,---,2025-05-26,PVNL,26 October 2025,Nasarawa
128ad286-16b8-4a32-9e2d-26e1c1da3e9f,Gaskiya Group farmers Multipurpose cooperative,PVNL store Kwandere road Lafia,1,1,1,1,1,1,1,1,1,1,1,,,1,1,---,1,1,1,1,1,1,1,1,1,1,1,,,1,1,---,2025-05-26,PVNL,26 October 2025,Nasarawa
67cdbeb0-02f0-4925-bbc0-fa4343c1abf5,wye ham production mega cluster mpcsl,kwoi warehouse,1,1,1,1,1,1,1,,,1,,,,1,1,---,1,1,2,---,---,1,2,---,1,,1,,,---,1,---,2025-05-24,PVNL,11 November 2025,Kaduna
c7d308ce-d923-4800-9146-49aec2a4ec54,Kagarko progressive mega cluster multi-purpose coperative society limited,Kwoi warehouse,1,1,1,1,1,,1,,,1,,,,1,1,---,1,1,2,---,---,1,---,---,1,1,,,,1,---,---,2025-04-09,PVNL,12 November 2025,Kaduna
744b299c-f8c2-4fa9-ad96-50bcf78f4b2d,Tisichever Multipurpose Cooperative Society Limited,Kwoi,1,1,1,1,1,1,1,,,1,,,,1,1,---,1,1,2,---,---,1,2,---,1,,1,,,---,1,---,2025-05-24,PVNL,12 November 2025,Kaduna
e6f94777-4fc6-4c31-be55-b3bd8153de82,Nasara Mega Production Cluster,Kwai Warehouse,1,1,1,1,1,1,1,,,1,,,,1,1,---,1,1,2,---,---,1,2,---,1,,1,,,---,1,---,2025-05-23,PVNL,12 November 2025,Kaduna
bfb5e9c9-b51a-4c18-8177-67e591f80729,Phongkazzah ungwan rimi production mega cluster,Kwoi warehouse,1,1,1,1,1,1,1,,,1,,,,1,1,---,1,1,2,---,---,1,2,---,1,,1,,,---,1,---,2025-05-23,PVNL,12 November 2025,Kaduna
599725d7-6bfa-4615-95c5-20c3e1beda26,Mutual mega cluster gumel multi-purpose cooperative society limited,Warehouse kwoi,1,1,1,1,1,1,1,,,1,,,,1,1,---,1,1,2,---,---,1,2,---,1,,1,,,---,1,---,2025-05-24,PVNL,12 November 2025,Kaduna
769f24f3-c6f7-497f-a375-118bd347eba4,Goodness Kaura Mega Cluster Multi-Purpose Coperative Society Limited,Kwoi Distribution Center,1,1,1,1,1,1,1,,,1,,,,1,1,---,1,1,2,---,---,1,2,---,1,,1,,,---,1,---,2025-05-21,PVNL,14 November 2025,Kaduna
6e8bfd23-dd26-461a-aa79-0fdb8a17a454,Arise Mega Cluster MPCSL,Kwoi warehouse,1,1,1,1,1,1,1,,,1,,,,1,1,---,1,1,2,---,---,1,2,---,1,,1,,,---,1,---,2025-04-24,PVNL,14 November 2025,Kaduna
56f521d9-45eb-40c2-961d-17e6498dc64c,Achievers Mega cluster MPCSL,Kwoi warehouse,1,1,1,1,1,1,1,,,1,,,,1,1,---,1,1,2,---,---,1,2,---,1,,1,,,---,1,---,2025-04-24,PVNL,17 November 2025,Kaduna
