formid,coopgender,coopagegroup,coopstate,cooplocationtype,havejointbiz,majorcropsgrown,majorcropsprocessed,majorcropsmarketed,haveelectedexco,freqmeeting,haveactivebankacct,State-IP,coopID,received_on,natureofmembersenterprise,membersendeavors,username,form case case_id
bc22c48f-3539-4fbf-af8f-2b3e6248b691,Female,Youth,Kano,Rural,Yes,---,---,---,Yes,Monthly,Yes,Kano-WOFAN,Beb0X2355,11/01/2025 11:16,Micro_produce_marketers,Fresh_Produce_Sellers,beb34,3adaea1d-72e6-406b-ad9d-2d55f9b7eb48
2a2d14b1-4c74-40b1-9d3e-74fd35a8863d,Female,Youth,Kano,Rural,Yes,---,---,---,Yes,Monthly,Yes,Kano-WOFAN,TofXHCN41,11/01/2025 11:20,Micro_produce_marketers,Processed_and_Staple_Food_Sellers,rig15,a0c4ab15-73c0-4b95-9ad0-6bad2421d55d
ca98a95f-fbe4-4035-be6f-131e21cc96f0,Female,Youth,Kano,Rural,Yes,---,---,---,No,Monthly,No,Kano-WOFAN,Beb3K2O57,11/01/2025 11:25,Micro_produce_marketers,Processed_and_Staple_Food_Sellers,kir08,d5925d21-3213-4503-82d3-3e68d272f289
ea57ab66-056c-4dc4-b388-052c20cedf33,Female,Youth,Kaduna,Rural,No,---,---,---,Yes,Monthly,No,Kaduna-WOFAN,IkaAO7O01,11/01/2025 11:29,Micro_produce_marketers,Oil_and_Cooking_Ingredient_Sellers,ika23,c9109f11-4122-4967-b9ad-0a580f64039b
ee19589a-7285-4aed-b8e8-388e55673d52,Female,Youth,Bauchi,Urban,No,---,---,---,Yes,Quarterly,No,Bauchi-WOFAN,BauY36I53,11/01/2025 11:29,Micro_produce_marketers,Grain_and_Cereal_Traders,bau06,e633b270-a1be-413c-b9ad-9793c765893b
e467c50e-bc57-431d-b555-1aeea5e2eac0,Male,Youth,Kano,Rural,Yes,---,---,---,Yes,Monthly,Yes,Kano-WOFAN,RimG4FK21,11/01/2025 11:36,Logistics_Service_Providers,Loading/Off-loading_of_goods,rig14,cc00357d-725e-4c88-a775-72e73d01ab53
a134555a-b2a4-43a2-b335-2b1ce79c9685,Female,Youth,Kano,Rural,Yes,---,---,---,Yes,Monthly,No,Kano-WOFAN,RimH8RP14,11/01/2025 11:47,Micro_produce_marketers,Snack_and_Food_Hawkers,rig04,2f5e6fe0-a334-4919-b03e-e04aeb3aa82a
5b737bb3-ab87-442e-8fdd-4f54dab27f33,Female,Youth,Kano,Rural,Yes,---,---,---,Yes,Weekly,Yes,Kano-WOFAN,BebZUER49,11/01/2025 11:48,Micro_produce_marketers,Livestock_and_Animal_Product_Sellers,beb34,2abb127d-247a-4ccd-ad71-5934dfcfde31
898dfd6f-4395-4f0e-9843-64cf1eb4a9fe,Female,Youth,Kano,Rural,Yes,---,---,---,Yes,Monthly,No,Kano-WOFAN,Beb866C10,11/01/2025 11:56,Micro_produce_marketers,Fresh_Produce_Sellers,kir13,c3ea850e-dad6-4633-ad6a-5eb34f16ab05
7072a152-534c-483e-8833-c4bbeb6f0a3c,Male,Youth,Jigawa,Rural,Yes,---,---,---,Yes,Monthly,Yes,Jigawa-WOFAN,JahMTKL06,11/01/2025 11:58,Persons_with_Disability,---,jah29,7b28eb80-7150-4afb-8ba8-c6db9f540eb1
7d8743c9-2647-4989-8e57-b89e6ccfb261,Female,Youth,Gombe,Urban,Yes,---,---,---,Yes,Weekly,Yes,Gombe-WOFAN,GomYLZR50,11/01/2025 11:59,Micro_produce_marketers,Legume_and_Nut_Marketers,gom25,a9beb24a-2535-40e6-a701-959eb6a03d95
14a2bbd0-f7cf-47cb-b9c6-8928f6d918c4,Male,Youth,Jigawa,Rural,Yes,---,---,---,Yes,Monthly,Yes,Jigawa-WOFAN,JahB7ME57,11/01/2025 11:59,Logistics_Service_Providers,Loading/Off-loading_of_goods,jah66,4814bc06-0fcf-41a5-8a47-cda56248831d
53f91481-eb1b-46d2-a127-2e5f32c479e2,Male,Youth,Jigawa,Rural,Yes,---,---,---,Yes,Monthly,Yes,Jigawa-WOFAN,JahTMQ427,11/01/2025 12:00,Logistics_Service_Providers,Loading/Off-loading_of_goods,jah44,c2b2e99d-8b8d-4351-aa27-003534c0205e
a3145592-8dcf-4aa4-aeab-ce3e760c1f08,Female,Youth,Gombe,Rural,Yes,---,---,---,Yes,Monthly,No,Gombe-WOFAN,Akk64VN29,11/01/2025 12:05,Micro_produce_marketers,Processed_and_Staple_Food_Sellers,bal05,0cdf947a-8059-4dd3-8326-7deabc15bde1
42164dea-9c17-4da7-98da-e8ebe4e86b8a,Female,Youth,Jigawa,Rural,Yes,---,---,---,Yes,Quarterly,No,Jigawa-WOFAN,JahI7TI16,11/01/2025 12:05,Micro_produce_marketers,Processed_and_Staple_Food_Sellers,jah01,9976ecef-2d31-4ffb-ab7c-d1256edce4bc
306d0c1e-103c-4b98-989d-0ffc5d7d937f,Female,Youth,Gombe,Rural,Yes,---,---,---,Yes,Monthly,No,Gombe-WOFAN,Kwa4V0113,11/01/2025 12:21,Micro_produce_marketers,Processed_and_Staple_Food_Sellers,kwa09,8bb3a25a-1873-4f61-a567-4167df9992b8
4fb1b1ec-bd31-4b11-bd47-0d4720dbdd18,Male,Youth,Jigawa,Rural,Yes,---,---,---,Yes,Weekly,Yes,Jigawa-WOFAN,JahQ15S27,11/01/2025 12:23,Logistics_Service_Providers,---,jah51,7231fd80-7358-414a-969b-51f9a45eb131
9ee07138-b429-4435-a0e7-56ca14f19156,Female,Youth,Kano,Rural,Yes,---,---,---,Yes,Monthly,No,Kano-WOFAN,Beb7GO555,11/01/2025 12:26,Micro_produce_marketers,Processed_and_Staple_Food_Sellers,beb05,0d892b6b-aa42-4e07-8438-88bf1813978f
5d39b95d-f7f0-43b3-b1a5-2c33f02d562b,Female,Youth,Jigawa,Rural,Yes,---,---,---,Yes,Monthly,No,Jigawa-WOFAN,JahEBPI01,11/01/2025 12:28,Micro_produce_marketers,Processed_and_Staple_Food_Sellers,jah05,5f11ea39-ff5f-4e47-90ad-d4aa5a33cbf5
bb99c16d-872d-4c11-aa80-3b2f240d52fe,Male,Youth,Jigawa,Rural,Yes,---,---,---,Yes,Weekly,Yes,Jigawa-WOFAN,Jah8LI621,11/01/2025 12:32,Logistics_Service_Providers,---,jah64,5702fc1a-0492-4317-991f-dbb6021d8c3c
20b0195f-5a27-4629-a402-15e6ffeaab06,Female,Youth,Jigawa,Rural,Yes,---,---,---,Yes,Monthly,No,Jigawa-WOFAN,JahUFLF51,11/01/2025 12:35,Micro_produce_marketers,Oil_and_Cooking_Ingredient_Sellers,jah42,7d3931dd-b108-4003-9eae-a3d2c48ca9a8
c5f8c41b-8339-4625-9098-28660f5dba5d,Female,Youth,Kano,Rural,Yes,---,---,---,Yes,Monthly,No,Kano-WOFAN,BebD2SV49,11/01/2025 12:35,Micro_produce_marketers,Oil_and_Cooking_Ingredient_Sellers,beb31,77b9b989-a45b-43ff-a898-9cdd09b05591
95e1cea4-bafa-4184-a93d-87539d2f9f2d,Female,Youth,Bauchi,Urban,Yes,---,---,---,Yes,Monthly,Yes,Bauchi-WOFAN,BauT3H551,11/01/2025 12:43,Micro_produce_marketers,Snack_and_Food_Hawkers,bau11,ade05e34-26a5-4801-84db-96bc2a0ade3b
568445e2-bfa2-42f0-9464-b0b2df58101f,Female,Youth,Kano,Rural,Yes,Rice,Rice,---,Yes,Monthly,Yes,Kano-WOFAN,BebK6D338,11/01/2025 12:45,Persons_with_Disability,Production/Processing,kir09,fc3f32d5-d8e2-433a-99ee-f62697026764
3991567d-83a1-4df9-9b86-d29dc916d176,Male,Youth,Jigawa,Rural,Yes,---,---,---,Yes,Monthly,Yes,Jigawa-WOFAN,JahQOLG31,11/01/2025 12:47,Persons_with_Disability,---,jah29,56599753-7579-438e-8355-44555bc19065
855a87a3-b0e9-439b-bb45-c3384322c2df,Female,Youth,Kano,Rural,Yes,---,---,---,Yes,Monthly,Yes,Kano-WOFAN,RimCG7430,11/01/2025 12:50,Micro_produce_marketers,Snack_and_Food_Hawkers,rig03,606b62af-e278-4067-bf57-f4a6c5e69266
355617c9-8196-419a-bc1a-e6ef8ffeabaa,Female,Youth,Kano,Rural,Yes,---,---,---,Yes,Monthly,Yes,Kano-WOFAN,GarUAWF47,11/01/2025 12:56,Micro_produce_marketers,Oil_and_Cooking_Ingredient_Sellers,gmm54,d171f389-12b7-4429-b9bf-48c2e7fbb857
501efcfe-62ce-4ccb-986c-71dc5d4f52b9,Female,Youth,Kano,Rural,Yes,---,---,---,Yes,Monthly,No,Kano-WOFAN,Kur5MPS25,11/01/2025 12:59,Micro_produce_marketers,Grain_and_Cereal_Traders,kur01,f70c8c3b-7ff0-4eff-bda6-baef1257d537
8e0841c1-998f-4f76-8a2b-a7eb23441b36,Female,Youth,Bauchi,Rural,Yes,---,---,---,Yes,Monthly,Yes,Bauchi-WOFAN,Nin8CRS15,11/01/2025 13:07,Micro_produce_marketers,Processed_and_Staple_Food_Sellers,nin12,846d4121-46b5-48fc-9d05-c039266d0b68
19debd20-2488-410b-bec8-94a9c18921a6,Male,Youth,Jigawa,Rural,Yes,---,---,---,Yes,Monthly,Yes,Jigawa-WOFAN,JahE4RT26,11/01/2025 13:09,Persons_with_Disability,---,jah29,cd511b71-d69e-4095-937a-217fd5debbc7
6b22ad04-45e7-4f2b-be09-5d9676e7c435,Female,Youth,Kano,Peri_urban,Yes,---,---,---,Yes,Monthly,No,Kano-WOFAN,BebPO0O11,11/01/2025 13:09,Micro_produce_marketers,Oil_and_Cooking_Ingredient_Sellers,beb02,c0d628ef-fe23-4180-9133-4686236f4284
f34184c2-b897-4930-9b0f-bb59f0df6273,Female,Youth,Kano,Peri_urban,Yes,---,---,---,Yes,Monthly,Yes,Kano-WOFAN,BebIVSH38,11/01/2025 13:11,Micro_produce_marketers,Oil_and_Cooking_Ingredient_Sellers,kir12,c2aca983-c0b2-45e3-839b-7097d502aa67
2f352066-5911-4d4b-8b65-4df553cc75cb,Male,Youth,Jigawa,Rural,Yes,---,---,---,No,Quarterly,No,Jigawa-WOFAN,JahT1X847,11/01/2025 13:12,Logistics_Service_Providers,Transportion,jah59,6bc09d6d-21ac-4d8a-a663-4cc24cd237b6
fbcba0e0-4d29-4f58-a213-20e850269c9d,Female,Youth,Kano,Rural,Yes,---,---,---,Yes,Weekly,No,Kano-WOFAN,BebLT2R30,11/01/2025 13:17,Micro_produce_marketers,Fresh_Produce_Sellers,beb27,94779151-f6e0-436f-84ab-d629e1daeded
4f010e53-16fd-45ba-a22b-07758f2e3bc1,Female,Youth,Kano,Rural,Yes,---,---,---,Yes,Monthly,Yes,Kano-WOFAN,BebC17556,11/01/2025 13:17,Micro_produce_marketers,Fresh_Produce_Sellers,beb27,4e85c284-5a2a-4a6f-8a0a-280a3dac3866
a9e2dbe9-d016-4276-9045-2383d36e57b1,Female,Youth,Kano,Rural,Yes,---,---,---,Yes,Monthly,No,Kano-WOFAN,BebRW1J46,11/01/2025 13:17,Micro_produce_marketers,Fresh_Produce_Sellers,beb27,838f635c-a8a6-40b4-befc-a2e38128e285
42db9cf5-ce27-4880-96d3-44a12f728eaa,Female,Youth,Kano,Rural,Yes,---,---,---,Yes,Monthly,Yes,Kano-WOFAN,BebO9Q145,11/01/2025 13:17,Micro_produce_marketers,Oil_and_Cooking_Ingredient_Sellers,beb27,c45550ba-81c1-4f15-87b2-7cc300947738
4ef4a852-8f8d-4d5e-834c-30aa4e3e8924,Male,Youth,Jigawa,Rural,Yes,---,---,---,Yes,Monthly,Yes,Jigawa-WOFAN,JahSVEH48,11/01/2025 13:18,Logistics_Service_Providers,Loading/Off-loading_of_goods,jah72,f4f2b289-acb7-4380-bf63-b8998964e0d6
409014c4-d50f-4d6a-88f3-4af93bd92792,Female,Youth,Kaduna,Rural,Yes,---,---,---,Yes,Weekly,No,Kaduna-WOFAN,IkaV0R311,11/01/2025 13:19,Micro_produce_marketers,Processed_and_Staple_Food_Sellers,ika29,ce3d085b-abcf-4e90-aaab-0645c5736463
53cfb65c-c718-40b7-bdc8-ef98148253ea,Male,Youth,Kano,Rural,Yes,---,---,---,Yes,Monthly,No,Kano-WOFAN,KurPID628,11/01/2025 13:26,Persons_with_Disability,---,kur11,69986ae4-bb23-4fd8-bd7f-2e757c4d3a81
8ca3a607-9c12-4731-a392-8ba67cb20b1f,Female,Youth,Gombe,Urban,Yes,---,---,---,Yes,Weekly,Yes,Gombe-WOFAN,AkkMJGD13,11/01/2025 13:27,Micro_produce_marketers,Oil_and_Cooking_Ingredient_Sellers,akk06,e2dbd3fc-87b7-4a37-87a6-0a7a7aa5a908
712da362-387e-44f4-be3d-96668f4c078d,Female,Youth,Kano,Rural,Yes,---,---,---,Yes,Monthly,No,Kano-WOFAN,BebX3P352,11/01/2025 13:27,Micro_produce_marketers,Oil_and_Cooking_Ingredient_Sellers,kir20,399b6f8d-7857-4acb-a011-8543204850ef
da9976d6-e3d1-4236-b89c-749f1e332502,Female,Youth,Kano,Rural,Yes,---,---,---,Yes,Monthly,Yes,Kano-WOFAN,Rim6E3Y38,11/01/2025 13:27,Micro_produce_marketers,Processed_and_Staple_Food_Sellers,rig07,5bb804f2-8a3f-4ae3-be3b-37e491a48c0b
7ca0d4f9-3abd-44e7-992c-bfd94f461168,Female,Youth,Bauchi,Urban,Yes,---,---,---,Yes,Monthly,Yes,Bauchi-WOFAN,BauI98Y09,11/01/2025 13:29,Micro_produce_marketers,Grain_and_Cereal_Traders,bau15,cc0c1437-740d-4106-8923-831939b93dc4
befeaace-fd7d-4266-86cb-cd715bf9679f,Female,Youth,Jigawa,Rural,No,---,---,---,Yes,Quarterly,No,Jigawa-WOFAN,JahF6DP32,11/01/2025 13:29,Micro_produce_marketers,Processed_and_Staple_Food_Sellers,jah43,ee85cf94-7939-469f-941b-11ec3079ebcb
d5542055-bdcb-4d65-842a-325747b98a6f,Female,Youth,Kano,Rural,Yes,Maize,Maize,---,Yes,Monthly,No,Kano-WOFAN,TudFH2F05,11/01/2025 13:31,Persons_with_Disability,Production/Processing,tun29,3e1c1b40-774e-4d50-8cc2-bfc2f74e8624
ff899cfd-fb40-42df-a378-f3dd2f597dd3,Female,Youth,Jigawa,Rural,No,---,---,---,Yes,Monthly,No,Jigawa-WOFAN,Tau1R7P05,11/01/2025 13:32,Micro_produce_marketers,Processed_and_Staple_Food_Sellers,tau23,6d2b10a8-9f69-4489-8c49-510d4a63ecc9
d0ad1889-5320-4999-a240-8d614bb2077d,Female,Youth,Jigawa,Rural,Yes,Rice,Rice,---,Yes,Weekly,Yes,Jigawa-WOFAN,Jah37O421,11/01/2025 13:34,Persons_with_Disability,Production/Processing,jah22,c3820bba-6882-4428-80b2-f9270b6cd365
a238dfd4-d163-4b4d-8025-c07b5db5bd6d,Male,Youth,Kano,Rural,Yes,---,---,---,Yes,Monthly,No,Kano-WOFAN,TofVMXZ18,11/01/2025 13:38,Logistics_Service_Providers,Loading/Off-loading_of_goods,bag09,0b55dd97-cc7f-4304-9577-c2a03091a214
72c42bfa-aa81-400f-94ad-e2ced02f7f14,Male,Youth,Jigawa,Rural,No,---,---,---,Yes,Monthly,No,Jigawa-WOFAN,JahSL3N12,11/01/2025 13:42,Persons_with_Disability,---,jah45,2a9b10bf-7af5-4fbd-9aeb-2f24f254657b
3e737c6c-2fa1-479d-8529-73e505d92949,Male,Youth,Jigawa,Rural,No,---,---,---,Yes,Monthly,No,Jigawa-WOFAN,JahD2NH34,11/01/2025 13:44,Persons_with_Disability,---,jah45,ff32705b-50a4-4c18-96dd-2ddb269e21ef
6052f50f-b456-4248-a51f-a7aa373a10fe,Female,Youth,Jigawa,Rural,No,---,---,---,No,Monthly,No,Jigawa-WOFAN,JahPEY934,11/01/2025 13:46,Micro_produce_marketers,Grain_and_Cereal_Traders,jah71,0b74fc79-549c-4f8c-a483-08b7ba99d7f0
6812fc8c-c89b-40be-bf77-66b37edf9418,Female,Youth,Kaduna,Rural,Yes,---,---,---,Yes,Monthly,No,Kaduna-WOFAN,IkaXZK909,11/01/2025 13:49,Micro_produce_marketers,Oil_and_Cooking_Ingredient_Sellers,ika33,044aa8ee-6c77-4555-b041-cf46a37cf41d
e44af60f-0b8e-4a19-a1e1-b259be34bb4e,Female,Youth,Kano,Rural,Yes,---,---,---,Yes,Weekly,Yes,Kano-WOFAN,RimWLEA02,11/01/2025 13:49,Micro_produce_marketers,Oil_and_Cooking_Ingredient_Sellers,rig08,0cdbd53f-d4fd-40c0-8d61-8bebb423a9cd
e24e4f1d-4a65-4a6a-b868-846a07b40f9f,Male,Youth,Jigawa,Peri_urban,Yes,---,---,---,Yes,Monthly,No,Jigawa-WOFAN,JahUSI757,11/01/2025 13:50,Logistics_Service_Providers,Loading/Off-loading_of_goods,jah49,8d425afd-dca9-42fc-9bde-6b47b2d8f686
c69b1afd-620a-477b-9645-4773e8a35891,Female,Youth,Gombe,Urban,Yes,---,---,---,Yes,Weekly,Yes,Gombe-WOFAN,GomGFO911,11/01/2025 13:54,Micro_produce_marketers,Grain_and_Cereal_Traders,gom25,8bf1dd21-3f4f-476d-91d0-90774be3d458
7dc10039-4c7a-4a53-ad2c-f64671dba9de,Male,Youth,Jigawa,Rural,Yes,---,---,---,Yes,Monthly,No,Jigawa-WOFAN,Jah4AWK48,11/01/2025 13:56,Logistics_Service_Providers,Loading/Off-loading_of_goods,jah67,38d839e2-56f7-451d-a5c3-3cd001dbc967
6f13e441-5a1b-40d7-b3d2-cb5df6fc33b6,Male,Youth,Jigawa,Rural,Yes,---,---,---,Yes,Monthly,Yes,Jigawa-WOFAN,Jah5ZTY41,11/01/2025 13:57,Logistics_Service_Providers,Transportion,jah66,db1c2763-10ec-4d1a-b1c8-c688474d7e78
4755bab8-2788-45bd-884f-071d963b2363,Female,Youth,Gombe,Peri_urban,Yes,---,---,---,Yes,Other,No,Gombe-WOFAN,YamDV0304,11/01/2025 14:00,Micro_produce_marketers,Fresh_Produce_Sellers,bill04,90318992-56b1-402f-aefe-7224c82fc431
3977b363-3197-4e32-8bef-a678016c9f52,Female,Youth,Kano,Rural,Yes,---,---,---,Yes,Monthly,No,Kano-WOFAN,BebXWPO33,11/01/2025 14:02,Micro_produce_marketers,Legume_and_Nut_Marketers,beb45,14f89f3c-e233-4ca5-97da-4bbe333197df
ae200b00-7d8a-4db1-9486-d62bcd623542,Female,Youth,Gombe,Urban,Yes,---,---,---,Yes,Monthly,Yes,Gombe-WOFAN,GomDD1708,11/01/2025 14:02,Micro_produce_marketers,Grain_and_Cereal_Traders,gom25,e57c876f-c49d-475b-bca1-fd12fdf95485
90239f10-9faf-43ba-8d37-656b9c0dd467,Female,Youth,Jigawa,Peri_urban,Yes,Rice,---,---,Yes,Monthly,Yes,Jigawa-WOFAN,JahK6TG11,11/01/2025 14:07,Persons_with_Disability,Production,jah52,ed901933-cc5a-41eb-9bc5-77e0e79b5c6f
cdaaee9b-9101-4d92-a19d-8507d7c520f0,Female,Youth,Kano,Rural,No,---,---,---,Yes,Monthly,No,Kano-WOFAN,TofLY1Y23,11/01/2025 14:13,Micro_produce_marketers,Fresh_Produce_Sellers,bag09,43d4c1d6-396c-45e9-8a66-fb29a958d13d
06bb1dbd-3f42-458c-bcae-4b71fe95ce37,Male,Youth,Gombe,Urban,Yes,---,---,---,Yes,Monthly,No,Gombe-WOFAN,GomVSQ037,11/01/2025 14:17,Logistics_Service_Providers,Loading/Off-loading_of_goods,bal03,a041bb4d-78f0-42c7-920c-70ec6fd79e7e
46f5ad33-961b-4264-8cb9-3d545b64e1db,Female,Youth,Kano,Rural,Yes,---,---,---,Yes,Monthly,Yes,Kano-WOFAN,KirG6N037,11/01/2025 14:18,Micro_produce_marketers,Oil_and_Cooking_Ingredient_Sellers,kir15,ab68e031-e7ef-4365-9d8c-b1e0ca95b581
b17bbf8e-0e8a-4a7a-8f85-6542bd135499,Male,Youth,Jigawa,Rural,Yes,---,---,---,Yes,Monthly,Yes,Jigawa-WOFAN,JahU2IE35,11/01/2025 14:19,Logistics_Service_Providers,---,jah20,99b9c8b1-6e9a-4ef8-819e-a2aacc6a06e8
dcad029f-343c-4ec2-8709-609f621740d8,Male,Youth,Jigawa,Rural,Yes,---,---,---,Yes,Monthly,Yes,Jigawa-WOFAN,Jah52MV05,11/01/2025 14:19,Logistics_Service_Providers,---,jah20,f00d0155-9e58-41f7-b8a9-4959d0b5a40a
ab03cd88-4053-40cf-a1b4-31c648c68a38,Male,Youth,Kano,Rural,Yes,---,---,---,Yes,Monthly,No,Kano-WOFAN,TudNXXD28,11/01/2025 14:22,Logistics_Service_Providers,Transportion,tun18,42d880b5-d180-4695-864a-4c2dd88cae02
35725019-dafc-4e2b-a380-8bc0153ff8b9,Female,Youth,Kano,Rural,Yes,---,---,---,Yes,Monthly,No,Kano-WOFAN,BebSY8K20,11/01/2025 14:27,Micro_produce_marketers,Oil_and_Cooking_Ingredient_Sellers,beb31,28a7b3f5-f2aa-40f4-8b74-22272f801b5e
110fd65a-9af4-48ad-a173-7e861fd5cb46,Female,Youth,Kano,Rural,Yes,---,---,---,Yes,Monthly,Yes,Kano-WOFAN,BebLSNP16,11/01/2025 14:31,Micro_produce_marketers,Legume_and_Nut_Marketers,beb45,eac8520f-863d-4271-8e9d-63af912b98bd
43e80529-ce7d-49ff-ad87-bad5479fc02f,Female,Youth,Bauchi,Urban,No,---,---,---,No,Quarterly,No,Bauchi-WOFAN,BauMN5029,11/01/2025 14:31,Micro_produce_marketers,Processed_and_Staple_Food_Sellers,bau13,eb16470e-ef4e-4b70-8407-f2ad219ff4d3
8d748c99-9e01-4339-a717-db4395970a65,Female,Youth,Jigawa,Rural,Yes,Rice,---,---,Yes,Monthly,No,Jigawa-WOFAN,JahMWG129,11/01/2025 14:34,Persons_with_Disability,Production,jah73,95078578-2abb-4530-9d7c-84ef5734ba2b
3b9cd2dd-b639-4b7c-a819-8f2e1e6db87e,Female,Youth,Jigawa,Rural,Yes,---,---,---,No,Monthly,No,Jigawa-WOFAN,JahVNKZ07,11/01/2025 14:34,Micro_produce_marketers,Livestock_and_Animal_Product_Sellers,jah73,02f86c1e-48d9-41e3-8882-0bb209558d77
7991b34f-8e79-4d5c-a58c-4c271af3482f,Female,Youth,Bauchi,Rural,Yes,Rice,Groundnut,---,Yes,Monthly,Yes,Bauchi-WOFAN,DasRT9814,11/01/2025 14:36,Persons_with_Disability,Production/Processing,das10,3efb90d9-8b82-4e81-a19f-b84a068f3c16
21ed7732-7f5e-4bbe-b59d-16a7f6e8bbe6,Female,Youth,Jigawa,Rural,Yes,---,---,---,Yes,Quarterly,No,Jigawa-WOFAN,JahV48J15,11/01/2025 14:39,Micro_produce_marketers,Processed_and_Staple_Food_Sellers,jah43,57d17dbb-2a62-47d1-9697-e9fd831d1bad
45232b5a-3d66-4a71-9c77-422543083526,Female,Youth,Kano,Peri_urban,Yes,---,---,---,Yes,Weekly,Yes,Kano-WOFAN,Beb2WC746,11/01/2025 14:42,Micro_produce_marketers,Fresh_Produce_Sellers,kir12,5944c89e-0631-438d-a9d3-078a31ef621c
0a006465-b44c-4ef4-9036-09d113d7f806,Female,Youth,Kano,Rural,Yes,---,---,---,Yes,Weekly,Yes,Kano-WOFAN,BebDB7W15,11/01/2025 14:43,Micro_produce_marketers,Legume_and_Nut_Marketers,beb45,3c2b0299-a9a9-4301-9961-6fac150243f1
