formid,Type of Financial Product/Service Accessed,Date of accessing Product/Service,Has your cooperative ever given you access to the following business development support services? | None,Has your cooperative ever given you access to the following business development support services? | Training_in_microenterprise_management,Has your cooperative ever given you access to the following business development support services? | Preparing_bankable_business_plans,Has your cooperative ever given you access to the following business development support services? | Business_planning_and_strategy,Has your cooperative ever given you access to the following business development support services? | Export_assistance,Has your cooperative ever given you access to the following business development support services? | Financial_management,Has your cooperative ever given you access to the following business development support services? | Marketing_and_advertising,Has your cooperative ever given you access to the following business development support services? | Personnel_administration,Has your cooperative ever given you access to the following business development support services? | Sales_and_customer_service,Has your cooperative ever given you access to the following business development support services? | Others,Has your cooperative ever given you access to the following business development support services? | extra,5  Has your cooperative ever facilitated access to market opportunities for its members?,Comm_Partner_ID,username,Did your cooperative facilitate access to this financial Product/Service?,Are you satisfied with the product/service?
108484a3-c94a-4433-b468-57cd28c2a570,Deposit_Account,2025-02-20,,1,1,1,,1,1,,1,,,Yes,GarEPB8MR28,bun09,Yes,Yes
211fbd01-0e5a-40e8-93ab-31d12bfb1c8b,Deposit_Account,2025-02-20,,1,1,1,,1,1,,1,,,Yes,GarRHJ2B546,bun09,Yes,Yes
07a7ed2e-aba4-4075-a715-ce92b23051b7,Deposit_Account,2025-02-20,,1,1,1,,1,1,,1,,,Yes,GarNGJHL912,bun09,Yes,Yes
06f485db-e126-45e6-a9c3-67e7b7a2327e,Deposit_Account,2025-02-20,,1,1,1,,1,1,1,1,,,Yes,DasMD3ND542,das09,Yes,Yes
9ca58f9b-bc7e-437d-8814-eaed118d7f91,Deposit_Account,2025-02-20,,1,1,1,,1,1,,1,,,Yes,GarO8HPX525,bun09,Yes,Yes
3d3b94b0-40fd-4bb9-b4a5-91ba1a50dead,Deposit_Account,2025-02-20,,1,1,1,,1,1,1,1,,,Yes,DasV4KIS718,das09,Yes,Yes
9224e354-ebe0-4c03-91f0-d8e9c1c910e3,Deposit_Account,2025-02-20,,1,1,1,,1,1,,1,,,Yes,GarVKGT4543,bun09,Yes,Yes
69691b66-be0a-4b0d-9c8e-f5ee8493a530,Deposit_Account,2025-02-20,,1,1,1,,1,1,,1,,,Yes,GarL21K9507,bun17,Yes,Yes
f483b6ca-6cab-448b-b47d-607f03c2ba72,Deposit_Account,2025-02-20,,1,1,1,,1,1,,1,,,Yes,GarRYT4SV42,bun05,Yes,Yes
485b1b2c-977c-48ca-aa7e-ebaecee0ee72,Deposit_Account,2025-02-20,,1,1,1,,1,,,1,,,Yes,Kur999URK44,gmm52,Yes,Yes
88e808f7-0564-4dd3-a037-c4cf024b8fc9,Deposit_Account,2025-02-20,,1,1,1,,1,1,,1,,,Yes,GarIEC2OH14,bun09,Yes,Yes
8a661ee5-f3f8-4297-b753-2ef1e5d6e875,Deposit_Account,2025-02-20,,1,1,1,,1,1,,1,,,Yes,GarTNL4GF32,bun17,Yes,Yes
aa310312-59dd-47fc-9566-6473a7a24c53,Deposit_Account,2025-02-20,,1,1,1,,1,1,,1,,,Yes,GarY8PD1105,bun09,Yes,Yes
a6ea307b-9509-4813-be7f-ef3b87a2943c,Deposit_Account,2025-02-20,,1,1,1,,1,1,,1,,,Yes,Gar7QZYOW11,bun17,Yes,Yes
47e87191-d2ed-46cd-b6ee-cf6400ee23f0,Deposit_Account,2025-02-20,,1,1,1,,1,1,,1,,,Yes,GarU5FQ9910,bun09,Yes,Yes
0ccbbab0-774e-451f-8a3f-fbf5cc176630,Deposit_Account,2025-02-20,,1,1,1,,1,1,,1,,,Yes,GarS3OMOF58,bun17,Yes,Yes
c2d63fe2-20e3-4f95-9c39-91135ffde054,Deposit_Account,2025-02-20,,1,1,1,,1,1,,1,,,Yes,Gar6ELHNK14,bun17,Yes,Yes
ce14a696-9bda-4a80-92ce-06f39bc3d670,Deposit_Account,2025-02-20,,1,1,1,,1,1,,1,,,Yes,GarTHSB8G00,bun05,Yes,Yes
9b869c9c-3aaf-4532-b7fa-8fd50855fb10,Deposit_Account,2025-02-20,,1,1,1,,1,1,,1,,,Yes,GarXSIN9006,bun09,Yes,Yes
4d0b0a21-721f-4b72-aedc-2db354e8abc3,Deposit_Account,2025-02-20,,1,1,1,,1,1,,1,,,Yes,Gar9VMDOU04,bun09,Yes,Yes
daa2ede1-b736-4b2e-b454-ceca955f21b9,Deposit_Account,2025-02-20,,1,1,1,,1,1,1,1,,,Yes,DasF3NS6T30,das09,Yes,Yes
3a4f8790-2638-46ed-9861-fac277e8a62f,Deposit_Account,2025-02-23,,1,1,1,,1,1,,1,,,Yes,Gar22YCFN15,bun05,Yes,Yes
73d183ed-3a92-4d9b-b0cb-84aa262c3ff9,Deposit_Account,2025-02-20,,1,1,1,,1,1,,1,,,Yes,KurV2TPAX01,gmm52,Yes,Yes
54d6c138-69a6-4b31-9816-66e907a8ce38,Deposit_Account,2025-02-20,,1,1,1,,1,1,,1,,,Yes,GarPJ6CB351,bun09,Yes,Yes
44f3a74f-0d61-473f-a1d7-f75b0acb9908,Deposit_Account,2025-02-21,,1,1,1,,1,1,,1,,,Yes,GarPAJ9XV17,bun05,Yes,Yes
07578492-c270-409d-9f38-8ebb6295412c,Deposit_Account,2025-03-13,,1,1,1,,1,1,,1,,,Yes,Gar5GHFZI09,bun09,Yes,Yes
548ad765-40a9-45e4-84f2-09c212ef9888,Deposit_Account,2025-02-20,,1,1,1,,1,1,1,1,,,Yes,DasSCCBWX18,das09,Yes,Yes
24e7503a-62c1-40b8-9bbc-d4d896f8490a,Deposit_Account,2025-02-21,,1,1,1,,1,1,,1,,,Yes,GarCIN04852,bun09,Yes,Yes
d0611fa9-d452-4fe0-9745-514cb54340ed,Deposit_Account,2025-02-20,,1,1,1,,1,1,1,1,,,Yes,IkaU3X13451,ika15,Yes,Yes
8fb279db-c4bb-45e4-bd93-7675f7dcc913,Deposit_Account,2025-02-20,,1,1,1,,1,1,,1,,,Yes,Gar79DNE339,bun09,Yes,Yes
4d5d3fea-a1a6-4445-82cf-2f5b70bca0f3,Deposit_Account,2025-02-20,,1,1,1,,1,1,,1,,,Yes,KurMCLDKF56,gmm52,Yes,Yes
bce8f637-2164-4077-a4de-0e87a5c584ff,Deposit_Account,2025-02-22,,1,1,1,,1,1,1,,,,Yes,Beb6O1TOW35,tun08,Yes,Yes
3ede194b-b2fe-4b03-8c48-b7d91d46fde7,Deposit_Account,2025-02-21,,1,1,1,,1,1,,1,,,Yes,GarF2X25H12,bun09,Yes,Yes
278cc257-62c3-4eb2-a2ad-019ba1c8844e,Deposit_Account,2025-02-20,,1,1,1,,1,1,1,1,,,Yes,DasV3YWOQ54,das09,Yes,Yes
b2e9d85b-0082-4e79-ad97-7b70b73aa857,Deposit_Account,2025-02-22,,1,1,1,,1,1,,1,,,Yes,Gar8SUOS201,bun09,Yes,Yes
7ce3dbbc-e1ad-4748-bdd4-6a86407feae9,Deposit_Account,2025-02-25,,1,1,1,,1,1,,1,,,Yes,GarDMXW7G40,bun05,Yes,Yes
3aa017d0-64d4-424d-868a-20667796ec48,Deposit_Account,2025-02-20,,1,1,1,,1,1,,1,,,Yes,Gar0KUEYF03,bun05,Yes,Yes
b56258f4-4dbb-4e7f-bc75-3988cad6bb9f,Deposit_Account,2025-02-21,,1,1,1,,1,1,,1,,,Yes,GarJGCYKW38,bun09,Yes,Yes
bc8e3b85-b1b7-40b6-8575-0524d3f8c7b1,Deposit_Account,2025-02-23,,1,1,1,,1,1,1,,,,Yes,BebIDKAOC16,tun08,Yes,Yes
11af1a5a-7669-4d20-b125-b807da376627,Deposit_Account,2025-02-22,,1,1,1,,1,1,,1,,,Yes,Gar5GRJO107,bun05,Yes,Yes
f58f0940-8577-421e-9e28-45bf976c9a67,Deposit_Account,2025-03-13,,1,1,1,,1,1,,1,,,Yes,GarEJ264302,bun09,Yes,Yes
5a7fd263-db79-49a6-bb01-fa16be57d584,Deposit_Account,2025-03-13,,1,1,1,,1,1,,1,,,Yes,Gar8WG87B48,bun09,Yes,Yes
eb8168d7-4eed-4fa9-97f1-7a1adafe4f00,Deposit_Account,2025-02-23,,1,1,1,,1,1,,1,,,Yes,GarHAQND800,bun05,Yes,Yes
76c2c8f9-5909-4bd5-9b7b-ff4fef198dac,Deposit_Account,2025-02-21,,1,1,1,,1,1,1,,,,Yes,Beb40W0S212,tun08,Yes,Yes
32f2c506-2dc5-4050-ad35-79811219ea0b,Deposit_Account,2025-02-20,,1,1,1,,1,1,1,1,,,Yes,DasWRZ40T43,das09,Yes,Yes
cb635750-bb28-46cb-b5c1-8385669489d3,Deposit_Account,2025-02-22,,1,1,1,,1,1,,1,,,Yes,GarSASRKR56,bun09,Yes,Yes
37a9d507-10ed-4033-b880-8e6ed8ca57a3,Deposit_Account,2025-03-13,,1,1,1,,1,1,,1,,,Yes,GarDM8SJW07,bun09,Yes,Yes
414089a7-aa24-467e-8c5b-1ca173e2e895,Deposit_Account,2025-03-13,,1,1,1,,1,1,,1,,,Yes,GarCKSZV334,bun09,Yes,Yes
3ac1eb2f-c46d-4ada-9077-ceb08923c98f,Deposit_Account,2025-02-22,,1,1,1,,1,1,1,,,,Yes,BebX8Y9G032,tun08,Yes,Yes
7f4102a3-bcaa-497c-9c38-0295111a6ade,Deposit_Account,2025-03-13,,1,1,1,,1,1,,1,,,Yes,GarWFY1V001,bun09,Yes,Yes
84658366-c4d3-42e7-b64f-9635188c3335,Deposit_Account,2025-02-23,,1,1,1,,1,1,1,,,,Yes,Beb96LD9I57,tun08,Yes,Yes
a597a917-5f6b-4ab6-ba1a-56559c7e1901,Deposit_Account,2025-03-13,,1,1,1,,1,1,,1,,,Yes,GarK5RE5K14,bun09,Yes,Yes
eeadf81a-e496-4be2-9ff2-3d2a161bdda6,Deposit_Account,2025-02-22,,1,1,1,,1,1,1,,,,Yes,Beb35USEG48,tun08,Yes,Yes
03a9ca1d-38d3-429a-a939-7168dc8e4cba,Deposit_Account,2025-03-13,,1,1,1,,1,1,,1,,,Yes,GarG53APL07,bun09,Yes,Yes
55ad650e-47ef-4fcf-a60d-8d6784c1315a,Deposit_Account,2025-03-13,,1,1,1,,1,1,,1,,,Yes,GarHIURYI27,bun09,Yes,Yes
65526c95-6e52-40e4-b4bf-9c4457b2d93c,Deposit_Account,2025-03-13,,1,1,1,,1,1,,1,,,Yes,GarJCO6Q858,bun09,Yes,Yes
b4c48374-f2a8-44b7-885d-8be2b8c79911,Deposit_Account,2025-03-13,,1,1,1,,1,1,,1,,,Yes,Gar1CN57458,bun09,Yes,Yes
f28eb4f0-0aa7-4d60-a763-ade710a4abd3,Deposit_Account,2025-02-20,,1,1,1,,1,1,,1,,,Yes,KurTMFGJJ36,gmm52,Yes,Yes
6c1916cd-deaa-4c4c-b928-44f2faa118d8,Deposit_Account,2025-03-13,,1,1,1,,1,1,,1,,,Yes,GarA951MC02,bun09,Yes,Yes
d651413d-43b2-42dd-9859-2db93bdd97a8,Deposit_Account,2025-03-13,,1,1,1,,1,1,,1,,,Yes,Gar4K2P3N54,bun09,Yes,Yes
85711a58-0e7d-41fa-b6fa-e832e92a3967,Deposit_Account,2025-02-20,,1,1,1,,1,1,,1,,,Yes,Kur8SFD8B53,gmm52,Yes,Yes
741ce76a-301d-4cb4-8f77-f1298ba08ede,Deposit_Account,2025-03-13,,1,1,1,,1,1,,1,,,Yes,GarPE56KV55,bun09,Yes,Yes
7c095574-b474-4b74-89bd-d0fd7783e199,Deposit_Account,2025-02-22,,1,1,1,,1,1,,1,,,Yes,GarIV6NMM39,bun09,Yes,Yes
a9800060-90f9-41b3-9452-fbb2c205d67d,Deposit_Account,2025-02-20,,1,1,1,,1,1,,1,,,Yes,KurMJTDIM31,gmm52,Yes,Yes
dd725604-31ee-4e5e-be51-b7a06a0f391c,Deposit_Account,2025-03-13,,1,1,1,,1,1,,1,,,Yes,Gar72V9BF08,bun09,Yes,Yes
6c64eeb9-a66a-4ffc-bc19-f8cc68be2c6b,Deposit_Account,2025-03-13,,1,1,1,,1,1,,1,,,Yes,GarMEIE7D18,bun09,Yes,Yes
a6c825cd-1cc6-446d-9b2a-f03c4482269f,Deposit_Account,2025-02-21,,1,1,1,,1,1,1,1,,,Yes,Ika7A5MFX19,ika15,Yes,Yes
5d7a4d4c-c3c6-4f97-8d78-abe88019eb89,Deposit_Account,2025-02-20,,1,1,1,,1,1,,1,,,Yes,Kur03399V52,gmm52,Yes,Yes
3fde8d40-fb0f-4af5-8985-a1980ab69920,Deposit_Account,2025-03-13,,1,1,1,,1,1,,1,,,Yes,GarBDQ4KN25,bun09,Yes,Yes
f38d3458-79af-49af-8c99-7e69306beb8d,Deposit_Account,2025-02-20,,1,1,1,,1,1,,1,,,Yes,KurRYY0OS08,gmm52,Yes,Yes
4ae20af4-f057-44df-8d84-5be6ad3dd578,Deposit_Account,2025-03-13,,1,1,1,,1,1,,1,,,Yes,GarJ9GPB946,bun09,Yes,Yes
c17dcefc-6d9d-462a-b1c6-29223c9a0fdf,Deposit_Account,2025-03-13,,1,1,1,,1,1,,1,,,Yes,GarGZKZD944,bun09,Yes,Yes
c38490ed-81cb-48c4-80e9-05b5f9be1cbd,Deposit_Account,2025-02-20,,1,1,1,,1,1,,1,,,Yes,KurMWWXLW39,gmm52,Yes,Yes
c2b0fbf1-834a-4a6b-9cf1-6b8e22657025,Deposit_Account,2025-03-13,,1,1,1,,1,1,,1,,,Yes,Gar7CKVNM06,bun09,Yes,Yes
585392d4-e968-4281-ab4b-67ea63997745,Deposit_Account,2025-03-13,,1,1,1,,1,1,,1,,,Yes,GarN6AGSV12,bun09,Yes,Yes
1fbc9603-b503-4432-a413-f27f9537113f,Deposit_Account,2025-02-20,,1,1,1,,1,1,,1,,,Yes,KurT1CETJ52,gmm52,Yes,Yes
843f5071-10c4-4b09-9e35-736421774840,Deposit_Account,2025-03-13,,1,1,1,,1,1,,1,,,Yes,Gar5E5OC249,bun09,Yes,Yes
8adbc05c-dae4-4f66-a215-cd8f3d641086,Deposit_Account,2025-03-13,,1,1,1,,1,1,,1,,,Yes,GarCW9KB444,bun09,Yes,Yes
61c87f3c-1ad3-43be-a32c-d8bd168dc8a8,Deposit_Account,2025-02-20,,1,1,1,,1,1,,1,,,Yes,KurKYJYSA19,gmm52,Yes,Yes
f14ba71a-46c2-4c9a-898f-1903f2717467,Deposit_Account,2025-03-13,,1,1,1,,1,1,,1,,,Yes,Gar6U986L47,bun09,Yes,Yes
113bcf8c-482b-4bdc-af69-b0d6a7598e1a,Deposit_Account,2025-03-13,,1,1,1,,1,1,,1,,,Yes,GarEHS5OA52,bun09,Yes,Yes
5b49ff7e-59f6-47a7-ad50-5bb69ff60417,Deposit_Account,2025-03-13,,1,1,1,,1,1,,1,,,Yes,GarPTHD8R50,bun09,Yes,Yes
91ccffeb-6d9c-4a9c-ac78-1e9e8ec2638d,Deposit_Account,2025-03-13,,1,1,1,,1,1,,1,,,Yes,Gar3UV0RB53,bun09,Yes,Yes
fb5d6c32-9c93-4fcc-86b6-57ec7b8f95ae,Deposit_Account,2025-03-13,,1,1,1,,1,1,,1,,,Yes,GarXDO9G239,bun09,Yes,Yes
e3987ca9-7812-478d-b45a-3659f2b48c9a,Deposit_Account,2025-02-20,,1,1,1,,1,1,,1,,,Yes,KurP4GS4X40,gmm52,Yes,Yes
dd83818a-966f-437a-9882-29a5033f50f9,Deposit_Account,2025-03-13,,1,1,1,,1,1,,1,,,Yes,GarNK1AKS43,bun09,Yes,Yes
c7819660-9c56-429c-bc95-162ed700d63e,Deposit_Account,2025-03-13,,1,1,1,,1,1,,1,,,Yes,GarA7EH7318,bun09,Yes,Yes
2085c492-564f-4799-a70b-3b4274a6e47b,Deposit_Account,2025-02-20,,1,1,1,,1,1,,1,,,Yes,KurIZJ81G02,gmm52,Yes,Yes
885b6b35-4d42-443c-a4d9-f20f7d100f58,Deposit_Account,2025-03-13,,1,1,1,,1,1,,1,,,Yes,Gar18ZR6J14,bun09,Yes,Yes
82413800-5228-41d7-8d7c-7c46b63a1d25,Deposit_Account,2025-03-13,,1,1,1,,1,1,,1,,,Yes,Gar4T069F14,bun09,Yes,Yes
bdaa6b0e-bc89-4707-8329-c8312b0c33dc,Deposit_Account,2025-03-13,,1,1,1,,1,1,,1,,,Yes,GarXJCLN403,bun09,Yes,Yes
8e4629d0-1c0b-468f-af44-f8559e479cfb,Deposit_Account,2025-02-20,,1,1,1,,1,1,,1,,,Yes,KurJBAJXZ38,gmm52,Yes,Yes
8f7dbf79-c9ba-4017-b19c-aeef4c70f38c,Deposit_Account,2025-03-13,,1,1,1,,1,1,,1,,,Yes,Gar1X82IP28,bun09,Yes,Yes
9fd182d2-9ae2-4970-9d69-95342e963cf0,Deposit_Account,2025-03-13,,1,1,1,,1,1,,1,,,Yes,GarJWE7LI08,bun09,Yes,Yes
fb4b79ba-a5b0-4a8b-8cbe-361f2456a7db,Deposit_Account,2025-02-20,,1,1,1,,1,1,,1,,,Yes,KurT5NAT117,gmm52,Yes,Yes
b5f2e2b7-7a1c-4564-a3e2-0dc8ce5a4653,Deposit_Account,2025-03-13,,1,1,1,,1,1,,1,,,Yes,GarR3YGWL49,bun09,Yes,Yes
853e5117-b4d0-46f3-bcbf-1ec610155958,Deposit_Account,2025-03-13,,1,1,1,,1,1,,1,,,Yes,GarR7FZ6N23,bun09,Yes,Yes
78ca1c12-aa9e-4b15-8c5d-43d52ea22c4c,Deposit_Account,2025-02-20,,1,1,1,,1,1,,1,,,Yes,KurFK2SP749,gmm52,Yes,Yes
48f4d627-db13-4bdf-ad13-9ab30e168db0,Deposit_Account,2025-02-20,,1,1,1,,1,1,,1,,,Yes,KurJ7U1F716,gmm52,Yes,Yes
e79f270f-4c9d-4add-8d1d-b3f36d5e7727,Deposit_Account,2025-02-20,,1,1,1,,1,1,,1,,,Yes,KurI1IVU842,gmm52,Yes,Yes
2b4b19ea-ea2c-4f85-b870-8bc3555d6d6b,Deposit_Account,2025-02-20,,1,1,1,,1,1,,1,,,Yes,Kur6NHQM143,gmm52,Yes,Yes
400abade-8aec-4fb8-93ad-773869c6c5fb,Deposit_Account,2025-03-13,,1,1,1,,1,1,,1,,,Yes,GarPCYHM345,bun09,Yes,Yes
258cb07c-8d71-4bd6-9874-abb61168c2de,Deposit_Account,2025-03-13,,1,1,1,,1,1,,1,,,Yes,GarVL4M4K41,bun09,Yes,Yes
530e9485-bff5-4d14-9f0b-8e5a1abdc61a,Deposit_Account,2025-03-13,,1,1,1,,1,1,,1,,,Yes,GarQPQ9VV35,bun09,Yes,Yes
45e26237-5a57-41d9-a9aa-2001815bb819,Deposit_Account,2025-03-13,,1,1,1,,1,1,,1,,,Yes,GarKY8S3537,bun09,Yes,Yes
065c2c7c-a648-4637-8e51-cf356b30d0fb,Deposit_Account,2025-03-13,,1,1,1,,1,1,,1,,,Yes,GarJL0OEJ52,bun09,Yes,Yes
afebca6b-312d-40fc-8861-04de5b946566,Deposit_Account,2025-02-20,,1,1,1,,1,1,1,1,,,Yes,DasR3YDOI43,das09,Yes,Yes
f9ac1c4d-5fac-4d7c-9915-aa1c6994e637,Deposit_Account,2025-03-13,,1,1,1,,1,1,,1,,,Yes,Gar9P202O03,bun09,Yes,Yes
eb75cd3e-ad85-4b87-9745-2787cdfbf205,Deposit_Account,2025-02-23,,1,1,1,,1,1,1,1,,,Yes,TauQ75Z6131,tau28,Yes,Yes
deeaa2c4-2b82-479a-94a6-4ca1b275021f,Deposit_Account,2025-02-20,,1,1,1,,1,1,1,1,,,Yes,Das0F6MUW12,das09,Yes,Yes
340bf2c0-c7b1-4bdd-a77d-0b211119228d,Deposit_Account,2025-03-13,,1,1,1,,1,1,,1,,,Yes,GarU57DEA58,bun09,Yes,Yes
de417d56-b29f-44b9-a3cd-fe2694cffc35,Deposit_Account,2025-03-13,,1,1,1,,1,1,,1,,,Yes,GarQ40KA513,bun09,Yes,Yes
85b182e8-f011-4687-967b-d0eab2182b9b,Deposit_Account,2025-02-20,,1,1,1,,1,1,,1,,,Yes,GarF4QSZ251,bun21,Yes,Yes
e0d08491-86fd-41b5-b05e-9423f36a4596,Deposit_Account,2025-03-13,,1,1,1,,1,1,,1,,,Yes,GarCJCPRO45,bun09,Yes,Yes
1ab82a38-d151-41e0-bd35-b4f1f7d0295c,Deposit_Account,2025-02-20,,1,1,1,,1,1,1,1,,,Yes,DasCRYQJI42,das09,Yes,Yes
f7cee212-bd21-4010-914a-3faa223b4bde,Deposit_Account,2025-03-13,,1,1,1,,1,1,,1,,,Yes,GarB4BJPH46,bun09,Yes,Yes
52dd07c6-93aa-43d3-99d6-2de4242d1e75,Deposit_Account,2025-02-20,,1,1,1,,1,1,,1,,,Yes,Gar6HPJML35,bun21,Yes,Yes
ade9549a-8a9a-4f88-8c08-2545c43d941a,Deposit_Account,2025-02-20,,1,1,1,,1,1,1,1,,,Yes,IkaTUGPFW59,ika15,Yes,Yes
af4ba403-3da8-4514-91b0-007af19c66af,Deposit_Account,2025-02-21,,1,1,1,,1,1,1,1,,,Yes,IkaLKTKLR16,ika15,Yes,Yes
962c0ed3-40b4-497e-baa4-684324cef92f,Deposit_Account,2025-03-13,,1,1,1,,1,1,,1,,,Yes,Gar366K0Q10,bun09,Yes,Yes
f7d3ab84-10b1-440b-9b83-fda3d58f5295,Deposit_Account,2025-02-20,,1,1,1,,1,1,1,1,,,Yes,TauO0QNLZ59,tau28,Yes,Yes
8779fae1-7167-4175-a78b-da6c38bdd861,Deposit_Account,2025-02-20,,1,1,1,,1,1,,1,,,Yes,GarOB5LCL21,bun21,Yes,Yes
0078c5a4-fa50-45f3-a5e9-cfc51df04381,Deposit_Account,2025-03-13,,1,1,1,,1,1,,1,,,Yes,GarE95B4F18,bun09,Yes,Yes
e6cf2506-92d5-4fe9-a287-436319014fbf,Deposit_Account,2025-02-20,,1,1,1,,1,1,1,1,,,Yes,TauECYIBM22,tau28,Yes,Yes
7a55dcf0-5b78-496b-ab9d-793beed0cb92,Deposit_Account,2025-03-13,,1,1,1,,1,1,,1,,,Yes,GarJD46VU17,bun09,Yes,Yes
9ca80021-fdd2-4284-9139-95dcda3523e9,Deposit_Account,2025-02-20,,1,1,1,,1,1,,1,,,Yes,GarG2EVPZ27,bun21,Yes,Yes
66c48e76-9f2c-47d1-b3e7-4f5f61cc126e,Deposit_Account,2025-02-21,,1,1,1,,1,1,1,1,,,Yes,Tau071QO556,tau28,Yes,Yes
5c91812c-5a2b-478f-bdf3-49c9f3f973a9,Deposit_Account,2025-03-13,,1,1,1,,1,1,,1,,,Yes,Gar4U2XHS49,bun09,Yes,Yes
f96c85fd-de0d-4b54-9c16-105c73e1e5e1,Deposit_Account,2025-02-20,,1,1,1,,1,1,1,1,,,Yes,DasXS8HVO07,das09,Yes,Yes
7268e0d8-c662-4555-b325-a2d89cb86d16,Deposit_Account,2025-02-20,,1,1,1,,1,1,,1,,,Yes,GarJMN5SU44,bun21,Yes,Yes
8736dff6-fe60-4975-8822-d315558287a8,Deposit_Account,2025-03-13,,1,1,1,,1,1,,1,,,Yes,Gar38232J38,bun09,Yes,Yes
a3532654-5ad1-431f-85eb-f55c04fbb7e1,Deposit_Account,2025-02-20,,1,1,1,,1,1,,1,,,Yes,KurDYN6T100,gmm53,Yes,Yes
cc65b257-0b75-4872-98d2-ef15e62648de,Deposit_Account,2025-02-20,,1,1,1,,1,1,,1,,,Yes,Gar3PTL8I50,bun21,Yes,Yes
c8e4db87-df04-4714-b0be-6bc807e9737d,Deposit_Account,2025-02-20,,1,1,1,,1,1,1,1,,,Yes,Das2UHA8I34,das09,Yes,Yes
507e7432-d94a-4868-8a55-61f8e9a0c159,Deposit_Account,2025-03-13,,1,1,1,,1,1,,1,,,Yes,GarK8F5KR11,bun09,Yes,Yes
2a9ec917-699d-4e5c-936d-6ecfb3e67ae1,Deposit_Account,2025-02-20,,1,1,1,,1,1,,1,,,Yes,Gar893T1Y48,bun21,Yes,Yes
3dbe98f6-4e0b-4527-98e8-d69037a68635,Deposit_Account,2025-02-21,,1,1,1,,1,1,1,1,,,Yes,TauUO3GAS37,tau28,Yes,Yes
fe45e4ea-7b69-4413-b471-df484828d0ff,Deposit_Account,2025-03-13,,1,1,1,,1,1,,1,,,Yes,GarL1QD5218,bun09,Yes,Yes
39f75504-750b-4256-b085-a2aee6b8a30c,Deposit_Account,2025-02-20,,1,1,1,,1,1,,1,,,Yes,KurQDFF2X03,gmm53,Yes,Yes
dddcd31c-6ce8-48de-9340-d057f4c6072b,Deposit_Account,2025-02-21,,1,1,1,,1,1,1,1,,,Yes,TauC4GZO508,tau28,Yes,Yes
dc47b174-6658-421a-9a93-f47bbdd68e76,Deposit_Account,2025-03-13,,1,1,1,,1,1,,1,,,Yes,GarMPCAJZ48,bun09,Yes,Yes
81e56b37-4bdf-4b36-bc72-6a7e4c907d77,Deposit_Account,2025-02-20,,1,1,1,,1,1,,1,,,Yes,GarZNIM1V35,bun21,Yes,Yes
