formid,Date of visit,State,6  Ongoing farm activity at the time of visit | None,6  Ongoing farm activity at the time of visit | Site_Selection,6  Ongoing farm activity at the time of visit | Land_Measurement,6  Ongoing farm activity at the time of visit | Land_Clearing,6  Ongoing farm activity at the time of visit | First_herbicide_application,6  Ongoing farm activity at the time of visit | Ploughing_Harrowing_Tilling,6  Ongoing farm activity at the time of visit | Preparation_of_Nursery_,6  Ongoing farm activity at the time of visit | Planting,6  Ongoing farm activity at the time of visit | Transplanting,6  Ongoing farm activity at the time of visit | Gap_control_(Replacement_of_un-germinated_plants),6  Ongoing farm activity at the time of visit | Mulching,6  Ongoing farm activity at the time of visit | Post-Emergence_Herbicide_Application_or_Manual_weeding_1,6  Ongoing farm activity at the time of visit | NPK_Application,6  Ongoing farm activity at the time of visit | Application_of_Aflasafe,6  Ongoing farm activity at the time of visit | Application_of_Pesticide,6  Ongoing farm activity at the time of visit | Post-Emergence_Herbicide_Application_or_Manual_weeding_2,6  Ongoing farm activity at the time of visit | Urea_Application,6  Ongoing farm activity at the time of visit | SSP_Application,6  Ongoing farm activity at the time of visit | Post-Emergence_Herbicide_Application_or_Manual_weeding_3,6  Ongoing farm activity at the time of visit | Harvesting,6  Ongoing farm activity at the time of visit | Drying_(To_eradicate_moisture),6  Ongoing farm activity at the time of visit | Winnowing,6  Ongoing farm activity at the time of visit | Bagging,6  Ongoing farm activity at the time of visit | Storage,6  Ongoing farm activity at the time of visit | extra,Farm-related problem reported by the farmer | None,Farm-related problem reported by the farmer | Disease_outbreak_(Specify),Farm-related problem reported by the farmer | Pest_Attack_(Specify),Farm-related problem reported by the farmer | Soil_degradation,Farm-related problem reported by the farmer | Water_Scarcity,Farm-related problem reported by the farmer | Weed_Infestation,Farm-related problem reported by the farmer | Others,Farm-related problem reported by the farmer | extra,Implementing_partner,Cooperative_Unique_ID,State-IP,username
6e30410f-1289-4cf8-98e7-2fcb529a4e31,2025-05-15,Kano,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,WOFAN,CT-BebD28DX26,Kano-WOFAN,tun08
ac347d20-ab8b-4c93-ab97-06572cd68d3f,2025-05-27,Kano,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,WOFAN,CT-BebD28DX26,Kano-WOFAN,tun08
58479056-7c62-4ccf-8820-ac2c9775f268,2025-06-01,Kano,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,WOFAN,CT-BebD28DX26,Kano-WOFAN,tun08
4a385778-f317-4fc6-9301-d4297fe50061,2025-06-20,Kano,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,WOFAN,CT-BebD28DX26,Kano-WOFAN,tun08
7717e525-c2d1-456d-acb1-c063983cfa48,2025-06-25,Kano,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,WOFAN,CT-BebD28DX26,Kano-WOFAN,tun08
b49c1f03-e5d2-48d3-933d-fb41406a3fe7,2025-06-22,Kano,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,WOFAN,CT-Beb9WQDK56,Kano-WOFAN,tun04
5a622a13-e954-4391-8e8f-66795ec7471e,2025-05-04,Kano,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,WOFAN,CT-BebA2K0D11,Kano-WOFAN,tun04
63976527-c898-4289-980a-14662119e9aa,2025-05-23,Kano,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,WOFAN,CT-BebA2K0D11,Kano-WOFAN,tun04
857d33b3-6579-4edc-946d-5ee5d17fc7d1,2025-06-02,Kano,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,WOFAN,CT-BebA2K0D11,Kano-WOFAN,tun04
7422cb34-66d7-45f6-b6f4-38a4c0288721,2025-06-10,Kano,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,WOFAN,CT-BebA2K0D11,Kano-WOFAN,tun04
2c6b9272-4207-4a7d-a0d9-bbe0fae70591,2025-06-18,Kano,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,WOFAN,CT-BebA2K0D11,Kano-WOFAN,tun04
96cce7f6-4126-4f8e-abf0-b2c145bb383a,2025-06-20,Kano,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,WOFAN,CT-BebA2K0D11,Kano-WOFAN,tun04
1bb163e1-6145-4b89-9ef8-a5f5d7a62c8a,2025-04-25,Jigawa,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,WOFAN,CT-JahZ4ASU22,Jigawa-WOFAN,rin02
8876cdbc-dae3-4d21-b579-0004cd5fd3d1,2025-05-10,Jigawa,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,WOFAN,CT-JahZ4ASU22,Jigawa-WOFAN,rin02
7a8d96ee-980d-48be-b214-5a38c9ada38c,2025-05-25,Jigawa,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,WOFAN,CT-JahZ4ASU22,Jigawa-WOFAN,rin02
1abd27fe-c9dc-4f55-bc2c-4d7c187c07ad,2025-06-25,Jigawa,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,WOFAN,CT-JahZ4ASU22,Jigawa-WOFAN,rin02
e806f06e-236b-421e-ab2e-0b475cdb15d0,2025-04-26,Jigawa,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,WOFAN,CT-JahT5XO525,Jigawa-WOFAN,rin02
40335a35-edd2-4479-a21b-f562ea272aef,2025-05-12,Jigawa,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,WOFAN,CT-JahT5XO525,Jigawa-WOFAN,rin02
0b1d8567-bcd1-4ce4-b942-3b1f862050b4,2025-05-27,Jigawa,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,WOFAN,CT-JahT5XO525,Jigawa-WOFAN,rin02
cbafddea-4b98-4b1e-9e22-e69041124184,2025-06-23,Jigawa,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,WOFAN,CT-JahT5XO525,Jigawa-WOFAN,rin02
90207ae8-3054-4c7c-b314-ff6c1898f120,2025-04-25,Jigawa,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,WOFAN,CT-JahRHRXB49,Jigawa-WOFAN,rin02
8cdfc528-2ad4-4ae3-b373-f2a3697845ed,2025-05-12,Jigawa,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,WOFAN,CT-JahRHRXB49,Jigawa-WOFAN,rin02
e1ca2edb-7215-488c-b517-06de8851c69a,2025-05-27,Jigawa,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,WOFAN,CT-JahRHRXB49,Jigawa-WOFAN,rin02
a0924449-d3da-472e-ad48-d29dc623d958,2025-06-26,Jigawa,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,WOFAN,CT-JahRHRXB49,Jigawa-WOFAN,rin02
f188d918-7f5c-45fd-a68b-832399c02045,2025-04-26,Jigawa,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,WOFAN,CT-JahR8IMH00,Jigawa-WOFAN,jah22
5ea73602-8e6e-418e-b8f7-d4352cba4c72,2025-05-12,Jigawa,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,WOFAN,CT-JahR8IMH00,Jigawa-WOFAN,jah22
91bc8274-33be-4341-8fec-bfc172d7a1c9,2025-05-28,Jigawa,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,WOFAN,CT-JahR8IMH00,Jigawa-WOFAN,jah22
97eb2adb-d753-40f4-ac7d-7b8c53c0f392,2025-06-27,Jigawa,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,WOFAN,CT-JahR8IMH00,Jigawa-WOFAN,jah22
eca0133e-f1a1-4d9c-b4d4-41a338dabc98,2025-06-10,Jigawa,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,WOFAN,CT-Jah5KMMD15,Jigawa-WOFAN,jah54
c2848663-3414-4c65-b4fc-1806a6a206d2,2023-04-25,Jigawa,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,WOFAN,CT-JahSH9ZH38,Jigawa-WOFAN,jah27
05e64cee-e364-42df-b9e0-4b972b06ff32,2025-04-24,Jigawa,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,WOFAN,CT-JahWHW5X54,Jigawa-WOFAN,jah14
bc6a7e16-3320-42b0-8839-1742a1aa0f11,2025-05-18,Jigawa,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,WOFAN,CT-JahWHW5X54,Jigawa-WOFAN,jah14
09a7d74d-73ad-408b-bd37-5405b5dd91fd,2025-05-28,Jigawa,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,WOFAN,CT-JahWHW5X54,Jigawa-WOFAN,jah14
85575f65-00c6-4807-9521-24156933be28,2025-05-04,Jigawa,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,WOFAN,CT-Jah2AN0H24,Jigawa-WOFAN,jah45
4b4d13ad-420f-4000-bd49-ca6661c184ad,2025-05-10,Jigawa,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,WOFAN,CT-Jah2AN0H24,Jigawa-WOFAN,jah45
fb39f978-3157-424e-84bd-f09114a05c7e,2025-05-20,Jigawa,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,WOFAN,CT-Jah2AN0H24,Jigawa-WOFAN,jah45
37c34b7f-0411-462d-90a8-cb4ca9e72a2a,2025-05-27,Jigawa,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,WOFAN,CT-Jah2AN0H24,Jigawa-WOFAN,jah45
9dcdb46d-36ee-43c5-8e50-4bf2fdcfd4dc,2025-05-30,Jigawa,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,WOFAN,CT-Jah2AN0H24,Jigawa-WOFAN,jah45
54fc1cf8-410b-4f91-8a2b-0e82b515459c,2025-06-17,Jigawa,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,WOFAN,CT-Jah2AN0H24,Jigawa-WOFAN,jah45
4ba2f75e-c59e-422f-ab4e-054df3ba41b1,2025-06-27,Jigawa,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,WOFAN,CT-Jah2AN0H24,Jigawa-WOFAN,jah45
2a447dc7-7317-4f1f-83f3-f4ffc34ed40f,2025-05-14,Jigawa,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,WOFAN,CT-JahJHLJC02,Jigawa-WOFAN,jah01
59019b6b-0b19-42b4-9066-2fa1a2a43470,2025-05-18,Jigawa,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,WOFAN,CT-JahCBRGR10,Jigawa-WOFAN,jah05
3e1b6ec4-6bf7-462c-88d2-8e8b508f07f9,2025-05-25,Jigawa,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,WOFAN,CT-JahCBRGR10,Jigawa-WOFAN,jah05
bb5c91d0-e369-4dbd-99bc-cfec535f4765,2025-05-30,Jigawa,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,WOFAN,CT-JahCBRGR10,Jigawa-WOFAN,jah05
5050d5a2-3021-46d2-9d32-e4f1829d30ab,2025-06-18,Jigawa,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,WOFAN,CT-Jah5KMMD15,Jigawa-WOFAN,jah54
2d0d9c9d-b8df-4bf8-a044-767d779658ef,2025-06-23,Jigawa,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,WOFAN,CT-Jah5KMMD15,Jigawa-WOFAN,jah54
722ec996-ddcf-411e-8777-882225a48120,2025-06-29,Jigawa,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,WOFAN,CT-Jah5KMMD15,Jigawa-WOFAN,jah54
d76b8638-158e-4f9d-ae42-a552b115b858,2025-06-17,Jigawa,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,WOFAN,CT-JahCBRGR10,Jigawa-WOFAN,jah05
1b7a1c7a-79a4-4bd9-825c-a16275f6b183,2025-06-23,Jigawa,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,WOFAN,CT-JahCBRGR10,Jigawa-WOFAN,jah05
fe3abf4d-9043-4f6f-bd2e-dd1caa51a6a8,2024-06-04,Jigawa,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,WOFAN,CT-JahWHW5X54,Jigawa-WOFAN,jah14
c6a3e3a7-734e-4f0c-83c7-be39d15c6f72,2025-06-10,Jigawa,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,WOFAN,CT-JahWHW5X54,Jigawa-WOFAN,jah14
87b27ac1-96e7-4dd5-b443-428ea1fb8fa3,2025-06-20,Jigawa,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,WOFAN,CT-JahWHW5X54,Jigawa-WOFAN,jah14
16aacaf0-948a-413c-bbc3-b484a760a2cc,2025-06-28,Jigawa,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,WOFAN,CT-JahWHW5X54,Jigawa-WOFAN,jah14
576c52fd-5ba1-432a-bd20-d6906c96f691,2025-05-20,Jigawa,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,WOFAN,CT-JahWHW5X54,Jigawa-WOFAN,jah14
f04bb7f7-26bb-4823-b513-f20dc861358e,2025-05-20,Jigawa,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,WOFAN,CT-JahWHW5X54,Jigawa-WOFAN,jah14
77c5e5fd-a711-4884-8485-5b2bf4de7e66,2025-05-25,Jigawa,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,WOFAN,CT-JahWHW5X54,Jigawa-WOFAN,jah14
cbe7487e-8015-4488-9665-c1a610d585c7,2025-06-10,Jigawa,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,WOFAN,CT-JahWHW5X54,Jigawa-WOFAN,jah14
5b783474-76c5-4c7b-a940-cfba6ebe60bd,2025-06-15,Jigawa,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,WOFAN,CT-JahWHW5X54,Jigawa-WOFAN,jah14
594520f8-cf8d-4537-a264-db9e010fd11b,2025-06-28,Jigawa,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,WOFAN,CT-JahWHW5X54,Jigawa-WOFAN,jah14
563a1076-2c2a-4e48-a367-a96656917d5d,2025-05-05,Jigawa,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,WOFAN,CT-JahYHDZZ59,Jigawa-WOFAN,jah14
224e8f38-06f9-422f-9d64-15e87f9ed062,2025-05-15,Jigawa,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,WOFAN,CT-JahYHDZZ59,Jigawa-WOFAN,jah14
b3a6a365-89a4-445e-be96-d030c6a5b4d6,2025-05-25,Jigawa,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,WOFAN,CT-JahYHDZZ59,Jigawa-WOFAN,jah14
786ad7e8-28a6-4718-bf95-328d77b8d859,2025-06-03,Jigawa,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,WOFAN,CT-JahYHDZZ59,Jigawa-WOFAN,jah14
51e50291-7d43-4de4-af75-4a8fc015c477,2025-06-09,Jigawa,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,WOFAN,CT-JahYHDZZ59,Jigawa-WOFAN,jah14
e33611aa-d5e4-40a0-b15b-1f3c75ea1e4b,2025-06-15,Jigawa,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,WOFAN,CT-JahYHDZZ59,Jigawa-WOFAN,jah14
8ddd2f89-5d69-4557-bce6-2ca0ab498dd0,2025-06-25,Jigawa,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,WOFAN,CT-JahYHDZZ59,Jigawa-WOFAN,jah14
336219bd-0f44-4542-8ccd-af69d55f45fb,2025-04-06,Jigawa,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,WOFAN,CT-JahN6PKC52,Jigawa-WOFAN,jah71
f4c3632d-7213-4c7e-a24b-5c38d5ff9cd6,2025-05-15,Jigawa,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,WOFAN,CT-JahYHDZZ59,Jigawa-WOFAN,jah14
57fcf31d-81d3-411d-ab16-c3bd456c9bcf,2025-05-15,Jigawa,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,WOFAN,CT-Jah9LDGL19,Jigawa-WOFAN,jah45
87b85b40-3513-49f4-828f-220dba92a2d3,2025-05-10,Jigawa,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,WOFAN,CT-Jah9LDGL19,Jigawa-WOFAN,jah45
4eab2674-cb87-479c-93d1-148c13465fa9,2025-05-20,Jigawa,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,WOFAN,CT-Jah9LDGL19,Jigawa-WOFAN,jah45
ae8d5a2d-ac37-475a-9061-a95393f615a7,2025-05-30,Jigawa,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,WOFAN,CT-Jah9LDGL19,Jigawa-WOFAN,jah45
811c320f-1b10-4c1a-bcd0-485e136f6af5,2025-05-31,Jigawa,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,WOFAN,CT-Jah9LDGL19,Jigawa-WOFAN,jah45
3a1ab1d2-328f-47aa-8161-5252a6d3555f,2025-06-26,Jigawa,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,WOFAN,CT-Jah9LDGL19,Jigawa-WOFAN,jah45
40f62cf6-e5f3-4f79-8657-e62a008db427,2025-06-26,Jigawa,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,WOFAN,CT-Jah9LDGL19,Jigawa-WOFAN,jah45
0ff07513-0445-4eef-8cac-a31babcce553,2025-05-20,Jigawa,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,WOFAN,CT-JahSH9ZH38,Jigawa-WOFAN,jah27
80098c5d-c53d-4178-8310-4f02f1769c30,2025-06-10,Jigawa,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,WOFAN,CT-JahSH9ZH38,Jigawa-WOFAN,jah27
7a540416-4b50-44c2-8e45-585aa85a037d,2025-06-20,Jigawa,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,WOFAN,CT-JahSH9ZH38,Jigawa-WOFAN,jah27
21401824-c957-4d80-a967-7f96b78b8d77,2025-06-15,Jigawa,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,WOFAN,CT-JahSH9ZH38,Jigawa-WOFAN,jah27
dca46cbf-1781-4c06-acd5-a018259afe5f,2025-06-25,Jigawa,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,WOFAN,CT-JahSH9ZH38,Jigawa-WOFAN,jah27
bee5c661-92a9-4690-8abc-c84817f72170,2025-06-28,Jigawa,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,WOFAN,CT-JahSH9ZH38,Jigawa-WOFAN,jah27
50a219b6-069e-4ea6-9073-0f7be638f73d,2025-03-20,Jigawa,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,WOFAN,CT-Jah240CR10,Jigawa-WOFAN,jah27
3bdaa790-9c7b-4bea-8f15-017e9fdaca8b,2025-05-20,Jigawa,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,WOFAN,CT-Jah240CR10,Jigawa-WOFAN,jah27
e40fff44-93ac-49ac-a4c1-e134be510e57,2025-05-25,Jigawa,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,WOFAN,CT-Jah240CR10,Jigawa-WOFAN,jah27
02ff29bb-87a0-4689-a71d-89012075fd2a,2025-06-10,Jigawa,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,WOFAN,CT-Jah240CR10,Jigawa-WOFAN,jah27
91edd991-6ea9-4b0f-96bf-0b711eabeb50,2025-06-16,Jigawa,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,WOFAN,CT-Jah240CR10,Jigawa-WOFAN,jah27
27514cdc-f449-4b16-b48e-a0657d01b314,2025-06-25,Jigawa,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,WOFAN,CT-Jah240CR10,Jigawa-WOFAN,jah27
22918f91-da59-467e-90a6-a946e561f029,2025-06-28,Jigawa,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,WOFAN,CT-Jah240CR10,Jigawa-WOFAN,jah27
aae41aaa-ae8b-4aca-a64c-9976e1ff0f11,2025-05-23,Jigawa,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,WOFAN,CT-JahSH9ZH38,Jigawa-WOFAN,jah27
f9c3661a-ec24-46e2-a54e-1746225385ea,2025-05-25,Jigawa,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,WOFAN,CT-JahSH9ZH38,Jigawa-WOFAN,jah27
67701764-8154-470a-a971-37b7e4e04642,2025-05-27,Jigawa,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,WOFAN,CT-JahSH9ZH38,Jigawa-WOFAN,jah27
c6fef995-aeb9-4556-9acd-1b0ddac3868e,2025-06-18,Jigawa,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,WOFAN,CT-JahSH9ZH38,Jigawa-WOFAN,jah27
8f485c92-6b31-400c-8819-db759bd7aac2,2025-06-27,Jigawa,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,WOFAN,CT-JahSH9ZH38,Jigawa-WOFAN,jah27
36ee8350-2030-4dea-8ffb-484f4d00a5bd,2025-05-20,Jigawa,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,WOFAN,CT-Jah240CR10,Jigawa-WOFAN,jah27
18783152-3946-413c-94e8-9940356bc656,2025-05-23,Jigawa,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,WOFAN,CT-Jah240CR10,Jigawa-WOFAN,jah27
cea6559a-01ae-45b4-8362-4e5bc616f0ed,2025-05-27,Jigawa,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,WOFAN,CT-Jah240CR10,Jigawa-WOFAN,jah27
fbb65d84-ab45-4614-81d3-09e89f6252a2,2025-06-15,Jigawa,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,WOFAN,CT-Jah240CR10,Jigawa-WOFAN,jah27
01df7472-6bd7-4959-8a5a-ba671544e66e,2025-06-20,Jigawa,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,WOFAN,CT-Jah240CR10,Jigawa-WOFAN,jah27
34f2ffe8-7bec-4184-9f9a-f40f9355c1ee,2025-06-28,Jigawa,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,WOFAN,CT-Jah240CR10,Jigawa-WOFAN,jah27
ab826840-3243-43aa-a550-e6016d916024,2025-05-22,Jigawa,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,WOFAN,CT-JahSH9ZH38,Jigawa-WOFAN,jah27
91e1b904-f5fd-4f50-b017-91b6395f7aa2,2025-05-25,Jigawa,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,WOFAN,CT-JahSH9ZH38,Jigawa-WOFAN,jah27
