formid,1  Which of these products did the Community Partner receive?,3  How many bags of ____ did the Community Partner receive?,4  Which other item did they receive? | Food_Flasks,4  Which other item did they receive? | Plastic_containers_for_food,4  Which other item did they receive? | Mobile_work_station,4  Which other item did they receive? | Umbrella,4  Which other item did they receive? | None,4  Which other item did they receive? | extra,5 1  What Quantity of Food flask (Thermocool) did the community Partner Receive?,5 2  What Quantity of Plastic containers did the community Partner Receive?,5 3  What Quantity of Mobile work station did the community Partner Receive?,5 4  What Quantity of Umbrella did the community Partner Receive?,form/Case_Data/Coop_ID,form/Case_Data/State,received_on,form case case_id
a0926b60-5812-43e2-bf79-b87213e48ab3,Rice,6.0,1,,,,,,---,---,---,---,Gom1VAP59,Gombe,17/04/2025 11:09,1bd25fac-2eb0-4318-b7c5-c46f7464ff06
4dc082c5-deb2-422e-bccb-1c383adf00f0,Rice,6.0,,,,1,,,---,---,---,1,Bau09NY31,Bauchi,17/04/2025 11:09,368efb42-7456-47ef-b372-217c8ee5c3e3
0a0ddc07-d16a-493d-891e-1a4c194f9347,Rice,4.0,1,,,,,,---,---,---,---,Gom1VAP59,Gombe,17/04/2025 11:10,1bd25fac-2eb0-4318-b7c5-c46f7464ff06
75b5b3d1-4aed-44df-a6b9-5040db700e31,Rice,5.0,,,,,1,,---,---,---,---,Bau32SB41,Bauchi,17/04/2025 11:10,851d76e0-8b95-4ad0-84ea-021c9152f7fe
23f6aaf1-516f-46e9-8733-af7cef683861,Rice,6.0,1,,,,,,---,---,---,---,Gom1VAP59,Gombe,17/04/2025 11:11,1bd25fac-2eb0-4318-b7c5-c46f7464ff06
000ca3fb-32b3-403a-8694-d21e01be2653,Rice,4.0,,,,1,,,---,---,---,---,Gom1VAP59,Gombe,17/04/2025 11:15,1bd25fac-2eb0-4318-b7c5-c46f7464ff06
55dcb151-d4d4-4ceb-9cb9-639e617a86f8,Rice,22.0,1,,,,,,---,---,---,---,BebVWCP25,Kano,17/04/2025 11:18,de03e7e3-d3d1-43bc-8697-1d2e05d549aa
dde521cb-d466-475d-9473-a68de3cda608,Rice,3.0,,,,,1,,---,---,---,---,SabZLBU21,Kaduna,17/04/2025 11:20,6ffd54cf-69df-49e7-a20f-97ad4fe0ceaa
d783384c-1225-40dd-b269-61f77a19440d,Rice,50.0,1,,,,,,5,---,---,---,Das1UGP25,Bauchi,17/04/2025 11:31,f70eacb9-9607-42b5-ae89-8e1b93f6291a
26d8232b-dee4-4110-9627-5fe363b952c1,Rice,45.0,1,,,,,,10,---,---,---,DasZDT310,Bauchi,17/04/2025 11:38,ee384d3c-8fc5-4558-8671-59a141ac4fb4
71fceaff-70a7-4229-921b-7bff800e792b,Rice,3.0,,,,,1,,---,---,---,---,Sab0CGG37,Kaduna,17/04/2025 11:39,420937d1-b694-4089-8872-b76e9d5ee409
18270605-f6d2-4bd9-b63c-e459cacf578e,Soya_Bean,30.0,,,,1,,,---,---,---,25,Rin80JY23,Jigawa,17/04/2025 11:58,13e3b92d-6d57-41b6-a4ac-910703371fb6
dd008571-3a6b-43ef-9881-2558b331fc0f,Rice,6.0,1,,,,,,1,---,---,---,Akk1H2T30,Gombe,17/04/2025 12:15,6da6b6c5-442f-40d5-8518-1985188ea64f
d333055b-70cb-454b-b8c3-b2ecde80dc53,Beans,2.0,,1,,1,,,---,---,---,---,TudE4BD18,Kano,17/04/2025 12:16,e6e7e319-78cd-40d3-82e2-3d75a761b1f7
3595f602-a840-47e9-b311-06cdd5017ad3,Rice,6.0,1,,,,,,1,---,---,---,Gom1VAP59,Gombe,17/04/2025 12:21,1bd25fac-2eb0-4318-b7c5-c46f7464ff06
81892904-1696-4bc4-8f21-c4c1ee823e85,Rice,6.0,1,,,,,,1,---,---,---,Gom1VAP59,Gombe,17/04/2025 12:22,1bd25fac-2eb0-4318-b7c5-c46f7464ff06
f8eb2903-4c42-40a8-b756-61abf747950d,Rice,6.0,1,,,,,,1,---,---,---,Gom1VAP59,Gombe,17/04/2025 12:24,1bd25fac-2eb0-4318-b7c5-c46f7464ff06
aff08c74-bdc9-42f0-b77f-e77ab6a4162d,Rice,6.0,1,,,,,,1,---,---,---,Gom1VAP59,Gombe,17/04/2025 12:25,1bd25fac-2eb0-4318-b7c5-c46f7464ff06
b007a1f0-91a5-4dd8-810a-88f12c627f0c,Rice,6.0,1,,,,,,1,---,---,---,Gom1VAP59,Gombe,17/04/2025 12:25,1bd25fac-2eb0-4318-b7c5-c46f7464ff06
9394f11d-a4fd-4fbf-a0ad-95bd05e50787,Rice,6.0,1,,,,,,1,---,---,---,Gom1VAP59,Gombe,17/04/2025 12:26,1bd25fac-2eb0-4318-b7c5-c46f7464ff06
21fbef5e-da3e-472d-9bb1-95f70d39c8ad,Rice,6.0,1,,,,,,1,---,---,---,Gom1VAP59,Gombe,17/04/2025 12:26,1bd25fac-2eb0-4318-b7c5-c46f7464ff06
028e32e3-8ac8-48c2-b8bc-4b8f12b6bfe0,Rice,6.0,1,,,,,,1,---,---,---,Gom1VAP59,Gombe,17/04/2025 12:26,1bd25fac-2eb0-4318-b7c5-c46f7464ff06
a927a3c9-3329-46b4-be52-fafb281b331e,Rice,6.0,1,,,,,,1,---,---,---,Gom1VAP59,Gombe,17/04/2025 12:27,1bd25fac-2eb0-4318-b7c5-c46f7464ff06
3f3803d3-5dab-4e79-8e90-39a300014405,Rice,6.0,1,,,,,,1,---,---,---,Gom1VAP59,Gombe,17/04/2025 12:27,1bd25fac-2eb0-4318-b7c5-c46f7464ff06
eb1c6a39-a554-480d-b576-373ec80cbc0b,Rice,6.0,1,,,,,,1,---,---,---,Kal1LVA43,Gombe,17/04/2025 12:30,f6c5633a-65a6-401d-93c1-7c2fb2aeb16b
c82d6e1c-be2f-4f32-9209-748f206b432b,Rice,6.0,1,,,,,,1,---,---,---,Kal200939,Gombe,17/04/2025 12:30,a863e34f-552c-48cc-b9f1-66f8d3e389c2
e2a1b958-bd3d-4eb6-bd2d-377bd19c78c2,Rice,6.0,1,,,,,,1,---,---,---,Kal511X54,Gombe,17/04/2025 12:30,3d42dd09-aa74-45c2-9cd4-5145a2fe267b
b777b672-a958-4466-af60-84eb54d998e5,Rice,6.0,1,,,,,,1,---,---,---,Gom1VAP59,Gombe,17/04/2025 12:30,1bd25fac-2eb0-4318-b7c5-c46f7464ff06
9c51b40c-dea2-49b1-8d72-1606b9b0a69a,Rice,6.0,1,,,,,,1,---,---,---,KalARXJ30,Gombe,17/04/2025 12:30,d30e0984-ad94-42a1-8fb2-1fe66c11eee4
327e3c50-495c-484e-9dca-efdcef0c16df,Rice,6.0,1,,,,,,1,---,---,---,Gom1VAP59,Gombe,17/04/2025 12:31,1bd25fac-2eb0-4318-b7c5-c46f7464ff06
d777f330-422d-4c15-928b-f198fd895013,Rice,6.0,1,,,,,,1,---,---,---,Gom1VAP59,Gombe,17/04/2025 12:31,1bd25fac-2eb0-4318-b7c5-c46f7464ff06
bc555852-2b0e-4deb-ac1b-8c568d5b544c,Rice,6.0,1,,,,,,1,---,---,---,Gom1VAP59,Gombe,17/04/2025 12:31,1bd25fac-2eb0-4318-b7c5-c46f7464ff06
f3ae012e-9bec-479c-a36e-0e594036ca4f,Rice,6.0,1,,,,,,1,---,---,---,Gom1VAP59,Gombe,17/04/2025 12:32,1bd25fac-2eb0-4318-b7c5-c46f7464ff06
ae482aa1-adb7-42eb-8c0b-69b21748b3a2,Rice,6.0,1,,,,,,1,---,---,---,Gom1VAP59,Gombe,17/04/2025 12:32,1bd25fac-2eb0-4318-b7c5-c46f7464ff06
cd656a37-04fb-4792-adc9-d5855a180f29,Rice,6.0,1,,,,,,1,---,---,---,Gom1VAP59,Gombe,17/04/2025 12:33,1bd25fac-2eb0-4318-b7c5-c46f7464ff06
1a254bd7-d88b-47b0-ab0c-82705dffd1b9,Rice,6.0,1,,,,,,1,---,---,---,Gom1VAP59,Gombe,17/04/2025 12:33,1bd25fac-2eb0-4318-b7c5-c46f7464ff06
139a5eda-1449-4f17-9d63-4807d2bb00a0,Rice,6.0,1,,,,,,1,---,---,---,Gom1VAP59,Gombe,17/04/2025 12:33,1bd25fac-2eb0-4318-b7c5-c46f7464ff06
a4602f00-7a31-48d9-ac0d-18b9118d8c94,Rice,6.0,1,,,,,,1,---,---,---,Gom1VAP59,Gombe,17/04/2025 12:34,1bd25fac-2eb0-4318-b7c5-c46f7464ff06
29c3dcbb-f66c-4655-88e2-816ed6668f11,Rice,6.0,1,,,,,,1,---,---,---,Gom1VAP59,Gombe,17/04/2025 12:34,1bd25fac-2eb0-4318-b7c5-c46f7464ff06
f92bb421-beb7-434d-bbd4-45a470ae942e,Rice,6.0,1,,,,,,1,---,---,---,Gom1VAP59,Gombe,17/04/2025 12:35,1bd25fac-2eb0-4318-b7c5-c46f7464ff06
7685392f-7a09-4502-be86-f3828c3e05ce,Rice,6.0,1,,,,,,1,---,---,---,Gom1VAP59,Gombe,17/04/2025 12:35,1bd25fac-2eb0-4318-b7c5-c46f7464ff06
2cd5b3b3-1a7e-49ba-874f-adc957dbe13c,Rice,6.0,1,,,,,,1,---,---,---,Gom1VAP59,Gombe,17/04/2025 12:35,1bd25fac-2eb0-4318-b7c5-c46f7464ff06
633c6562-39dd-4cfa-8c86-99b319fec8a5,Rice,6.0,1,,,,,,1,---,---,---,Gom1VAP59,Gombe,17/04/2025 12:36,1bd25fac-2eb0-4318-b7c5-c46f7464ff06
fa0a6ef5-a221-4de3-bff1-54a2d0db228c,Rice,6.0,1,,,,,,1,---,---,---,Gom1VAP59,Gombe,17/04/2025 12:36,1bd25fac-2eb0-4318-b7c5-c46f7464ff06
ee50296b-cb0e-48a6-97fc-485a6231f267,Rice,6.0,1,,,,,,1,---,---,---,Gom1VAP59,Gombe,17/04/2025 12:37,1bd25fac-2eb0-4318-b7c5-c46f7464ff06
65459fa0-ccb2-4487-a274-c70167b7df7b,Rice,6.0,1,,,,,,1,---,---,---,Gom1VAP59,Gombe,17/04/2025 12:37,1bd25fac-2eb0-4318-b7c5-c46f7464ff06
f78c28d7-f48a-4cd7-b3c6-ee26aaf12e8e,Rice,6.0,1,,,,,,1,---,---,---,Gom1VAP59,Gombe,17/04/2025 12:38,1bd25fac-2eb0-4318-b7c5-c46f7464ff06
ca580bb0-fd30-4c1e-babb-dab2b4872963,Rice,6.0,1,,,,,,1,---,---,---,Gom1VAP59,Gombe,17/04/2025 12:38,1bd25fac-2eb0-4318-b7c5-c46f7464ff06
26a624c1-b1b8-4a84-934a-48dc50188dc9,Rice,6.0,1,,,,,,1,---,---,---,Gom1VAP59,Gombe,17/04/2025 12:39,1bd25fac-2eb0-4318-b7c5-c46f7464ff06
c4e50f7e-4326-406a-925d-4a45e55f2d2e,Rice,6.0,1,,,,,,1,---,---,---,Gom1VAP59,Gombe,17/04/2025 12:39,1bd25fac-2eb0-4318-b7c5-c46f7464ff06
2b1ab41d-c783-4b18-9fe8-936f56bebaeb,Rice,6.0,1,,,,,,1,---,---,---,Gom1VAP59,Gombe,17/04/2025 12:39,1bd25fac-2eb0-4318-b7c5-c46f7464ff06
cecc4594-6e6a-4632-a810-58832b48ab99,Rice,1.0,1,,,,,,1,---,---,---,BalV57005,Gombe,17/04/2025 12:40,b29aa8a4-f8e4-4fb0-a2c8-42932a24e856
07a58e5c-9d83-43bb-97e3-c21d5bf9d8a5,Rice,6.0,1,,,,,,1,---,---,---,Gom1VAP59,Gombe,17/04/2025 12:40,1bd25fac-2eb0-4318-b7c5-c46f7464ff06
c4da83b3-364e-4773-9601-c699ab6e11c7,Rice,6.0,1,,,,,,1,---,---,---,Gom1VAP59,Gombe,17/04/2025 12:40,1bd25fac-2eb0-4318-b7c5-c46f7464ff06
8c7e1729-debf-4e9d-bcde-1e3c77e5db48,Rice,1.0,1,,,,,,1,---,---,---,BalWP1150,Gombe,17/04/2025 12:41,e38ff491-daa6-44cc-86b1-1b5e612c71d2
e1bf9e6a-9425-4f05-a122-e19273dde050,Rice,6.0,1,,,,,,1,---,---,---,Gom1VAP59,Gombe,17/04/2025 12:41,1bd25fac-2eb0-4318-b7c5-c46f7464ff06
e774391b-a6d5-44f8-891e-42b3c107b2d9,Rice,3.0,,,,1,1,,---,---,---,---,TofSL9M26,Kano,17/04/2025 12:41,c69620a0-ef3d-49e7-91de-5477f080a745
e1aa9a84-3b6e-4025-ba40-f3f4536549b0,Rice,3.0,,,,,1,,---,---,---,---,Tof1YME44,Kano,17/04/2025 12:41,c8f12802-1cfa-4a26-a11d-42c3bab657c0
9ffc0797-6217-4b33-9140-768696789ee0,Rice,6.0,1,,,,,,1,---,---,---,Gom1VAP59,Gombe,17/04/2025 12:41,1bd25fac-2eb0-4318-b7c5-c46f7464ff06
5263e47d-d2e7-4406-ada3-70ad7e02050c,Rice,3.0,,,,,1,,---,---,---,---,Tof8TJ343,Kano,17/04/2025 12:42,ed369ba8-7667-4738-bf4b-ad618d1d0e76
ee76f303-231f-4d19-82fd-3d82219d1128,Rice,6.0,1,,,,,,1,---,---,---,Gom1VAP59,Gombe,17/04/2025 12:42,1bd25fac-2eb0-4318-b7c5-c46f7464ff06
6126b16a-4a08-41cb-b1ad-b85a2ce5a05a,Rice,3.0,,,,,1,,---,---,---,---,TofCFUC26,Kano,17/04/2025 12:42,398519a1-eef8-4eea-af28-71712cfb78ed
6c19b957-c84b-449d-98c3-641b6222c960,Rice,3.0,,,,,1,,---,---,---,---,RimINFW02,Kano,17/04/2025 12:42,6f9972b6-3ea3-4f56-a9d7-b48a76405a77
1742daad-7b06-48a2-ad5b-332f2b7eb33a,Rice,3.0,,,,,1,,---,---,---,---,RimVMIR38,Kano,17/04/2025 12:42,474564e9-8c40-484a-86f8-26f11acda662
5a6e30de-43c1-4f64-9f29-c090e28fae37,Rice,10.0,1,,,1,,,---,---,---,---,TorBL3T55,Bauchi,17/04/2025 12:42,f9a6871c-4dcd-47ca-b7fb-e3c39e34f696
c5c68046-7ce5-469c-9fb5-5ef4e6407a0b,Rice,3.0,,,,,1,,---,---,---,---,RimW5JW38,Kano,17/04/2025 12:42,df600e55-8b01-4012-94e8-31dc559f35db
519687b2-00c8-4093-8554-4ef148408aff,Rice,3.0,,,,,1,,---,---,---,---,Tof58RG43,Kano,17/04/2025 12:42,20793527-b9a6-4b58-9235-278e65a29114
19345d08-e023-4ce9-af07-d38b9382563a,Rice,6.0,1,,,,,,1,---,---,---,Gom1VAP59,Gombe,17/04/2025 12:42,1bd25fac-2eb0-4318-b7c5-c46f7464ff06
caa29967-fc96-46c4-bb2e-58933ce150a3,Rice,6.0,1,,,,,,1,---,---,---,Gom1VAP59,Gombe,17/04/2025 12:43,1bd25fac-2eb0-4318-b7c5-c46f7464ff06
bfacc98b-8af4-49c6-af89-7e2e9078413b,Rice,6.0,1,,,,,,1,---,---,---,Gom1VAP59,Gombe,17/04/2025 12:43,1bd25fac-2eb0-4318-b7c5-c46f7464ff06
11f38085-d05b-43d4-aa1e-a62902033e30,Rice,6.0,1,,,,,,1,---,---,---,Akk7M0I43,Gombe,17/04/2025 12:44,76e13308-1ef1-4226-bb79-961823ab5d86
23b1a2e3-b1ae-4b5f-879e-a6cad1693871,Rice,6.0,1,,,,,,1,---,---,---,Gom1VAP59,Gombe,17/04/2025 12:44,1bd25fac-2eb0-4318-b7c5-c46f7464ff06
022c45e5-14b5-470e-a488-8a68d3228b4d,Rice,6.0,1,,,,,,1,---,---,---,Gom1VAP59,Gombe,17/04/2025 12:44,1bd25fac-2eb0-4318-b7c5-c46f7464ff06
a7c92951-cb68-4023-9df0-eda5a9e4ca3d,Rice,6.0,1,,,,,,1,---,---,---,Gom1VAP59,Gombe,17/04/2025 12:45,1bd25fac-2eb0-4318-b7c5-c46f7464ff06
9524759b-4e1c-4464-9dfb-3f5782522364,Rice,6.0,1,,,,,,1,---,---,---,Gom1VAP59,Gombe,17/04/2025 12:46,1bd25fac-2eb0-4318-b7c5-c46f7464ff06
ca4c6645-0b1c-4260-82ae-4958c0e2f692,Rice,6.0,1,,,,,,1,---,---,---,Gom1VAP59,Gombe,17/04/2025 12:46,1bd25fac-2eb0-4318-b7c5-c46f7464ff06
4fe9b463-f6e7-4b3b-b99a-7150d6e79703,Rice,6.0,1,,,,,,1,---,---,---,Gom1VAP59,Gombe,17/04/2025 12:47,1bd25fac-2eb0-4318-b7c5-c46f7464ff06
c3c92e90-de04-4bd9-baa9-613d9f98282f,Rice,6.0,1,,,,,,1,---,---,---,Gom1VAP59,Gombe,17/04/2025 12:47,1bd25fac-2eb0-4318-b7c5-c46f7464ff06
41fdcf3e-c6a4-4898-ac84-ba24020cef35,Rice,6.0,1,,,,,,1,---,---,---,Gom1VAP59,Gombe,17/04/2025 12:47,1bd25fac-2eb0-4318-b7c5-c46f7464ff06
b4dda022-ec89-4499-b69c-ee1428dfa59b,Rice,6.0,1,,,,,,1,---,---,---,Gom1VAP59,Gombe,17/04/2025 12:48,1bd25fac-2eb0-4318-b7c5-c46f7464ff06
cdeaae3f-278e-4e07-b210-e7979cef291e,Rice,6.0,1,,,,,,1,---,---,---,Gom1VAP59,Gombe,17/04/2025 12:48,1bd25fac-2eb0-4318-b7c5-c46f7464ff06
09fbd4c1-65ba-4214-b29d-a713e2c68a72,Rice,6.0,1,,,,,,1,---,---,---,AkkECCQ55,Gombe,17/04/2025 12:48,d6ed8ff8-7db8-4b05-a4f0-e681797a94ea
acf866c7-83f5-4b62-8139-44ced1cf4baf,Rice,6.0,1,,,,,,1,---,---,---,Gom1VAP59,Gombe,17/04/2025 12:49,1bd25fac-2eb0-4318-b7c5-c46f7464ff06
5a47b5ed-5f89-463c-a890-bc6ecb0307b0,Rice,6.0,1,,,,,,1,---,---,---,KalHU5743,Gombe,17/04/2025 12:49,92f641c6-aedf-4cfc-8e2f-1e0aa15c4d38
a6c17052-0a16-46e0-b88d-56afef397427,Rice,6.0,1,,,,,,1,---,---,---,KalHWST47,Gombe,17/04/2025 12:49,c11851d9-4514-4bb1-91a0-cde2e8c5bc7b
b68f71f0-63d1-4b78-b082-15d19a0b3b88,Rice,6.0,1,,,,,,1,---,---,---,KalJS1F42,Gombe,17/04/2025 12:49,076e2445-6a05-45a3-8407-6101411a2025
9d23d15e-88c3-4361-b058-dc12a650f6e0,Rice,6.0,1,,,,,,1,---,---,---,KalN6I703,Gombe,17/04/2025 12:49,829ae514-7246-4710-896e-e9d574ec80d3
94f91431-3884-4617-994c-27c91d522cd6,Rice,6.0,1,,,,,,1,---,---,---,KalOUF857,Gombe,17/04/2025 12:49,b1692947-99c5-4624-9b15-4a61467f2c53
b2edb0da-893c-4c38-9e98-12d3f5963c2b,Rice,6.0,1,,,,,,1,---,---,---,KalOV0B14,Gombe,17/04/2025 12:49,34c163b9-50d2-431f-ad9e-40283f1b7754
72cac810-e082-43da-a459-91ece5388632,Rice,6.0,1,,,,,,1,---,---,---,KalQ6E424,Gombe,17/04/2025 12:49,082e3630-d95e-4e3f-9bac-f868dd705f75
b4d12506-eca1-4c4b-bdc7-21288cef9304,Rice,6.0,1,,,,,,1,---,---,---,KalR19022,Gombe,17/04/2025 12:49,5f631308-1186-49b5-9310-42d0a37f604e
bb5c3cc9-0813-40b2-9782-9a2e51660a68,Rice,6.0,1,,,,,,1,---,---,---,KalARXJ30,Gombe,17/04/2025 12:49,d30e0984-ad94-42a1-8fb2-1fe66c11eee4
ab4fa314-8142-4af7-bc26-ca9061a11e21,Rice,10.0,1,,,,,,10,---,---,---,Nin2Z6O11,Bauchi,17/04/2025 12:49,fdb9c5d8-5596-4ed6-ad97-a196db6749d9
05cdd6a4-ec63-4154-96d0-061e4f1fa9d6,Rice,6.0,1,,,,,,1,---,---,---,Gom1VAP59,Gombe,17/04/2025 12:50,1bd25fac-2eb0-4318-b7c5-c46f7464ff06
afad79cf-a6f6-4f28-80ee-b1685431015d,Rice,6.0,,1,,,,,---,6,---,---,Nin4PQT31,Bauchi,17/04/2025 12:50,fb85a265-5857-4a33-a60a-4f906e8ca2a6
3239660f-77ab-4c86-87aa-d244f5d5645f,Rice,6.0,1,,,,,,1,---,---,---,Gom1VAP59,Gombe,17/04/2025 12:50,1bd25fac-2eb0-4318-b7c5-c46f7464ff06
0c2c18fc-86a5-40c2-acbc-51cea30a33d0,Rice,6.0,1,,,,,,1,---,---,---,Gom1VAP59,Gombe,17/04/2025 12:51,1bd25fac-2eb0-4318-b7c5-c46f7464ff06
3c926480-3783-4b1f-b2e7-4f5f000c0986,Rice,6.0,1,,,,,,1,---,---,---,Gom1VAP59,Gombe,17/04/2025 12:51,1bd25fac-2eb0-4318-b7c5-c46f7464ff06
43e5e3a2-fab1-4bcc-8a1c-22c4fc647b4c,Rice,6.0,1,,,,,,1,---,---,---,AkkEH4G59,Gombe,17/04/2025 12:51,4c511ad8-4480-4930-b7b0-5a9858463a9c
bfec048a-354b-48d8-9cf3-0e3f48907186,Rice,6.0,1,,,,,,1,---,---,---,Gom1VAP59,Gombe,17/04/2025 12:51,1bd25fac-2eb0-4318-b7c5-c46f7464ff06
d2ad6a9f-a8b8-4b1f-a62e-1f9ec49aee59,Rice,6.0,1,,,,,,1,---,---,---,Gom1VAP59,Gombe,17/04/2025 12:52,1bd25fac-2eb0-4318-b7c5-c46f7464ff06
ae78b0de-eb7c-4c0a-948b-4b68a627be73,Rice,6.0,1,,,,,,1,---,---,---,Gom1VAP59,Gombe,17/04/2025 12:52,1bd25fac-2eb0-4318-b7c5-c46f7464ff06
d613c12f-3d1c-4de1-8aa7-c768c69ace26,Rice,6.0,1,,,,,,1,---,---,---,Gom1VAP59,Gombe,17/04/2025 12:52,1bd25fac-2eb0-4318-b7c5-c46f7464ff06
0eab0fa1-1cea-4731-9181-cc18b7bc93b8,Rice,6.0,1,,,,,,1,---,---,---,Gom1VAP59,Gombe,17/04/2025 12:52,1bd25fac-2eb0-4318-b7c5-c46f7464ff06
99d102ef-38f1-41a9-ac56-6c37948bcc1c,Rice,6.0,,1,,,,,---,6,---,---,NinGDVW20,Bauchi,17/04/2025 12:53,5c76a966-9389-4980-bc95-b0192d9190e4
0ccd7e6c-dc56-4159-b484-157b3b233577,Rice,6.0,1,,,,,,1,---,---,---,Gom1VAP59,Gombe,17/04/2025 12:53,1bd25fac-2eb0-4318-b7c5-c46f7464ff06
e4027a87-bd5d-42c7-9cb7-22b4e25f1f00,Rice,6.0,1,,,,,,1,---,---,---,Gom1VAP59,Gombe,17/04/2025 12:53,1bd25fac-2eb0-4318-b7c5-c46f7464ff06
6e9d4279-e308-428f-977f-1100c6bfad84,Rice,6.0,1,,,,,,1,---,---,---,Gom1VAP59,Gombe,17/04/2025 12:53,1bd25fac-2eb0-4318-b7c5-c46f7464ff06
1e28d4bb-8ac5-4808-94ae-462479307b7c,Rice,6.0,1,,,,,,1,---,---,---,Gom1VAP59,Gombe,17/04/2025 12:54,1bd25fac-2eb0-4318-b7c5-c46f7464ff06
f8363e0a-7abc-4802-9c5b-680b4d71b90f,Rice,10.0,,1,,,,,---,10,---,---,NinGDVW20,Bauchi,17/04/2025 12:54,5c76a966-9389-4980-bc95-b0192d9190e4
87a82b05-b356-4891-b76a-10abd677e49e,Rice,6.0,1,,,,,,1,---,---,---,Gom1VAP59,Gombe,17/04/2025 12:54,1bd25fac-2eb0-4318-b7c5-c46f7464ff06
a5200141-a3f3-4780-9622-2251b83ccaa3,Rice,6.0,1,,,,,,1,---,---,---,AkkG0LB54,Gombe,17/04/2025 12:54,bbe8850d-af14-4f2b-a908-7ad7e795be7e
b49b01bb-248c-4dc2-8b99-a718f53bf7cd,Rice,6.0,1,,,,,,1,---,---,---,Gom1VAP59,Gombe,17/04/2025 12:54,1bd25fac-2eb0-4318-b7c5-c46f7464ff06
ccd356be-4287-4de6-9729-361c7d58d929,Rice,6.0,1,,,,,,1,---,---,---,Gom1VAP59,Gombe,17/04/2025 12:54,1bd25fac-2eb0-4318-b7c5-c46f7464ff06
e4e76087-2a72-4ca1-8e68-f84ea96850b0,Rice,6.0,1,,,,,,1,---,---,---,Gom1VAP59,Gombe,17/04/2025 12:55,1bd25fac-2eb0-4318-b7c5-c46f7464ff06
4faba7c5-f685-4814-a9e6-bf7d7cd3004a,Rice,6.0,1,,,,,,1,---,---,---,Gom1VAP59,Gombe,17/04/2025 12:55,1bd25fac-2eb0-4318-b7c5-c46f7464ff06
61925c03-1670-4ae6-ba1b-37fe62c9ceb8,Rice,6.0,1,,,,,,1,---,---,---,Gom1VAP59,Gombe,17/04/2025 12:55,1bd25fac-2eb0-4318-b7c5-c46f7464ff06
866a9947-a9ed-4e3f-8df4-15e970dfda0e,Rice,10.0,,1,,,,,---,10,---,---,NinMLEO01,Bauchi,17/04/2025 12:55,66b713df-b032-4537-a696-fb2e6c4a124e
06675992-d828-41f8-9816-559d98959d97,Rice,6.0,1,,,,,,1,---,---,---,Gom1VAP59,Gombe,17/04/2025 12:55,1bd25fac-2eb0-4318-b7c5-c46f7464ff06
ca342065-4851-491e-8138-fe003047060c,Rice,6.0,1,,,,,,1,---,---,---,AkkHC4044,Gombe,17/04/2025 12:56,6da5b216-70df-443a-9a2e-aa83a23a894e
