formid,C1  What is the **Gender** of your cooperative members? (Menene **Jinsi** na membobin haɗin gwiwar ku?),C2  What is the **Age** of your cooperative members? (Yaya adadi shekarun membobin kungiyan haɗin gwiwar ku?),D1  Which **State** is your cooperative's main location of Operation? (Wace **Jiha** ce babban wurin aikin haɗin gwiwar ku?),E2  Which **Major** business area does your cooperative operate? (Wane **babban yanki na kasuwanci** kungiyar ku ke gudanar da hadin gwiwar ku?),F1  What is the nature of your cooperative's members enterprises? (Yaya yanayin kasuwancin membobinku yake?),F2  Of the following crops which is the major crop grown by your members? (Wanne ne daga cikin wadannan amfanin gona ne membobi suka fi nomawa?),G1  Does your cooperative have elected excos? (Shin ƙungiyar haɗin gwiwar ku ta zaɓi shugabanni?),G21  Does your cooperative **own** an **active bank account**? (Shin haɗin gwiwar ku na da **asusun banki mai aiki**?),form/Location/Implementing_partner,form/generatedCooperativeuniqueid,completed_time,E1  Do you have any Joint business venture operated by the cooperative? (Ko kungiyar ku tana aikin hadin gwiwa?),username,received_on
4d9a8cee-d308-46ec-93a3-cc3fbc47e92f,Male,Both,Kano,Production,Processor,---,Yes,Yes,WOFAN,TofKS659,04/02/2023 09:27,Yes,tof43,03/02/2023 09:33
196a63f1-5cc3-43ab-9612-961ffeabff2f,Both,Both,Kano,Agro-Input_Dealer,Processor,---,Yes,No,WOFAN,TofAGE49,04/02/2023 09:29,Yes,tof33,02/02/2023 09:44
21d28dc7-8e24-46e4-80bf-4786ce594a4e,Male,Adult,Kaduna,Production,Producer,Maize,Yes,No,PVNL,ChiI9340,04/02/2023 09:33,Yes,chk01,01/02/2023 09:45
25294b85-ba50-4604-b962-dd4f81533e17,Both,Adult,Nasarawa,---,Producer/Processor,Rice,Yes,Yes,PVNL,Awe18Y57,04/02/2023 08:12,No,awe01,30/01/2023 09:47
fa5e0f98-fb42-44d6-b85c-16286e7eed41,Both,Youth,Nasarawa,Processing,Producer/Processor,Rice,Yes,Yes,PVNL,AweNZJ51,04/02/2023 09:02,Yes,awe01,29/01/2023 09:47
d586de8a-cbc1-4188-8309-317cd19b4b9f,Female,Both,Kano,Aggregator/Off-taker,Producer,Rice,Yes,Yes,WOFAN,Gar5VU58,04/02/2023 08:36,Yes,gmm01,28/01/2023 09:47
092ef5e0-05ec-4cc6-a63a-9baf0ffb88b3,Male,Both,Kaduna,Production,Producer,Maize,Yes,No,PVNL,JabYTD05,04/02/2023 08:26,Yes,jab08,27/01/2023 09:47
6c0da7be-f3da-42d5-93dd-0f6454e298c2,Female,Adult,Nasarawa,Production,Producer,Rice,Yes,No,PVNL,AweMZ717,04/02/2023 09:42,Yes,awe04,26/01/2023 09:47
791b3ef9-7aa3-4e74-aa71-30471249a5d5,Both,Both,Kano,---,Producer/Processor,Maize,Yes,No,WOFAN,BebTLA15,04/02/2023 09:44,No,beb18,25/01/2023 09:47
15cc6cf0-0fb3-4754-83d0-d7a775efbd13,Female,Both,Kano,---,Producer,Maize,No,No,WOFAN,BebOX550,04/02/2023 09:46,No,beb21,24/01/2023 09:47
8cae667a-4e09-4015-bd84-79844cd49658,Female,Adult,Kano,Processing,Processor,---,Yes,Yes,WOFAN,BebEES36,04/02/2023 09:47,Yes,beb02,23/01/2023 09:47
cbdd95ad-e037-4185-8998-b4e42d586875,Male,Both,Jigawa,Production,Processor,---,Yes,Yes,WOFAN,JahMIX19,04/02/2023 09:46,Yes,jah01,22/01/2023 09:47
43fcafe7-46a5-4e79-834a-9e743d9d8897,Female,Both,Kaduna,---,Producer,Maize,Yes,Yes,PVNL,Chi4EN31,04/02/2023 09:50,No,chk05,21/01/2023 09:47
9e9b7db2-13b4-489c-ab28-dfd8c8b01510,Female,Adult,Kaduna,Production,Producer/Processor,Rice,Yes,No,PVNL,KadYHH46,04/02/2023 09:53,Yes,kds09,31/01/2023 09:47
24d7b4cf-e0ab-4b81-ac91-f99cfe1483f5,Male,Youth,Kano,---,Producer/Processor,Maize,Yes,No,WOFAN,BebDX424,04/02/2023 10:04,No,tof31,31/01/2023 09:47
73bafe31-2098-421d-ae9c-713e9d28c5a4,Female,Adult,Nasarawa,Production,Producer,Rice,Yes,Yes,PVNL,AwePCG15,04/02/2023 10:03,Yes,awe04,31/01/2023 09:47
5e5b8d97-aeeb-4380-8a2b-2cf8619d0fae,Both,Both,Kano,---,Producer,Maize,Yes,Yes,WOFAN,TofWGR06,04/02/2023 10:05,No,tof28,31/01/2023 09:47
829d70c2-f911-42e4-9de4-da6042928937,Both,Both,Kaduna,Production,Producer/Processor,Rice,Yes,Yes,WOFAN,SabGWA19,04/02/2023 10:06,Yes,sab13,31/01/2023 09:47
4d01ec77-cae3-43ff-b0fc-12fbc7ab8bc1,Female,Adult,Kaduna,Processing,Producer/Processor,Maize,Yes,Yes,WOFAN,Sab5G316,04/02/2023 10:07,Yes,sab11,05/02/2023 08:17
40475bef-a71e-4c3f-a41c-3d0b523d2f3a,Male,Both,Kaduna,Production,Processor,---,Yes,Yes,WOFAN,SabKYC36,04/02/2023 10:07,Yes,sab10,05/02/2023 08:17
aa719907-2100-4435-a413-8927f2eb90b3,Female,Adult,Kano,Processing,Processor,---,Yes,Yes,WOFAN,Beb67Q41,04/02/2023 10:08,Yes,beb02,06/02/2023 09:00
5acf35ab-dd77-4b0d-9d7e-36f677a9c611,Both,Adult,Bauchi,Production,Producer,Rice,Yes,No,WOFAN,GanQR554,04/02/2023 10:07,Yes,gan05,07/02/2023 09:12
13efee33-1fe5-4ec1-bdd7-7127e67b34a3,Female,Adult,FCT,---,Producer/Processor,Rice,Yes,No,WOFAN,GwaLMW24,04/02/2023 10:07,No,gwa13,08/02/2023 09:13
e586001e-70cf-4671-997e-be3051e7f589,Male,Adult,Kano,Production,Producer,Rice,Yes,Yes,WOFAN,TofPOS29,04/02/2023 10:09,Yes,tof10,09/02/2023 09:30
18f541eb-9487-4d46-9880-b18fadd2e254,Female,Youth,Kano,Processing,Processor,---,Yes,Yes,WOFAN,Gar2W905,04/02/2023 10:10,Yes,gmm29,01/02/2023 08:17
3dfd4219-8c38-4704-b53e-e2411e2d422e,Female,Both,Kano,Processing,Processor,---,Yes,No,WOFAN,GarNPO04,04/02/2023 10:13,Yes,gmm07,02/02/2023 08:17
55f3176a-fd63-4a60-a2f7-1aa9b7fecddf,Male,Adult,Kano,Production,Producer,Rice,Yes,Yes,WOFAN,TofFH747,04/02/2023 09:42,Yes,tof19,03/02/2023 08:17
744903b4-ba63-4560-a13f-47abc7d3d1dd,Male,Adult,Kano,Production,Processor,---,Yes,Yes,WOFAN,Tof5YL40,04/02/2023 10:14,Yes,tof24,04/02/2023 08:17
42376f96-3ce4-4cbb-aab5-65d46256cbed,Both,Both,Kano,Production,Processor,---,Yes,Yes,WOFAN,TofWCP58,04/02/2023 10:16,Yes,tof12,05/02/2023 08:17
8ba01fa7-d99a-4277-928c-07f85946d9bd,Both,Both,Kano,Production,Producer,Maize,Yes,Yes,WOFAN,Tof1CY46,04/02/2023 10:17,Yes,tof32,06/02/2023 09:00
1754c3e6-cab9-4457-8898-3ba6dfaf39d0,Male,Adult,Kano,Production,Producer,Rice,Yes,Yes,WOFAN,TofTK430,04/02/2023 10:18,Yes,tof19,07/02/2023 09:12
9568e583-2dd9-4748-9e9f-ef26f6cef080,Female,Adult,Kaduna,---,Producer/Processor,Rice,Yes,No,WOFAN,SabA1335,04/02/2023 10:19,No,zar03,08/02/2023 09:13
4dc56523-6716-4ceb-b49d-80ed6566cd84,Male,Both,Kano,Production,Producer,Groundnut,Yes,Yes,WOFAN,TofKB606,04/02/2023 10:19,Yes,tof43,09/02/2023 09:30
a9580de9-1e20-4667-9b84-149417bb87cf,Male,Youth,Benue,Production,Producer/Processor,Groundnut,Yes,Yes,PVNL,MarKIU32,04/02/2023 10:19,Yes,mak02,19/02/2023 09:30
0d7a0dcf-c744-4689-8647-99af002a4ea3,Female,Both,Kaduna,Production,Producer,Rice,Yes,Yes,WOFAN,IkaPLR42,04/02/2023 09:40,Yes,ika09,10/02/2023 09:34
6c279d8e-6171-4151-b2c5-2e589161c9e7,Female,Youth,Nasarawa,Production,Producer/Processor,Rice,Yes,No,PVNL,AweK0W56,04/02/2023 10:21,Yes,awe02,11/02/2023 09:34
fffb2d14-b1ef-4484-a2f2-d307db0ec3cf,Male,Youth,Kano,---,Producer,Maize,No,No,WOFAN,TofH5K40,04/02/2023 10:22,No,tof31,13/02/2023 09:33
bb64a77e-6c12-4fda-b7ee-7b3f4668dab4,Female,Both,Nasarawa,Production,Processor,---,Yes,No,PVNL,Kea3F413,04/02/2023 10:01,Yes,kea05,14/02/2023 09:34
4b170b0f-a463-4018-a8cb-b7ee2f13f575,Female,Adult,Kano,Processing,Processor,---,Yes,Yes,WOFAN,TofQRF45,04/02/2023 10:22,Yes,tof41,15/02/2023 09:35
5bde1581-9969-4aed-a689-70a88606edf4,Female,Adult,Kano,Processing,Processor,---,Yes,Yes,WOFAN,BebOU334,04/02/2023 10:24,Yes,beb02,16/02/2023 09:37
898cb921-0ce0-411b-aae5-35ad480f513a,Male,Both,Kaduna,Production,Producer/Processor,Maize,Yes,No,PVNL,ChiCAZ31,04/02/2023 07:41,Yes,chk08,17/02/2023 09:26
a4df2382-0491-434b-af92-5c413301ec84,Female,Adult,Bauchi,Production,Producer,Rice,Yes,No,WOFAN,GanPMF07,04/02/2023 10:26,Yes,gan07,18/02/2023 08:56
b8d95141-8dc1-4fbf-b082-9434683aa884,Female,Both,Kano,Production,Producer,Rice,Yes,Yes,WOFAN,Gar81S12,04/02/2023 10:27,Yes,gmm19,04/02/2023 09:41
6c0fee0b-7a01-4d6e-9e30-a96a72e62720,Male,Both,Kano,Processing,Producer/Processor,Maize,Yes,Yes,WOFAN,TofPUB03,04/02/2023 10:30,Yes,tof28,03/02/2023 09:33
f4658bc3-712e-4c8e-912c-ad430d7d2b9b,Female,Both,Kano,Processing,Processor,---,Yes,Yes,WOFAN,TofUFP26,04/02/2023 10:34,Yes,tof12,02/02/2023 09:44
25ce5d0c-31b3-48ec-8fae-8e990cd3b966,Female,Both,Kano,Production,Producer/Processor,Rice,Yes,Yes,WOFAN,GarJFA47,04/02/2023 10:33,Yes,gmm06,01/02/2023 09:45
9bfadb90-9431-44d9-9295-d76b4fb3fa04,Female,Youth,Kano,Processing,Processor,---,Yes,Yes,WOFAN,GarVAW55,04/02/2023 10:35,Yes,gmm02,30/01/2023 09:47
63e02286-1fac-41c8-afff-2480ff5a04ef,Female,Adult,Kano,Production,Producer,Groundnut,Yes,No,WOFAN,BebNDN32,04/02/2023 10:38,Yes,beb04,29/01/2023 09:47
21047f25-5341-4fb0-89ea-e98b423c7143,Female,Both,Jigawa,Processing,Processor,---,Yes,Yes,WOFAN,JahLQ629,04/02/2023 10:39,Yes,buj01,28/01/2023 09:47
4b19b297-48bf-4b89-be0d-1dad95056b9d,Male,Both,Kano,Production,Producer,Maize,Yes,No,WOFAN,TofZKO04,04/02/2023 10:40,Yes,tof47,27/01/2023 09:47
b80d2588-ad75-48c8-a79d-2612cca2830d,Female,Both,Gombe,Production,Producer,Rice,Yes,No,WOFAN,YamM2L59,04/02/2023 10:40,Yes,deb01,26/01/2023 09:47
92b4627d-e6d8-40e5-94fe-b698ee09b377,Male,Both,Kano,---,Producer,None,Yes,Yes,WOFAN,TofVBU41,04/02/2023 10:42,No,tof28,25/01/2023 09:47
9f72e32d-e4c0-4a98-bc56-e91e2dbc842b,Both,Both,Kaduna,Production,Processor,---,Yes,No,WOFAN,SabVMR55,04/02/2023 10:29,Yes,zar08,24/01/2023 09:47
1add66cf-c755-4870-81d4-738132ff6580,Male,Youth,Kano,---,Producer,Maize,Yes,No,WOFAN,Tof3SH58,04/02/2023 10:43,No,tof31,23/01/2023 09:47
31a98e2c-10e7-48e9-9b33-eb7c99036ca2,Both,Both,Kaduna,Production,Processor,---,Yes,No,WOFAN,Sab63416,04/02/2023 10:44,Yes,zar06,22/01/2023 09:47
b7c56400-bf01-4815-b4e4-456f3a6b4f92,Both,Both,Kano,---,Producer,Rice,Yes,Yes,WOFAN,TofT2140,04/02/2023 10:44,No,tof17,21/01/2023 09:47
6f13030c-55d3-47fe-b712-7ab241b4d829,Both,Both,Kano,Production,Producer/Processor,Rice,Yes,Yes,WOFAN,TofWT649,04/02/2023 09:46,Yes,tof13,31/01/2023 09:47
bb260b75-b638-4621-8eec-816a1689adc4,Male,Both,Kaduna,Production,Processor,---,Yes,No,WOFAN,SabR8Z44,04/02/2023 10:34,Yes,sab08,31/01/2023 09:47
90db13e1-ba59-475e-acf0-4f9bb1b48cb1,Female,Both,Kano,Agro-Input_Dealer,Producer,Rice,Yes,Yes,WOFAN,Gar41742,04/02/2023 10:45,Yes,gmm10,31/01/2023 09:47
4478c9ce-8f87-41b5-9f4d-1d84f59c7311,Both,Both,Kano,Production,Producer,Sorghum,Yes,Yes,WOFAN,Tof0VC39,04/02/2023 10:47,Yes,tof25,31/01/2023 09:47
6a713c9b-26cf-4635-81af-c45d6fb0a40b,Female,Both,Kaduna,---,Producer/Processor,Maize,Yes,Yes,PVNL,KadVDC46,04/02/2023 10:49,No,kds05,31/01/2023 09:47
3305e2d0-1683-4fdd-a1f9-28ed79624635,Both,Both,Kano,Production,Producer,Sorghum,Yes,Yes,WOFAN,Tof25N34,04/02/2023 10:50,Yes,tof12,05/02/2023 08:17
d3753253-6ee5-42f2-8b25-0b296d5bcf5f,Both,Both,Gombe,Production,Producer,Rice,Yes,Yes,WOFAN,Kwa0AH12,04/02/2023 10:52,Yes,kwa02,05/02/2023 08:17
231b39b4-217b-49ae-b8f5-52564a547a77,Both,Both,Kano,Production,Producer/Processor,Rice,Yes,Yes,WOFAN,GarI0M29,04/02/2023 10:34,Yes,gmm23,06/02/2023 09:00
75354845-367f-4d35-84e0-e58ddaab3f96,Male,Both,Kano,---,Producer,Maize,Yes,Yes,WOFAN,TofXP518,04/02/2023 10:57,No,tof28,07/02/2023 09:12
61885833-c1f4-426b-a318-424f19a88ab9,Both,Both,Kano,Processing,Producer/Processor,Groundnut,Yes,Yes,WOFAN,TofXBL59,04/02/2023 10:57,Yes,tof37,08/02/2023 09:13
09241168-57cd-477f-8639-477479073c7f,Female,Adult,Kano,Agro-Input_Dealer,Producer,Maize,Yes,No,WOFAN,GarR9610,04/02/2023 10:58,Yes,gmm13,09/02/2023 09:30
960eb455-f16a-40ed-ba20-84c1fb48aff8,Female,Both,Jigawa,Production,Processor,---,Yes,No,WOFAN,JahTZI05,04/02/2023 10:58,Yes,rin02,01/02/2023 08:17
45da8b83-53f7-46fd-b691-821d45c28153,Male,Both,Kano,Agro-Input_Dealer,Producer/Processor,Rice,Yes,Yes,WOFAN,TofCPT27,04/02/2023 11:00,Yes,tof16,02/02/2023 08:17
839f798c-da4e-4a9d-9731-8697ce2ddc8a,Male,Both,Gombe,Agro-Exporter,Processor,---,Yes,Yes,WOFAN,BalRLC33,04/02/2023 11:00,Yes,bal06,03/02/2023 08:17
65f52287-8ac9-44d4-855d-3cfe8ca6325f,Both,Youth,Kano,Production,Producer,Sorghum,Yes,No,WOFAN,Tof7MN00,04/02/2023 10:41,Yes,tof39,04/02/2023 08:17
8d79970a-d3b9-454e-a2c8-4b778f558d1c,Male,Youth,Kano,---,Producer,Maize,No,No,WOFAN,Tof60B20,04/02/2023 11:05,No,tof31,05/02/2023 08:17
c89791dd-cd09-45ca-bf4a-3774be93a5a9,Female,Adult,Kano,Production,Producer,Rice,Yes,Yes,WOFAN,Gar63C42,04/02/2023 10:45,Yes,gmm15,06/02/2023 09:00
7a8ecd44-99d1-472d-bfae-6c75cee030e3,Female,Both,Kano,Production,Processor,---,Yes,Yes,WOFAN,GarSX242,04/02/2023 10:32,Yes,gmm04,07/02/2023 09:12
699fd907-37ce-4edf-bb4b-72657c3c8c2f,Both,Both,Kano,Production,Producer,Maize,Yes,Yes,WOFAN,TofOWX11,04/02/2023 11:07,Yes,tof34,08/02/2023 09:13
f15d424c-f09c-4f84-9878-d2bae95137a8,Both,Both,Kano,---,Producer,Rice,Yes,Yes,WOFAN,Tof6U947,04/02/2023 11:07,No,tof28,09/02/2023 09:30
0edbfb13-4455-4ed5-b6ba-7143cb83fa90,Both,Both,Kano,Agro-Input_Dealer,Producer,Rice,Yes,No,WOFAN,Tof7AV58,04/02/2023 09:52,Yes,tof40,19/02/2023 09:30
9f81f08b-7ff7-454e-a747-fbf4e9e4278c,Male,Adult,Kano,Production,Producer,Maize,Yes,Yes,WOFAN,TofA3K25,04/02/2023 10:22,Yes,tof40,10/02/2023 09:34
aa9e3bb5-d950-4318-9f82-8b63a8e82f95,Both,Both,Kano,Production,Producer/Processor,Rice,Yes,Yes,WOFAN,TofD8K56,04/02/2023 11:09,Yes,tof29,11/02/2023 09:34
4ddef9ca-539a-4e29-a7ee-d7b429475af1,Female,Both,Gombe,Production,Producer/Processor,Sorghum,Yes,No,WOFAN,BalXLG21,04/02/2023 11:14,Yes,bal03,13/02/2023 09:33
f3434a99-9f6e-4eb5-b56a-a09b5f14c82f,Female,Both,Kano,Agro-Trader,Processor,---,Yes,Yes,WOFAN,GarU3C28,04/02/2023 11:14,Yes,gmm34,14/02/2023 09:34
33ca0a1a-30dd-4e65-b322-c3037fe019ad,Female,Adult,Kano,Production,Producer,Rice,Yes,No,WOFAN,Gar0HD29,04/02/2023 10:53,Yes,gmm09,15/02/2023 09:35
bf80938c-05cd-40aa-b0ed-6ec5804e9479,Both,Both,Kano,Production,Producer/Processor,Rice,Yes,No,WOFAN,BebOEQ11,04/02/2023 11:16,Yes,beb25,16/02/2023 09:37
0e77012d-1074-4d59-bd02-5bdc8e2c5381,Male,Both,Gombe,Production,Producer,Maize,Yes,No,WOFAN,KalCK355,04/02/2023 11:18,Yes,kal08,17/02/2023 09:26
14b8d8d0-42ae-4c3f-b1d4-731bdbda7b72,Both,Both,Kano,Production,Producer/Processor,Maize,Yes,Yes,WOFAN,TofLP115,04/02/2023 11:18,Yes,tof13,18/02/2023 08:56
8d23d774-ec05-4f62-961f-c20faf273de2,Female,Both,Bauchi,Processing,Producer,Rice,Yes,No,WOFAN,NinHEF55,04/02/2023 10:48,Yes,nin02,04/02/2023 09:41
7212aa60-2f1c-40f1-a94e-c907682d430e,Female,Both,Kano,Agro-Input_Dealer,Producer,Rice,Yes,Yes,WOFAN,Beb29J05,04/02/2023 11:21,Yes,beb15,03/02/2023 09:33
00a476a3-023b-45a7-bfdb-5e5104249ef3,Female,Adult,Kano,Agro-Input_Dealer,Producer,Maize,Yes,No,WOFAN,GarKV447,04/02/2023 11:21,Yes,gmm13,02/02/2023 09:44
aaa80139-cd50-4a71-9410-f7af2ec1c72d,Both,Both,Kano,Production,Processor,---,Yes,Yes,WOFAN,TofRDH36,04/02/2023 11:21,Yes,tof12,01/02/2023 09:45
0be7c3cc-dd84-4645-bac9-907cd446b8da,Female,Both,Bauchi,Production,Producer,Groundnut,Yes,No,WOFAN,BauZWZ38,04/02/2023 11:22,Yes,bau06,30/01/2023 09:47
449ff7dd-2d58-435c-84d2-3e3be98dc4c6,Male,Both,Kano,Production,Producer,Maize,Yes,Yes,WOFAN,TofJJ516,04/02/2023 11:22,Yes,tof28,29/01/2023 09:47
f7465f8b-7bb1-41a5-baff-7fe7a4ee9276,Male,Both,Kaduna,---,Producer,Rice,No,No,PVNL,JabM0939,04/02/2023 11:22,No,jab12,28/01/2023 09:47
4798327a-c195-49de-837d-6a4b3ad91c37,Both,Youth,Benue,Production,Processor,---,Yes,No,PVNL,GweVGY26,04/02/2023 11:23,Yes,gwe02,27/01/2023 09:47
a43e4730-f714-4c36-9d3c-a9881b7ee296,Male,Both,Kano,Agro-Input_Dealer,Producer,Maize,Yes,Yes,WOFAN,Tof2PS04,04/02/2023 11:03,Yes,tof33,26/01/2023 09:47
151edddd-21fe-421a-a081-9c69b291e168,Male,Youth,Kano,---,Producer,Maize,No,No,WOFAN,TofR9O00,04/02/2023 11:28,No,tof31,25/01/2023 09:47
2948d72c-8941-4c80-b437-6b87fd633e6c,Both,Both,Jigawa,Production,Processor,---,Yes,Yes,WOFAN,JahLLG27,04/02/2023 11:28,Yes,jah33,24/01/2023 09:47
4c30ef37-0d74-4fa0-acc8-4f1c36518e32,Both,Both,Kano,Processing,Producer/Processor,Sorghum,Yes,Yes,WOFAN,BebE2N04,04/02/2023 11:28,Yes,beb05,23/01/2023 09:47
a79498e6-7d77-46da-883a-70222c797ada,Male,Both,Kano,Production,Producer,Rice,Yes,Yes,WOFAN,GarKM828,04/02/2023 11:29,Yes,gmm17,22/01/2023 09:47
70cbd957-30cd-4c0c-a6f5-e56bd62baf5e,Female,Youth,Kano,Production,Processor,---,Yes,Yes,WOFAN,GarJCS58,04/02/2023 11:31,Yes,gmm29,21/01/2023 09:47
1187a860-aa9d-45a2-b1b2-312c1f43db46,Female,Both,Kano,Processing,Producer/Processor,Rice,Yes,Yes,WOFAN,TofCQZ20,04/02/2023 10:54,Yes,tof01,31/01/2023 09:47
eb8beef4-33d9-4fb4-8ab4-64bc43fc7e38,Both,Adult,Kano,Production,Producer,Rice,Yes,No,WOFAN,Tof92C24,04/02/2023 11:35,Yes,tof19,31/01/2023 09:47
f38a6397-e04d-472e-902b-aeb0e291ea85,Male,Both,Jigawa,Processing,Processor,---,Yes,Yes,WOFAN,JahUXJ24,04/02/2023 11:27,Yes,jah22,31/01/2023 09:47
aa9fcc3d-00b6-4742-9c37-c8d075dd0584,Male,Youth,Kano,Production,Producer,Rice,Yes,Yes,WOFAN,GarTQU55,04/02/2023 11:36,Yes,gmm21,31/01/2023 09:47
31385659-5cb3-4b2b-9f9f-bfc644128ae5,Female,Both,Kano,Production,Processor,---,Yes,Yes,WOFAN,Tof85M21,04/02/2023 11:39,Yes,tof12,31/01/2023 09:47
14ae223c-40c4-4d21-accc-8fc334a0fab6,Female,Both,Bauchi,Production,Producer/Processor,Rice,Yes,No,WOFAN,NinDJM10,04/02/2023 11:39,Yes,nin03,05/02/2023 08:17
3f927551-8cef-4d1c-baa1-3d98761ae5ac,Male,Both,Kano,Production,Producer,Maize,Yes,Yes,WOFAN,TofQAK15,04/02/2023 11:42,Yes,tof28,05/02/2023 08:17
0cadaab7-da56-4031-b805-7d35598210c0,Male,Both,Jigawa,Production,Producer,Rice,Yes,Yes,WOFAN,JahMTZ13,04/02/2023 11:42,Yes,jah13,06/02/2023 09:00
7c52934f-6d87-427a-b54d-162ca120635b,Female,Adult,Kano,Processing,Processor,---,Yes,Yes,WOFAN,BebW4Y51,04/02/2023 11:43,Yes,beb02,07/02/2023 09:12
aa0f67d0-445c-46db-87d7-c2f3a177d651,Female,Both,Kaduna,Production,Processor,---,Yes,No,WOFAN,Sab3YX45,04/02/2023 10:39,Yes,sab06,08/02/2023 09:13
