form/generatedCommPartnerUniqueid,validation,State-IP
P-KabBZ0QYR38,Keep,Kano-WOFAN
P-KabJZGUVS36,Keep,Kano-WOFAN
P-KabV5WQF525,Keep,Kano-WOFAN
P-KabOAWV0F16,Keep,Kano-WOFAN
P-KabK61JPC50,Keep,Kano-WOFAN
P-KabSFMZA648,Keep,Kano-WOFAN
P-Kab76BMW948,Keep,Kano-WOFAN
P-Kab9723S624,Keep,Kano-WOFAN
P-KabWTWDVB12,Keep,Kano-WOFAN
P-KabR9N5W707,Keep,Kano-WOFAN
P-Kab3NMKQK52,Keep,Kano-WOFAN
P-Kab3E8F4936,Keep,Kano-WOFAN
P-Kab8S2WXL17,Keep,Kano-WOFAN
P-Kab08L8RN10,Keep,Kano-WOFAN
P-KabQKPKA611,Keep,Kano-WOFAN
P-KabT6OZGG05,Keep,Kano-WOFAN
P-KabIP4AYQ23,Keep,Kano-WOFAN
P-KabKB16IE22,Keep,Kano-WOFAN
P-KabTLM7XB57,Keep,Kano-WOFAN
P-Kab9Q7HEF14,Keep,Kano-WOFAN
P-Kab90E4QO01,Keep,Kano-WOFAN
P-KabE3MO1Q44,Keep,Kano-WOFAN
P-KabSC6UFA00,Keep,Kano-WOFAN
P-KabTQCAN620,Keep,Kano-WOFAN
P-Kab1237HX50,Keep,Kano-WOFAN
P-KabEZQ4XG46,Keep,Kano-WOFAN
P-Kab2IGITC25,Keep,Kano-WOFAN
P-KabO8DRYG07,Keep,Kano-WOFAN
P-KabCOVG4K57,Keep,Kano-WOFAN
P-KabTSN1B306,Keep,Kano-WOFAN
P-Kab93K1CF32,Keep,Kano-WOFAN
P-KabZ4G6QH59,Keep,Kano-WOFAN
P-KabUKNA6O22,Keep,Kano-WOFAN
P-KabV6DCB820,Keep,Kano-WOFAN
P-KabNR4IHW32,Keep,Kano-WOFAN
P-KabYUOV3141,Keep,Kano-WOFAN
P-KabRUYTX607,Keep,Kano-WOFAN
P-Kab2VZGXW29,Keep,Kano-WOFAN
P-KabPG8RRW14,Keep,Kano-WOFAN
P-Kab5XBE5000,Keep,Kano-WOFAN
P-KabOIOABF17,Keep,Kano-WOFAN
P-Kab84K7IG44,Keep,Kano-WOFAN
P-KabZIDF2319,Keep,Kano-WOFAN
P-KabBZ8YQJ32,Keep,Kano-WOFAN
P-Kab0XX7BY12,Keep,Kano-WOFAN
P-KabX1ALFK56,Keep,Kano-WOFAN
P-KabIFC39W30,Keep,Kano-WOFAN
P-KabFUT9O231,Keep,Kano-WOFAN
P-KabQWA4K838,Keep,Kano-WOFAN
P-KabS43EV826,Keep,Kano-WOFAN
P-KabXWOQCD49,Keep,Kano-WOFAN
P-Kab3XP94800,Keep,Kano-WOFAN
P-KabFPOKEP52,Keep,Kano-WOFAN
P-KabFX00QK54,Keep,Kano-WOFAN
P-KabDDTI1F32,Keep,Kano-WOFAN
P-KabZF6EF842,Keep,Kano-WOFAN
P-Kab7ZPBIL53,Keep,Kano-WOFAN
P-KabN3RBYH00,Keep,Kano-WOFAN
P-KabAO2GOO15,Keep,Kano-WOFAN
P-Kab87RM2111,Keep,Kano-WOFAN
P-KabORNKST58,Keep,Kano-WOFAN
P-KabLNFJKT47,Keep,Kano-WOFAN
P-KabJW4UYV43,Keep,Kano-WOFAN
P-KabUUFDHE52,Keep,Kano-WOFAN
P-Kab82OYBL17,Keep,Kano-WOFAN
P-KabTWH4BW47,Keep,Kano-WOFAN
P-KabECZEUY03,Keep,Kano-WOFAN
P-KabRL1LCH27,Keep,Kano-WOFAN
P-KabMS4OCU59,Keep,Kano-WOFAN
P-Kab118VZE21,Keep,Kano-WOFAN
P-KabUU2LF449,Keep,Kano-WOFAN
P-KabYLOTLS32,Keep,Kano-WOFAN
P-Kab3KFTQL05,Keep,Kano-WOFAN
P-KabVJTCH738,Keep,Kano-WOFAN
P-Kab7Z84L647,Keep,Kano-WOFAN
P-KabSTVCHZ21,Keep,Kano-WOFAN
P-Kab76ASSL01,Keep,Kano-WOFAN
P-KabQROJXD49,Keep,Kano-WOFAN
P-KabWHYSDW40,Keep,Kano-WOFAN
P-Kab1SG41A28,Keep,Kano-WOFAN
P-Kab9V4SHT44,Keep,Kano-WOFAN
P-KabKRN9NM50,Keep,Kano-WOFAN
P-Kab4WJRRH17,Keep,Kano-WOFAN
P-KabM7CHGF51,Keep,Kano-WOFAN
P-KabAN6B9237,Keep,Kano-WOFAN
P-KabUUYE3H05,Keep,Kano-WOFAN
P-KabCW3V2713,Keep,Kano-WOFAN
P-KabLC4OME19,Keep,Kano-WOFAN
P-KabCRPPWM37,Keep,Kano-WOFAN
P-KabCHE0H911,Keep,Kano-WOFAN
P-KabRS2YI931,Keep,Kano-WOFAN
P-Kab7X5KDJ39,Keep,Kano-WOFAN
P-Kab4K3AP509,Keep,Kano-WOFAN
P-KabVGBCX255,Keep,Kano-WOFAN
P-KabF0J5HI08,Keep,Kano-WOFAN
P-KabEPA7VD09,Keep,Kano-WOFAN
P-KabXTCV9C05,Keep,Kano-WOFAN
P-KabEWNQYX05,Keep,Kano-WOFAN
P-KabDYC7JY00,Keep,Kano-WOFAN
P-Kab9XSZ8Q23,Keep,Kano-WOFAN
P-Kab4TLL9R19,Keep,Kano-WOFAN
P-KabM288TR04,Keep,Kano-WOFAN
P-KabG51CLS07,Keep,Kano-WOFAN
P-KabCEVQHW01,Keep,Kano-WOFAN
P-KabRYNELE06,Keep,Kano-WOFAN
P-KabFNAQ9D44,Keep,Kano-WOFAN
P-Kab2G5XU628,Keep,Kano-WOFAN
P-KabUS4U0Z49,Keep,Kano-WOFAN
P-Kab0CI15Y20,Keep,Kano-WOFAN
P-Kab0HTBSK29,Keep,Kano-WOFAN
P-Kab0BV8O925,Keep,Kano-WOFAN
P-KabUIBMNT55,Keep,Kano-WOFAN
P-KabRVI8QX53,Keep,Kano-WOFAN
P-KabL04VC917,Keep,Kano-WOFAN
P-KabYL4SFU40,Keep,Kano-WOFAN
P-Kab72TU5139,Keep,Kano-WOFAN
P-Kab65Z1LW07,Keep,Kano-WOFAN
P-KabSN88EF30,Keep,Kano-WOFAN
P-Kab578Q8901,Keep,Kano-WOFAN
P-KabVV6SZ458,Keep,Kano-WOFAN
P-Kab2OUVAW10,Keep,Kano-WOFAN
P-Kab5B0WER39,Keep,Kano-WOFAN
P-KabQ7SVCO59,Keep,Kano-WOFAN
P-KabQCYWVR19,Keep,Kano-WOFAN
P-KabYXFML409,Keep,Kano-WOFAN
P-Kab2JC5TZ09,Keep,Kano-WOFAN
P-Kab3H1F3G54,Keep,Kano-WOFAN
P-KabC09WUM28,Keep,Kano-WOFAN
P-KabRH9BYB26,Keep,Kano-WOFAN
P-KabAD2GVG33,Keep,Kano-WOFAN
P-Kab702G7T42,Keep,Kano-WOFAN
P-Kab3T5O0B00,Keep,Kano-WOFAN
P-Kab9WN9K308,Keep,Kano-WOFAN
P-KabQGMGMY21,Keep,Kano-WOFAN
P-Kab5B3CCD56,Keep,Kano-WOFAN
P-Kab4PV4EM31,Keep,Kano-WOFAN
P-KabAEPC0Y40,Keep,Kano-WOFAN
P-Kab0U95RW09,Keep,Kano-WOFAN
P-KabF0CLDA21,Keep,Kano-WOFAN
P-Kab0CVA5Q27,Keep,Kano-WOFAN
P-KabZYO9AJ41,Keep,Kano-WOFAN
P-KabTBCYRB51,Keep,Kano-WOFAN
P-KabH7D4MB13,Keep,Kano-WOFAN
P-KabC2O4CJ24,Keep,Kano-WOFAN
P-KabL5HXI513,Keep,Kano-WOFAN
P-KabKT6N4H12,Keep,Kano-WOFAN
P-KabTAOI6D13,Keep,Kano-WOFAN
P-KabX5LCIQ59,Keep,Kano-WOFAN
P-KabGT7OT437,Keep,Kano-WOFAN
P-KabE3GQ2W28,Keep,Kano-WOFAN
P-KabOG4JRI55,Keep,Kano-WOFAN
P-KabX0ZUTW31,Keep,Kano-WOFAN
P-KabT67MVQ03,Keep,Kano-WOFAN
P-Kab99TS0X27,Keep,Kano-WOFAN
P-KabE0IHS530,Keep,Kano-WOFAN
P-KabU1IQGA32,Keep,Kano-WOFAN
P-Kab6GWE5K57,Keep,Kano-WOFAN
P-Kab88FFMW40,Keep,Kano-WOFAN
P-Kab40JFLD20,Keep,Kano-WOFAN
P-Kab8O6A0G20,Keep,Kano-WOFAN
P-KabXXQCNK55,Keep,Kano-WOFAN
P-Kab0V3YLK06,Keep,Kano-WOFAN
P-KabR0RG3Y47,Keep,Kano-WOFAN
P-KabUVEWNQ42,Keep,Kano-WOFAN
P-KabHQ4UJ106,Keep,Kano-WOFAN
P-Kab3ZDDY527,Keep,Kano-WOFAN
P-KabFUPQ4B36,Keep,Kano-WOFAN
P-KabKYAP9104,Keep,Kano-WOFAN
P-KabL13T0G17,Keep,Kano-WOFAN
P-KabRHQVL113,Keep,Kano-WOFAN
P-Kab003IQF18,Keep,Kano-WOFAN
P-KabM2M37B03,Keep,Kano-WOFAN
P-KabJACYDS30,Keep,Kano-WOFAN
P-KabAAASRV13,Keep,Kano-WOFAN
P-Kab80XDXW11,Keep,Kano-WOFAN
P-KabZHIWHO17,Keep,Kano-WOFAN
P-Kab60GFBG06,Keep,Kano-WOFAN
P-KabQUWCG131,Keep,Kano-WOFAN
P-KabPJ2SEH44,Keep,Kano-WOFAN
P-Kab70I32Q45,Keep,Kano-WOFAN
P-KabJ2Q85249,Keep,Kano-WOFAN
P-Kab0GQSEV53,Keep,Kano-WOFAN
P-KabW3TD9C39,Keep,Kano-WOFAN
P-KabELKCP910,Keep,Kano-WOFAN
P-KabCKTAD154,Keep,Kano-WOFAN
P-Kab4XM70L05,Keep,Kano-WOFAN
P-KabBGNNJE19,Keep,Kano-WOFAN
P-Kab18VNVM55,Keep,Kano-WOFAN
P-KabTDUQ6X54,Keep,Kano-WOFAN
P-Kab21L8YY37,Keep,Kano-WOFAN
P-KabGQT5CT33,Keep,Kano-WOFAN
P-Kab8ECWV807,Keep,Kano-WOFAN
P-KabEPL9U615,Keep,Kano-WOFAN
P-Kab4K0XB228,Keep,Kano-WOFAN
P-KabYABEGL01,Keep,Kano-WOFAN
P-KabYF21UB09,Keep,Kano-WOFAN
P-KabZIFD9739,Keep,Kano-WOFAN
P-KabRHFCAL51,Keep,Kano-WOFAN
P-KabKQSNOT41,Keep,Kano-WOFAN
P-KabQYN53X01,Keep,Kano-WOFAN
P-KabKPVXZ531,Keep,Kano-WOFAN
P-KabTUT6SM10,Keep,Kano-WOFAN
P-Kab9MQDFP55,Keep,Kano-WOFAN
P-KabV9VVLJ40,Keep,Kano-WOFAN
P-KabGPH1PX57,Keep,Kano-WOFAN
P-KabCZWK8L17,Keep,Kano-WOFAN
P-KabUTWBRZ40,Keep,Kano-WOFAN
P-KabSS1PQB04,Keep,Kano-WOFAN
P-KabHSNMRV33,Keep,Kano-WOFAN
P-Kab5UWQYZ51,Keep,Kano-WOFAN
P-KabK1BSW027,Keep,Kano-WOFAN
P-Kab9YY3MB24,Keep,Kano-WOFAN
P-KabBXJJT539,Keep,Kano-WOFAN
P-Kab0I62U214,Keep,Kano-WOFAN
P-KabS69GCR58,Keep,Kano-WOFAN
P-Kab4YSQHR41,Keep,Kano-WOFAN
P-KabSGBVGL25,Keep,Kano-WOFAN
P-KabLSSEKP38,Keep,Kano-WOFAN
P-Kab32BCU734,Keep,Kano-WOFAN
P-KabKU0Y0324,Keep,Kano-WOFAN
P-Kab23ISWB00,Keep,Kano-WOFAN
P-KabNE95J838,Keep,Kano-WOFAN
P-KabDXX5CZ27,Keep,Kano-WOFAN
P-KabP1OC6545,Keep,Kano-WOFAN
P-KabXI7Z8748,Keep,Kano-WOFAN
P-Kab7CWH0R12,Keep,Kano-WOFAN
P-KabDESBNJ51,Keep,Kano-WOFAN
P-Kab5X4KU551,Keep,Kano-WOFAN
P-KabZST03817,Keep,Kano-WOFAN
P-Kab7L9GNG38,Keep,Kano-WOFAN
P-KabYO7A0H13,Keep,Kano-WOFAN
P-KabRQWDS149,Keep,Kano-WOFAN
P-KabNJIW9Z15,Keep,Kano-WOFAN
P-KabGSMJGL07,Keep,Kano-WOFAN
P-KabIP34N024,Keep,Kano-WOFAN
P-KabY9JZV849,Keep,Kano-WOFAN
P-KabX49MMP35,Keep,Kano-WOFAN
P-KabK7N66A03,Keep,Kano-WOFAN
P-KabAXK2S254,Keep,Kano-WOFAN
P-KabTWGSNL20,Keep,Kano-WOFAN
P-KabA5AK8Z41,Keep,Kano-WOFAN
P-KabX5HI6111,Keep,Kano-WOFAN
P-KabIK5ORF11,Keep,Kano-WOFAN
P-KabAMFODR57,Keep,Kano-WOFAN
P-KabFUYTRO21,Keep,Kano-WOFAN
P-Kab76J7N124,Keep,Kano-WOFAN
P-KabFMVHTJ11,Keep,Kano-WOFAN
P-Kab44CFT434,Keep,Kano-WOFAN
P-KabYMXXQ410,Keep,Kano-WOFAN
P-Kab4J4B6N25,Keep,Kano-WOFAN
P-KabLX3MEN12,Keep,Kano-WOFAN
P-Kab2S4CON22,Keep,Kano-WOFAN
P-Kab8Y4HC330,Keep,Kano-WOFAN
P-KabEZETMN09,Keep,Kano-WOFAN
P-KabR5GRHQ42,Keep,Kano-WOFAN
P-KabJSBLGZ37,Keep,Kano-WOFAN
P-KabB0UJ7W13,Keep,Kano-WOFAN
P-KabAXTRNP50,Keep,Kano-WOFAN
P-Kab5KAT9H39,Keep,Kano-WOFAN
P-KabOWWDFQ48,Keep,Kano-WOFAN
P-KabCPGFUC45,Keep,Kano-WOFAN
P-Kab9A7Q5430,Keep,Kano-WOFAN
P-Kab2TUVOS05,Keep,Kano-WOFAN
P-KabTZAGOW57,Keep,Kano-WOFAN
P-Kab9G6O5K13,Keep,Kano-WOFAN
P-KabUF2P5B42,Keep,Kano-WOFAN
P-KabJJ1SCU47,Keep,Kano-WOFAN
P-KabSH0R6L55,Keep,Kano-WOFAN
P-KabE7U4JV30,Keep,Kano-WOFAN
P-KabM2GU1653,Keep,Kano-WOFAN
P-KabL6EXHG58,Keep,Kano-WOFAN
P-KabREBQQT50,Keep,Kano-WOFAN
P-KabCFPKSR47,Keep,Kano-WOFAN
P-Kab0PGKMS29,Keep,Kano-WOFAN
P-KabG0VGHH51,Keep,Kano-WOFAN
P-KabD7G8KU08,Keep,Kano-WOFAN
P-Kab2JOUCK44,Keep,Kano-WOFAN
P-KabGQ52KG02,Keep,Kano-WOFAN
P-KabKKNF5838,Keep,Kano-WOFAN
P-KabD2GPR722,Keep,Kano-WOFAN
P-KabFY7VLK51,Keep,Kano-WOFAN
P-KabR4VQB008,Keep,Kano-WOFAN
P-KabYFBRU032,Keep,Kano-WOFAN
P-KabIZWHBU57,Keep,Kano-WOFAN
P-KabFWILK753,Keep,Kano-WOFAN
P-KabUT51EB52,Keep,Kano-WOFAN
P-Kab15QOON54,Keep,Kano-WOFAN
P-KabKBXKOC09,Keep,Kano-WOFAN
P-KabUP4GYW26,Keep,Kano-WOFAN
P-KabUZXT1Q24,Keep,Kano-WOFAN
P-Kab6RNF7T35,Keep,Kano-WOFAN
P-KabK9C49I00,Keep,Kano-WOFAN
P-Kab9BDAWO39,Keep,Kano-WOFAN
P-KabPQ9VH904,Keep,Kano-WOFAN
P-KabO4XLXE55,Keep,Kano-WOFAN
P-KabAKOEPD13,Keep,Kano-WOFAN
P-Kab3BGVTR35,Keep,Kano-WOFAN
P-KabNO5C6A37,Keep,Kano-WOFAN
P-KabGS9IGA51,Keep,Kano-WOFAN
P-KabBM2E1L20,Keep,Kano-WOFAN
P-Kab3NQ0B152,Keep,Kano-WOFAN
P-KabRMHT6X34,Keep,Kano-WOFAN
P-KabZMLD5L28,Keep,Kano-WOFAN
P-KabY20NI441,Keep,Kano-WOFAN
P-KabH5H5IC27,Keep,Kano-WOFAN
P-KabHV49EL26,Keep,Kano-WOFAN
P-KabAMGFX547,Keep,Kano-WOFAN
P-KabKZK0SX13,Keep,Kano-WOFAN
P-Kab8LHU3J26,Keep,Kano-WOFAN
P-KabZC18CZ52,Keep,Kano-WOFAN
P-KabTPTFLT15,Keep,Kano-WOFAN
P-Kab3PF0NU50,Keep,Kano-WOFAN
P-KabPOGW1137,Keep,Kano-WOFAN
P-KabTFRWUK49,Keep,Kano-WOFAN
P-KabM1P58W59,Keep,Kano-WOFAN
P-Kab49YTH950,Keep,Kano-WOFAN
P-KabQI9JMF10,Keep,Kano-WOFAN
P-KabTF6AR437,Keep,Kano-WOFAN
P-Kab47CC9435,Keep,Kano-WOFAN
P-Kab6GW45W42,Keep,Kano-WOFAN
P-KabD5FHFK42,Keep,Kano-WOFAN
P-KabYEK6HH52,Keep,Kano-WOFAN
P-KabYQU9ES57,Keep,Kano-WOFAN
P-KabHZHJH239,Keep,Kano-WOFAN
P-Kab63RRNM13,Keep,Kano-WOFAN
P-KabUROFYI21,Keep,Kano-WOFAN
P-Kab6KAGMD35,Keep,Kano-WOFAN
P-KabJQMCRF24,Keep,Kano-WOFAN
P-KabXYDHQQ42,Keep,Kano-WOFAN
P-KabQFEK7W35,Keep,Kano-WOFAN
P-KabMKJXAZ27,Keep,Kano-WOFAN
P-Kab46YZ8054,Keep,Kano-WOFAN
P-KabPMQSBR00,Keep,Kano-WOFAN
P-Kab79QNSZ11,Keep,Kano-WOFAN
P-KabB4YASM51,Keep,Kano-WOFAN
P-KabT94V2T45,Keep,Kano-WOFAN
P-KabD1456R43,Keep,Kano-WOFAN
P-KabD0U89C46,Keep,Kano-WOFAN
P-KabS6E7W333,Keep,Kano-WOFAN
P-KabFRG8O505,Keep,Kano-WOFAN
P-Kab44S7KV41,Keep,Kano-WOFAN
P-KabZXTSQW01,Keep,Kano-WOFAN
P-Kab72UN6T15,Keep,Kano-WOFAN
P-KabSI6KWH38,Keep,Kano-WOFAN
P-KabA6628856,Keep,Kano-WOFAN
P-KabN2V96V26,Keep,Kano-WOFAN
P-KabI3I6AN42,Keep,Kano-WOFAN
P-KabU2FQ5227,Keep,Kano-WOFAN
P-KabAERFZN37,Keep,Kano-WOFAN
P-KabRVAFRH48,Keep,Kano-WOFAN
P-KabC97A3327,Keep,Kano-WOFAN
P-Kab7SRSBB05,Keep,Kano-WOFAN
P-Kab9P8ZV959,Keep,Kano-WOFAN
P-KabZUCK4N53,Keep,Kano-WOFAN
P-Kab9TDZ0N40,Keep,Kano-WOFAN
P-KabE51UVT08,Keep,Kano-WOFAN
P-KabFGLRF036,Keep,Kano-WOFAN
P-KabU2CH9P45,Keep,Kano-WOFAN
P-KabSWUC7X06,Keep,Kano-WOFAN
P-KabNKKM5X35,Keep,Kano-WOFAN
P-KabJ9SH0N08,Keep,Kano-WOFAN
P-KabTFYESP54,Keep,Kano-WOFAN
P-KabEZWSLV09,Keep,Kano-WOFAN
P-KabRT80EZ40,Keep,Kano-WOFAN
P-Kab72PV0852,Keep,Kano-WOFAN
P-Kab8U88K741,Keep,Kano-WOFAN
P-KabMQXG7J37,Keep,Kano-WOFAN
P-KabTN68NW45,Keep,Kano-WOFAN
P-Kab3DZBWY38,Keep,Kano-WOFAN
P-KabHNOLW148,Keep,Kano-WOFAN
P-Kab9P6KRZ15,Keep,Kano-WOFAN
P-Kab3MMGYY56,Keep,Kano-WOFAN
P-KabGIM1HE14,Keep,Kano-WOFAN
P-KabD5D0RE21,Keep,Kano-WOFAN
P-KabGGFLCU34,Keep,Kano-WOFAN
P-Kab358LTK44,Keep,Kano-WOFAN
P-KabVWITBD46,Keep,Kano-WOFAN
P-KabFU4PEU15,Keep,Kano-WOFAN
P-KabEINRPL44,Keep,Kano-WOFAN
P-Kab1C11LQ02,Keep,Kano-WOFAN
P-KabAQ4R0K28,Keep,Kano-WOFAN
P-KabSF64B515,Keep,Kano-WOFAN
P-KabKSIZ1941,Keep,Kano-WOFAN
P-Kab6WEN5P46,Keep,Kano-WOFAN
P-KabNEA9R926,Keep,Kano-WOFAN
P-KabNLSN8Y08,Keep,Kano-WOFAN
P-KabGRO5IU37,Keep,Kano-WOFAN
P-KabFY9AOK08,Keep,Kano-WOFAN
P-KabP5MZQ129,Keep,Kano-WOFAN
P-Kab4ERYAP05,Keep,Kano-WOFAN
P-KabB56SBV39,Keep,Kano-WOFAN
P-Kab5ARE8K51,Keep,Kano-WOFAN
P-KabWGPL3047,Keep,Kano-WOFAN
P-KabI1M85O12,Keep,Kano-WOFAN
P-KabMAVDIY22,Keep,Kano-WOFAN
P-KabMJDFAJ41,Keep,Kano-WOFAN
P-Kab394W6P44,Keep,Kano-WOFAN
P-KabWPFK1658,Keep,Kano-WOFAN
P-KabKJ6MXB51,Keep,Kano-WOFAN
P-Kab0EYW6M31,Keep,Kano-WOFAN
P-KabP0PX5F50,Keep,Kano-WOFAN
P-KabII6R7J03,Keep,Kano-WOFAN
P-Kab83A6H513,Keep,Kano-WOFAN
P-Kab17O8AL15,Keep,Kano-WOFAN
P-Kab3XV4MV32,Keep,Kano-WOFAN
P-KabYZIJ9P01,Keep,Kano-WOFAN
P-KabNN9YUJ13,Keep,Kano-WOFAN
P-Kab8Z0ANQ26,Keep,Kano-WOFAN
P-KabULRYMA57,Keep,Kano-WOFAN
P-Kab8BZJ7035,Keep,Kano-WOFAN
P-KabSCNTXF01,Keep,Kano-WOFAN
P-KabTA407N31,Keep,Kano-WOFAN
P-KabN8G3ON09,Keep,Kano-WOFAN
P-Kab0M5RN009,Keep,Kano-WOFAN
P-KabE4WAEJ55,Keep,Kano-WOFAN
P-KabAQLNLP52,Keep,Kano-WOFAN
P-KabFC6HXG32,Keep,Kano-WOFAN
P-KabEH44ZY29,Keep,Kano-WOFAN
P-KabUZJO7G27,Keep,Kano-WOFAN
P-KabSJDUAL31,Keep,Kano-WOFAN
P-KabS4IIUF17,Keep,Kano-WOFAN
P-Kab4UPLWV33,Keep,Kano-WOFAN
P-KabPFSAJG29,Keep,Kano-WOFAN
P-KabDZ8M3B44,Keep,Kano-WOFAN
P-KabVBYO1208,Keep,Kano-WOFAN
P-Kab9BFBB123,Keep,Kano-WOFAN
P-Kab0B44G712,Keep,Kano-WOFAN
P-Kab7NJYH445,Keep,Kano-WOFAN
P-KabNWCQNY13,Keep,Kano-WOFAN
P-KabRHFVDY58,Keep,Kano-WOFAN
